Kannada,Malayalam
ಸ್ಥಗಿತಗೊಂಡ ಅಂಗ,നിർത്തലാക്കിയ അവയവം
ಸ್ಥಗಿತಗೊಂಡ ಬೀಜ,നിർത്തലാക്കിയ വിത്ത്
ಗರ್ಭಪಾತ,ഗര്ഭഛിദം
ಸಂಪೂರ್ಣ ಕಳೆ,കേവല കള
ಹೀರಿಕೊಳ್ಳುವ ಕ್ಯಾಷನ್,ആഗിരണം ചെയ്യപ്പെട്ട വ്യാജം
ಹೀರುವಿಕೆ,ആഗിരണം
ಪ್ರಪಾತದ ಸಾಸಿವೆ,അബിസീനിയൻ കടുക്
ಉಜ್ಜೆ,Ala എഴുതിയത്
ಉಪನಾಮದ,അക്വെൻട്രിക്
ಎದ್ದು ಕಾಣುವುದು (ಕೋಶ),ആക്സന്റ്വേറ്റ് (സെൽ)
ಅಂಗೀಕರಿಸಿದ ಸಹಿಷ್ಣುತೆ,അംഗീകരിച്ച സഹിഷ്ണുത
ಪರಿಕರ,ഉപസാധനം
ಒಗ್ಗೂಡಿಸುವಿಕೆ,ACCLIMATIES
ಸಂಗ್ರಹಣೆ,കൂന്വാരം
ನಿಖರತೆ,കൃതത
ಕಸಚೂಕು,Aiverulus
ಸಮಗ್ರೀಕರಣ,അസഹീകരണം
ಆಮ್ಲೀಕರಣ,അസിഡിറ്റി
ಆಚಿಮೀಟರ್ ಚೀಟಿ,ആദിമീറ്റര്
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,അസിഡിറ്റി
ಸಿಹಿನೀರಿನ,അഡോഫിലിക്
ಆಮ್ಲೀಯ,അസിഡിലേറ്റഡ് റോക്ക് ഫോസ്ഫേറ്റ്
ಸಂಚೇಮದ,അയ്യോണിക്
ಜಲಚರಗಳು,അക്വിഫർ
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,കൈവശപ്പെടുത്തൽ
ಎಕರೆ,ഏന്വുല്ല്
ಎಕರೆ,പസ്താര
ಅಕ್ರೊಸೆಂಟ್ರಿಕ್ ವರ್ಣತಂತು,അക്രോസൻട്രിക് ക്രോമസോം
ಖುಷಿಯ,അക്രോപോറ്റൽ
ಸುಣ್ಣ,അക്രോസോം
ಅಂಧ,ആക്റ്റിനോമൈസെറ്റുകൾ
ಸಕ್ರಿಯ ಮೂಲ ವಲಯ,സജീവ റൂട്ട് സോൺ
ತೀವ್ರ,തുളച്ചുകയറുന്ന
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,പൊരുത്തപ്പെടലി
ರೂಪಾಂತರ,പൊരുത്തപ്പെടുത്തൽ
ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,അഷൈൻ
ಅಡಿ,അദിപ്പോസ്
ಹೊಂದಾಣಿಕೆ ಸಮೀಕರಣ,ക്രമീകരണ സമവാക്യം
ಮಣ್ಣು,അഡോബ് മണ്ണ്
ವ್ಯಭಿಚಾರಮಾಡುವ,പ്രത്യേകത
ಸಾಹಸದ,സാഹസികത
ಅಕ್ಸಿಯೊಸ್ಪೋರ್,Aecidiossoror
ಅಯೋಲಿಯನ್ ಪ್ರಕ್ರಿಯೆ,ഓലിയൻ പ്രക്രിയ
ಅಯೋಲಿಯನ್,Aiolian
ಗಾಳಿಗೊಡ್ಡು,ഓറേറ്റ്
ವೈಮಾನಿಕ,ഏരിയൽ
ವಾಯುಮಾಪಕ,ഏയ്റോമീറ്റർ
ವಾಯುಪಾವತಿ,എയറോസോൾ
ಅಸ್ವಸ್ಥತೆ,പകർച്ചവ്വാധം
ಏಟಿಯಾಲಜಿ (ಎಟಿಯಾಲಜಿ),Aetiiology (etiology)
ಸಂಯಮ,വനനം
ಆಂದೋಲನ,പ്രക്ഷോഭക്തി
ಅಣಕೇಡು,ന്വര്
ಕೃಷಿ,കാർഷികം
ಕೃಷಿ ಚಿಕಿತ್ಸಾಲಯ,കാർഷിക ക്ലിനിക്
ಕೃಷಿ ದುಡಿಮೆ,കാർഷിക തൊഴിലാളി
ಕೃಷಿ ಮಾರಾಟ,കാർഷിക മാർക്കറ്റിംഗ്
ಕೃಷಿ ತಂತ್ರಜ್ಞಾನ,കാർഷിക സാങ്കേതികവിദ്യ
ಕೃಷಿ,കൃഷിപ്പണി
ಕೃಪಣಸಾಮರಿ,അഗ്രിസിൾവികൾച്ചർ
ಕೃಷಿ -ವೈವಿಧ್ಯತೆ,കാർഷികൈവൻവിറ്റി
ಕೃಷಿ ಜೀವವಿಜ್ಞಾನದ ದೋಷಗಳು,അഗ്രോബയോളജിക്കൽ വൈകല്യങ്ങൾ
