Odiya,English
ପରିତ୍ୟାଗ,Abort
ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |,Abort timer
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,Absolute address
ସଂପୂର୍ଣ୍ଣ ଠିକଣା,Absolute addressing
ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |,Absolute assembler
ସଂପୂର୍ଣ୍ଣ କୋଡ୍,Absolute code
ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |,Absolute coding
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ,Absolute command
ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |,Absolute coordinate
ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |,Absolute data
ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |,Absolute error
ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |,Absolute expression
ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା,Absolute instruction
ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |,Absolute loader
ସଂପୂର୍ଣ୍ଣ କ୍ରମ,Absolute order
ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |,Absolute programming
ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ,Absolute term
ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ,Absolute value
ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |,Absolute vector
ବିସ୍ତୃତ,Abstract
ବିସ୍ତୃତ,Abstracting
ବିସ୍ତୃତ ପ୍ରତୀକ |,Abstract symbol
ତ୍ୱରଣ ସମୟ,Acceleration period
ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |,Acceleration time
ଉଚ୍ଚାରଣ,Accent
ଗ୍ରହଣ ପରୀକ୍ଷା,Acceptance test
ପ୍ରବେଶ,Access
ଆକ୍ସେସ୍ ବାହୁ,Access arm
ପ୍ରବେଶ ବ୍ୟବସ୍ଥା,Access arrangement
ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ,Access authority
ପ୍ରବେଶ ଚାର୍ଜ,Access charge
ଶ୍ରେଣୀ ଶ୍ରେଣୀ,Access class
ଡାଟା ବେସ୍ ମ୍ୟାନେଜମେଣ୍ଟକୁ ପ୍ରବେଶ କରନ୍ତୁ |,Access data base management
ପ୍ରବେଶ ପରିବେଶ ସେବା,Access environment
ଫାଗ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |,Access gap
ପ୍ରବେଶ ସୂଚକାଙ୍କ,Access index
ଆକ୍ସେସ୍ ଲାଇନ୍ |,Access line
ମେକାନିଜିମ୍ ଆକ୍ସେସ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |,Access mechanism
ପ୍ରବେଶ ପଦ୍ଧତି,Access method
ଆକ୍ସେସ୍ ପଦ୍ଧତି ରୁଟିନ୍ |,Access method routine
ପ୍ରବେଶ ମୋଡ୍,Access mode
ଅଧିକାର ପ୍ରବେଶ,Access right
ପ୍ରବେଶ ସ୍କାନ,Access scan
ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |,Access time
ହିସାବ,Accounting
ହିସାବ ଆର୍ଥିକ ବ୍ୟବସ୍ଥା,Accounting finance system
ହିସାବ ଯନ୍ତ୍ର,Accounting machine
ଖାତା ସଂଖ୍ୟା,Account number
ପୁନର୍ବାର ଜମା କରିବା |,Accumulating reproducer
ଆକ୍ୟୁମୁଲେଟର,Accumulator
ଆକ୍ୟୁମୁଲେଟର ରେଜିଷ୍ଟର |,Accumulator register
ଆକ୍ୟୁମୁଲେଟର ସିଫ୍ଟ ନିର୍ଦ୍ଦେଶ |,Accumulator shift instruction
ସଠିକତା,Accuracy
ସଠିକତା ନିୟନ୍ତ୍ରଣ ଚରିତ୍ର |,Accuracy control character
ସଠିକତା ନିୟନ୍ତ୍ରଣ ବ୍ୟବସ୍ଥା |,Accuracy control system
Ace ପାଇଲଟ୍ |,Ace pilot
