Malayalam,English
ഉപേക്ഷിക്കുക,Abort
ടൈമർ നിർത്തുക,Abort timer
കേവല വിലാസം,Absolute address
കേവല വിലാസം,Absolute addressing
കേവല അസംബന്ധം,Absolute assembler
കേവല കോഡ്,Absolute code
കേവല കോഡിംഗ്,Absolute coding
കേവല കമാൻഡ്,Absolute command
കേവല കോർഡിനേറ്റ്,Absolute coordinate
കേവല ഡാറ്റ,Absolute data
കേവല പിശക്,Absolute error
കേവല പദപ്രയോഗം,Absolute expression
കേവല പ്രബോധനം,Absolute instruction
കേവല ലോഡർ,Absolute loader
കേവല ക്രമം,Absolute order
കേവല പ്രോഗ്രാമിംഗ്,Absolute programming
കേവല പദം,Absolute term
യഥാർത്ഥ മൂല്യം,Absolute value
കേവല വെക്റ്റർ,Absolute vector
വേര്പെട്ടുനില്ക്കുന്ന,Abstract
അമൃതിയുള്ള,Abstracting
അമൂർത്ത ചിഹ്നം,Abstract symbol
ത്വരിതപ്പെടുത്തൽ കാലയളവ്,Acceleration period
ത്വരണം സമയം,Acceleration time
സരഭാരം,Accent
സ്വീകാര്യത പരിശോധന,Acceptance test
പ്രവേശനം,Access
കൈ,Access arm
ആക്സസ് ക്രമീകരണം,Access arrangement
അതോറിറ്റി ആക്സസ് ചെയ്യുക,Access authority
ആക്സസ് ചാർജ്,Access charge
ആക്സസ് ക്ലാസ്,Access class
ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക,Access data base management
പ്രവേശന അന്തരീക്ഷം,Access environment
വിടവ് ആക്സസ് ചെയ്യുക,Access gap
ആക്സസ് സൂചിക,Access index
ആക്സസ് ലൈൻ,Access line
ആക്സസ് സംവിധാനം,Access mechanism
ആക്സസ് രീതി,Access method
ആക്സസ് രീതി പതിവ്,Access method routine
ആക്സസ് മോഡ്,Access mode
വലത് ആക്സസ്,Access right
ആക്സസ് സ്കാൻ,Access scan
ആക്സസ് സമയം,Access time
അക്കൌണ്ടിംഗ്,Accounting
അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം,Accounting finance system
അക്ക ing ണ്ടിംഗ് മെഷീൻ,Accounting machine
അക്കൗണ്ട് നമ്പർ,Account number
അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം,Accumulating reproducer
സഞ്ചിതം,Accumulator
സഞ്ചിത രജിസ്റ്റർ,Accumulator register
സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം,Accumulator shift instruction
കൃതത,Accuracy
കൃത്യത നിയന്ത്രണ പ്രതീകം,Accuracy control character
കൃത്യത നിയന്ത്രണ സംവിധാനം,Accuracy control system
എയ്സ് പൈലറ്റ്,Ace pilot
പ്രതീകം അംഗീകരിക്കുക,Acknowledge character
അക്കോസ്റ്റിക് കപ്ലർ,Acoustic coupler
അക്കോസ്റ്റിക് കപ്ലിംഗ്,Acoustic coupling
അക്ക ou സ്റ്റിക് കാലതാമസം,Acoustic delay line
അക്കോസ്റ്റിക് മെമ്മറി,Acoustic memory
അക്കോസ്റ്റിക് മോഡം,Acoustic modem
അക്കോസ്റ്റിക് സിഗ്നൽ,Acoustic signal
അക്ക ou സ്റ്റിക് സ്റ്റോറേജ്,Acoustic storage
സംക്ഷേപം,Acronym
പവര്ത്തി,Action
പ്രവർത്തന ചക്രം,Action cycle
ആക്ഷൻ ലൈൻ,Action line
ആക്ഷൻ സന്ദേശം,Action message
പ്രവർത്തന സവിശേഷത,Action specification
സജീവമാക്കല്,Activation
സജീവമായ,Active
സജീവ ഫയൽ,Active file
സജീവ ലൈൻ,Active line
സജീവ ലിങ്ക്,Active link
സജീവ മാസ്റ്റർ ഫയൽ,Active master file
സജീവ മാസ്റ്റർ ഇനം,Active master item
സജീവ ഉപഗ്രഹം,Active satellite
സജീവ സ്റ്റേഷൻ,Active station
സജീവ സംഭരണം,Active storage
പ്രവർത്തനം,Activity
പ്രവർത്തന നില,Activity level
പ്രവർത്തന ലോഡിംഗ്,Activity loading
പ്രവർത്തന അനുപാതം,Activity ratio
യഥാർത്ഥ വിലാസം (= കേവല വിലാസം),Actual address (=absolute address)
യഥാർത്ഥ കോഡ് (= കേവല കോഡ്),Actual code (=absolute code)
