Malayalam,English
അജിയോട്ടിക് പുനരുൽപാദനം,abiogenesis
അസാധാരണമായ,abnormal
1. നാലാമത്തെ വയറ് 2. ഇവോമസോം,abomasum
സ്റ്റോമറ്റൽ വളർച്ച അവയവം,aborted organ
വളർച്ച മുരടിച്ച വിത്ത്,aborted seed
1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം,abortion
1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ,absolute weed
ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ,absorbed cation
ആഗിരണം,absorption
അബിസീനിയൻ കടുക്,abyssinian mustard
1. acaricide,acaricide
കേന്ദ്രാഭിമുഖം,accentric
ആംപ്ലിഫിക്കേഷൻ (സെൽ),accentuate (cell)
അനുവദിച്ച സഹിഷ്ണുത,accepted tolerance
1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി,accessory
പൊരുത്തപ്പെടുത്തൽ,acclimatization
ശേഖരണം,accumulation
1. vaccuracy 2. കൃത്യത,accuracy
1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്,acervulus
1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ,acetification
1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ,acidification
1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ,acidimeter
അസിഡിറ്റി,acidity
അസിഡോഫൈൽ,acidophilic
അസിഡിഫൈഡ് റോക്ക് ഫോസ്ഫേറ്റ്,acidulated rock phosphate
അസിഡിഫൈഡ്,aciduric
ജലാശയം,acquifer
കൈവശപ്പെടുത്തൽ,acquisition
ഏക്കർ,acre
1. ഏരിയ 2. ഏരിയ,acreage
അവസാന പോയിന്റ് ക്രോമസോം,acrocentric chromosome
മുന്നോട്ട് നോക്കുന്ന,acropetal
അക്രോസോം,acrosome
ആക്റ്റിനോമൈസെറ്റുകൾ,actinomycetes
സജീവ കോർ,active root zone
1. ക്രോധം 2. തീവ്രം,acute
പൊരുത്തപ്പെടുത്തൽ,adaptability
ഇഷ്ടാനുസൃതമാക്കൽ,adaptation
1. അഡീഷൻ 2. അഡീഷൻ,adhesion
സെബാസിയസ്,adipose
ക്രമീകരിക്കൽ സമവാക്യം,adjustment equation
അഡോബ് മണ്ണ്,adobe soil
വ്യഭിചാരം,adulterant
എക്ടോപിക്,adventitious
ഇസിഡിയോസ്പോർ ഇസിഡിയം ബീജം,aecidiospore
എയറോഡൈനാമിക് പ്രക്രിയ,aeolian process
വെൻട്രൽ,aeolian
വായുസഞ്ചാരത്തിനായി,aerate
1. വായു 2. ആകാശി,aerial
1. എയറോമീറ്റർ 2. എയറോമീറ്റർ 3. എയറോമീറ്റർ,aerometer
എയറോസോൾ,aerosol
1. പൂങ്കുല 2. വേനൽ സുഷുപ്തി,aestivation
രോഗ ശാസ്ത്രം,aetiology (etiology)
വനവൽക്കരണം,afforestation
1. പ്രക്ഷോഭം 2. പ്രക്ഷുബ്ധത,agitation
അഗ്മാർക്ക്,agmark
1. ഭൂമിയുമായി ബന്ധപ്പെട്ട 2. കാർഷിക,agrarian
കാർഷിക ക്ലിനിക്ക്,agricultural clinic
