Punjabi,Odiya
ਐਬੈਕਸਿਅਲ ਸਤਹ,ଅବକାଶର ପୃଷ୍ଠ |
ਪੇਟ,ପେଟ
ਪੇਟ AORTA,ପେଟର ଆର୍ଟା |
ਪੇਟ ਗੰਗਾਲੀਆ,ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |
ਅਬੈਲਮੋਸਚਸ ਐਸਕੂਲਟਸ,ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |
ਅਸਧਾਰਨ,ଆବର୍ଗନ
ਅੱਛਾ,ଆବିସ୍
ਅਬਿੰਗਡਨ ਕਛੂਆ,ଆବିଙ୍ଗଡନ୍ କଇଁଛ |
ਅਬੀਓਜੀਨੇਸਿਸ,Abognescesis
ਅਬੀਓਟਿਕ,ଅବିଟ
ਅਬੀਓਟਿਕ ਕਾਰਕ,ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |
ਅਸਧਾਰਨ ਪਿਸ਼ਾਬ,ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |
ਅਬੋ ਬਲੱਡ ਗਰੁੱਪ,ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |
Abscisic ਐਸਿਡ,ଅବସିସିକ୍ ଏସିଡ୍ |
ਵਿਵੇਕ,ଅବସିସନ
ਸੋਖਣਾ,ଶୋଷଣ
ਸਮਾਈ ਪੀਕ,ଅବଶୋଷଣ ଶିଖର |
ਸਮਾਈ,ଶୋଷଣ
ਅੱਕੀਆ ਕੈਟੂਯੂ,ଆକାସିଆ କ୍ୟାଚଚୁ |
ਅਕਾਰੀਆ ਅਰਬੀ,ଆକାରିଆ ଆରବୀ |
ਐਕਾਪ੍ਰਿਨ,ଆକ୍ରିନ
ਮੰਨਣਯੋਗ ਜਿਨਸੀ ਵਿਵਹਾਰ,ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
ਐਕਸੈਸਰੀ ਗਲੈਂਡ,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
ਸਹਾਇਕ ਅੰਗ,ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |
ਅਨੁਕੂਲਤਾ,ସୁକମ୍ଲାଇଜେସନ୍
ਅਹਿਮ,ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |
ਰਿਹਾਇਸ਼ (ਫੋਕਸ ਕਰਨਾ),ଆବାସ (ଧ୍ୟାନ)
ਅੱਖ ਦੀ ਰਿਹਾਇਸ਼,ଆଖିରେ ରହିବା
ਅਦਭੁਤ ਵਾਧਾ,ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |
ਇਕੱਠਾ,ଜମା
ਜੈਵਿਕ ਪਦਾਰਥ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,ଜମାକାରୀ ପଦାର୍ଥର ଜମା |
ਮਿੱਟੀ ਦਾ ਇਕੱਠਾ ਹੋਣਾ,ମାଟିର ଜମା |
ਐਸੀਲੂਲਰ,Acellululula |
ਐਸੀਲੂਲਰ ਜੀਵ,ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |
ਐਸੀਟੌਮੂਲਮ,ଏସିଟାବୁଲମ୍
ਐਸੀਟਲਾਈਡਾਈਡ,ACTalDeyDee
ਐਸੀਟੇਲ ਰੀਜ਼ਨ,ACETIL କୋଏନୋଜିମ୍ |
ਅਮੀਥਿਨਾ,ଆଖିନିନା |
ਅੱਕੇ,ଅହିଯାଉଥିବା ପ୍ରକାର |
ਅਕੇਸ਼ੀ,ଅହିଯେ
AchlamyDosporeae,ଅଖ୍ଲଣିଡୋସପୋରିଆ |
ਐਸਿਡ ਬਾਰਸ਼,ଅମ୍ଳ ବର୍ଷା
ਤੇਜਾਬ,ଅମ୍ଳୀୟ
ਤੇਜ਼ਾਬ ਗੈਸ,ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |
ਐਸਿਡਿਟੀ,ଅମ୍ଳତା
ਐਕਸੀਨਰ ਸੈੱਲ,ଆଖର ସେଲ୍ |
ਆਕੋਲੀਓਮੈਟ,ଆକ୍ୱେମିଲେଟ୍ |
ਐਕੋਨਿਟਮ,ଆକୋନିଟମ୍
ਐਕੋਰਨ ਕੀੜਾ,ଆକ୍ୟୁନ୍ ପୋକ |
ਧੁਨੀ ਜ਼ੋਨਿੰਗ,ଆକାଶବାଣୀ ଜୋନିଂ |
ਪਾਤਰ ਪਾਤਰ,ଅର୍ଜନ ବର୍ଣ୍ଣ
ਸੀਮਤ ਸੀਮਤ,ଅଜାଣତର କାରଣ
ਐਕੁਆਇਰਡ ਇਮੂਨੋ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ (ਏਡਜ਼),ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |
ਅਰੇਂੀਆ,ଅକାନିଆ
ਐਸੀਰੇਸਾਈਨ ਡਾਇ,ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ,ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |
ਐਕਰੋਮਰ,ଆକ୍ରୋମିଅନ୍ |
ਅਸ਼ੋਕਲ ਤਰਤੀਬ,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
ਐਕਰੋਪੇਟਲ ਆਰਡਰ,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
ਐਕਰੋਸਿਨ,ଆକ୍ରୋସିନ୍ |
ਐਕਟਿਨ,ଆକ୍ଟିନ୍ |
