Gujarati,Punjabi
ગર્ભિત અંગ,ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ
ગર્ભિત બીજ,ਅਧੂਰਾ
ગર્ભપાત,ਗਰਭਪਾਤ
પૂર્ણ નીંદણ,ਸੰਪੂਰਨ ਬੂਟੀ
સમારકામ,ਸਮਾਈ
સમાવેશ,ਸਮਾਈ
એબિસિનિયન સરસવ,ਅਬੀਸਨੀਅਨ ਰਾਈ
વાસ્તવિકતા,ਅਚੰਭੇ
ઉચ્ચારણ,ਰਾਜਕੁਮਾਰੀ
ઉકાળો (કોષ),ਲਹਿਜ਼ਾ (ਸੈੱਲ)
સ્વીકૃત સહનશીલતા,ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ
સહાયક,ਸਹਾਇਕ
સ્વાર્થીકરણ,ਅਨੁਕੂਲਤਾ
સંચય,ਇਕੱਠਾ
ચોકસાઈ,ਸ਼ੁੱਧਤਾ
એકરખાંશ,ਏਸਰਵੂਲਸ
સુશોભિતતા,ਐਸੀਟਿਫਿਕੇਸ਼ਨ
એસ્બરેશન,ਐਸਿਡਿਫਿਕੇਸ਼ਨ
અમ્લમાપક,ਐਸਿਡਮੀਟਰ
અમલ્ય,ਐਸਿਡਿਟੀ
અમ્લ્ક,ਐਸਿਡੋਫਿਲਿਕ
એસિડ્યુલેટેડ રોક ફોસ્ફેટ,ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ
કષ્ટાત્મક,ਐਸਿਡੁਰਿਕ
પાણીમાં જતું,ਐਕੁਇਫਰ
સંપાદન,ਗ੍ਰਹਿਣ
એકર,ਏਕੜ
એકર વિસ્તાર,ਰਕਬੇ
સંકુચિત રંગસૂત્ર,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ
આછું,ਐਕਰੋਪੇਟਲ
આછક,ਐਸ਼੍ਰੋਸੋਮ
કૃત્ય,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
સક્રિય રુટ ક્ષેત્ર,ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ
તીવ્ર,ਗੰਭੀਰ
અનુકૂલનક્ષમતા,ਅਨੁਕੂਲਤਾ
અનુકૂલન,ਅਨੁਕੂਲਤਾ
સંલગ્નતા,ਚਿਪਕਿਆ
ચરબીયુક્ત,ADPIPOSE
સમાયોજન સમીકરણ,ਵਿਵਸਥ ਸਮੀਕਰਨ
ગોરી માટી,ਅਡੋਬ ਮਿੱਟੀ
વ્યભિચાર,ਮਨਜ਼ੂਰ
આકસ્મિક,ਸਾਹਸੀ
જાસૂસી,ਏਸੀਡਿਓਸਪੋਰ
વાતજ પ્રક્રિયા,ਏਓਲੀਅਨ ਪ੍ਰਕਿਰਿਆ
વાતજ,ਏਓਲੀਅਨ
હાથબદલો કરવો,Aeate
હવાઈ,ਏਰੀਅਲ
વાયુવાસી,ਐਰੋਮੀਟਰ
વિમાન,ਐਰੋਸੋਲ
નિલાસ્ય,ਖਰਾਸ਼
એટીઓલોજી (ઇટીઓલોજી),ਏਟੀਓਲੋਜੀ (ਐਟਾਇਜੀੋਲੋਜੀ)
વનીકરણ,ਕਥਾ
આંદોલન,ਅੰਦੋਲਨ
ગુનો,ਆਕਮਾਰਕ
કૃષિ,ਅਗਰਾਰੀਅਨ
કૃષિ ચિકિત્સક,ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ
કૃષિ -મજૂર,ਖੇਤੀਬਾੜੀ ਕਿਰਤ
કૃષિ,ਖੇਤੀਬਾੜੀ ਮਾਰਕੀਟਿੰਗ
કૃષિ પ્રૌ નગર,ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ
કૃષિ,ਖੇਤੀ ਬਾੜੀ
કૃષિવિજ્icultureાની,ਐਗਰੀਸਿਲਵੀਕਲਚਰ
કૃષિવિવિધિ,ਖੇਰਤ
કૃષિવિજ્ologicalાનની ખામી,ਖੇਤੀਬਾਜੀਕਲ ਨੁਕਸ
કૃષિવિજ્iologyાન,ਅਗਾਹੀਵੋਲੋਜੀ
કૃષિ વિવિધતા,ਐਗ੍ਰੋਕਲਮੈਟਿਕ ਵਿਭਿੰਨਤਾ
કૃષિવિજ્ingાન,ਅਗਰੋਕਲਮੈਟਿਕ ਜ਼ੋਨਿੰਗ
કૃષિ -પ્રવેશ,ਐਗਰੋਫੋਰੈਸਟਰੀ
કૃષિવિજ્ologyાન,ਖੇਤੀਬਾਜੀ
કૃષિવિજ્yાન,ਖੇਤੀਬਾੜੀ
જૂથબદ્ધ,ਐਗ੍ਰੋਪਾਸਟਰਲ
કૃષિ કે થાંભલા,ਸ਼ਿਕਾਰ
કૃષિવિજ્ologyાન,ਐਗਰੋਸਟੋਲੋਜੀ
કૃષિવંશ,ਐਗਰੋਟਾਈਪ
વિમાન,ਏਅਰ ਪੌਦਾ
અકીયોચી માટી,ਅਕੀਓਚੀ ਮਿੱਟੀ
માદા,ਅਲਮੀਨੀਜ਼ਮ
ક alંગું,ਐਲਫਿਸੋਲਸ
શેવાળ,ਐਲਗੀ
મૂર્ત રોગ,ਐਲਗਲ ਰੋਗ
ક્ષારયુક્ત પાણી,ਅਲਕਾਲੀ ਪਾਣੀ
ક્ષુદ્ર,ਐਲਕਲੀਨ
એલીલ,ਐਲੀਲੇ
એલેલોકેમિકલ્સ,ਐਲਲੋਕਲਿਕਸ
એલેલોમોર્ફ,ਅਲੇਲੋਮੋਰਫ
અખરોશ,ਅਲੇਲੋਪੈਥੀ
એલી પાક,ਐਲੀ ਫਸਲ
ફાળવણી,ਅਲੋਕਰੇਪੀ
સહ -સંબંધ,ਆਲੋਗਮ
એલોમેટ્રી,ਐਲੋਮੈਟਰੀ
ફિલોપ્લોઇડ,ਐਲੋਪੋਲਾਈਵਲਾਈਡ
એલોસિનાપ્સિસ (એલોસિન્ડિસિસ),ਐਲੋਸਮੈਨੈਪਸਿਸ (ਐਲੋਸਿਨੈਂਡਸਿਸ)
વૈકલ્પિક બેરિંગ,ਵਿਕਲਪਿਕ ਬੇਅਰਿੰਗ
