Gujarati,Odiya
અસામાન્ય,ଅସ୍ୱାଭାବିକ |
ગર્ભપાત,ପରିତ୍ୟାଗ
ઘર્ષણ,ଅଳିଆ ଆବେଗ
અચાનક,ଆକସ୍ମିକ
સંપૂર્ણ ક્ષેત્ર શક્તિ,ସଂପୂର୍ଣ୍ଣ କ୍ଷେତ୍ର ଶକ୍ତି |
સંપૂર્ણ તાપમાન,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
અબાધિત મૂલ્ય,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
શોષવું,ଶୋଷଣ
સહ-કાર્યક્ષમ,ଅବଶୋଷଣ ସହ-ଦକ୍ଷ |
શોષણ,ଶୋଷଣୀୟ କ୍ଷତି |
નિષ્ક્રિય,ବିସ୍ତୃତ
પ્રવેગમાપક,ଆକ୍ସଲେରୋମିଟର |
સ્વીકૃતિ કસોટી,ଗ୍ରହଣ ପରୀକ୍ଷା
પ્રવેશ,ପ୍ରବେଶ
વપરાશ નિયંત્રણ,ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
પ્રવેશ -બિંદુ,ପ୍ରବେଶ ବିନ୍ଦୁ
પ્રવેશ સમય,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
ઉપલ્બધતા,ଅଭିଗମ୍ୟତା |
સંકુચિત સેલી,ଆକ୍ୟୁଲେଟର କକ୍ଷ |
ચોકસાઈ,ସଠିକତା
ચોક્કસ,ସଠିକ୍
ઘેટાંના લેન્સ,ଆଖୋଟୋମାଟିକ୍ ଲେନ୍ସ |
તેજાબ,ଏସିଡ୍ |
એસિડ પ્રૂફ,ଏସିଡ୍ ପ୍ରମାଣ |
અમલ્ય,ଅମ୍ଳତା
સ્વીકૃતિ,ସ୍ୱୀକୃତି ବିଟ୍
ધ્વનિશાસ્ત્ર,ଆକାଶବାଣୀ |
ધ્વનિશાસ્ત્ર,ଆକାଶବାଣୀ ଯୋଗାଯୋଗ |
ધ્વનિ -પ્રસરણ,ଆକାଶବାଣୀ ବିସ୍ତାର
ધ્વનિ -બરાબરી,ଆକାଶବାଣୀ ସମାନତା |
ધ્વનિ -પ્રતિસાદ,ଆକାଶବାଣୀ ମତାମତ |
ધ્વનિ ફિલ્ટર,ଆକାଶବାଣୀ ଫିଲ୍ଟର |
ધ્વનિ અવરોધ,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
ધ્વનિ -માસ્કીંગ,ଆକାଶବାଣୀ ମାସ୍କିଂ |
ધ્વનિની શક્તિ,ଆକାଶବାଣୀ ଶକ୍ତି |
ધ્વનિપક્ષીય મિલકત,ଆକାଶବାଣୀ ସମ୍ପତ୍ତି |
ધ્વનિની પ્રતિક્રિયા,ଆକାଶବାଣୀ ପ୍ରତିକ୍ରିୟା |
ધ્વનિ -પ્રતિબિંબ,ଆକାଶବାଣୀ ପ୍ରତିଫଳନ |
ધ્વનિ ટાઇલ,ଆକାଶବାଣୀ ଟାଇଲ୍ |
ધ્વનિ તરંગ,ଆକାଶବାଣୀ ତରଙ୍ଗ |
શ્રવ -શોષણ,ଆକାଶବାଣୀ ଅବଶୋଷଣ |
શ્રવણશક્તિ એટેન્યુએશન,ଆକାଶବାଣୀ ଆଟେନେସନ୍ ସ୍ଥିର |
શ્રવણની ભીનાશ,ଆକାଶବାଣୀ ଡମ୍ପିଂ |
ધ્વનિ વિલંબ રેખા,ଆକାଶବାଣୀ ବିଳମ୍ବ ରେଖା |
ધ્વનિની વિકૃતિ,ଆକାଶବାଣୀ ବିକୃତି |
શ્રવણ નલિક,ଆକାଶବାଣୀ ନଳୀ |
શ્રવણશક્તિ,ଆକାଶବାଣୀ ଶକ୍ତି |
શ્રવણશક્તિ,ଆକାଶବାଣୀ ମତାମତ |
શ્રદ્ધ ફિલ્ટર,ଆକାଶବାଣୀ ଫିଲ୍ଟର |
શ્રવણનો અવરોધ,ଆକାଶବାଣୀ ପ୍ରତିରୋଧକ |
ધ્વનિ -પ્રચાર,ଆକାଶବାଣୀ ପ୍ରଚାର ସ୍ଥିର |
શ્રવણ પ્રતિકાર,ଆକାଶବାଣୀ ପ୍ରତିରୋଧ |
ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ,ଆକାଶ ଭାବରେ ଇନସୁଲେଡ୍ |
ધ્વનિશાસ્ત્ર,ଆକାଶବାଣୀ |
સંપાદન,ଅଧିଗ୍ରହଣ
ટૂંકાક્ષર,ଆକ୍ରୋନିମ୍ |
કાર્યવાહી ક્ષેત્ર,କ୍ରିୟା କ୍ଷେତ୍ର
સક્રિય ફિલામેન્ટ,ସକ୍ରିୟ ଚିଲାମେଣ୍ଟ |
સક્રિય,ସକ୍ରିୟ
સક્રિય ક્ષેત્ર,ସକ୍ରିୟ କ୍ଷେତ୍ର
સક્રિય બારી,ସକ୍ରିୟ ୱିଣ୍ଡୋ |
અનુકૂલનક્ષમતા,ଅନୁକେତ
એડેપ્ટર (એડેપ્ટર),ଆଡାପ୍ଟର (ଆଡାପ୍ଟର)
અનુકૂલનશીલ વિભેદક પલ્સ મોડ્યુલેશન,ଆଡାପ୍ଟିଭ୍ ଡିଫେରିଏଲ୍ ପଲ୍ସ କୋଡ୍ ମୋଡୁଲେସନ୍ |
સરનામા પુસ્તિકા,ଠିକଣା ବହି
સરનાવ બસ,ଠିକଣା ବସ୍
ઠરાવ,ଠିକଣା ରେଜୋଲୁସନ
