Tamil,English
அபெலியன் குழு,Abelian group
அபிலியன் அரைகுழு,abelian semigroup
abscissa,abscissa
அறுதி,absolute
முழுமையான ஒருங்கிணைப்பு,absolute convergence
முழுமையான பிழை,absolute error
முழுமையான அதிகபட்சம்,absolute maximum
முழுமையான குறைந்தபட்சம்,absolute minimum
துல்லியமான மதிப்பு,absolute value
முழுமையான வேகம்,absolute velocity
சுருக்க இயற்கணிதம்,abstract algebra
சுருக்க குழு கோட்பாடு,abstract group theory
முடுக்கம்,acceleration
புவியீர்ப்பு காரணமாக முடுக்கம்,acceleration due to gravity
ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு,acceptable choice set
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,acceptable quality level
ஏற்றுக்கொள்ளக்கூடிய வரம்பு,acceptable range
ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை,acceptable reliability level
ஏற்றுக்கொள்ளக்கூடிய மாதிரி,acceptable sampling
திரட்டப்பட்ட பிழை,accumulated error
துல்லியம்,accuracy
செயல்படும் சக்தி,acting force
நடவடிக்கை,action
செயல் மற்றும் எதிர்வினை,action and reaction
உண்மையான அறிவியல்,acturial science
கடுமையான கோண முக்கோணம்,acute angled triangle
அசைக்ளிக்,acyclic
கூட்டு,add
சேர்ப்பான்,adder
கூடுதலாக,addition
கூட்டல் சூத்திரம்,addition formula
சிக்கலான எண்களைச் சேர்த்தல்,addition of complex numbers
செயல்பாடுகளைச் சேர்த்தல்,addition of functions
மெட்ரிக்குகள் சேர்த்தல்,addition of matrices
பல்லுறுப்புக்கோவைகள் சேர்த்தல்,addition of polynomials
நிகழ்தகவுகளைச் சேர்த்தல்,addition of probabilities
திசையன்கள் சேர்த்தல்,addition of vectors
கூட்டல் தேற்றம்,addition theorem
சேர்க்கை குழு,additive group
தலைகீழ் சேர்க்கை,additive inverse
சேர்க்கை சொத்து,additive property
சேர்க்கை,additivity
அருகாமை அணி,adjacency matrix
அருகில்,adjacent
அருகில் உள்ள கோணங்கள்,adjacent angles
அருகில் உள்ள உச்சி,adjacent vertex
இணை,adjoin
அருகில்,adjoining
இணைந்த தீர்மானிப்பான்,adjoint determinant
இணை வேறுபாடு சமன்பாடு,adjoint differential equation
