Marathi,Hindi
असामान्य,अपसामान्य
गर्भपात,विफलन
घर्षण,"अपघर्षण, घिसाई"
अचानक,"असंलग्न, अचानक, सहसा, विच्छिन्न"
परिपूर्ण फील्ड सामर्थ्य,निरपेक्ष क्षेत्र सामर्थ्य
परिपूर्ण तापमान,परम ताप
परिपूर्ण मूल्य,निरपेक्ष मान
शोषून घ्या,"अवशोषित करना, अवशोषण करना"
शोषण सह-कार्यक्षम,अवशोषण गुणांक
शोषण तोटा,अवशोषण हानि
गोषवारा,"अमूर्त, सारांश, सार, संक्षेप"
एक्सेलरोमीटर,त्वरणमापी
स्वीकृती चाचणी,स्वीकृति परीक्षण
प्रवेश,अभिगम
प्रवेश नियंत्रण,अभिगम नियंत्रण
प्रवेश बिंदू,अभिगम बिंदु
प्रवेश वेळ,अभिगम काल
प्रवेशयोग्यता,अभिगम्यता
संचयक सेल,संचायक सेल
अचूकता,यथार्थता
अचूक,यथार्थ
अ‍ॅक्रोमॅटिक लेन्स,अवर्णक लेन्स
आम्ल,"अम्ल, ऐसिड"
आम्ल पुरावा,अम्लसह
आंबटपणा,अम्लता
पावती बिट,"पावती द्वयंक, पावती बिट"
ध्वनिक,ध्वानिक
ध्वनिक संप्रेषण,ध्वानिक संचार
ध्वनिक प्रसार,ध्वानिक विसरण
ध्वनिक समतुल्य,ध्वानिक समकारी
ध्वनिक अभिप्राय,"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश"
ध्वनिक फिल्टर,"ध्वानिक फिल्टर, ध्वानिक निस्यंदक"
ध्वनिक प्रतिबाधा,ध्वानिक प्रतिबाधा
ध्वनिक मास्किंग,"ध्वानिक आवरण, ध्वानिक प्रच्छादन"
ध्वनिक शक्ती,ध्वानिक षक्ति
ध्वनिक मालमत्ता,ध्वानिक गुणधर्म
ध्वनिक प्रतिक्रिया,ध्वानिक प्रतिघात
ध्वनिक प्रतिक्षेप,ध्वानिक प्रतिवर्त
ध्वनिक टाइल,ध्वानिक टाइल
ध्वनिक लाट,ध्वानिक तरंग
ध्वनिक शोषण,ध्वानिक अवशोषण गुणांक
