Bengali,Hindi
গর্ভপাত,विफलन
গর্ভপাত টাইমার,विफलन कालद
পরম ঠিকানা,निरपेक्ष पता
পরম ঠিকানা,निरपेक्ष पताभिगमन
পরম এসেম্বলার,निरपेक्ष कोडांतरक
পরম কোড,निरपेक्ष कूट
পরম কোডিং,निरपेक्ष कूटलेखन
পরম কমান্ড,निरपेक्ष समादेश
পরম সমন্বয়,निरपेक्ष निर्देशांक
পরম ডেটা,निरपेक्ष आंकड़े
পরম ত্রুটি,निरपेक्ष त्रुटि
পরম অভিব্যক্তি,निरपेक्ष व्यंजक
পরম নির্দেশ,निरपेक्ष अनुदेश
পরম লোডার,निरपेक्ष भारक
পরম আদেশ,निरपेक्ष आदेश
পরম প্রোগ্রামিং,निरपेक्ष क्रमादेशन
পরম শব্দ,निरपेक्ष पद
পরম মান,निरपेक्ष मान
পরম ভেক্টর,निरपेक्ष सदिश
বিমূর্ত,"सारांश, अमूर्त"
বিমূর্ত,"सारांशन, अमूर्तकरण, साराहरण"
বিমূর্ত প্রতীক,अमूर्त प्रतीक
ত্বরণ সময়কাল,त्वरण अवधि
ত্বরণের সময়,त्वरण काल
অ্যাকসেন্ট,उच्चारण चिह्न
স্বীকৃতি পরীক্ষা,स्वीकरण परीक्षण
অ্যাক্সেস,अभिगम
অ্যাক্সেস আর্ম,अभिगम बाहु
অ্যাক্সেস ব্যবস্থা,अभिगम व्यवस्था
অ্যাক্সেস কর্তৃপক্ষ,अभिगम प्राधिकारक
অ্যাক্সেস চার্জ,अभिगम शुल्क
অ্যাক্সেস ক্লাস,अभिगम वर्ग
অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট,अभिगम आँकड़ासंचय प्रबंध
অ্যাক্সেস পরিবেশ,अभिगम परिवेश
অ্যাক্সেস ফাঁক,अभिगम अंतराल
অ্যাক্সেস সূচক,अभिगम सूचक
অ্যাক্সেস লাইন,अभिगम लाइन
অ্যাক্সেস প্রক্রিয়া,अभिगम यांत्रिकत्व
অ্যাক্সেস পদ্ধতি,अभिगम विधि
অ্যাক্সেস পদ্ধতির রুটিন,अभिगम विधि नेमका
অ্যাক্সেস মোড,अभिगम विधा
এক্সেস অধিকার,अभिगम अधिकार
অ্যাক্সেস স্ক্যান,अभिगम क्रमवीक्षण
প্রবেশাধিকার সময়,अभिगम काल
অ্যাকাউন্টিং,लेखा कार्य
অ্যাকাউন্টিং ফিনান্স সিস্টেম,लेखाकार्य वित्त तंत्र
অ্যাকাউন্টিং মেশিন,लेखा यंत्र
হিসাব নাম্বার,खाता संख्या
প্রজননকারী জমে,संचयी पुनरुत्पादक
জমে,संचायक
সংগ্রহকারী রেজিস্টার,संचायक पंजी
সংগ্রহকারী শিফট নির্দেশনা,संचायक विस्थापन अनुदेश
সঠিকতা,परिशुद्धता
নির্ভুলতা নিয়ন্ত্রণ চরিত্র,परिशुद्धता नियंत्रण संप्रतीक
নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা,परिशुद्धता नियंत्रण तंत्र
এস পাইলট,उत्कृष्ठ मार्गदर्शी
চরিত্র স্বীকৃতি,पावती संप्रतीक
অ্যাকোস্টিক কাপলার,ध्वनिक युग्मक
অ্যাকোস্টিক কাপলিং,ध्वनिक युग्मन
অ্যাকোস্টিক বিলম্ব লাইন,ध्वनिक विलंब लाइन
অ্যাকোস্টিক মেমরি,ध्वनिक स्मृति
অ্যাকোস্টিক মডেম,ध्वनिक मोडेम
অ্যাকোস্টিক সিগন্যাল,ध्वनिक संकेत
অ্যাকোস্টিক স্টোরেজ,ध्वनिक भंडारण
সংক্ষিপ্ত বিবরণ,परिवर्णी शब्द
কর্ম,क्रिया
অ্যাকশন চক্র,क्रिया चक्र
অ্যাকশন লাইন,क्रिया लाइन
অ্যাকশন বার্তা,क्रिया संदेश
ক্রিয়া স্পেসিফিকেশন,क्रिया विनिर्देश
অ্যাক্টিভেশন,सक्रियण
সক্রিয়,सक्रिय
সক্রিয় ফাইল,सक्रिय संचिका
সক্রিয় লাইন,सक्रिय लाइन
সক্রিয় লিঙ্ক,सक्रिय कड़ी
সক্রিয় মাস্টার ফাইল,सक्रिय प्रधान संचिका
সক্রিয় মাস্টার আইটেম,सक्रिय प्रधान मद
সক্রিয় স্যাটেলাইট,सक्रिय उपग्रह
সক্রিয় স্টেশন,सक्रिय केन्द्र
সক্রিয় স্টোরেজ,सक्रिय भंडारण
ক্রিয়াকলাপ,सक्रियता
কর্মকান্ডের পর্যায়,सक्रियता स्तर
ক্রিয়াকলাপ লোড হচ্ছে,सक्रियता भारण
ক্রিয়াকলাপ অনুপাত,सक्रियता अनुपात
আসল ঠিকানা (= পরম ঠিকানা),निरपेक्ष पता
আসল কোড (= পরম কোড),निरपेक्ष कूट
প্রকৃত ডেটা স্থানান্তর হার,वास्तविक आँकडा स्थानांतरण दर
আসল দশমিক পয়েন্ট,वास्तविक दशमलव बिन्दु
প্রকৃত নির্দেশ (= কার্যকর নির্দেশ),प्रभावी अनुदेश
আসল কী,वास्तविक कुंजी
প্রকৃত সময়,वास्तविक काल
আসল কাজের সময়,वास्तविक कार्य काल
অ্যাকিউটিং সিগন্যাল,प्रवर्तक संकेत
অভিযোজনযোগ্যতা,अनुकूलनीयता
