Marathi,Bengali
वेस्टमिन्स्टरचे मठाधीश,ওয়েস্টমিনস্টারের অ্যাবে
निषिद्ध,বর্জনীয়
गुलामगिरीचे उच्चाटन,দাসত্বের সমাপ্তি
आदिवासी,আদিবাসী
अब्राहम युग,আব্রাহাম যুগ
अनुपस्थित जमीनदार,অনুপস্থিত জমির মালিক
अकादमी,একাডেমী
अक्रा परिषद,আকরা সম্মেলন
जमा,সঞ্চয়
संवर्धन,সংগ্রহ
एसेलडामा,অ্যাসেলডামা
आचियन (=अचियन),আচিয়ান (=আচিয়ান)
आचियन लीग (=अचियन लीग),আচিয়ান লীগ (=আচিয়ান লীগ)
एक्रोपोलिस,অ্যাক্রোপলিস
Acta Diurna,Acta Diurna
Acta Senatus,Acta Senatus
ऍक्ट अॅडिशनल,অ্যাক্ট অ্যাডিশনেল
सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड),সক্রিয় রেকর্ড (=বর্তমান রেকর্ড)
प्राप्तकर्त्याची कृती,প্রাপ্তির কাজ
नुकसानभरपाई आणि विस्मरणाचा कायदा,ক্ষতিপূরণ এবং বিস্মৃতির আইন
सेटलमेंटचा कायदा,নিষ্পত্তির আইন
जाहिरात करार सील,বিজ্ঞাপন চুক্তি সীল
अदुल्लामाइट्स,আদুল্লামাইটস
विरोधक,প্রতিপক্ষ
विरोधक,প্রতিপক্ষ
एऑन,Aeon
एरेरियम,এরারিয়াম
हवाई युद्ध,বায়বীয় যুদ্ধ
एटोलियन लीग,এটোলিয়ান লীগ
वय,বয়স
वृद्धत्व (=वृद्धत्व),বার্ধক্য (=বার্ধক্য)
वृद्धत्व प्रक्रिया,বার্ধক্য প্রক্রিয়া
अगेलाय,এগেলাই
पराक्रमाचे वय,বীরত্বের বয়স
ज्ञानाचे वय,এনলাইটমেন্টের বয়স
पेरिकल्सचे वय,পেরিক্লেসের বয়স
कारण वय,কারণ বয়স
कृषीवाद,কৃষিবাদ
कृषी चळवळ,কৃষি আন্দোলন
अल्बिओन,অ্যালবিয়ন
अल्बम,অ্যালবাম
अल्डरमन,অল্ডারম্যান
मोहक हात,লোভনীয় অস্ত্র
मैत्री,বন্ধুত্ব
एम्फेक्टियोनिक परिषद,অ্যাম্ফিক্টোনিক কাউন্সিল
एम्फेक्टियोनिक लीग,Amphictyonic লীগ
अॅम्फिथिएटर,অ্যাম্ফিথিয়েটার
अमरी नल गट (मातीचा),আমরি নল দল (মৃৎপাত্রের)
अनाक्रोनिझम,অ্যানাক্রোনিজম
अनाक्रोनिस्टिक,অ্যানাক্রোনিস্টিক
पूर्वज,পূর্বপুরুষ
पूर्वजांची पूजा,পূর্ব পুরুষের পুজা
वंशपरंपरा,বংশ
वंशपरंपरा,বংশ
वंशपरंपरा,বংশ
वंशपरंपरा,বংশ
प्राचीन राजवट,প্রাচীন শাসন
प्राचीन,প্রাচীন
प्राचीन बालगीत,প্রাচীন গীতিনাট্য
