Tamil,Gujarati
ஏசி சமமான சுற்று,એસી સમકક્ષ સર્કિટ
எண் மாற்றிக்கு ஒப்புமை,આંકડાકીય કન્વર્ટર માટે એનાલોગ
முழுமையான பூஜ்ஜியம்,સંપૂર્ણ શૂન્ય
உறிஞ்சுதல் குணகம்,શોષણ ગુણાંક
உறிஞ்சுதல் நிறமாலை,શોષણ સ્પેક્ટ્રમ
ஏற்பி அணு,રીસેપ્ટર અણુ
மாற்று மின்னோட்ட இணைப்பு,વૈકલ્પિક વર્તમાન જોડાણ
எலக்ட்ரான் அறுவடை,ઇલેક્ટ્રોન લણણી
துளை சேமிப்பு,છિદ્ર સંગ્રહ
செயல்படுத்தும் ஆற்றல்,સક્રિયકરણ ઊર્જા
செயலில் பெருக்கி,સક્રિય એમ્પ્લીફાયર
செயலில் உள்ள டையோடு சுற்று,સક્રિય ડાયોડ સર્કિટ
செயலில் வடிகட்டி,સક્રિય ફિલ્ટર
செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி,સક્રિય ઉચ્ચ આવર્તન લાકડું ફિલ્ટર
செயலில் சுமை,સક્રિય લોડ
செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி,સક્રિય ઓછી આવર્તન પાર્સ ફિલ્ટર
செயலில் உள்ள பகுதி,સક્રિય વિસ્તાર
தகவமைப்பு மின்னணுவியல்,અનુકૂલનશીલ ઇલેક્ટ્રોનિક્સ
சேர்ப்பான்,ઉમેરનાર
சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு,એડજસ્ટેબલ બેન્ડ એક્સ્ટેંશન
ஊடுருவல்,પ્રવેશ
ஏரியல்,એરિયલ
பெப் அதிர்வெண்,pep આવર્તન
காற்றுச்சீரமைப்பி,એર કન્ડીશનર
சீரமைப்பு,ગોઠવણી
அல்காரிதம்,અલ્ગોરિધમ
அனைத்து பாஸ் வடிகட்டி,બધા પાસ ફિલ્ટર
அலாய் சந்திப்பு,એલોય જંકશન
தணிவு,એટેન્યુએશન
மாறுதிசை மின்னோட்டம்,વૈકલ્પિક પ્રવાહ
சுற்றுப்புற வெப்பநிலை,આસપાસનું તાપમાન
இருமுனை,દ્વિધ્રુવી
பெருக்கம்,એમ્પ્લીફિકેશન
பெருக்கி,એમ્પ્લીફાયર
பெருக்கி செயல்திறன்,એમ્પ્લીફાયર કાર્યક્ષમતા
பரிமாணங்கள்,પરિમાણો
வீச்சு குறைதல்,કંપનવિસ્તાર એટેન્યુએશન
அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்,કંપનવિસ્તાર મોડ્યુલેટેડ AM ઓસિલેટર
வீச்சு பண்பேற்றம்,કંપનવિસ્તાર મોડ્યુલેશન
வீச்சு மாடுலேட்டர்,કંપનવિસ્તાર મોડ્યુલેટર
angstrom அலகு,એંગસ્ટ્રોમ એકમ
அனலாக் சுற்று,એનાલોગ સર્કિટ
அனலாக் கணினி,એનાલોગ કમ્પ્યુટર
அனலாக் வடிகட்டி,એનાલોગ ફિલ્ટર
அனலாக் மல்டிமீட்டர்,એનાલોગ મલ્ટિમીટર
அனலாக் சுவிட்ச்,એનાલોગ સ્વીચ
மற்றும் வாயில்,અને દરવાજો
கோண அதிர்வெண்,કોણીય આવર્તન
"அயனி, அயனி","anion, anion"
அனீலிங் வெப்பநிலை,એનિલિંગ તાપમાન
நேர்மின்முனை,એનોડ
அனோட் பெருக்கி,એનોડ એમ્પ્લીફાયર
அனோடைன்,anodyne
ஆண்டெனா,એન્ટેના
ஆண்டெனா கூறு,એન્ટેના ઘટક
எதிர்ப்பு பிரதிபலிப்பு பூச்சு,વિરોધી પ્રતિબિંબીત કોટિંગ
ஆன்டிலோகின் பெருக்கி,એન્ટિલોગિન એમ્પ્લીફાયર
எதிரொலி சுற்று,પ્રતિરોધક સર્કિટ
துவாரகர் காலம்,દ્વારક સમયગાળો
மெய்நிகர் சக்தி,વર્ચ્યુઅલ પાવર
கம்பி இணைப்பு,વાયર કનેક્શન
தோராயமான மின்னழுத்த ஆதாயம்,અંદાજિત વોલ્ટેજ ગેઇન
ஆர்ம்ஸ்ட்ராங் மாடுலேட்டர்,આર્મસ્ટ્રોંગ મોડ્યુલેટર
ஆண்டெனா வரிசை,એન્ટેના એરે
"அளவு விகிதம், தோற்ற விகிதம்","કદ ગુણોત્તર, પાસા ગુણોત્તર"
மிதக்கும் சுற்று (இலவச இயக்க சுற்று),ફ્લોટિંગ સર્કિટ (ફ્રી ઓપરેટિંગ સર્કિટ)
தானியங்கி மல்டிவிபிரேட்டர்,સ્વચાલિત મલ્ટિવાઇબ્રેટર
மிதக்கும் மல்டிவிபிரேட்டர்,ફ્લોટિંગ મલ્ટિવાઇબ્રેટર
சமச்சீரற்ற சந்திப்பு,અસમપ્રમાણ જંકશન
ஒத்திசைவற்ற கால்குலேட்டர்,અસુમેળ કેલ્ક્યુલેટર
அணுக்கரு,પરમાણુ
அணு எண்,અણુ સંખ્યા
அணு அமைப்பு,અણુ માળખું
ஒலி பெருக்கி,ઓડિયો એમ્પ્લીફાયર
ஒலி பெருக்கி,ઓડિયો એમ્પ્લીફાયર
ஆடியோ கேசட்,ઓડિયો કેસેટ
ஒலி சுற்று,ઓડિયો સર્કિટ
கேட்கக்கூடிய அதிர்வெண்,સાંભળી શકાય તેવી આવર્તન
தானியங்கி மின்னழுத்த கட்டுப்பாடு,આપોઆપ વોલ્ટેજ નિયંત્રણ
பனிச்சரிவு,હિમપ્રપાત
சராசரி கண்டுபிடிப்பான்,સરેરાશ ડિટેક્ટર
அச்சு முறை,અક્ષીય મોડ
அச்சு விகிதம்,અક્ષીય ગુણોત્તર
ஆண்டெனா,એન્ટેના
பின் மின்னோட்ட விசை,પાછળનું ઇલેક્ટ્રોમોટિવ બળ
பின் பகுதி,પાછળનો વિસ્તાર
மீண்டும் சிதறல்,પાછા સ્કેટર
பின்னணி கட்டணம்,પૃષ્ઠભૂમિ ચાર્જ
பக்க சத்தம்,બાજુનો અવાજ
பின்னடைவு,પ્રત્યાગમન
பின்புற கதிர்வீச்சு,પશ્ચાદવર્તી ઇરેડિયેશન
பின்னோக்கி டையோடு / பின்தங்கிய டையோடு,બેકવર્ડ ડાયોડ / બેકવર્ડ ડાયોડ
பின்னோக்கி அலை ஆஸிலேட்டர்,બેકવર્ડ વેવ ઓસિલેટર
"தடை, தடை","અવરોધ, અવરોધ"
தடை,અવરોધ
சீரான பாலம்,સંતુલિત પુલ
சமநிலை மாடுலேட்டர்,સંતુલિત મોડ્યુલેટર
சமநிலை மாடுலேட்டர்,સંતુલિત મોડ્યુલેટર
சமநிலை சுற்று,સંતુલિત સર્કિટ
சமச்சீர் சாய்வு கண்டறிதல்,સંતુલિત ઢાળ ડિટેક્ટર
தற்போதைய நிலைப்படுத்தி எதிர்ப்பு,વર્તમાન સ્ટેબિલાઇઝર પ્રતિકાર
போலோமீட்டர்,બોલોમીટર
போலோமீட்டர் பாலம்,બોલોમીટર પુલ
