English,Malayalam
Abrasion,അബ്രേഷൻ
Abrasion test,അബ്രഷൻ ടെസ്റ്റ്
Abrasive (Abradant),ഉരച്ചിലുകൾ (അബ്രഡന്റ്)
Absolute pressure,സമ്പൂർണ്ണ സമ്മർദ്ദം
Absorber,അബ്സോർബർ
Absorption Dynamometer,ആഗിരണം ഡൈനാമോമീറ്റർ
Acceleration,ത്വരണം
Acceleration due to gravity,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
Accelerator Pedal,ആക്സിലറേറ്റർ പെഡൽ
Accelerometer,ആക്സിലറോമീറ്റർ
Accessory gear-box,ആക്സസറി ഗിയർ-ബോക്സ്
Acid pump,ആസിഡ് പമ്പ്
Ackermann Steering,അക്കർമാൻ സ്റ്റിയറിംഗ്
Acme thread,അക്മി ത്രെഡ്
Actual coefficient of Performance,പ്രകടനത്തിന്റെ യഥാർത്ഥ ഗുണകം
Actual efficiency of Pump,പമ്പിന്റെ യഥാർത്ഥ കാര്യക്ഷമത
Actuator,ആക്യുവേറ്റർ
Adapter,അഡാപ്റ്റർ
Addendum,അനുബന്ധം
Addendum (screw thread,അനുബന്ധം (സ്ക്രൂ ത്രെഡ്
Addendum Angle,അനുബന്ധ ആംഗിൾ
Addendum circle,അനുബന്ധ വൃത്തം
Adhasion,അഡാഷൻ
Adiabatic Compression,അഡിയാബാറ്റിക് കംപ്രഷൻ
Adiabatic expansion,അഡിയാബാറ്റിക് വിപുലീകരണം
Adiabatic flow,അഡിയബാറ്റിക് ഒഴുക്ക്
Adjustable pitch propeller,ക്രമീകരിക്കാവുന്ന പിച്ച് പ്രൊപ്പല്ലർ
Adjusting Rod,വടി ക്രമീകരിക്കുന്നു
Adjusting Screw,സ്ക്രൂ ക്രമീകരിക്കുന്നു
Adustment Strips,അഡസ്റ്റ്മെന്റ് സ്ട്രിപ്പുകൾ
Admission,പ്രവേശനം
Admission Corner,പ്രവേശന കോർണർ
Admission line,പ്രവേശന ലൈൻ
Admission port,പ്രവേശന തുറമുഖം
Advance,അഡ്വാൻസ്
Advance of Spark,സ്പാർക്കിന്റെ മുന്നേറ്റം
Aero-engine,എയ്റോ-എഞ്ചിൻ
Agitator,പ്രക്ഷോഭകാരി
Air bearing,എയർ ബെയറിംഗ്
Air brake,എയർ ബ്രേക്ക്
Air chuck,എയർ ചക്ക്
Air Compressor,എയർ കംപ്രസ്സർ
Air cooling,എയർ കൂളിംഗ്
Air cushion,എയർ കുഷ്യൻ
Air Cushion Vehicle,എയർ കുഷ്യൻ വാഹനം
Air Dashpot,എയർ ഡാഷ്പോട്ട്
Air Drill,എയർ ഡ്രിൽ
Air ejector,എയർ എജക്റ്റർ
Air Engine,എയർ എഞ്ചിൻ
Air Hammer,എയർ ചുറ്റിക
Air injection,എയർ ഇൻജക്ഷൻ
Airless solid injection,വായുരഹിത സോളിഡ് ഇൻജക്ഷൻ
Air lift pump,എയർ ലിഫ്റ്റ് പമ്പ്
Air meter,എയർ മീറ്റർ
Air pockets,എയർ പോക്കറ്റുകൾ
Air preheater,എയർ പ്രീഹീറ്റർ
Air pressure Reducing Valve,വായു മർദ്ദം കുറയ്ക്കുന്ന വാൽവ്
Air pump,എയർ പമ്പ്
Air-speed Indicator,എയർ സ്പീഡ് ഇൻഡിക്കേറ്റർ
Air standard cycle,എയർ സ്റ്റാൻഡേർഡ് സൈക്കിൾ
Air standard efficiency,എയർ സ്റ്റാൻഡേർഡ് കാര്യക്ഷമത
Air starting valve,എയർ സ്റ്റാർട്ടിംഗ് വാൽവ്
Air valve,എയർ വാൽവ്
Air vessel,എയർ വെസൽ
Alarum (clock),അലാറം (ക്ലോക്ക്)
Alighting gear,എലൈറ്റിംഗ് ഗിയർ
Alignment,വിന്യാസം
Allowance,അലവൻസ്
Alternate cone,ഇതര കോൺ
Amplifier,ആംപ്ലിഫയർ
Amplitude,വ്യാപ്തി
Amplitude specturm,ആംപ്ലിറ്റ്യൂഡ് സ്പെക്ചർ
Anemometer,അനിമോമീറ്റർ
Aneroid Barometer,അനെറോയിഡ് ബാരോമീറ്റർ
Angle bearing,ആംഗിൾ ബെയറിംഗ്
Angle Bending Machine,ആംഗിൾ ബെൻഡിംഗ് മെഷീൻ
Angle cutter,ആംഗിൾ കട്ടർ
Angle gearing,ആംഗിൾ ഗിയറിംഗ്
