English,Bengali
A B amplifier,A B শ্রেণীর পরিবর্ধক
aberration,বিকৃতি
abnormal propagation,অস্বাভাবিক সংক্রমণ
abrupt,"অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা"
absent spectrum,অনুপস্থিত বর্ণালী
absolute,"পরম, পরম, ধ্রুবক, নিখুঁত"
absolute humidity,পরম আর্দ্রতা
absolute motion,পরম গতি
absolute observation,পরম পর্যবেক্ষণ
absolute temperature,পরম তাপমাত্রা
absolute zero,পরম শূন্য
absorb,শোষণ করা
absorber,"শোষক, শোষক"
absorbing power,শোষণ ক্ষমতা
absorptance,শোষণ
absorptive,শোষক
absorptivity,শোষণ
abundance ratio,বহুগুণ অনুপাত
accelerate,ত্বরান্বিত করা
accelerated,তাড়াতাড়ি
acceleration,ত্বরণ
acceleration of gravity,অভিকর্ষের ত্বরণ
accelerative,এক্সিলারেটর
accelerator,এক্সিলারেটর
accelerometer,অ্যাক্সিলোমিটার
accentuator,prestresser
acceptance test,গ্রহণযোগ্য পরীক্ষা
acceptor,গ্রহণকারী
acceptor molecule,দাতা অণু
access,"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা"
accessibility,অ্যাক্সেসযোগ্যতা
accessory,"অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)"
access time,প্রবেশাধিকার সময়
accidental error,ভিজিটর ত্রুটি
accommodation,সমন্বয়
accumulated,পুঞ্জীভূত
accumulation,"accumulation, accumulation"
accumulator,সঞ্চয়কারী
accuracy,সঠিকতা
accurate,বাস্তবতা
achromat,অ্যাক্রোমেটিক লেন্স
achromatic,অ্যাক্রোমেটিক
achromatism,বর্ণহীনতা
acoustical,শাব্দিক
acoustically insulated,শব্দরোধী
acoustical phonon,শাব্দিক ফোনন
acoustical unit,শব্দ ইউনিট
acoustic,শাব্দিক
acoustic generator,শব্দ জেনারেটর
action and reaction,কর্ম এবং প্রতিক্রিয়া
activation,সক্রিয়করণ
"activation, energy",অ্যাক্টিভেশন শক্তি
activator,"সক্রিয়কারী, সক্রিয়কারী"
active,সক্রিয়
activity,সক্রিয়তা
actual stress,প্রকৃত চাপ
acute exposure,ফিসফিস
add,যোগফল
addition,"যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)"
additional tone,"সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)"
additive,সংযোজনকারী
adhesion,আনুগত্য
adhesional energy,আঠালো শক্তি
adiabat,adiabat
adiabatic,adiabatic
adiathermanous,তাপ নিরোধক
adjacent,সংযুক্তি
adjustable,সামঞ্জস্যযোগ্য
admittance,অনুপ্রবেশ
adsorption,শোষণ
advanced,এগিয়ে
advancing,প্রগতিশীল
aerial,"আকাশী, ভাইভা (v.), বায়বীয় (ed.)"
aerial current,অ্যান্টেনা প্রবাহ
aerial survey,বায়বীয় জরিপ
aerial velocity,বায়ু বেগ
aerodynamic coefficient,এরোডাইনামিক সহগ
aerodynamic,এরোডাইনামিক
aerodynamics,বায়ুগতিবিদ্যা
aeronautical,বৈমানিক
aeronautics,বৈমানিক
aeropulse,বায়ু নাড়ি
aerosphere,"বায়ুমণ্ডল, গ্যাসোস্ফিয়ার"
afocal system,ফোকাস সিস্টেম
after burning,পিছনে ইগনিশন
after glow,পিছনের আলো
aftershock,আঘাত
age,"বয়স, বয়স, বয়স, যুগ (সম্পাদনা), সময়কে প্রভাবিত করতে (ভার।), সময়, সময়ের দ্বারা প্রভাবিত হওয়া"
aged,সময় প্রভাবিত
ageing (aging),"বার্ধক্য, বার্ধক্য"
aging (=ageing),সময়ের প্রভাব
aging test,সময় প্রভাব পরীক্ষা
agravic,মাধ্যাকর্ষণহীন
aim,পুনর্মিলন
airborne radar,"বায়ুবাহিত রাডার, বায়বীয় রাডার"
airborne target,"বায়বীয় লক্ষ্য, বায়বীয় লক্ষ্য"
air breather,বায়ু শ্বাসযন্ত্র
air conditioning,এয়ার কন্ডিশনিং
aircore transformer,এয়ারক্রু ট্রান্সফরমার
aircraft,বিমান
alignment,প্রান্তিককরণ
alignment error,প্রান্তিককরণ ত্রুটি
alive circuit,লাইভ সার্কিট
all glass tube,সম্পূর্ণ কাচের টিউব
all metal tube,পুরো ধাতব টিউব
allocate,ঠিক করতে
alloy,"মিসরাতু (সম্পাদনা), মিশ্রাতভান (ক্রি.)"
alloying,mishratvan
all-pervading medium,সর্বব্যাপী মাধ্যম
all-wave antenna,ওমনি অ্যান্টেনা
almanac,পঞ্জিকা
alpha,আলফা
alpha-activity,আলফা-ক্রিয়াকলাপ
alphabetical,আলফানিউমেরিক
alpha ray,আলফা রশ্মি
alteration,পরিবর্তন
alternating,"বিকল্প, বিকল্প"
alternator,বিকল্প
altigraph,altimeter
altimeter,altimeter
altimetry,অলটাইমেট্রি
altitude,"উচ্চতা, উচ্চতা, উচ্চতা, উচ্চতা"
ALU (Arithmatic Logic Unit),অ্যারিথমেটিক রিজনিং ইউনিট (ALU)
Amagat law,amaget নিয়ম
ambient,পরিবেশ
amicron,অ্যামিক্রন
amméter,অ্যামিটার
ampere,অ্যাম্পিয়ার
Ampere's rule,অ্যাম্পিয়ার-ল
