Odiya,Gujarati
ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |,વેસ્ટમિન્સ્ટરના એબી
ଅବକ୍ଷୟ,ત્યાગી
ଦାସତ୍ୱ ରଦ୍ଦ,ગુલામી નાબૂદી
ଆଦିବାସୀ,એબોરિજિનલ
ଅବ୍ରହାମ ଏରା,અબ્રાહમ યુગ
ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |,ગેરહાજર મકાનમાલિકો
ଏକାଡେମୀ |,એકેડમી
ଆକ୍ରା ସମ୍ମିଳନୀ |,અકરા કોન્ફરન્સ
ଆକ୍ରୁଏଲ୍ |,સંસાધનો
ଆକଲଚ୍ୟୁଚର୍,સંવર્ધન
ଆକେଲଡାମା |,એસેલડામા
ଆଖିଆନ୍ (= ଆଚିଆନ୍),અચેઅન (=અચિયન)
ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍),આચિયન લીગ (=એચિયન લીગ)
ଆକ୍ରୋପଲିସ୍ |,એક્રોપોલિસ
ଆକ୍ଟା ଡିଆର୍ନା |,એક્ટા દીર્ના
ଆକ୍ଟା ସେନାଟସ୍ |,એક્ટા સેનાટસ
ଆକ୍ଟ ଆଡେଲ୍ |,એક્ટ એડિશનલ
ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ),સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ)
ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |,પ્રાપ્ત કરનારનું કાર્ય
କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |,ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય
ସମାଧାନ ନିୟମ,સમાધાનનો અધિનિયમ
ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |,જાહેરાત કરાર સીલ
ଆଡୁଲାମାଇଟ୍ସ |,અદુલ્લામાઈટસ
ଶତ୍ରୁ,વિરોધી
ଶତ୍ରୁ,વિરોધી
ଆଓନ୍,એઓન
ଏରାରିୟମ୍ |,એરેરિયમ
ବାୟୁ ଯୁଦ୍ଧ |,હવાઈ યુદ્ધ
ଆଟୋଲିଆନ୍ ଲିଗ୍ |,એટોલિયન લીગ
ବୟସ,ઉંમર
ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ),વૃદ્ધત્વ (=વૃદ્ધત્વ)
ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |,વૃદ્ધત્વ પ્રક્રિયા
ଆଗେଲାଇ |,અગેલાઈ
Ival ିଭାଲିର ବୟସ |,શૌર્યની ઉંમર
ଜ୍ଞାନର ବୟସ |,જ્ઞાનની ઉંમર
ପେରିକଲ୍ସର ବୟସ |,પેરિકલ્સની ઉંમર
କାରଣର ବୟସ |,કારણની ઉંમર
କୃଷିବାଦ,કૃષિવાદ
କୃଷି ଆନ୍ଦୋଳନ |,કૃષિ આંદોલન
ଆଲବିଅନ୍ |,એલ્બિયન
ଆଲବମ୍,આલ્બમ
ଆଲଡରମ୍ୟାନ୍ |,એલ્ડરમેન
ଭ୍ରାନ୍ତ ବାହୁ |,મોહક શસ્ત્રો
ବନ୍ଧୁତା,સૌમ્યતા
ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |,એમ્ફિક્ટિઓનિક કાઉન્સિલ
ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |,એમ્ફિક્ટિઓનિક લીગ
ଆମ୍ଫିଥେଟର,એમ્ફીથિયેટર
ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର),અમરી નલ જૂથ (માટીના વાસણો)
ଆନାକ୍ରୋନିଜିମ୍ |,અનાક્રોનિઝમ
