English,Punjabi
Abort,ਅਧੂਰਾ ਛੱਡਣਾ
Abort timer,ਅਧੂਰਾ ਛੱਡੋ
Absolute address,निरपेक्ष an s
Absolute addressing,ਪੂਰਨ ਪਤਾ
Absolute assembler,ਸੰਪੂਰਨ ਸੰਜਮ
Absolute code,ਸੰਪੂਰਨ ਕੋਡ
Absolute coding,ਸੰਪੂਰਨ ਕੋਡਿੰਗ
Absolute command,ਸੰਪੂਰਨ ਕਮਾਂਡ
Absolute coordinate,ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ
Absolute data,ਸੰਪੂਰਨ ਡੇਟਾ
Absolute error,ਪੂਰੀ ਗਲਤੀ
Absolute expression,ਪੂਰਨ ਸਮੀਕਰਨ
Absolute instruction,ਪੂਰਨ ਹਦਾਇਤ
Absolute loader,ਸੰਪੂਰਨ ਲੋਡਰ
Absolute order,ਸੰਪੂਰਨ ਕ੍ਰਮ
Absolute programming,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
Absolute term,ਸੰਪੂਰਨ ਅਵਧੀ
Absolute value,ਸਹੀ ਮੁੱਲ
Absolute vector,ਸੰਪੂਰਨ ਵੈਕਟਰ
Abstract,ਸਾਰ
Abstracting,ਐਬਸਟ੍ਰੈਕਟਿੰਗ
Abstract symbol,ਸੰਖੇਪ ਪ੍ਰਤੀਕ
Acceleration period,ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ
Acceleration time,ਪ੍ਰਵੇਗ ਟਾਈਮ
Accent,ਲਹਿਜ਼ਾ
Acceptance test,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
Access,ਪਹੁੰਚ
Access arm,ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ
Access arrangement,ਐਕਸੈਸ ਪ੍ਰਬੰਧ
Access authority,ਪਹੁੰਚ ਅਥਾਰਟੀ
Access charge,ਐਕਸੈਸ ਚਾਰਜ
Access class,ਐਕਸੈਸ ਕਲਾਸ
Access data base management,ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ
Access environment,ਐਕਸੈਸ ਵਾਤਾਵਰਣ
Access gap,ਐਕਸੈਸ ਪਾੜਾ
Access index,ਐਕਸੈਸ ਇੰਡੈਕਸ
Access line,ਐਕਸੈਸ ਲਾਈਨ
Access mechanism,ਐਕਸੈਸ ਵਿਧੀ
Access method,ਐਕਸੈਸ ਵਿਧੀ
Access method routine,ਐਕਸੈਸ ਵਿਧੀ ਰੁਟੀਨ
Access mode,ਐਕਸੈਸ ਮੋਡ
Access right,ਸਹੀ ਪਹੁੰਚ
Access scan,ਐਕਸੈਸ ਸਕੈਨ
Access time,ਐਕਸੈਸ ਟਾਈਮ
Accounting,ਲੇਖਾ
Accounting finance system,ਲੇਖਾ ਵਿੱਤ ਸਿਸਟਮ
Accounting machine,ਲੇਖਾ ਮਸ਼ੀਨ
Account number,ਅਕਾਊਂਟ ਨੰਬਰ
Accumulating reproducer,ਦੁਬਾਰਾ ਪੈਦਾ ਕਰਨ ਵਾਲਾ
Accumulator,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ
Accumulator register,ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਰਜਿਸਟਰ
Accumulator shift instruction,ਇਕੱਤਰ ਕਰਨ ਵਾਲੀ ਸ਼ਿਫਟ ਹਦਾਇਤਾਂ
Accuracy,ਸ਼ੁੱਧਤਾ
Accuracy control character,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਅੱਖਰ
Accuracy control system,ਸ਼ੁੱਧਤਾ ਕੰਟਰੋਲ ਪ੍ਰਣਾਲੀ
Ace pilot,ਏਸ ਪਾਇਲਟ
Acknowledge character,ਅੱਖਰ ਮੰਨੋ
Acoustic coupler,ਧੁਨੀ ਕਥਾ
Acoustic coupling,ਧੁਨੀ
Acoustic delay line,ਧੁਨੀ ਦੇਰੀ ਨਾਲ
Acoustic memory,ਧੁਨੀ ਯਾਦਦਾਸ਼ਤ
Acoustic modem,ਧੁਨੀ ਮਾਡਮ
Acoustic signal,ਧੁਨੀ ਸੰਕੇਤ
Acoustic storage,ਧੁਨੀ ਸਟੋਰੇਜ
Acronym,ਐਕਰੋਨਾਈਮ
Action,ਕਾਰਵਾਈ
Action cycle,ਐਕਸ਼ਨ ਚੱਕਰ
Action line,ਐਕਸ਼ਨ ਲਾਈਨ
Action message,ਐਕਸ਼ਨ ਸੰਦੇਸ਼
Action specification,ਐਕਸ਼ਨ ਨਿਰਧਾਰਨ
Activation,ਸਰਗਰਮੀ
Active,ਕਿਰਿਆਸ਼ੀਲ
Active file,ਐਕਟਿਵ ਫਾਈਲ
Active line,ਐਕਟਿਵ ਲਾਈਨ
Active link,ਕਿਰਿਆਸ਼ੀਲ ਲਿੰਕ
Active master file,ਐਕਟਿਵ ਮਾਸਟਰ ਫਾਈਲ
Active master item,ਐਕਟਿਵ ਮਾਸਟਰ ਆਈਟਮ
Active satellite,ਐਕਟਿਵ ਸੈਟੇਲਾਈਟ
Active station,ਐਕਟਿਵ ਸਟੇਸ਼ਨ
Active storage,ਐਕਟਿਵ ਸਟੋਰੇਜ
Activity,ਸਰਗਰਮੀ
Activity level,ਸਰਗਰਮੀ ਪੱਧਰ
Activity loading,ਗਤੀਵਿਧੀ ਲੋਡਿੰਗ
Activity ratio,ਗਤੀਵਿਧੀ ਅਨੁਪਾਤ
Actual address (=absolute address),ਅਸਲ ਪਤਾ (= ਪੂਰਨ ਪਤਾ)
Actual code (=absolute code),ਅਸਲ ਕੋਡ (= ਸੰਪੂਰਨ ਕੋਡ)
Actual data transfer rate,ਅਸਲ ਡੇਟਾ ਟ੍ਰਾਂਸਫਰ ਰੇਟ
Actual decimal point,ਅਸਲ ਦਸ਼ਮਲਵ ਬਿੰਦੂ
Actual instruction (=effective instruction),ਅਸਲ ਹਦਾਇਤਾਂ (= ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਹਦਾਇਤ)
Actual key,ਅਸਲ ਕੁੰਜੀ
Actual time,ਅਸਲ ਸਮਾਂ
Actual work time,ਅਸਲ ਕੰਮ ਦਾ ਸਮਾਂ
Actuating signal,ਅਦਾਕਾਰੀ ਸੰਕੇਤ
Adaptability,ਅਨੁਕੂਲਤਾ
Adapter,ਅਡੈਪਟਰ
Adaptive channel allocation,ਅਡੈਪਟਿਵ ਚੈਨਲ ਅਲਾਟਮੈਂਟ
Adaptive integration,ਅਨੁਕੂਲ ਏਕੀਕਰਣ
Adaptive transversal equalizer,ਅਨੁਕੂਲਤਾ ਦੇ ਟਰਾਂਸਵਰਸਟਲ ਬਰਾਬਰੀ
Added entry,ਇੰਦਰਾਜ਼ ਸ਼ਾਮਲ ਕੀਤਾ
Addend,ਐਡੇਂਡ
Adder,ਐਡਰਰ
Adder subtracter,ਐਡਰੈਸਬਰਸਟਰੈਕਟਰ
Add file,ਫਾਈਲ ਸ਼ਾਮਲ ਕਰੋ
Additional character (= special character),ਵਾਧੂ ਅੱਖਰ (= ਵਿਸ਼ੇਸ਼ ਚਰਿੱਤਰ)
Addition recorder,ਜੋੜ ਰਿਕਾਰਡਰ
Addition table,ਜੋੜ ਸਾਰਣੀ
Additive attribute,ਜੋੜ
Add mode,ਮੋਡ ਸ਼ਾਮਲ ਕਰੋ
Add operation,ਓਪਰੇਸ਼ਨ ਸ਼ਾਮਲ ਕਰੋ
Address,ਪਤਾ
Addressability measure,ਸੰਬੋਧਿਤਯੋਗਤਾ ਉਪਾਅ
Addressable horizontal position,ਪਤਾ ਕਰਨ ਯੋਗ ਹਰੀਜੱਟਲ ਸਥਿਤੀ
Addressable point,ਪਤਾ ਕਰਨ ਯੋਗ ਬਿੰਦੂ
Addressable position,ਪਤਾ ਕਰਨ ਯੋਗ ਸਥਿਤੀ
Addressable register,ਪਤਾ ਕਰਨ ਯੋਗ ਰਜਿਸਟਰ
Addressable storage,ਪਤਾ ਕਰਨ ਯੋਗ ਸਟੋਰੇਜ
Addressable vertical position,ਪਤਾ ਕਰਨ ਯੋਗ ਲੰਬਕਾਰੀ ਸਥਿਤੀ
Address bus,ਪਤਾ ਬੱਸ
