English,Kannada
Abnormal,ಅಸಹಜ
Abort,ಸ್ಥಗಿತಗೊಳಿಸು
Abrasion,ಸವೆದುಹೋಗುವಿಕೆ
Abrupt,ಹಠಾತ್ತಾಗಿ
Absolute field strength,ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ
Absolute temperature,ಸಂಪೂರ್ಣ ತಾಪಮಾನ
Absolute value,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
Absorb,ಹೀರಿಕೊಳ್ಳಿ
Absorption co-efficient,ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ
Absorption loss,ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ
Abstract,ಅಮೂರ್ತ
Accelerometer,ವೇಗವರ್ಧಕ ಮಾಪಕ
Acceptance test,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
Access,ಪ್ರವೇಶ
Access control,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
Access point,ಪ್ರವೇಶ
Access time,ಪ್ರವೇಶ ಸಮಯ
Accessibility,ಪ್ರವೇಶಿಸುವಿಕೆ
Accumulator cell,ಸಂಚಯಕ ಕೋಶ
Accuracy,ನಿಖರತೆ
Accurate,ನಿಖರವಾದ
Achromatic lens,ವರ್ಣರಂಜಿತ ಮಸೂರದ
Acid,ಆಮ್ಲ
Acid proof,ಆಮ್ಲ ಪುರಾವೆ
Acidity,ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ
Acknowledgement bit,ಸ್ವೀಕೃತ ಬಿಟ್
Acoustic,Acೇಳ್ಳರದ
Acoustic communication,ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ
Acoustic diffusion,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ
Acoustic equalizer,ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ
Acoustic feedback,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
Acoustic filter,ಕೊಳೆತ ಫಿಲ್ಟರ್
Acoustic impedance,ಸಕಲಿಯ ಪ್ರತಿರೋಧ
Acoustic masking,ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ
Acoustic power,ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ
Acoustic property,ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ
Acoustic reactance,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
Acoustic reflex,ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್
Acoustic tile,ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್
Acoustic wave,ಸ ೦ ವರ ತರಂಗ
Acoustical absorption,ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
Acoustical attenuation constant,ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ
Acoustical damping,ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್
Acoustical delay line,ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ
Acoustical distortion,ಅಕೌಸ್ಟಿಕ್ ಅಸ್ಪಷ್ಟತೆ
Acoustical duct,ಅಕೌಟಿಕಲ್ ನಾಳ
Acoustical energy,ಅಕೌಟಿಕಲ್ ಶಕ್ತಿ
Acoustical feedback,ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ
Acoustical filter,ಕೊಳೆತ ಫಿಲ್ಟರ್
Acoustical impedance,ಕೊಳೆತ ಪ್ರತಿರೋಧ
Acoustical propagation constant,ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ ಸ್ಥಿರ
Acoustical resistance,ಅಕೌಟಿಕಲ್ ಪ್ರತಿರೋಧ
Acoustically insulated,ಅಕೌಸ್ಟಿಕ್ ವಿಂಗಡಣೆಯ
Acoustics,ಸ್ರವಿಸುವ
Acquisition,ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
Acronym,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
Action area,ಕಾರ್ಯ ಪ್ರದೇಶ
Activated filament,ಸಕ್ರಿಯ ತಂತು
Active,ಸಕ್ರಿಯ
Active area,ಸಕ್ರಿಯ ಪ್ರದೇಶ
Active window,ಸಕ್ರಿಯ ಕಿಟಕಿ
Adaptability,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
Adapter (adaptor),ಅಡಾಪ್ಟರ್ (ಅಡಾಪ್ಟರ್)
Adaptive differential pulse code modulation,ಅಡಾಪ್ಟಿವ್ ಡಿಫರೆನ್ಷಿಯಲ್ ಪಲ್ಸ್ ಕೋಡ್ ಮಾಡ್ಯುಲೇಷನ್
Address book,ವಿಳಾಸ ಪುಸ್ತಕ
Address bus,ವಿಳಾಸ ಬಸ್
Address resolution,ವಿಳಾಸ ಪರಿಹಾರ
Adjacent channel interference,ಪಕ್ಕದ ಚಾನಲ್ ಹಸ್ತಕ್ಷೇಪ
Adjacent channel selectivity,ಪಕ್ಕದ ಚಾನಲ್ ಆಯ್ಕೆ
Adjacent frequency,ಪಕ್ಕದ ಆವರ್ತನ
Adjacent frequency channel,ಪಕ್ಕದ ಆವರ್ತನ ಚಾನಲ್
Adjacent picture carrier,ಪಕ್ಕದ ಚಿತ್ರ ವಾಹಕ
Adjacent sound carrier,ಪಕ್ಕದ ಧ್ವನಿ ವಾಹಕ
Adjacent station,ಪಕ್ಕದ ನಿಲ್ದಾಣ
Adjustable,ಹೊಂದಿಸಲಾಗುವ
Adjustable condenser,ಹೊಂದಾಣಿಕೆ ಕಂಡೆನ್ಸರ್
Adjusting pressure,ಒತ್ತಡವನ್ನು ಹೊಂದಿಸುವುದು
Adjusting wrench,ವ್ರೆಂಚ್ ಹೊಂದಿಸಲಾಗುತ್ತಿದೆ
Adjustment,ಹೊಂದಾಣಿಕೆ
Administrator,ನಿರ್ವಾಹಕ
Advanced technology,ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ
Aerial,ವೈಮಾನಿಕ
Aerial array,ವೈಮಾನಿಕ ರಚನೆ
Aerial booster,ವೈಮಾನಿಕ ಬೂಸ್ಟರ್
Aerial current,ವೈಮಾನಿಕ ಪ್ರವಾಹ
Aerial earthing switch,ವೈಮಾನಿಕ ಅರ್ಥಿಂಗ್ ಸ್ವಿಚ್
Aerial efficiency,ವೈಮಾನಿಕ ದಕ್ಷತೆ
Aerial impedance,ವೈಮಾನಿಕ ಪ್ರತಿರೋಧ
Aerial inductance,ವೈಮಾನಿಕ ಪ್ರಚೋದನೆ
Aerial insulator,ವೈಮಾನಿಕ ಅವಾಹಕ
Aerial loading coil,ವೈಮಾನಿಕ ಲೋಡಿಂಗ್ ಕಾಯಿಲ್
Aerial photography,ವೈಮಾನಿಕ ography ಾಯಾಗ್ರಹಣ
Aerial power,ವೈಮಾನಿಕ ಶಕ್ತಿ
Aerial radiation reistance,ವೈಮಾನಿಕ ವಿಕಿರಣ ಮರುಪರಿಶೀಲನೆ
