Malayalam,Odiya
ഉപേക്ഷിക്കുക,ପରିତ୍ୟାଗ
ടൈമർ നിർത്തുക,ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |
കേവല വിലാസം,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
കേവല വിലാസം,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
കേവല അസംബന്ധം,ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |
കേവല കോഡ്,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
കേവല കോഡിംഗ്,ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |
കേവല കമാൻഡ്,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
കേവല കോർഡിനേറ്റ്,ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |
കേവല ഡാറ്റ,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
കേവല പിശക്,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
കേവല പദപ്രയോഗം,ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |
കേവല പ്രബോധനം,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା
കേവല ലോഡർ,ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |
കേവല ക്രമം,ସଂପୂର୍ଣ୍ଣ କ୍ରମ
കേവല പ്രോഗ്രാമിംഗ്,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
കേവല പദം,ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ
യഥാർത്ഥ മൂല്യം,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
കേവല വെക്റ്റർ,ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |
വേര്പെട്ടുനില്ക്കുന്ന,ବିସ୍ତୃତ
അമൃതിയുള്ള,ବିସ୍ତୃତ
അമൂർത്ത ചിഹ്നം,ବିସ୍ତୃତ ପ୍ରତୀକ |
ത്വരിതപ്പെടുത്തൽ കാലയളവ്,ତ୍ୱରଣ ସମୟ
ത്വരണം സമയം,ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |
സരഭാരം,ଉଚ୍ଚାରଣ
സ്വീകാര്യത പരിശോധന,ଗ୍ରହଣ ପରୀକ୍ଷା
പ്രവേശനം,ପ୍ରବେଶ
കൈ,ଆକ୍ସେସ୍ ବାହୁ
ആക്സസ് ക്രമീകരണം,ପ୍ରବେଶ ବ୍ୟବସ୍ଥା
അതോറിറ്റി ആക്സസ് ചെയ്യുക,ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ
ആക്സസ് ചാർജ്,ପ୍ରବେଶ ଚାର୍ଜ
ആക്സസ് ക്ലാസ്,ଶ୍ରେଣୀ ଶ୍ରେଣୀ
ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക,ଡାଟା ବେସ୍ ମ୍ୟାନେଜମେଣ୍ଟକୁ ପ୍ରବେଶ କରନ୍ତୁ |
പ്രവേശന അന്തരീക്ഷം,ପ୍ରବେଶ ପରିବେଶ ସେବା
വിടവ് ആക്സസ് ചെയ്യുക,ଫାଗ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
ആക്സസ് സൂചിക,ପ୍ରବେଶ ସୂଚକାଙ୍କ
ആക്സസ് ലൈൻ,ଆକ୍ସେସ୍ ଲାଇନ୍ |
ആക്സസ് സംവിധാനം,ମେକାନିଜିମ୍ ଆକ୍ସେସ୍ ଆକ୍ସେସ୍ କରନ୍ତୁ |
ആക്സസ് രീതി,ପ୍ରବେଶ ପଦ୍ଧତି
ആക്സസ് രീതി പതിവ്,ଆକ୍ସେସ୍ ପଦ୍ଧତି ରୁଟିନ୍ |
ആക്സസ് മോഡ്,ପ୍ରବେଶ ମୋଡ୍
വലത് ആക്സസ്,ଅଧିକାର ପ୍ରବେଶ
ആക്സസ് സ്കാൻ,ପ୍ରବେଶ ସ୍କାନ
ആക്സസ് സമയം,ସମୟ ପ୍ରବେଶ କରନ୍ତୁ |
അക്കൌണ്ടിംഗ്,ହିସାବ
അക്ക ing ണ്ടിംഗ് ധനകാര്യ സംവിധാനം,ହିସାବ ଆର୍ଥିକ ବ୍ୟବସ୍ଥା
അക്ക ing ണ്ടിംഗ് മെഷീൻ,ହିସାବ ଯନ୍ତ୍ର
അക്കൗണ്ട് നമ്പർ,ଖାତା ସଂଖ୍ୟା
അടിഞ്ഞുകൂടുന്നത് പുനരുൽപാദനം,ପୁନର୍ବାର ଜମା କରିବା |
സഞ്ചിതം,ଆକ୍ୟୁମୁଲେଟର
സഞ്ചിത രജിസ്റ്റർ,ଆକ୍ୟୁମୁଲେଟର ରେଜିଷ୍ଟର |
സഞ്ചിത ഷിഫ്റ്റ് നിർദ്ദേശം,ଆକ୍ୟୁମୁଲେଟର ସିଫ୍ଟ ନିର୍ଦ୍ଦେଶ |
കൃതത,ସଠିକତା
കൃത്യത നിയന്ത്രണ പ്രതീകം,ସଠିକତା ନିୟନ୍ତ୍ରଣ ଚରିତ୍ର |
കൃത്യത നിയന്ത്രണ സംവിധാനം,ସଠିକତା ନିୟନ୍ତ୍ରଣ ବ୍ୟବସ୍ଥା |
എയ്സ് പൈലറ്റ്,Ace ପାଇଲଟ୍ |
