Punjabi,Hindi
ਏ ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,ए बी वर्ग प्रवर्धक
ਵਿਗਾੜ,"विपथन, अपेरण"
ਅਸਧਾਰਨ ਸੰਚਾਰ,असामान्य संचरण
"ਅਣ-ਅਟੈਚਡ, ਆਮ ਤੌਰ &#39;ਤੇ, ਟੋਏ, ਕੱਟੇ ਹੋਏ, ਖੰਡਿਤ","असंलग्न, सहसा, खड़आ, विच्छिन्न, खंडित"
ਗੁੰਮ ਸਪੈਕਟ੍ਰਮ,लुप्त स्पेक्ट्रम
"ਪੂਰਨ, ਸੰਪੂਰਨ, ਨਿਰੰਤਰ, ਸੰਪੂਰਨ","निरपेक्ष, परम, अचर, परिशुद्ध"
ਪੂਰਨ ਨਮੀ,निरपेक्ष आर्द्रता
ਪੂਰਨ ਗਤੀ,निरपेक्ष गति
ਪੂਰਨ ਨਿਰੀਖਣ,निरपेक्ष प्रेक्षण
ਪੂਰਨ ਤਾਪਮਾਨ,परम ताप
ਪੂਰਨ ਜ਼ੀਰੋ,परम शून्य
ਸੋਖਣਾ,अवशोषण करना
"ਸੋਖਣ ਵਾਲਾ, ਸੋਖਣ ਵਾਲਾ","अवशोषक, अवशोषी"
ਸਮਾਈ ਸਮਰੱਥਾ,अवशोषण सामर्थ्य
ਸਮਾਈ,अवशोषणांश
ਜਜ਼ਬ ਕਰਨ ਵਾਲਾ,अवशोषी
ਸਮਾਈ,अवशोषकता
ਗੁਣਾ ਅਨੁਪਾਤ,बाहुल्य अनुपात
ਤੇਜ਼ ਕਰੋ,त्वरित करना
ਜਲਦੀ,त्वरित
ਪ੍ਰਵੇਗ,त्वरण
ਗੰਭੀਰਤਾ ਦਾ ਪ੍ਰਵੇਗ,गुरुत्व त्वरण
ਐਕਸਲੇਟਰ,त्वरक
ਐਕਸਲੇਟਰ,"त्वरित्र, त्वरक"
ਐਕਸਲੇਰੋਮੀਟਰ,त्वरणमापी
prestresser,प्राक्प्रबलक
ਸਵੀਕਾਰਯੋਗ ਟੈਸਟ,स्वीकारी परीक्षण
ਸਵੀਕਾਰ ਕਰਨ ਵਾਲਾ,"ग्राही, स्वीकारी"
ਦਾਨੀ ਅਣੂ,आदाता अणु
"ਪਹੁੰਚ, ਉਡੀਕ, ਪਹੁੰਚਯੋਗਤਾ","अभिगम, प्रतीक्षा, अभिगम्यता"
ਪਹੁੰਚਯੋਗਤਾ,अभिगम्यता
"ਵਾਧੂ, ਸਹਾਇਕ, ਸਹਾਇਕ (v.), ਸਹਾਇਕ ਉਪਕਰਣ (ed.)","अतिरिक्त, सहायक, गौण (वि.), उपसाधन (सं.)"
ਪਹੁੰਚ ਦਾ ਸਮਾਂ,अभिगम काल
ਵਿਜ਼ਟਰ ਗਲਤੀ,आगन्तुक त्रुटि
ਵਿਵਸਥਾ,समंजन
ਇਕੱਠਾ ਕੀਤਾ,संचित
"ਇਕੱਠਾ ਕਰਨਾ, ਇਕੱਠਾ ਕਰਨਾ","संचय, संचयन"
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,संचायक
ਸ਼ੁੱਧਤਾ,यथार्थता
ਅਸਲੀਅਤ,यथार्थ
ਅਕ੍ਰੋਮੈਟਿਕ ਲੈਂਸ,अवर्णक लेन्स
ਅਕ੍ਰੋਮੈਟਿਕ,अवर्णक
ਰੰਗੀਨਤਾ,अवर्णकता
ਧੁਨੀ,ध्वानिक
ਸਾਊਂਡਪਰੂਫ਼,ध्वनिरुद्ध
ਧੁਨੀ ਫੋਨੋਨ,ध्वानिक फ़ओनॉन
ਆਵਾਜ਼ ਯੂਨਿਟ,ध्वनि-मात्रक
ਧੁਨੀ,ध्वानिक
ਆਵਾਜ਼ ਜਨਰੇਟਰ,ध्वनि जनित्र
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,क्रिया और प्रतिक्रिया
ਸਰਗਰਮੀ,सक्रियण
ਸਰਗਰਮੀ ਊਰਜਾ,सक्रियण उर्जा
"ਐਕਟੀਵੇਟਰ, ਐਕਟੀਵੇਟਰ","सक्रियकारक, सक्रियक"
ਕਿਰਿਆਸ਼ੀਲ,सक्रिय
ਸਰਗਰਮੀ,सक्रियता
ਅਸਲ ਤਣਾਅ,वास्तविक प्रतिबल
ਘੁਸਰ-ਮੁਸਰ,क्षिप्र उद्भासन
ਸੰਪੇਕਸ਼ਤ,"योग करना, जोड़ना"
"ਜੋੜ, ਜੋੜ, ਕੁੱਲ (ਐਡੀ.), ਜੋੜ (v.)","योग, जोड़, संकलन (सं.), योगात्मक (वि.)"
"ਸੰਯੋਜਕ ਟੋਨ, ਵਾਧੂ ਸੁਰ (ਸਵਰ)","संयोजी स्वर, अतिरिक्त टोन (स्वर)"
additive,"योज्य, योगात्मक"
adhesion,आसंजन
ਚਿਪਕਣ ਵਾਲੀ ਊਰਜਾ,आसंजी ऊर्जा
adiabat,ऐडियाबैट
adiabatic,रुद्धोष्म
ਗਰਮੀ ਇੰਸੂਲੇਟਿੰਗ,उष्मा-अपार्य
ਲਗਾਵ,संलग्न
