Malayalam,English
നിബാക്സിയൽ ഉപരിതലം,Abaxial surface
അടിവയറ്,Abdomen
വയറുവേദന അയോട്ടോ,Abdominal aorta
വയറിലെ ഗാംഗ്ലിയ,Abdominal ganglia
Abelmoschus എസ്സുലന്റസ്,Abelmoschus esculentus
വെറുക്കല്,Aberration
അബി),Abies
അബിങ്ഡൺ ആമ,Abingdon tortoise
അബിയോജെനിസിസ്,Abiogenesis
അബിയോട്ടിക്,Abiotic
അശുഭാപ്തി ഘടകം,Abiotic factor
അസാധാരണമായ മൂത്രം,Abnormal urine
അബോ രക്തം ഗ്രൂപ്പ്,ABO blood group
അബ്സിസിക് ആസിഡ്,Abscisic acid
നിര്വഹണം,Abscission
ഉള്ക്കൊള്ളുക,Absorb
ആഗിരണം കൊടുമുടി,Absorption peak
ആഗിരണം,Absorption
അക്കേഷ്യ കാറ്റെച്ചു,Acacia catechu
അക്കാര്യ അറബിക്ക,Acaria arabica
അകാപ്രിൻ,Acaprin
സ്വീകാര്യമായ ലൈംഗിക പെരുമാറ്റം,Acceptable sexual behaviour
ആക്സസറി ഗ്രന്ഥി,Accessory gland
ആക്സസറി ഗ്രന്ഥി,Accessory gland
ആക്സസറി അവയവം,Accessory organ
ACCLIMATIES,Acclimatization
അക്ലിമിലൈസ്,Acclimatize
താമസം (ഫോക്കസിംഗ്),Accommodation (focusing)
കണ്ണിന്റെ താമസം,Accommodation of eye
പ്രകടിപ്പിക്കുന്ന വളർച്ച,Accretionary growth
കൂന്വാരം,Accumulation
ജൈവവസ്തുക്കളുടെ ശേഖരണം,Accumulation of organic matter
മണ്ണിന്റെ ശേഖരണം,Accumulation of soil
അസെലുലാർ,Acellular
അസെല്ലുലാർ ജീവികൾ,Acellular organism
Aecetabulum,Acetabulum
അസെറ്റൽഡിഹൈഡ്,Acetaldehyde
അസെറ്റി കൊവെൻസിഎംഇ,Acetyl coenzyme
അച്ചാതിന,Achatina
നെച്ചെൻ തരം,Achene type
അച്ചീൻ,Achene
ആൾമെംഡിഡോസ്പോര്പോറിയ,Achlamydosporeae
അമ്ല മഴ,Acid rain
അസിഡിറ്റി,Acidic
അസിഡിറ്റിക് വാതകം,Acidic gas
അസിഡിറ്റി,Acidity
അക്കിനാർ സെൽ,Acinar cell
അക്കോമോമോമറ്റ്,Acoelomate
അക്കോണിറ്റം,Aconitum
ആക്രമണാത്മക പുഴു,Acorn worm
അക്കോസ്റ്റിക് സോണിംഗ്,Acoustic zoning
സ്വന്തമാക്കിയ പ്രതീകം,Acquired character
പ്രതിരോധശേഷി നേടി,Acquired immunity
ഏറ്റെടുത്ത ഇമ്മുനോൻറെ കുറവ് സിൻഡ്രോം (എയ്ഡ്സ്),Acquired immuno deficiency syndrome (AIDS)
അങ്കാരിയ,Acrania
അക്രിക്കൈൻ ഡൈ,Acridine dye
അക്രോസെന്റ്,Acrocentric
അക്രോമീൻ,Acromion
അക്രോരേറ്റൽ സീക്വൻസ്,Acropetal sequence
അക്രോപോളൽ ഓർഡർ,Acropetal order
അക്രോസിൻ,Acrosin
ആക്ടിൻ,Actin
ആക്റ്റിൻ പോലുള്ള പ്രോട്ടീൻ,Actin-like protein
ആക്ടിനോമോർഫിക്,Actinomorphic
ആക്റ്റിനോമൈസെറ്റുകൾ,Actinomycetes
പ്രവർത്തന സാധ്യത,Action potential
സജീവമാക്കിയ സ്ലഡ്ജ്,Activated sludge
സജീവമാക്കിയ സ്ലഡ്ജ് ഫ്ലോക്ക്,Activated sludge floc
സജീവമാക്കൽ .ർജ്ജം,Activation energy
സജീവമായ ആഗിരണം,Active absorption
സജീവ പ്രതിരോധശേഷി,Active immunity
സജീവ വികിരണം,Active radiation
സജീവ സൈറ്റ്,Active site
ആധ്രിക്കുക,Activin
അക്യുമിനേറ്റ്,Acuminate
ആദാംസിയ,Adamsia
പൊരുത്തപ്പെടലി,Adaptability
പൊരുത്തപ്പെടുത്തൽ,Adaptation
ലൈറ്റ് ഭരണകൂടത്തിന് അനുയോജ്യമായ പൊരുത്തപ്പെടുത്തൽ,Adaptation to light regime
ജല ദഹനത്തോടുള്ള പൊരുത്തപ്പെടുത്തൽ,Adaptation to water scarcity
അഡാപ്റ്റീവ് സവിശേഷതകൾ,Adaptive characteristics
അഡാപ്റ്റീവ് പ്രതിരോധശേഷി,Adaptive immunity
അഡാപ്റ്റീവ് വികിരണം,Adaptive radiation
അഡാപ്റ്റീവ് സ്വഭാവം,Adaptive trait
അഡാക്സിയൽ ഉപരിതലം,Adaxial surface
ആസക്തി നിഴൽ,Addictive disorder
ആദൈൈൻ,Adenine
Adenocortiopin,Adenocorticotropin
ആദിനോഹൈപഫിസിസ്,Adenohypophysis
Adenosin diphosphate,Adenosin diphosphate
Adenosine deaminase,Adenosine deaminase
അഡെനോസിൻ മോണോഫോസ്ഫേറ്റ്,Adenosine monophosphate
അഡെനോസിൻ ട്രിപ്പ്ഫോസ്ഫേറ്റ് (എടിപി),Adenosine triphosphate (ATP)
Adenileat സൈക്ലെസ്,Adenylate cyclase
പശ ശക്തി,Adhesive force
മുദവയ്ക്കുക,Adipate
Adipocyte (FALE സെൽ),Adipocyte (fat cell)
അഡിപോസ് ടിഷ്യു,Adipose tissue
ആരാധന,Adnate
സമീപ കമ്മ്യൂണിറ്റി,Adjoining community
അഡ്രീനല്,Adrenal
അഡ്രീനൽ ഗ്രന്ഥി,Adrenal gland
അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ (acth),Adrenocorticotropic hormone (ACTH)
അഡ്രിനെകോളിക്കോട്രോപിക് ഹോർമോൺ റിലീസ് ചെയ്യുന്നു (acth),Adrenocorticotropic releasing hormone (ACTRH)
ദുര്ധി പകര്,Adsorbent
ദുര്ഗയോധം,Adsorption
വിപുലമായ കീടങ്ങൾ,Advanced chordate
പ്രയോജനകരമായ മ്യൂട്ടേഷൻ,Advantageous mutation
സാഹസികമായ,Adventitial
സാഹസിക റൂട്ട്,Adventitious root
പ്രതികൂല ഫലം,Adverse effect
Aedes,Aedes
സംസ്കാരത്തിന്റെ വായുസഞ്ചാരം,Aeration of culture
അരേഞ്ചമ,Aerenchyma
ഏരിയൽ,Aerial
Aierial റൂട്ട്,Aerial root
ഏരിയൽ ഷൂട്ട്,Aerial shoot
എയ്റോബിക് ശ്വസനം,Aerobic respiration
എയ്റോബിക് ശ്വസനം,Aerobic respiration
സൗന്ദര്യശാസ്ത്രം,Aesthetics
പകർച്ചവ്വാധം,Aestivation
പകർച്ചവ്വാധം,Aestivation
അശ്രദ്ധ,Afferent
അഫിനിറ്റി ക്രോമാറ്റോഗ്രാഫി,Affinity chromatography
പീഡിപ്പിച്ച അവയവം,Afflicted organ
വനനം,Afforestation
അഗമോസ്പർമി,Agamospermy
അഗറും,Agar
അഗരോസ്,Agarose
അഗരോസ് ജെൽ എലെട്രോഫോറെസിസ്,Agarose gel eletrophoresis
അഗരോസ് പോളിമർ ജെൽ,Agarose polymer gel
അഗാധമായ,Agast
കൂരക്കം,Agave
പ്രായ വിതരണം,Age distribution
പ്രായ പിരമിഡ്,Age pyramid
നിര്മ്മിപ്പ,Agglutination
ആകെത്തുകയായുള്ള,Aggregate
ഫോളിക്കിളിന്റെ ആകെത്തുക,Aggregate of follicle
ഫോളിക്കിളിന്റെ ആകെത്തുക,Aggregate of follicle
അഗ്രഗേഷൻ,Aggregation
ആക്രമശാസ്ത്രം,Aggressiveness
അജിറ്ററ്റർ സിസ്റ്റം,Agitator system
അഗ്നിനാഥ,Agnatha
അഗൗട്ടി,Agouti
അഗ്രഗൽ ക്ലോറോപ്ലാസ്റ്റ്,Agranal chloroplast
അഗ്രനനുകാരി,Agranular
അഗ്രമായനുലോസിടെ,Agranulocyte
കൃഷിപ്പണി,Agriculture
അഗ്രോഫോറസ്ട്രി,Agroforestry
അഗ്രോബക്രിയം മധ്യസ്ഥത,Agrobacterium mediated
അഗ്രോബക്രിയം ടുബ്ഫാസിയൻസ്,Agrobacterium tumefaciens
കാർഷിക,Agrochemical
കാർഷിക,Agrochemical
അഗ്രോക്ലിമീയ മേഖല,Agroclimatic zone
അഗ്രോണമിക് സ്വഭാവം,Agronomic trait
അഗ്രോണമി,Agronomy
എയ്ഡ്സ്,AIDS
എയർ ബ്ളാഡര്,Air bladder
എയർകണ്ടീഷണർ,Air conditioner
എയർ പാസേജ്,Air passage
വായു മലിനീകരണം,Air pollution
വ്ലാക്,Air sac
വായു ശൂന്യത,Air vacuole
