Bengali,English
A B শ্রেণীর পরিবর্ধক,A B amplifier
বিকৃতি,aberration
অস্বাভাবিক সংক্রমণ,abnormal propagation
"অসংলগ্ন, সাধারণত, পিট করা, অঙ্গচ্ছেদ করা, ভাঙা",abrupt
অনুপস্থিত বর্ণালী,absent spectrum
"পরম, পরম, ধ্রুবক, নিখুঁত",absolute
পরম আর্দ্রতা,absolute humidity
পরম গতি,absolute motion
পরম পর্যবেক্ষণ,absolute observation
পরম তাপমাত্রা,absolute temperature
পরম শূন্য,absolute zero
শোষণ করা,absorb
"শোষক, শোষক",absorber
শোষণ ক্ষমতা,absorbing power
শোষণ,absorptance
শোষক,absorptive
শোষণ,absorptivity
বহুগুণ অনুপাত,abundance ratio
ত্বরান্বিত করা,accelerate
তাড়াতাড়ি,accelerated
ত্বরণ,acceleration
অভিকর্ষের ত্বরণ,acceleration of gravity
এক্সিলারেটর,accelerative
এক্সিলারেটর,accelerator
অ্যাক্সিলোমিটার,accelerometer
prestresser,accentuator
গ্রহণযোগ্য পরীক্ষা,acceptance test
গ্রহণকারী,acceptor
দাতা অণু,acceptor molecule
"অ্যাক্সেস, অপেক্ষা, অ্যাক্সেসযোগ্যতা",access
অ্যাক্সেসযোগ্যতা,accessibility
"অতিরিক্ত, আনুষঙ্গিক, আনুষঙ্গিক (v.), আনুষাঙ্গিক (সম্পাদনা)",accessory
প্রবেশাধিকার সময়,access time
ভিজিটর ত্রুটি,accidental error
সমন্বয়,accommodation
পুঞ্জীভূত,accumulated
"accumulation, accumulation",accumulation
সঞ্চয়কারী,accumulator
সঠিকতা,accuracy
বাস্তবতা,accurate
অ্যাক্রোমেটিক লেন্স,achromat
অ্যাক্রোমেটিক,achromatic
বর্ণহীনতা,achromatism
শাব্দিক,acoustical
শব্দরোধী,acoustically insulated
শাব্দিক ফোনন,acoustical phonon
শব্দ ইউনিট,acoustical unit
শাব্দিক,acoustic
শব্দ জেনারেটর,acoustic generator
কর্ম এবং প্রতিক্রিয়া,action and reaction
সক্রিয়করণ,activation
অ্যাক্টিভেশন শক্তি,"activation, energy"
"সক্রিয়কারী, সক্রিয়কারী",activator
সক্রিয়,active
সক্রিয়তা,activity
প্রকৃত চাপ,actual stress
ফিসফিস,acute exposure
যোগফল,add
"যোগফল, যোগ, সমষ্টি (সম্পাদনা), যোজক (v.)",addition
"সংযোজক স্বর, অতিরিক্ত স্বর (স্বর)",additional tone
সংযোজনকারী,additive
আনুগত্য,adhesion
আঠালো শক্তি,adhesional energy
adiabat,adiabat
adiabatic,adiabatic
তাপ নিরোধক,adiathermanous
সংযুক্তি,adjacent
সামঞ্জস্যযোগ্য,adjustable
অনুপ্রবেশ,admittance
শোষণ,adsorption
এগিয়ে,advanced
প্রগতিশীল,advancing
"আকাশী, ভাইভা (v.), বায়বীয় (ed.)",aerial
অ্যান্টেনা প্রবাহ,aerial current
বায়বীয় জরিপ,aerial survey
বায়ু বেগ,aerial velocity
এরোডাইনামিক সহগ,aerodynamic coefficient
এরোডাইনামিক,aerodynamic
বায়ুগতিবিদ্যা,aerodynamics
বৈমানিক,aeronautical
বৈমানিক,aeronautics
বায়ু নাড়ি,aeropulse
"বায়ুমণ্ডল, গ্যাসোস্ফিয়ার",aerosphere
ফোকাস সিস্টেম,afocal system
পিছনে ইগনিশন,after burning
পিছনের আলো,after glow
আঘাত,aftershock
"বয়স, বয়স, বয়স, যুগ (সম্পাদনা), সময়কে প্রভাবিত করতে (ভার।), সময়, সময়ের দ্বারা প্রভাবিত হওয়া",age
সময় প্রভাবিত,aged
"বার্ধক্য, বার্ধক্য",ageing (aging)
সময়ের প্রভাব,aging (=ageing)
সময় প্রভাব পরীক্ষা,aging test
মাধ্যাকর্ষণহীন,agravic
পুনর্মিলন,aim
"বায়ুবাহিত রাডার, বায়বীয় রাডার",airborne radar
"বায়বীয় লক্ষ্য, বায়বীয় লক্ষ্য",airborne target
বায়ু শ্বাসযন্ত্র,air breather
এয়ার কন্ডিশনিং,air conditioning
এয়ারক্রু ট্রান্সফরমার,aircore transformer
বিমান,aircraft
প্রান্তিককরণ,alignment
প্রান্তিককরণ ত্রুটি,alignment error
লাইভ সার্কিট,alive circuit
সম্পূর্ণ কাচের টিউব,all glass tube
পুরো ধাতব টিউব,all metal tube
ঠিক করতে,allocate
"মিসরাতু (সম্পাদনা), মিশ্রাতভান (ক্রি.)",alloy
mishratvan,alloying
সর্বব্যাপী মাধ্যম,all-pervading medium
ওমনি অ্যান্টেনা,all-wave antenna
