Kannada,Gujarati
ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ,અજૈવિક પ્રજનન
ಅಧಿಸಾಮಾನ್ಯ,પેરાનોર્મલ
1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್,1. ચોથું પેટ 2. Evomasome
ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ,સ્ટોમેટલ વૃદ્ધિ અંગ
ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ,રૂંધાયેલ વૃદ્ધિ બીજ
1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ,1. ગર્ભપાત 2. કસુવાવડ 3. વૃદ્ધિ પ્રતિકાર
1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು,1. અનિચ્છનીય નીંદણ 2. સંપૂર્ણ નીંદણ
ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್,શોષિત કેશન
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,શોષણ
ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ,એબિસિનિયન મસ્ટર્ડ
1. ಅಕಾರಿಸೈಡ್,1. એકેરિસાઇડ
ಕೇಂದ್ರಾಭಿಮುಖ,કેન્દ્રબિંદુ
ವರ್ಧನೆ (ಕೋಶ),એમ્પ્લીફિકેશન (કોષ)
ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ,મંજૂર સહનશીલતા
1.ಹೆಚ್ಚುವರಿ 2.ಪರಿಕರ 3.ಪರಿಕರ,1. વધારાની 2. સહાયક 3. સહાયક
ರೂಪಾಂತರ,અનુકૂલન
ಶೇಖರಣೆ,સંચય
1.ವಾಕ್ಯುರಸಿ 2. ನಿಖರತೆ,1. શુષ્કતા 2. ચોકસાઇ
1. ಅಸೆರ್ವುಲಸ್ 2. ಸ್ಪೊರೊಫೈಟ್,1. એસેર્વ્યુલસ 2. સ્પોરોફાઇટ
