Assamese,Malayalam
ৱেষ্টমিনিষ্টাৰৰ এবে,വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി
এবডিটৰী,ഒഴിഞ്ഞുമാറുക
দাসত্ব বিলুপ্ত কৰা,അടിമത്തം നിർത്തലാക്കൽ
আদিবাসী,ആദിവാസികൾ
আব্ৰাহাম যুগ,അബ്രഹാം യുഗം
অনুপস্থিত ঘৰৰ মালিক,ഹാജരാകാത്ത ഭൂവുടമകൾ
একাডেমী,അക്കാദമി
আক্ৰা সন্মিলন,അക്ര സമ്മേളനം
এক্ৰুৱেল,സമാഹരണങ്ങൾ
সংস্কৃতিকৰণ,സംസ്കരണം
এচেলডামা,അസെൽഡാമ
আখিয়ান (=আচিয়ান),അച്ചായൻ (=അച്ചിയൻ)
আচায়ান লীগ (=আচিয়ান লীগ),അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്)
এক্ৰ&#39;পলিছ,അക്രോപോളിസ്
এক্টা ডিউৰ্না,ആക്റ്റ ദിയുർന
এক্টা চেনেটাছ,ആക്റ്റ സെനറ്റസ്
এক্টে এডিচনেল,ആക്റ്റ് അഡീഷണൽ
সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড),സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്)
প্ৰাপ্তিৰ কাৰ্য্য,നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം
ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন,നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം
বন্দোবস্তৰ আইন,സെറ്റിൽമെന്റ് നിയമം
এড কন্ট্ৰেক্টাছ ছীল,പരസ്യ കരാർ മുദ്ര
এডুলামাইটছ,അഡുല്ലമൈറ്റുകൾ
বিৰোধী,എതിരാളി
বিৰোধী,എതിരാളി
ইয়ন,അയോൺ
এৰেৰিয়াম,എയറേറിയം
আকাশী যুদ্ধ,ആകാശ യുദ്ധം
এটলিয়ান লীগ,എറ്റോലിയൻ ലീഗ്
বয়স,വയസ്സ്
বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা),വാർദ്ധക്യം (=വാർദ്ധക്യം)
বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া,പ്രായമാകൽ പ്രക്രിയ
আগেলাই,അഗെലൈ
অশ্বাৰোহীৰ যুগ,ധീരതയുടെ പ്രായം
এজ অৱ ইংলাইটমেণ্ট,എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം
