English,Assamese
Abelian group,এবেলিয়ান গোট
abelian semigroup,abelian অৰ্ধগোট
abscissa,abscissa
absolute,নিৰপেক্ষ
absolute convergence,নিৰপেক্ষ অভিসৰণ
absolute error,নিৰপেক্ষ ভুল
absolute maximum,নিৰপেক্ষ সৰ্বোচ্চ
absolute minimum,নিৰপেক্ষ নূন্যতম
absolute value,নিৰপেক্ষ মূল্য
absolute velocity,নিৰপেক্ষ বেগ
abstract algebra,বিমূৰ্ত বীজগণিত
abstract group theory,বিমূৰ্ত গোট তত্ত্ব
acceleration,বেগ বৃদ্ধি
acceleration due to gravity,মাধ্যাকৰ্ষণৰ ফলত হোৱা ত্বৰণ
acceptable choice set,গ্ৰহণযোগ্য পছন্দৰ ছেট
acceptable quality level,গ্ৰহণযোগ্য গুণগত মানৰ স্তৰ
acceptable range,গ্ৰহণযোগ্য পৰিসৰ
acceptable reliability level,গ্ৰহণযোগ্য নিৰ্ভৰযোগ্যতা স্তৰ
acceptable sampling,গ্ৰহণযোগ্য নমুনা সংগ্ৰহ কৰা
accumulated error,সঞ্চিত ভুল
accuracy,শুদ্ধতা
acting force,ক্ৰিয়াশীল শক্তি
action,কাৰ্য কৰা
action and reaction,ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া
acturial science,কৃষি বিজ্ঞান
acute angled triangle,তীব্ৰ কোণীয়া ত্ৰিভুজ
acyclic,অচক্ৰীয়
add,যোগ কৰা
adder,adder
addition,যোগ
addition formula,যোগ সূত্ৰ
addition of complex numbers,জটিল সংখ্যাৰ সংযোজন
addition of functions,ফলনসমূহৰ সংযোজন
addition of matrices,মেট্ৰিক্সৰ সংযোজন
addition of polynomials,বহুপদ যোগ কৰা
addition of probabilities,সম্ভাৱনাৰ সংযোজন
addition of vectors,ভেক্টৰৰ সংযোজন
addition theorem,যোগ উপপাদ্য
additive group,যোগকৰণ গোট
additive inverse,যোগকৰণৰ বিপৰীত
additive property,যোগসূত্ৰৰ বৈশিষ্ট্য
additivity,যোগকৰণ
adjacency matrix,সংলগ্নতা মেট্ৰিক্স
adjacent,পাৰ্শ্বৱৰ্তী
adjacent angles,কাষৰীয়া কোণ
adjacent vertex,কাষৰীয়া শিখৰ
adjoin,adjoin
adjoining,সংলগ্ন
adjoint determinant,সংযুক্ত নিৰ্ণায়ক
adjoint differential equation,সংযুক্ত অৱভেদ্য সমীকৰণ
adjoint equation,সংযুক্ত সমীকৰণ
adjoint matrix,সংলগ্ন মেট্ৰিক্স
adjoint of matrix,মেট্ৰিক্সৰ সংযুক্ত
adjugate matrix,এডজুগেট মেট্ৰিক্স
admissible decision function,গ্ৰহণযোগ্য সিদ্ধান্ত কাৰ্য্য
admissible hypothesis,গ্ৰহণযোগ্য অনুমান
aerodynamic force,বায়ুগতিবিদ্যা বল
aerodynamics,বায়ুগতিবিদ্যা
affine geometry,affine জ্যামিতি
affine mapping,affine মেপিং
affine transformation,affine ৰূপান্তৰ
aggregating variables,চলকসমূহ একত্ৰিত কৰা
algebra,বীজগণিত
algebraically closed,বীজগণিতীয়ভাৱে বন্ধ কৰা হৈছে
algebraic equation,বীজগণিতীয় সমীকৰণ
algebraic expression,বীজগণিতীয় প্ৰকাশ
algebraic form,বীজগণিতীয় ৰূপ
algebraic function,বীজগণিতীয় ফলন
algebraic geometry,বীজগণিতীয় জ্যামিতি
algebraic multiplicity,বীজগণিতীয় বহুগুণতা
algebraic system,বীজগণিতীয় ব্যৱস্থা
all-integer problem,সকলো-পূৰ্ণসংখ্যা সমস্যা
allocation problem,আবণ্টনৰ সমস্যা
alphabetical notation,বৰ্ণানুক্ৰমিক সংকেত
alphabetic character,বৰ্ণানুক্ৰমিক আখৰ
alternate angle,বিকল্প কোণ
alternating form,বিকল্প ৰূপ
alternating group,বিকল্প গোট
alternating matrix,বিকল্প মেট্ৰিক্স
alternating series,বিকল্প শৃংখলা
alternative hypothesis,বিকল্প অনুমান
alternative optima,বিকল্প optima
alternative outcome,বিকল্প ফলাফল
analog-to-digital converter,এনালগ-টু-ডিজিটেল ৰূপান্তৰক
analogue computer,এনালগ কম্পিউটাৰ
analysis,বিশ্লেষণ
analysis of covariance,সহাৱস্থানৰ বিশ্লেষণ
analysis of enumeration data,গণনা তথ্যৰ বিশ্লেষণ
analysis of variance,ভ্যাৰিয়েন্সৰ বিশ্লেষণ
analytic geometry,বিশ্লেষণাত্মক জ্যামিতি
analytic function,বিশ্লেষণাত্মক কাৰ্য্য
angle,কোণ
angle of contact,সংস্পৰ্শৰ কোণ
angle of deflection,বিচ্যুতিৰ কোণ
angle of depression,বিষণ্ণতাৰ কোণ
angle of deviation,বিচ্যুতিৰ কোণ
angle of diffraction,বিবৰ্তনৰ কোণ
angle of elevation,উচ্চতাৰ কোণ
angle of incidence,প্ৰাদুৰ্ভাৱৰ কোণ
angle of projection,প্ৰক্ষেপণৰ কোণ
angle of reflection,প্ৰতিফলনৰ কোণ
angle of refraction,বিবৰ্তনৰ কোণ
angle of rotation,ঘূৰ্ণনৰ কোণ
angle of total reflection,মুঠ প্ৰতিফলনৰ কোণ
angular acceleration,কৌণিক ত্বৰণ
angular motion,কৌণিক গতি
angular speed,কৌণিক গতি
angular velocity,কৌণিক বেগ
annulus,annulus
answer,উত্তৰ
anti – derivative,এন্টি – ডেৰাইভেটিভ
antisymmetric function,এন্টিচিমেট্ৰিক ফাংচন
applicable,প্ৰযোজ্য
application,দৰ্খাস্ত
applied dynamic programming,ডাইনামিক প্ৰগ্ৰেমিং প্ৰয়োগ কৰা হৈছে
applied geometry,প্ৰয়োগ কৰা জ্যামিতি
applied mathematics,প্ৰয়োগ কৰা গণিত
applied statistics,প্ৰয়োগ কৰা পৰিসংখ্যা
approximately,অনুমানিক
approximately continuous function,প্ৰায় অবিৰত ফলন
approximate method,আনুমানিক পদ্ধতি
approximate solution,আনুমানিক সমাধান
approximation problem,আনুমানিক সমস্যা
approximation property,আনুমানিক বৈশিষ্ট্য
aptitude test battery,aptitude পৰীক্ষাৰ বেটাৰী
Argand diagram,আৰ্গাণ্ড ডায়েগ্ৰাম
arbitrarily chosen,ইচ্ছাকৃতভাৱে বাছি লোৱা
arbitrary,স্বেচ্ছাচাৰী
arbitrary constant,ইচ্ছাকৃত ধ্ৰুৱক
arbitrary element,ইচ্ছাকৃত উপাদান
arbitrary point,ইচ্ছাকৃত বিন্দু
Archemedean law,আৰ্কিমিডিয়ান আইন
Archimedes principle,আৰ্কিমিডিছ নীতি
arc length,চাপৰ দৈৰ্ঘ্য
arc of circle,বৃত্তৰ চাপ
arc sine distribution,চাপ চাইন বিতৰণ
arc sine transformation,চাপ চাইন ৰূপান্তৰ
area,এলাকা
areal texture,এৰিয়াল টেক্সচাৰ
argument of complex number,জটিল সংখ্যাৰ যুক্তি
arithmetic mean,গাণিতিক গড়
arithmetic operation,গাণিতিক কাৰ্য্য
arithmetic unit,গাণিতিক একক
arrangement,ব্যৱস্থা
array,এৰে
artificial satellite,কৃত্ৰিম উপগ্ৰহ
artificial variable,কৃত্ৰিম চলক
ascend,আৰোহণ কৰা
ascending,আৰোহী
ascending order of magnitude,মাত্ৰাৰ আৰোহী ক্ৰম
ascending series,আৰোহী শৃংখলা
assembler language,এছেম্বলাৰ ভাষা
assignment problem,নিযুক্তিৰ সমস্যা
associative law,সহযোগী আইন
associative law of operators,অপাৰেটৰৰ এছ&#39;চিয়েটিভ ল&#39;
associative operation,এছ&#39;চিয়েটিভ অপাৰেচন
associativity,সহযোগিতা
assumed mean,ধৰি লোৱা গড়
assumed probability distribution,ধাৰণা কৰা সম্ভাৱনা বিতৰণ
assumption,ধাৰণা
astrology,জ্যোতিষ
astronautical engineer,মহাকাশ অভিযন্তা
astronomer,জ্যোতিৰ্বিজ্ঞানী
astronomical clock,জ্যোতিৰ্বিজ্ঞানৰ ঘড়ী
astronomy,জ্যোতিৰ্বিজ্ঞান
asymmetrical curve,অসমতাপূৰ্ণ বক্ৰ
asymmetry,বিষমতা
asymptote,asymptote
asymptotic,এছিম্পটটিক
asymptotically efficient estimator,asymptotically দক্ষ অনুমানক
asymptotically unbiased estimator,asymptotically নিৰপেক্ষ অনুমানক
asymptotic behavior,asymptotic আচৰণ
asymptotic distribution function,এছিম্পটটিক বিতৰণ ফলন
asymptotic expansion,এছিম্পটটিক প্ৰসাৰণ
atmospheric pressure,বায়ুমণ্ডলীয় চাপ
at random,যাদৃচ্ছিকভাৱে
attribute,বৈশিষ্ট্য
attributes sampling procedure,বৈশিষ্ট্যসমূহৰ নমুনা সংগ্ৰহ পদ্ধতি
augmented matrix,বৰ্ধিত মেট্ৰিক্স
autocorrelation coefficient,স্ব-সম্বন্ধ সহগ
autocorrelation function,স্বয়ংসম্বন্ধ কাৰ্য্য
autocovariance,অটোকোভেৰিয়েন্স
automatic computer,স্বয়ংক্ৰিয় কম্পিউটাৰ
autoregression,অটোৰিগ্ৰেছন
auxiliary equation,সহায়ক সমীকৰণ
average sample number curve (A.S.N. Curve),গড় নমুনা সংখ্যা বক্ৰ (ASN বক্ৰ)
axiom,axiom
axiomatic approach,স্বতন্ত্ৰীয় পদ্ধতি
axiom of probability,সম্ভাৱনাৰ স্বতন্ত্ৰতা
axis,অক্ষ
axis of abscissa,abscissa ৰ অক্ষ
axis of earth,পৃথিৱীৰ অক্ষ
axis of revolution,বিপ্লৱৰ অক্ষ
axis of rotation,ঘূৰ্ণনৰ অক্ষ
axis of spin,স্পিনৰ অক্ষ
back-substitution,বেক-বিকল্প
backward difference,পিছপৰা পাৰ্থক্য
backward-interpolation formula,বেকৱাৰ্ড-ইন্টাৰপলেচন সূত্ৰ
balance,ভাৰসাম্যতা বজাই ৰখা
balanced design,সুষম ডিজাইন
balance sheet,বেলেন্স শ্বীট
ballistic missile,বেলিষ্টিক মিছাইল
ballistics,বেলিষ্টিকছ
bar,বাৰ
base,ভেঁটি
base angle,ভিত্তি কোণ
base of logarithm,লগাৰিদমৰ ভিত্তি
basic,প্ৰাথমিক
basic feasible solution,মূল সম্ভৱপৰ সমাধান
basic solution,মূল সমাধান
basic variable,মূল চলক
basis,ভিত্তিত
basis element,ভিত্তি উপাদান
basis matrix,ভিত্তি মেট্ৰিক্স
basis of a vector space,এটা ভেক্টৰ স্থানৰ ভিত্তি
basis of subspace,উপস্থানৰ ভিত্তি
Bayesian estimate,বেইছিয়ান অনুমান
Bayes' law,বেইছৰ নিয়ম
Bayes' theorem,বেইছৰ উপপাদ্য
Bernoulli distribution,বাৰ্নৌলি বিতৰণ
Bernoulli number,বাৰ্নৌলি নম্বৰ
Bernoulli probability function,বাৰ্নৌলি সম্ভাৱনা ফলন
Bernoulli's equation,বাৰ্নৌলিৰ সমীকৰণ
Berry function,বেৰী ফাংচন
best fit,বেষ্ট ফিট
best - fit line,শ্ৰেষ্ঠ - ফিট লাইন
best solution,উত্তম সমাধান
best strategies,শ্ৰেষ্ঠ কৌশলসমূহ
beta distribution,বিটা বিতৰণ
bias,পক্ষপাত
biased estimate,পক্ষপাতমূলক অনুমান
biharmonic equation,বিহাৰমনিক সমীকৰণ
bijection,bijection
bijective map,bijective মানচিত্ৰ
bijective mapping,bijective মেপিং
bilinear form,দ্বিৰৈখিক ৰূপ
bilinear function,দ্বিৰৈখিক ফলন
bilinear Hermitian form,দ্বিৰৈখিক হাৰ্মিটিয়ান ৰূপ
binary,বাইনাৰী
binary code,বাইনাৰী ক&#39;ড
binary coded decimal,বাইনাৰী ক&#39;ড কৰা দশমিক
binary coding,বাইনাৰী ক&#39;ডিং
binary computer,বাইনাৰী কম্পিউটাৰ
binary digit,বাইনাৰী অংক
binary operation,বাইনাৰী অপাৰেচন
binary system,বাইনাৰী ব্যৱস্থা
binary variable,বাইনাৰী চলক
binomial coefficient,দ্বিপদ সহগ
binomial distribution,দ্বিপদ বিতৰণ
binomial equation,দ্বিপদ সমীকৰণ
binomial expansion,দ্বিপদ সম্প্ৰসাৰণ
binomial expression,দ্বিপদ অভিব্যক্তি
