English,Marathi
Abelian group,अबेलियन गट
abelian semigroup,अबेलियन अर्धसमूह
abscissa,abscissa
absolute,निरपेक्ष
absolute convergence,परिपूर्ण अभिसरण
absolute error,पूर्ण त्रुटी
absolute maximum,परिपूर्ण कमाल
absolute minimum,परिपूर्ण किमान
absolute value,परिपूर्ण मूल्य
absolute velocity,परिपूर्ण वेग
abstract algebra,अमूर्त बीजगणित
abstract group theory,अमूर्त गट सिद्धांत
acceleration,प्रवेग
acceleration due to gravity,गुरुत्वाकर्षणामुळे प्रवेग
acceptable choice set,स्वीकार्य निवड संच
acceptable quality level,स्वीकार्य गुणवत्ता पातळी
acceptable range,स्वीकार्य श्रेणी
acceptable reliability level,स्वीकार्य विश्वसनीयता पातळी
acceptable sampling,स्वीकार्य नमुना
accumulated error,संचित त्रुटी
accuracy,अचूकता
acting force,अभिनय शक्ती
action,क्रिया
action and reaction,क्रिया आणि प्रतिक्रिया
acturial science,वास्तविक विज्ञान
acute angled triangle,तीव्र कोन त्रिकोण
acyclic,अॅसायक्लिक
add,जोडा
adder,जोडणारा
addition,या व्यतिरिक्त
addition formula,जोड सूत्र
addition of complex numbers,जटिल संख्यांची बेरीज
addition of functions,कार्ये जोडणे
addition of matrices,मॅट्रिक्स जोडणे
addition of polynomials,बहुपदी जोडणे
addition of probabilities,संभाव्यता जोडणे
addition of vectors,वेक्टर जोडणे
addition theorem,अतिरिक्त प्रमेय
additive group,मिश्रित गट
additive inverse,additive inverse
additive property,अतिरिक्त गुणधर्म
additivity,जोड
adjacency matrix,संलग्नता मॅट्रिक्स
adjacent,समीप
adjacent angles,समीप कोन
adjacent vertex,समीप शिरोबिंदू
adjoin,संलग्न
adjoining,शेजारील
adjoint determinant,संलग्न निर्धारक
adjoint differential equation,संलग्न विभेदक समीकरण
adjoint equation,संलग्न समीकरण
adjoint matrix,संलग्न मॅट्रिक्स
adjoint of matrix,मॅट्रिक्सचा संलग्न
adjugate matrix,मॅट्रिक्स समायोजित करा
admissible decision function,स्वीकार्य निर्णय कार्य
admissible hypothesis,स्वीकार्य गृहीतक
aerodynamic force,वायुगतिकीय शक्ती
aerodynamics,वायुगतिकी
affine geometry,affine भूमिती
affine mapping,affine मॅपिंग
affine transformation,affine परिवर्तन
aggregating variables,एकत्रित व्हेरिएबल्स
algebra,बीजगणित
algebraically closed,बीजगणितानुसार बंद
algebraic equation,बीजगणितीय समीकरण
algebraic expression,बीजगणितीय अभिव्यक्ती
algebraic form,बीजगणितीय फॉर्म
algebraic function,बीजगणितीय कार्य
algebraic geometry,बीजगणितीय भूमिती
algebraic multiplicity,बीजगणितीय गुणाकार
algebraic system,बीजगणित प्रणाली
all-integer problem,सर्व-पूर्णांक समस्या
allocation problem,वाटप समस्या
alphabetical notation,वर्णक्रमानुसार नोटेशन
alphabetic character,वर्णमाला वर्ण
alternate angle,पर्यायी कोन
alternating form,पर्यायी फॉर्म
alternating group,पर्यायी गट
alternating matrix,पर्यायी मॅट्रिक्स
alternating series,पर्यायी मालिका
alternative hypothesis,पर्यायी गृहीतक
alternative optima,पर्यायी ऑप्टिमा
alternative outcome,पर्यायी परिणाम
analog-to-digital converter,अॅनालॉग-टू-डिजिटल कनवर्टर
analogue computer,अॅनालॉग संगणक
analysis,विश्लेषण
analysis of covariance,सहप्रसरणाचे विश्लेषण
analysis of enumeration data,गणना डेटाचे विश्लेषण
analysis of variance,भिन्नतेचे विश्लेषण
analytic geometry,विश्लेषणात्मक भूमिती
analytic function,विश्लेषणात्मक कार्य
angle,कोन
angle of contact,संपर्क कोन
angle of deflection,विक्षेपण कोन
angle of depression,उदासीनता कोन
angle of deviation,विचलन कोन
angle of diffraction,विवर्तन कोन
angle of elevation,उंचीचा कोन
angle of incidence,घटनेचा कोन
angle of projection,प्रक्षेपण कोन
angle of reflection,परावर्तन कोन
angle of refraction,अपवर्तन कोन
angle of rotation,रोटेशनचा कोन
angle of total reflection,एकूण परावर्तनाचा कोन
angular acceleration,कोनीय प्रवेग
angular motion,कोणीय गती
angular speed,कोनीय गती
angular velocity,कोनीय गती
annulus,वलय
answer,उत्तर
anti – derivative,विरोधी व्युत्पन्न
antisymmetric function,विषमताविरोधी कार्य
applicable,लागू
application,अर्ज
applied dynamic programming,लागू डायनॅमिक प्रोग्रामिंग
applied geometry,लागू भूमिती
applied mathematics,लागू गणित
applied statistics,लागू आकडेवारी
approximately,अंदाजे
approximately continuous function,अंदाजे सतत कार्य
approximate method,अंदाजे पद्धत
approximate solution,अंदाजे उपाय
approximation problem,अंदाजे समस्या
approximation property,अंदाजे मालमत्ता
aptitude test battery,योग्यता चाचणी बॅटरी
Argand diagram,आर्गंड आकृती
arbitrarily chosen,अनियंत्रितपणे निवडले
arbitrary,अनियंत्रित
arbitrary constant,अनियंत्रित स्थिरांक
arbitrary element,अनियंत्रित घटक
arbitrary point,अनियंत्रित बिंदू
Archemedean law,आर्किमेडियन कायदा
Archimedes principle,आर्किमिडीज तत्त्व
arc length,चाप लांबी
arc of circle,वर्तुळाचा चाप
arc sine distribution,आर्क साइन वितरण
