Telugu,Punjabi
అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్,ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ
పదవీ విరమణ,ਨਿਮਰਤਾ
బానిసత్వ నిర్మూలన,ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ
ఆదివాసి,ਆਦਿਵਾਸੀ
అబ్రహం యుగం,ਅਬਰਾਹਮ ਯੁੱਗ
గైర్హాజరు భూస్వాములు,ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ
అకాడమీ,ਅਕੈਡਮੀ
అక్ర సమావేశం,ਅਕਰਾ ਕਾਨਫਰੰਸ
సంపాదన,ਪ੍ਰਾਪਤੀ
సంస్కారము,ਐਕਲਚਰੇਸ਼ਨ
అసెల్డామా,ਐਸੇਲਡਾਮਾ
అచెయన్ (=అచియన్),ਅਚੀਅਨ (=ਅਚੀਅਨ)
అచీయన్ లీగ్ (=అచియన్ లీగ్),ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ)
అక్రోపోలిస్,ਐਕ੍ਰੋਪੋਲਿਸ
ఆక్టా డియుర్నా,ਐਕਟਾ ਦਿਉਰਨਾ
ఆక్టా సెనాటస్,ਐਕਟਾ ਸੇਨੇਟਸ
యాక్టే అడిషనల్,ਐਕਟ ਐਡੀਸ਼ਨਲ
యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు),ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ)
సాధించేవారి చర్య,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ
నష్టపరిహారం మరియు ఉపేక్ష చట్టం,ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ
సెటిల్మెంట్ చట్టం,ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ
ప్రకటన ఒప్పంద ముద్ర,ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ
అడుల్లామైట్స్,ਅਦੁਲਾਮਾਈਟਸ
విరోధి,ਵਿਰੋਧੀ
విరోధి,ਵਿਰੋਧੀ
అయాన్,ਏਯੋਨ
ఏరోరియం,ਏਰੈਰੀਅਮ
వైమానిక యుద్ధం,ਹਵਾਈ ਜੰਗ
ఏటోలియన్ లీగ్,ਏਟੋਲੀਅਨ ਲੀਗ
వయస్సు,ਉਮਰ
వృద్ధాప్యం (=వృద్ధాప్యం),ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ)
వృద్ధాప్య ప్రక్రియ,ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ
అగెలై,ਅਗੇਲੈ
శౌర్య యుగం,ਬਹਾਦਰੀ ਦੀ ਉਮਰ
జ్ఞానోదయం వయస్సు,ਗਿਆਨ ਦੀ ਉਮਰ
పెరికిల్స్ వయస్సు,ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ
కారణం వయస్సు,ਕਾਰਨ ਦੀ ਉਮਰ
వ్యవసాయం,ਖੇਤੀਵਾਦ
వ్యవసాయ ఉద్యమం,ਖੇਤੀ ਅੰਦੋਲਨ
అల్బియాన్,ਐਲਬੀਅਨ
ఆల్బమ్,ਐਲਬਮ
ఆల్డర్మాన్,ਐਲਡਰਮੈਨ
అల్లుడు చేతులు,ਲੁਭਾਉਣੇ ਹਥਿਆਰ
సఖ్యత,ਦੋਸਤੀ
యాంఫిక్యోనిక్ కౌన్సిల్,Amphictyonic ਕੌਂਸਲ
యాంఫిక్యోనిక్ లీగ్,ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ
యాంఫీ థియేటర్,ਅਖਾੜਾ
అమ్రి నల్ గ్రూప్ (కుండల),ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ)
అనాక్రోనిజం,ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ
అనాక్రోనిస్టిక్,ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ
పూర్వీకుడు,ਪੂਰਵਜ
పూర్వీకుల ఆరాధన,ਪੂਰਵਜ ਦੀ ਪੂਜਾ
పూర్వీకులు,ਵੰਸ਼
పూర్వీకులు,ਵੰਸ਼
పూర్వీకులు,ਵੰਸ਼
పూర్వీకులు,ਵੰਸ਼
ప్రాచీన పాలన,ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ
ప్రాచీన,ਪ੍ਰਾਚੀਨ
పురాతన బల్లాడ్,ਪ੍ਰਾਚੀਨ ਗੀਤ
పురాతన నమ్మకం,ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ
ప్రాచీన ఆచారం,ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ
పురాతన చరిత్ర,ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ
పురాతన స్మారక చిహ్నాలు,ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ
ఉదంతము,ਕਿੱਸਾ
ఏంజెలోట్,ਐਂਜਲੋਟ
ఏంజెలస్,ਐਂਜਲਸ
