English,Kannada
abacus,ಅಬ್ಯಾಕಸ್
abnormal termination,ಅಸಹಜ ಮುಕ್ತಾಯ
abort,ಸ್ಥಗಿತಗೊಳಿಸು
absolute,ಸಂಪೂರ್ಣ
absolute address,ಸಂಪೂರ್ಣ ವಿಳಾಸ
absolute addressing,ಸಂಪೂರ್ಣ ವಿಳಾಸ
absolute assembler,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
absolute code,ಸಂಪೂರ್ಣ ಕೋಡ್
absolute command,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
absolute data,ಸಂಪೂರ್ಣ ಡೇಟಾ
absolute instruction,ಸಂಪೂರ್ಣ ಸೂಚನೆ
absolute mode,ಸಂಪೂರ್ಣ ಮೋಡ್
absolute path,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
absolute programming,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
abstract class,ಅಮೂರ್ತ ವರ್ಗ
abstract data type,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
abstract machine,ಅಮೂರ್ತ ಯಂತ್ರ
abstract symbol,ಅಮೂರ್ತ ಚಿಹ್ನೆ
abstract syntax,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
acceptance testing,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
access authentication,ಪ್ರವೇಶ ದೃಢೀಕರಣ
access code,ಪ್ರವೇಶ ಕೋಡ್
access control,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
access scan,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
accessory,ಪರಿಕರ
account,ಖಾತೆ
account ID,ಖಾತೆ ID
accumulator,ಸಂಚಯಕ
accuracy,ನಿಖರತೆ
acess,ಪ್ರವೇಶ
acess control byte,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್
acess index,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
acess key,ಪ್ರವೇಶ ಕೀ
acess matrix,ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್
acess mode,ಪ್ರವೇಶ ಮೋಡ್
acess privilege,ಪ್ರವೇಶ ಸವಲತ್ತು
acess security,ಪ್ರವೇಶ ಭದ್ರತೆ
acess server,ಪ್ರವೇಶ ಸರ್ವರ್
acess time,ಪ್ರವೇಶ ಸಮಯ
acknowledgement,ಸ್ವೀಕೃತಿ
acoustics,ಅಕೌಸ್ಟಿಕ್ಸ್
acronym,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
action message,ಕ್ರಿಯೆಯ ಸಂದೇಶ
activation,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
active server page (ASP),ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP)
active version,ಸಕ್ರಿಯ ಆವೃತ್ತಿ
acyclic,ಅಸೈಕ್ಲಿಕ್
acyclic graph,ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್
Ada language,ಅದಾ ಭಾಷೆ
adapter,ಅಡಾಪ್ಟರ್
add,ಸೇರಿಸಿ
add file,ಕಡತವನ್ನು ಸೇರಿಸು
add operation,ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ
adder,ಸೇರಿಸುವವನು
address,ವಿಳಾಸ
address bus,ವಿಳಾಸ ಬಸ್
address file,ವಿಳಾಸ ಫೈಲ್
address format,ವಿಳಾಸ ಸ್ವರೂಪ
address generator,ವಿಳಾಸ ಜನರೇಟರ್
address line,ವಿಳಾಸ ಸಾಲು
address mapping,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
address pointer,ವಿಳಾಸ ಪಾಯಿಂಟರ್
address register,ವಿಳಾಸ ನೋಂದಣಿ
address resolution,ವಿಳಾಸ ನಿರ್ಣಯ
address translation,ವಿಳಾಸ ಅನುವಾದ
addressed memory,ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ
addressing,ಉದ್ದೇಶಿಸಿ
adequacy criteria,ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು
adjoint,ಪಕ್ಕದ
administration,ಆಡಳಿತ
administrator,ನಿರ್ವಾಹಕ
adobe acrobat,ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್
adobe photoshop,ಅಡೋಬ್ ಫೋಟೋಶಾಪ್
Advance Business Application Programming (ABAP),ಅಡ್ವಾನ್ಸ್ ಬಿಸಿನೆಸ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ (ABAP)
advanced data,ಸುಧಾರಿತ ಡೇಟಾ
advanced information system,ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ
advanced technology (AT),ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT)
agent,ಏಜೆಂಟ್
aggregation,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
airborne computer system,ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ
aldus page maker,ಅಲ್ಡಸ್ ಪೇಜ್ ಮೇಕರ್
alert box,ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ
algol,ಆಲ್ಗೋಲ್
algorithm,ಅಲ್ಗಾರಿದಮ್
algorithm analysis,ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ
algorithm efficiency,ಅಲ್ಗಾರಿದಮ್ ದಕ್ಷತೆ
alias,ಅಲಿಯಾಸ್
alignment,ಜೋಡಣೆ
allocation,ಹಂಚಿಕೆ
alphabetic,ವರ್ಣಮಾಲೆಯ
alphanumeric,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್
alphanumeric key board,ಆಲ್ಫಾನ್ಯೂಮರಿಕ್ ಕೀ ಬೋರ್ಡ್
alpha-test,ಆಲ್ಫಾ-ಪರೀಕ್ಷೆ
alpha-version,ಆಲ್ಫಾ-ಆವೃತ್ತಿ
alt key,ಆಲ್ಟ್ ಕೀ
altavista,ಅಲ್ಟಾವಿಸ್ತಾ
ambiguity,ಅಸ್ಪಷ್ಟತೆ
ambiguous grammar,ಅಸ್ಪಷ್ಟ ವ್ಯಾಕರಣ
American National Standards Institute (ANSI),ಅಮೇರಿಕನ್ ನ್ಯಾಷನಲ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ಸ್ ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ (ANSI)
American Standard Code For Information Interchange (ASCII),ಮಾಹಿತಿ ವಿನಿಮಯಕ್ಕಾಗಿ ಅಮೇರಿಕನ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್ ಕೋಡ್ (ASCII)
analog,ಅನಲಾಗ್
analog computer,ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್
analog device,ಅನಲಾಗ್ ಸಾಧನ
analog modem,ಅನಲಾಗ್ ಮೋಡೆಮ್
Analog To Digital Converter (ADC),ಅನಲಾಗ್ ಟು ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ (ADC)
AND,ಮತ್ತು
AND circuit,ಮತ್ತು ಸರ್ಕ್ಯೂಟ್
AND gate,ಮತ್ತು ಗೇಟ್
AND not operation (Exclusion),ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯಲ್ಲ (ಹೊರಗಿಡುವಿಕೆ)
animation,ಅನಿಮೇಷನ್
annotation,ಟಿಪ್ಪಣಿ
anomaly,ಅಸಂಗತತೆ
antecedent,ಪೂರ್ವಭಾವಿ
anticipatory paging,ನಿರೀಕ್ಷಿತ ಪೇಜಿಂಗ್
anti-symmetric,ವಿರೋಧಿ ಸಮ್ಮಿತೀಯ
