Gujarati,Marathi
અજૈવિક પ્રજનન,अजैविक पुनरुत्पादन
પેરાનોર્મલ,अलौकिक
1. ચોથું પેટ 2. Evomasome,1. चौथे पोट 2. इवोमासोम
સ્ટોમેટલ વૃદ્ધિ અંગ,रंध्र वाढीचा अवयव
રૂંધાયેલ વૃદ્ધિ બીજ,वाढ खुंटलेले बीज
1. ગર્ભપાત 2. કસુવાવડ 3. વૃદ્ધિ પ્રતિકાર,1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार
1. અનિચ્છનીય નીંદણ 2. સંપૂર્ણ નીંદણ,1. अवांछित तण 2. पूर्ण तण
શોષિત કેશન,शोषलेले केशन
શોષણ,शोषण
એબિસિનિયન મસ્ટર્ડ,Abyssinian मोहरी
1. એકેરિસાઇડ,1. ऍकेरिसाइड
કેન્દ્રબિંદુ,केंद्राभिमुख
એમ્પ્લીફિકેશન (કોષ),प्रवर्धन (सेल)
મંજૂર સહનશીલતા,मंजूर सहिष्णुता
1. વધારાની 2. સહાયક 3. સહાયક,1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी
અનુકૂલન,रुपांतर
સંચય,जमा
1. શુષ્કતા 2. ચોકસાઇ,1. अचूकता 2. अचूकता
1. એસેર્વ્યુલસ 2. સ્પોરોફાઇટ,1. एसरव्हुलस 2. स्पोरोफाइट
1. એસિટાઈઝેશન 2. વિનેગર બનાવવું 3. એસિટિલેન,1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन
1. એસિડીકરણ 2. એસિડીકરણ,1. आम्लीकरण 2. आम्लीकरण
1. એસિડિમીટર 2. એસિડિમીટર,1. ऍसिडोमीटर 2. ऍसिडीमीटर
એસિડિટી,आंबटपणा
એસિડોફાઇલ,ऍसिडोफाइल
એસિડિફાઇડ રોક ફોસ્ફેટ,ऍसिडिफाइड रॉक फॉस्फेट
એસિડિફાઇડ,आम्लीकृत
જલભર,जलचर
સંપાદન,संपादन
એકર,एकर
1. વિસ્તાર 2. વિસ્તાર,1. क्षेत्रफळ 2. क्षेत्रफळ
અંતિમ બિંદુ રંગસૂત્ર,अंतिम बिंदू गुणसूत्र
આગળ દેખાતું,पुढे दिसणारा
એક્રોસમ,acrosome
એક્ટિનોમીસેટ્સ,actinomycetes
સક્રિય કોર,सक्रिय कोर
1. ગુસ્સે 2. તીવ્ર,1. उग्र 2. तीव्र
અનુકૂલનક્ષમતા,अनुकूलता
કસ્ટમાઇઝેશન,सानुकूलन
1. સંલગ્નતા 2. સંલગ્નતા,1. आसंजन 2. आसंजन
સેબેસીયસ,सेबेशियस
ગોઠવણ સમીકરણ,समायोजन समीकरण
એડોબ માટી,adobe माती
ભેળસેળ કરનાર,भेसळ करणारा
એક્ટોપિક,एक्टोपिक
ઇસિડિયોસ્પોર ઇસિડિયમ બીજકણ,Isidiospore Isidium बीजाणू
એરોડાયનેમિક પ્રક્રિયા,वायुगतिकीय प्रक्रिया
વેન્ટ્રલ,वेंट्रल
વાયુયુક્ત કરવું,वायुवीजन करणे
1. હવા 2. આકાશી,1. हवा 2. आकाशी
1. એરોમીટર 2. એરોમીટર 3. એરોમીટર,1. एरोमीटर 2. एरोमीटर 3. एरोमीटर
એરોસોલ,एरोसोल
1. પુષ્પવૃત્તિ 2. ઉનાળાની નિષ્ક્રિયતા,1. फुलणे 2. उन्हाळी सुप्तता
રોગનું વિજ્ઞાન,रोग विज्ञान
વનીકરણ,वनीकरण
1. આંદોલન 2. અશાંતિ,1. आंदोलन 2. अशांतता
એગમાર્ક,Agmark
1. જમીન સંબંધિત 2. કૃષિ,1. जमिनीशी संबंधित 2. कृषी
કૃષિ ક્લિનિક,कृषी चिकित्सालय
1. ખેત મજૂરી 2. ખેત મજૂરી,1. शेतमजूर 2. शेतमजूर
કૃષિ માર્કેટિંગ,कृषी विपणन
કૃષિ ટેકનોલોજી,कृषी तंत्रज्ञान
1. કૃષિ 2. ખેતી 3. કૃષિ વિજ્ઞાન,1. शेती 2. शेती 3. कृषी विज्ञान
કૃષિ વનસંવર્ધન,कृषी वनीकरण
કૃષિ જૈવવિવિધતા,कृषी जैवविविधता
કૃષિ કાર્બનિક ખામીઓ,कृषी सेंद्रिय दोष
કૃષિ જીવવિજ્ઞાન,कृषी जीवशास्त्र
કૃષિ-આબોહવાની વિવિધતા,कृषी-हवामान विविधता
એગ્રોક્લાઇમેટિક ઝોનની રચના,कृषी हवामान क्षेत्र निर्मिती
કૃષિ વનીકરણ,कृषी वनीकरण
કૃષિ વિજ્ઞાન,कृषीशास्त्र
કૃષિવિજ્ઞાન,कृषीविषयक
કૃષિ પશુપાલન,कृषी खेडूत
પાક પ્રક્રિયા,पीक प्रक्रिया
ઘાસ વિજ્ઞાન,गवत विज्ञान
પાકનો પ્રકાર,पीक प्रकार
એપિફાઇટ,epiphyte
aikiochi માટી,aikiochi माती
રંગ અંધત્વ,रंगाधळेपण
આલ્ફીસોલ,अल्फिसोल
શેવાળ,एकपेशीय वनस्पती
શેવાળ રોગ,एकपेशीय वनस्पती रोग
આલ્કલી પાણી,अल्कली पाणी
આલ્કલાઇન,अल्कधर्मी
વૈકલ્પિક,पर्यायी
એલેલો રસાયણશાસ્ત્ર,allelo रसायनशास्त्र
એલીલ,एलील
એલોપથી,ऍलेलोपॅथी
વેથી પાક,वेठी पीक
પૂર્ણતા,पूर्णता
ગર્ભાધાન,गर्भाधान
1. સાપેક્ષતા 2. એલોમેટ્રી,1. सापेक्षता 2. अॅलोमेट्री
મલ્ટીપ્લોઇડી,मल्टिप्लॉइडी
1. પેરાઝીગોસિટી,1. पॅराझिगोसिटी
1. વૈકલ્પિક વર્ષ કાર્ય 2. વૈકલ્પિક કાર્ય,1. पर्यायी वर्ष कार्य 2. पर्यायी कार्य
વૈકલ્પિક જમીનનો ઉપયોગ,पर्यायी जमिनीचा वापर
