Kannada,Assamese
ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್,এ চি সমতুল্য বৰ্তনী
ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್,এনালগ টু সংখ্যাগত ৰূপান্তৰক
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,নিৰপেক্ষ শূন্য
ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ,শোষণ সহগ
ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ,শোষণ বৰ্ণালী
ಗ್ರಾಹಕ ಪರಮಾಣು,ৰিচেপ্টৰ পৰমাণু
ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ,বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন
ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು,ইলেক্ট্ৰন সংগ্ৰহ কৰা
ರಂಧ್ರ ಸಂಗ್ರಹಣೆ,ফুটা সংৰক্ষণ
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,সক্ৰিয়কৰণ শক্তি
ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್,সক্ৰিয় পৰিবৰ্ধক
ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್,সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী
ಸಕ್ರಿಯ ಫಿಲ್ಟರ್,সক্ৰিয় ফিল্টাৰ
ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್,সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ
ಸಕ್ರಿಯ ಲೋಡ್,সক্ৰিয় লোড
ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್,সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ
ಸಕ್ರಿಯ ಪ್ರದೇಶ,সক্ৰিয় অঞ্চল
ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್,অভিযোজিত ইলেক্ট্ৰনিক্স
ಸೇರಿಸುವವನು,adder
ಹೊಂದಾಣಿಕೆ ಬ್ಯಾಂಡ್ ವಿಸ್ತರಣೆ,এডজাষ্টেবল বেণ্ড এক্সটেনচন
ನುಗ್ಗುವಿಕೆ,ভেদ
ಏರಿಯಲ್,এৰিয়েল
ಪೆಪ್ ಆವರ್ತನ,pep কম্পাঙ্ক
ಹವಾ ನಿಯಂತ್ರಣ ಯಂತ್ರ,এয়াৰ কণ্ডিচনাৰ
ಜೋಡಣೆ,প্ৰান্তিককৰণ
ಅಲ್ಗಾರಿದಮ್,এলগৰিদম
ಎಲ್ಲಾ ಪಾಸ್ ಫಿಲ್ಟರ್,সকলো পাছ ফিল্টাৰ
ಮಿಶ್ರಲೋಹ ಜಂಕ್ಷನ್,মিশ্ৰণ সংযোগ
ಕ್ಷೀಣತೆ,ক্ষীণকৰণ
ಪರ್ಯಾಯ ಪ್ರವಾಹ,বিকল্প বিদ্যুৎ প্ৰবাহ
ಹೊರಗಿನ ತಾಪಮಾನ,পৰিৱেশৰ উষ্ণতা
ಬೈಪೋಲಾರ್,বাইপোলাৰ
ವರ್ಧನೆ,এম্প্লিফিকেশন
ಆಂಪ್ಲಿಫಯರ್,এম্প্লিফায়াৰ
ಆಂಪ್ಲಿಫಯರ್ ದಕ್ಷತೆ,এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা
ಆಯಾಮಗಳು,মাত্ৰাসমূহ
ವೈಶಾಲ್ಯ ಕ್ಷೀಣತೆ,প্ৰসাৰণ ক্ষীণকৰণ
ಆಂಪ್ಲಿಟ್ಯೂಡ್ ಮಾಡ್ಯುಲೇಟೆಡ್ AM ಆಂದೋಲಕ,প্ৰসাৰণ মডুলেটেড AM দোলক
ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಶನ್,প্ৰসাৰণ মডুলেচন
ವೈಶಾಲ್ಯ ಮಾಡ್ಯುಲೇಟರ್,প্ৰসাৰণ মডুলেটৰ
ಆಂಗ್ಸ್ಟ್ರಾಮ್ ಘಟಕ,angstrom একক
ಅನಲಾಗ್ ಸರ್ಕ್ಯೂಟ್,এনালগ বৰ্তনী
ಅನಲಾಗ್ ಕಂಪ್ಯೂಟರ್,এনালগ কম্পিউটাৰ
ಅನಲಾಗ್ ಫಿಲ್ಟರ್,এনালগ ফিল্টাৰ
ಅನಲಾಗ್ ಮಲ್ಟಿಮೀಟರ್,এনালগ মাল্টিমিটাৰ
ಅನಲಾಗ್ ಸ್ವಿಚ್,এনালগ চুইচ
ಮತ್ತು ಗೇಟ್,AND গেট
ಕೋನೀಯ ಆವರ್ತನ,কৌণিক কম্পাঙ্ক
"ಅಯಾನ್, ಅಯಾನ್","এনিয়ন, এনিয়ন"
ಅನೆಲಿಂಗ್ ತಾಪಮಾನ,এনিয়েলিং উষ্ণতা
ಆನೋಡ್,এনোড
ಆನೋಡ್ ಆಂಪ್ಲಿಫಯರ್,এনোড এম্প্লিফায়াৰ
ಅನೋಡೈನ್,এনোডাইন
ಆಂಟೆನಾ,এন্টেনা
ಆಂಟೆನಾ ಘಟಕ,এন্টেনা উপাদান
ವಿರೋಧಿ ಪ್ರತಿಫಲಿತ ಲೇಪನ,এন্টি-ৰিফ্লেক্টিভ আৱৰণ
