Tamil,Bengali
அபெலியன் குழு,আবেলিয়ান গ্রুপ
அபிலியன் அரைகுழு,আবেলিয়ান সেমিগ্রুপ
abscissa,abscissa
அறுதி,পরম
முழுமையான ஒருங்கிணைப்பு,পরম মিলন
முழுமையான பிழை,পরম ত্রুটি
முழுமையான அதிகபட்சம்,পরম সর্বোচ্চ
முழுமையான குறைந்தபட்சம்,পরম সর্বনিম্ন
துல்லியமான மதிப்பு,পরম মান
முழுமையான வேகம்,পরম বেগ
சுருக்க இயற்கணிதம்,বিমূর্ত বীজগণিত
சுருக்க குழு கோட்பாடு,বিমূর্ত গ্রুপ তত্ত্ব
முடுக்கம்,ত্বরণ
புவியீர்ப்பு காரணமாக முடுக்கம்,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு,গ্রহণযোগ্য পছন্দ সেট
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,গ্রহণযোগ্য মানের স্তর
ஏற்றுக்கொள்ளக்கூடிய வரம்பு,গ্রহণযোগ্য পরিসীমা
ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை,গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর
ஏற்றுக்கொள்ளக்கூடிய மாதிரி,গ্রহণযোগ্য নমুনা
திரட்டப்பட்ட பிழை,সঞ্চিত ত্রুটি
துல்லியம்,সঠিকতা
செயல்படும் சக்தி,অভিনয় শক্তি
நடவடிக்கை,কর্ম
செயல் மற்றும் எதிர்வினை,কর্ম এবং প্রতিক্রিয়া
உண்மையான அறிவியல்,বাস্তব বিজ্ঞান
கடுமையான கோண முக்கோணம்,তীব্র কোণযুক্ত ত্রিভুজ
அசைக்ளிக்,অ্যাসাইক্লিক
கூட்டு,যোগ করুন
சேர்ப்பான்,যোগকারী
கூடுதலாக,সংযোজন
கூட்டல் சூத்திரம்,সংযোজন সূত্র
சிக்கலான எண்களைச் சேர்த்தல்,জটিল সংখ্যার সংযোজন
செயல்பாடுகளைச் சேர்த்தல்,ফাংশন সংযোজন
மெட்ரிக்குகள் சேர்த்தல்,ম্যাট্রিক্সের সংযোজন
பல்லுறுப்புக்கோவைகள் சேர்த்தல்,বহুপদ সংযোজন
நிகழ்தகவுகளைச் சேர்த்தல்,সম্ভাবনার সংযোজন
திசையன்கள் சேர்த்தல்,ভেক্টর সংযোজন
கூட்டல் தேற்றம்,সংযোজন উপপাদ্য
சேர்க்கை குழு,সংযোজনকারী গ্রুপ
தலைகீழ் சேர்க்கை,সংযোজন বিপরীত
சேர்க்கை சொத்து,সংযোজক সম্পত্তি
சேர்க்கை,সংযোজন
அருகாமை அணி,অন্তিক ম্যাট্রিক্স
அருகில்,সংলগ্ন
அருகில் உள்ள கோணங்கள்,সন্নিহিত কোণ
அருகில் உள்ள உச்சி,সংলগ্ন শীর্ষবিন্দু
இணை,সংলগ্ন
அருகில்,সংলগ্ন
இணைந்த தீர்மானிப்பான்,সংলগ্ন নির্ধারক
இணை வேறுபாடு சமன்பாடு,সন্নিহিত ডিফারেনশিয়াল সমীকরণ
இணைந்த சமன்பாடு,সংলগ্ন সমীকরণ
இணை அணி,সংলগ্ন ম্যাট্রিক্স
மேட்ரிக்ஸின் இணைப்பு,ম্যাট্রিক্সের সংলগ্ন
adjugate matrix,সামঞ্জস্যপূর্ণ ম্যাট্রিক্স
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,গ্রহণযোগ্য সিদ্ধান্ত ফাংশন
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,গ্রহণযোগ্য অনুমান
காற்றியக்க விசை,এরোডাইনামিক বল
காற்றியக்கவியல்,বায়ুগতিবিদ্যা
இணைப்பு வடிவியல்,affine জ্যামিতি
இணைப்பு மேப்பிங்,affine ম্যাপিং
இணைப்பு மாற்றம்,affine রূপান্তর
ஒருங்கிணைக்கும் மாறிகள்,একত্রিত ভেরিয়েবল
இயற்கணிதம்,বীজগণিত
இயற்கணிதப்படி மூடப்பட்டது,বীজগণিতভাবে বন্ধ
இயற்கணித சமன்பாடு,বীজগণিত সমীকরণ
இயற்கணித வெளிப்பாடு,বীজগাণিতিক এক্সপ্রেশন
இயற்கணித வடிவம்,বীজগাণিতিক ফর্ম
இயற்கணித செயல்பாடு,বীজগণিতীয় ফাংশন
இயற்கணித வடிவியல்,বীজগণিত জ্যামিতি
இயற்கணிதப் பெருக்கம்,বীজগণিতের বহুত্ব
இயற்கணித அமைப்பு,বীজগণিত ব্যবস্থা
அனைத்து முழு எண் பிரச்சனை,সমস্ত পূর্ণসংখ্যা সমস্যা
ஒதுக்கீடு பிரச்சனை,বরাদ্দ সমস্যা
அகரவரிசைக் குறியீடு,বর্ণানুক্রমিক স্বরলিপি
அகரவரிசை எழுத்து,বর্ণানুক্রমিক অক্ষর
மாற்று கோணம்,বিকল্প কোণ
மாற்று வடிவம்,বিকল্প ফর্ম
மாற்று குழு,বিকল্প গোষ্ঠী
மாற்று அணி,বিকল্প ম্যাট্রিক্স
மாற்று தொடர்,বিকল্প সিরিজ
மாற்று கருதுகோள்,বিকল্প অনুমান
மாற்று ஆப்டிமா,বিকল্প অপটিমা
மாற்று விளைவு,বিকল্প ফলাফল
அனலாக்-டு-டிஜிட்டல் மாற்றி,এনালগ থেকে ডিজিটাল রূপান্তরকারী
அனலாக் கணினி,অ্যানালগ কম্পিউটার
பகுப்பாய்வு,বিশ্লেষণ
இணையான பகுப்பாய்வு,সহভক্তির বিশ্লেষণ
கணக்கியல் தரவு பகுப்பாய்வு,গণনা তথ্য বিশ্লেষণ
மாறுபாட்டின் பகுப்பாய்வு,বৈচিত্র্যের বিশ্লেষণ
பகுப்பாய்வு வடிவியல்,বিশ্লেষণাত্মক জ্যামিতি
பகுப்பாய்வு செயல்பாடு,বিশ্লেষণমূলক ফাংশন
கோணம்,কোণ
தொடர்பு கோணம்,যোগাযোগের কোণ
விலகல் கோணம்,বিচ্যুতি কোণ
மனச்சோர்வின் கோணம்,বিষণ্নতা কোণ
விலகல் கோணம்,বিচ্যুতি কোণ
விலகல் கோணம்,বিবর্তন কোণ
உயரத்தின் கோணம்,উচ্চতা কোণ
நிகழ்வு கோணம்,ঘটনার কোণ
திட்ட கோணம்,অভিক্ষেপ কোণ
பிரதிபலிப்பு கோணம்,প্রতিফলন কোণ
ஒளிவிலகல் கோணம்,প্রতিসরণ কোণ
சுழற்சி கோணம்,ঘূর্ণন কোণ
மொத்த பிரதிபலிப்பு கோணம்,মোট প্রতিফলনের কোণ
கோண முடுக்கம்,কৌণিক ত্বরণ
கோண இயக்கம்,কৌণিক গতি
கோண வேகம்,কৌণিক গতি
கோண வேகம்,কৌণিক বেগ
வளையம்,অ্যানুলাস
பதில்,উত্তর
எதிர்ப்பு வழித்தோன்றல்,বিরোধী – ডেরিভেটিভ
சமச்சீரற்ற செயல்பாடு,অপ্রতিসম ফাংশন
பொருந்தும்,প্রযোজ্য
விண்ணப்பம்,আবেদন
பயன்பாட்டு டைனமிக் நிரலாக்கம்,প্রয়োগকৃত গতিশীল প্রোগ্রামিং
பயன்படுத்தப்படும் வடிவியல்,প্রয়োগ করা জ্যামিতি
பயன்பாட்டு கணிதம்,ফলিত গণিত
பயன்பாட்டு புள்ளிவிவரங்கள்,ফলিত পরিসংখ্যান
தோராயமாக,আন্দাজ
தோராயமாக தொடர்ச்சியான செயல்பாடு,প্রায় একটানা ফাংশন
தோராயமான முறை,আনুমানিক পদ্ধতি
தோராயமான தீர்வு,আনুমানিক সমাধান
