Bengali,Tamil
অ্যাবায়োটিক প্রজনন,உயிரற்ற இனப்பெருக்கம்
প্যারানরমাল,அமானுஷ்ய
1. চতুর্থ পেট 2. Evomasome,1. நான்காவது வயிறு 2. எவோமாசோம்
স্টোমাটাল বৃদ্ধি অঙ্গ,வயிற்று வளர்ச்சி உறுப்பு
স্তব্ধ বৃদ্ধি বীজ,வளர்ச்சி குன்றிய விதை
1. গর্ভপাত 2. গর্ভপাত 3. বৃদ্ধি প্রতিরোধ,1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு
1. অবাঞ্ছিত আগাছা 2. সম্পূর্ণ আগাছা,1. தேவையற்ற களைகள் 2. முழுமையான களைகள்
শোষিত ক্যাটান,உறிஞ்சப்பட்ட கேஷன்
শোষণ,உறிஞ்சுதல்
আবিসিনিয়ান সরিষা,அபிசீனிய கடுகு
1. অ্যাক্যারিসাইড,1. காரக்கொல்லி
কেন্দ্রমুখী,மையவிலக்கு
পরিবর্ধন (কোষ),பெருக்கம் (செல்)
অনুমোদিত সহনশীলতা,அனுமதிக்கப்பட்ட சகிப்புத்தன்மை
1.অতিরিক্ত 2.আনুষঙ্গিক 3.আনুষঙ্গিক,1.கூடுதல் 2.துணை 3.துணை
অভিযোজন,தழுவல்
সঞ্চয়,திரட்சி
1. শূন্যতা 2. নির্ভুলতা,1.vacuracy 2. துல்லியம்
1. অ্যাসারভাউলাস 2. স্পোরোফাইট,1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்
1. অ্যাসিটাইজেশন 2. ভিনেগার তৈরি করা 3. অ্যাসিটিলেন,1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்
1. অ্যাসিডিফিকেশন 2. অ্যাসিডিফিকেশন,1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்
1. অ্যাসিডোমিটার 2. অ্যাসিডিমিটার,1. அமிலமானி 2. அமிலமானி
অম্লতা,அமிலத்தன்மை
অ্যাসিডোফাইল,அமிலத்தன்மை
অম্লীয় রক ফসফেট,அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்
অ্যাসিডযুক্ত,அமிலமாக்கப்பட்ட
aquifer,நீர்நிலை
অধিগ্রহণ,கையகப்படுத்தல்
একর,ஏக்கர்
1. এলাকা 2. এলাকা,1. பகுதி 2. பகுதி
শেষ বিন্দু ক্রোমোজোম,இறுதி புள்ளி குரோமோசோம்
দূরদর্শী,முன்னோக்கு
acrosome,குரோசோம்
actinomycetes,ஆக்டினோமைசீட்ஸ்
সক্রিয় কোর,செயலில் உள்ள மைய
1. উগ্র 2. তীব্র,1. சீற்றம் 2. தீவிரம்
অভিযোজনযোগ্যতা,தழுவல்
কাস্টমাইজেশন,தனிப்பயனாக்கம்
1. আনুগত্য 2. আনুগত্য,1. ஒட்டுதல் 2. ஒட்டுதல்
sebaceous,செபாசியஸ்
সমন্বয় সমীকরণ,சரிசெய்தல் சமன்பாடு
adobe মাটি,அடோப் மண்
ভেজাল,கலப்படம்
ectopic,எக்டோபிக்
ইসিডিওস্পোর ইসিডিয়াম স্পোর,இசிடியோஸ்போர் இசிடியம் ஸ்போர்
এরোডাইনামিক প্রক্রিয়া,ஏரோடைனமிக் செயல்முறை
ventral,வென்ட்ரல்
বায়ু করা,காற்றோட்டம் செய்ய
1. বায়ু 2. আকাশী,1. காற்று 2. ஆகாஷி
1. অ্যারোমিটার 2. অ্যারোমিটার 3. অ্যারোমিটার,1. ஏரோமீட்டர் 2. ஏரோமீட்டர் 3. ஏரோமீட்டர்
এরোসল,ஏரோசல்
1. পুষ্পমঞ্জরী 2. গ্রীষ্মকালীন সুপ্ততা,1. மஞ்சரி 2. கோடை உறக்கம்
রোগের বিজ্ঞান,நோய் அறிவியல்
বনায়ন,காடு வளர்ப்பு
1. আন্দোলন 2. অশান্তি,1. கிளர்ச்சி 2. கொந்தளிப்பு
এগমার্ক,அக்மார்க்
1. জমি সংক্রান্ত 2. কৃষি,1. நிலம் தொடர்பான 2. விவசாயம்
কৃষি ক্লিনিক,விவசாய மருத்துவமனை
1. কৃষি শ্রম 2. কৃষি শ্রম,1. விவசாயத் தொழிலாளர்கள் 2. விவசாயத் தொழிலாளர்கள்
কৃষি বিপণন,விவசாய சந்தைப்படுத்தல்
কৃষি প্রযুক্তি,விவசாய தொழில்நுட்பம்
1. কৃষি 2. চাষাবাদ 3. কৃষি বিজ্ঞান,1. விவசாயம் 2. விவசாயம் 3. விவசாய அறிவியல்
কৃষি বনায়ন,விவசாய காடுகள்
কৃষি জীববৈচিত্র্য,விவசாய பல்லுயிர்
কৃষি জৈব ত্রুটি,விவசாய கரிம குறைபாடுகள்
কৃষি জীববিজ্ঞান,விவசாய உயிரியல்
কৃষি-জলবায়ু বৈচিত্র্য,விவசாய காலநிலை பன்முகத்தன்மை
কৃষি জলবায়ু অঞ্চল সৃষ্টি,வேளாண் காலநிலை மண்டலத்தை உருவாக்குதல்
কৃষি বনবিদ্যা,வளர்ப்பு
কৃষিবিদ্যা,வேளாண்மை
কৃষিবিজ্ঞান,வேளாண்மை
কৃষি যাজক,விவசாய மேய்ச்சல்
