Marathi,Malayalam
वेस्टमिन्स्टरचे मठाधीश,വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി
निषिद्ध,ഒഴിഞ്ഞുമാറുക
गुलामगिरीचे उच्चाटन,അടിമത്തം നിർത്തലാക്കൽ
आदिवासी,ആദിവാസികൾ
अब्राहम युग,അബ്രഹാം യുഗം
अनुपस्थित जमीनदार,ഹാജരാകാത്ത ഭൂവുടമകൾ
अकादमी,അക്കാദമി
अक्रा परिषद,അക്ര സമ്മേളനം
जमा,സമാഹരണങ്ങൾ
संवर्धन,സംസ്കരണം
एसेलडामा,അസെൽഡാമ
आचियन (=अचियन),അച്ചായൻ (=അച്ചിയൻ)
आचियन लीग (=अचियन लीग),അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്)
एक्रोपोलिस,അക്രോപോളിസ്
Acta Diurna,ആക്റ്റ ദിയുർന
Acta Senatus,ആക്റ്റ സെനറ്റസ്
ऍक्ट अॅडिशनल,ആക്റ്റ് അഡീഷണൽ
सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड),സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്)
प्राप्तकर्त्याची कृती,നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം
नुकसानभरपाई आणि विस्मरणाचा कायदा,നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം
सेटलमेंटचा कायदा,സെറ്റിൽമെന്റ് നിയമം
जाहिरात करार सील,പരസ്യ കരാർ മുദ്ര
अदुल्लामाइट्स,അഡുല്ലമൈറ്റുകൾ
विरोधक,എതിരാളി
विरोधक,എതിരാളി
एऑन,അയോൺ
एरेरियम,എയറേറിയം
हवाई युद्ध,ആകാശ യുദ്ധം
एटोलियन लीग,എറ്റോലിയൻ ലീഗ്
वय,വയസ്സ്
वृद्धत्व (=वृद्धत्व),വാർദ്ധക്യം (=വാർദ്ധക്യം)
वृद्धत्व प्रक्रिया,പ്രായമാകൽ പ്രക്രിയ
अगेलाय,അഗെലൈ
पराक्रमाचे वय,ധീരതയുടെ പ്രായം
ज्ञानाचे वय,എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം
पेरिकल्सचे वय,പെരിക്കിൾസിന്റെ പ്രായം
कारण वय,യുക്തിയുടെ പ്രായം
कृषीवाद,കാർഷികവാദം
कृषी चळवळ,കാർഷിക പ്രസ്ഥാനം
अल्बिओन,ആൽബിയോൺ
अल्बम,ആൽബം
अल्डरमन,ആൽഡർമാൻ
मोहक हात,വശീകരിക്കുന്ന ആയുധങ്ങൾ
मैत्री,അമിറ്റി
एम्फेक्टियोनिक परिषद,ആംഫിക്റ്റോണിക് കൗൺസിൽ
एम्फेक्टियोनिक लीग,ആംഫിക്റ്റോണിക് ലീഗ്
अॅम्फिथिएटर,ആംഫി തിയേറ്റർ
अमरी नल गट (मातीचा),അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ)
अनाक्रोनिझम,അനാക്രോണിസം
अनाक्रोनिस्टिक,അനാക്രോണിസ്റ്റിക്
पूर्वज,പൂർവ്വികൻ
पूर्वजांची पूजा,പൂർവിക ആരാധന
वंशपरंपरा,വംശപരമ്പര
वंशपरंपरा,വംശപരമ്പര
वंशपरंपरा,വംശപരമ്പര
वंशपरंपरा,വംശപരമ്പര
प्राचीन राजवट,പുരാതന ഭരണം
प्राचीन,പുരാതന
प्राचीन बालगीत,പുരാതന ബാലഡ്
प्राचीन श्रद्धा,പുരാതന വിശ്വാസം
प्राचीन प्रथा,പുരാതന ആചാരം
प्राचीन इतिहास,പുരാതനമായ ചരിത്രം
प्राचीन स्मारके,പുരാതന സ്മാരകങ്ങൾ
किस्सा,ഉപകഥ
अँजेलोट,ആഞ്ചലോട്ട്
एंजलस,ആഞ്ചലസ്
अँजेविन (=अंजेविन),ആഞ്ജെവിൻ (=ആഞ്ജെവിൻ)
कोन,കോണുകൾ
अँग्लिकन,ആംഗ്ലിക്കൻ
अँग्लिकन कम्युनियन,ആംഗ്ലിക്കൻ കൂട്ടായ്മ
अँग्लिकनवाद,ആംഗ്ലിക്കനിസം
अँग्लो-फोब,ആംഗ്ലോ-ഫോബ്
अँग्लो-फोबिया,ആംഗ്ലോ-ഫോബിയ
अँग्लो-सॅक्सन,ആംഗ്ലോ-സാക്സൺ
अँग्लो-सॅक्सोनवाद,ആംഗ്ലോ-സാക്‌സോണിസം
अॅनालिस्ट,അനലിസ്റ്റ്
इतिहास,വാർഷികങ്ങൾ
संलग्नीकरण,കൂട്ടിച്ചേർക്കൽ
अँटी-बेलम,ആന്റി-ബെല്ലം
पूर्वीची तारीख,മുൻ തീയതി
कारकुनविरोधी,പൗരോഹിത്യ വിരുദ്ധത
कारकुनी विरोधी कायदा,വൈദിക വിരുദ്ധ നിയമം
पुरातन वास्तू,പൗരാണികത
विरोधी भाडे,വാടക വിരുദ്ധം
विरोधी भाडे,വാടക വിരുദ്ധം
सेमिटिझम विरोधी,സെമിറ്റിസം വിരുദ്ധത
अँझॅक,അൻസാക്ക്
अपेला,അപ്പെല്ല
अरालू,അരലു
आर्च बिशप,ആർച്ച് ബിഷപ്പ്
आर्च डची,ആർച്ച് ഡച്ചി
आर्च ड्यूक,ആർച്ച് ഡ്യൂക്ക്
आर्काइफ (=अभिलेख संग्रह),ആർക്കൈഫ് (=ആർക്കൈവൽ ശേഖരം)
आर्किपिस्कोपेट,ആർക്കിഎപ്പിസ്കോപ്പേറ്റ്
अभिजात वर्ग,പ്രഭുവർഗ്ഗം
कुलीन,പ്രഭു
खानदानी स्नोबरी,പ്രഭുവർഗ്ഗ സ്നോബറി
अॅरिस्टोटेलियन,അരിസ്റ്റോട്ടിലിയൻ
आरमार,അർമാഡ
आरमार (=स्पॅनिश आरमार),അർമ്മഡ (=സ്പാനിഷ് അർമ്മഡ)
आर्मोरिस्ट (= आर्मरिस्ट),കവചക്കാരൻ (=കവചക്കാരൻ)
चिलखत (= चिलखत),കവചം (=കവചം)
आर्मरिस्ट,ആയുധധാരി
आर्यन,ആര്യൻ
आर्यन,ആര്യൻ
अस्करी,അസ്കരി
नियुक्त करा,നിയോഗിക്കുക
Assize,അസൈസ് ചെയ്യുക
Assize,അസൈസ് ചെയ്യുക
Assize,അസൈസ് ചെയ്യുക
शस्त्रास्त्र कायद्याची मदत,അസൈസ് ഓഫ് ആയുധ നിയമം
डॅरेन प्रेझेंटमेंटची मदत,അസൈസ് ഓഫ് ഡാരെൻ അവതരണം
मॉर्ट &#39;डी&#39; पूर्वजांची मदत,മോർട്ട് &#39;ഡി&#39; മുൻഗാമിയുടെ അസൈസ്
कादंबरी Disseisin च्या Assize,അസൈസ് ഓഫ് നോവൽ ഡിസെസിൻ
अत्याचार,ക്രൂരത
हल्ला,ആക്രമണം
ऑलिक कौन्सिल,ഔലിക് കൗൺസിൽ
देवीची कुर्‍हाड (= देवी कुर्हाड),ഗെഡസിന്റെ കോടാലി (=ദി ഗെഡെസ് കോടാലി)
अक्ष (=रोम-बर्लिन-टोकियो अक्ष),ആക്സിസ് (=റോം-ബെർലിൻ-ടോക്കിയോ ആക്സിസ്)
बॅबिलोन,ബാബിലോൺ
बॅबिलोनियन बंदिवास (= बॅबिलोनी कैद),ബാബിലോണിയൻ അടിമത്തം (=ബാബിലോണിയൻ അടിമത്തം)
बचनाल भक्त,ബച്ചനൽ ഭക്തൻ
बचनालिया,ബച്ചനാലിയ
बॅचलर,ബാച്ചിലർ
बगदाद करार,ബാഗ്ദാദ് കരാർ
बाल्कन लीग,ബാൽക്കൻ ലീഗ്
बाल्कन करार,ബാൽക്കൻ കരാർ
बाल्कन युद्धे,ബാൽക്കൻ യുദ്ധങ്ങൾ
बाल्टिक करार,ബാൾട്ടിക് കരാർ
डाकू,കൊള്ളക്കാരൻ
बांडुंग परिषद,ബന്ദൂങ് സമ്മേളനം
हद्दपार,നാടുകടത്തൽ
बॅनर,ബാനർ
रानटी,ബാർബേറിയൻ
बार्बिकन,ബാർബിക്കൻ
बारडोली सत्याग्रह,ബർദോളി സത്യാഗ്രഹം
धान्याचे कोठार बर्नर्स,കളപ്പുര ബർണറുകൾ
जहागीरदार,ബാരൺ
बॅरोनेज,ബാരോണേജ്
Barones majores,ബറോണസ് മേജേഴ്സ്
बॅरोन्स अल्पवयीन,ബാരോൺസ് പ്രായപൂർത്തിയാകാത്തവർ
जहागीरदार,ബാരോണസ്
बॅरोनेट,ബാരോനെറ്റ്
बॅरोनेटेज,ബാരോനെറ്റേജ്
बॅरोनेटेज,ബാരോനെറ്റേജ്
बॅरोनेटसी,ബാരോനെറ്റി
बॅरोनी,ബാരോണി
बॅराकून,ബാരക്കൂൺ
बॅराकून,ബാരക്കൂൺ
बॅरिकेड (= बॅरिकेडो),ബാരിക്കേഡ് (=ബാരിക്കഡോ)
बॅरिकेड (= बॅरिकेडो),ബാരിക്കേഡ് (=ബാരിക്കഡോ)
बॅरिकेड (= बॅरिकेडो),ബാരിക്കേഡ് (=ബാരിക്കഡോ)
बेस कॅम्प,ബേസ് ക്യാമ്പ്
बॅसिलिका,ബസിലിക്ക
बॅसिलिका,ബസിലിക്ക
बॅस्टिला,ബാസ്റ്റില
बॅस्टिल,ബാസ്റ്റിലി
बॅस्टिल,ബാസ്റ്റിലി
बॅटरी,ബാറ്ററി
लढाई,യുദ്ധം
Batlle-array,Battle-array
लढाई रडणे,യുദ്ധകാഹളം
लढाई दिन,യുദ്ധം
युद्धक्षेत्र,യുദ്ധക്കളം
लढाई भजन,യുദ്ധഗാനം
स्पर्सची लढाई,സ്പർസിന്റെ യുദ്ധം
स्टँडर्डची लढाई,സ്റ്റാൻഡേർഡ് യുദ്ധം
युद्धनौका,യുദ്ധക്കപ്പൽ
युद्धनौका-शक्ती,യുദ്ധക്കപ്പൽ-ബലം
Bayeux टेपेस्ट्री,Bayeux ടേപ്പ്സ്ട്രി
बीकन,ബീക്കൺ
बीकन टॉवर,ബീക്കൺ ടവർ
बीव्हर,ബീവർ
बीव्हर,ബീവർ
समुद्राचे भिकारी,കടലിലെ യാചകർ
बेलिकोज,ബെല്ലിക്കോസ്
बेलिकोज,ബെല്ലിക്കോസ്
बेलिकोज,ബെല്ലിക്കോസ്
बेलिकोसिटी,ബെല്ലിക്കോസിറ്റി
बेलोना,ബെല്ലോന
फायदा,ഗുണം
धर्मगुरूंचा लाभ,വൈദികരുടെ പ്രയോജനം
बेनेलक्स,ബെനെലക്സ്
बर्लिन डिक्री,ബെർലിൻ ഉത്തരവ്
बेसरकर,ബെർസർക്കർ
बेझंट (=बेझंट),ബസന്റ് (=ബെസന്റ്)
बेथेल,ബെഥേൽ
बिब्लिओलेटर,ബിബ്ലിയോലേറ്റർ
ग्रंथदिंडी,ഗ്രന്ഥശാസ്‌ത്രം
मोठा बर्था,ബിഗ് ബെർത്ത
धर्मांध,മതഭ്രാന്തൻ
बिलेटिंग,ബില്ലെറ്റിംഗ്
अटेंडरचे बिल,ബിൽ ഓഫ് അറ്റൈൻഡർ
अधिकारांचे विधेयक,അവകാശങ്ങളുടെ ബിൽ
चरित्रकार,ജീവചരിത്രകാരൻ
जन्मकथा,ജനന കഥകൾ
बिव्होक,Bivouac
बिव्होक,Bivouac
बिव्होक,Bivouac
बिझोनिया,ബിസോണിയ
काळा पक्षी,കറുത്ത പക്ഷികൾ
काळा झेंडा,കറുത്ത കൊടി
कृष्ण विवर,ബ്ലാക്ക് ഹോൾ
कृष्ण विवर,ബ്ലാക്ക് ഹോൾ
काळा पाय (= खरुज),കറുത്ത കാൽ (=ചുണങ്ങു)
काळा शर्ट,കറുത്ത ഷർട്ട്
ब्लेझोन,ബ്ലാസൺ
ब्लेझोन,ബ്ലാസൺ
झगमगाट,ജ്വലനം
झगमगाट,ജ്വലനം
ब्लिट्झक्रीग,ബ്ലിറ്റ്സ്ക്രീഗ്
रक्तहीन क्रांती (=वैभवशाली क्रांती),രക്തരഹിത വിപ്ലവം (=മഹത്തായ വിപ്ലവം)
ब्लडवाईट,ബ്ലഡ് വൈറ്റ്
ब्लडी मेरी,ബ്ലഡി മേരി
निळा,നീല
निळे रक्त,നീല രക്തം
निळे पुस्तक,നീല പുസ്തകം
निळी फीत,നീല നാട
निळी फीत,നീല നാട
ब्लूज (=रॉयल हॉर्स गार्ड),ബ്ലൂസ് (=രാജകീയ കുതിര കാവൽക്കാർ)
निळा शर्ट,നീല ഷർട്ട്
ब्लू वॉटर स्कूल,ബ്ലൂ വാട്ടർ സ്കൂൾ
नियंत्रण मंडळ,ബോർഡ് ഓഫ് കൺട്രോൾ
शरीर चिलखत,ശരീര കവചം
बोअर,ബോയർ
लूट,കൊള്ള
बरो,ബറോ
