Kannada,Assamese
ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ,ৱেষ্টমিনিষ্টাৰৰ এবে
ವ್ಯಭಿಚಾರ,এবডিটৰী
ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ,দাসত্ব বিলুপ্ত কৰা
ಮೂಲನಿವಾಸಿಗಳು,আদিবাসী
ಅಬ್ರಹಾಂ ಯುಗ,আব্ৰাহাম যুগ
ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು,অনুপস্থিত ঘৰৰ মালিক
ಅಕಾಡೆಮಿ,একাডেমী
ಅಕ್ರಾ ಸಮ್ಮೇಳನ,আক্ৰা সন্মিলন
ಸಂಚಯಗಳು,এক্ৰুৱেল
ಸಂಸ್ಕಾರ,সংস্কৃতিকৰণ
ಅಸೆಲ್ಡಾಮಾ,এচেলডামা
ಅಚೆಯನ್ (=ಅಚಿಯನ್),আখিয়ান (=আচিয়ান)
ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್),আচায়ান লীগ (=আচিয়ান লীগ)
ಆಕ್ರೊಪೊಲಿಸ್,এক্ৰ&#39;পলিছ
ಆಕ್ಟಾ ಡೈರ್ನಾ,এক্টা ডিউৰ্না
ಆಕ್ಟಾ ಸೆನಾಟಸ್,এক্টা চেনেটাছ
ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ,এক্টে এডিচনেল
ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ),সক্ৰিয় ৰেকৰ্ড (=বৰ্তমান ৰেকৰ্ড)
ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ,প্ৰাপ্তিৰ কাৰ্য্য
ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ,ক্ষতিপূৰণ আৰু বিস্মৃতিৰ আইন
ವಸಾಹತು ಕಾಯಿದೆ,বন্দোবস্তৰ আইন
ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ,এড কন্ট্ৰেক্টাছ ছীল
ಅಡುಲಮೈಟ್ಸ್,এডুলামাইটছ
ಎದುರಾಳಿ,বিৰোধী
ಎದುರಾಳಿ,বিৰোধী
ಏಯಾನ್,ইয়ন
ಏರೋರಿಯಮ್,এৰেৰিয়াম
ವೈಮಾನಿಕ ಯುದ್ಧ,আকাশী যুদ্ধ
ಏಟೋಲಿಯನ್ ಲೀಗ್,এটলিয়ান লীগ
ವಯಸ್ಸು,বয়স
ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ),বয়স বৃদ্ধি (=বৃদ্ধাৱস্থা)
ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ,বয়স বৃদ্ধিৰ প্ৰক্ৰিয়া
ಅಗೆಲೈ,আগেলাই
ಅಶ್ವದಳದ ವಯಸ್ಸು,অশ্বাৰোহীৰ যুগ
ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು,এজ অৱ ইংলাইটমেণ্ট
ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು,পেৰিক্লিছৰ বয়স
ಕಾರಣದ ವಯಸ್ಸು,যুক্তিৰ বয়স
ಕೃಷಿಧರ್ಮ,কৃষিবাদ
ಕೃಷಿ ಚಳುವಳಿ,কৃষি আন্দোলন
ಅಲ್ಬಿಯಾನ್,এলবিয়ন
ಆಲ್ಬಮ್,এলবাম
ಆಲ್ಡರ್ಮನ್,এলডাৰমেন
ಸೂಚಿಸುವ ತೋಳುಗಳು,আলোকসজ্জা বাহু
ಸೌಹಾರ್ದತೆ,এমিটি
ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಕೌನ್ಸಿಲ್,এম্ফিক্টয়নিক কাউন্সিল
ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಲೀಗ್,এম্ফিক্টয়নিক লীগ
ಆಂಫಿಥಿಯೇಟರ್,এম্ফিথিয়েটাৰ
ಅಮ್ರಿ ನಲ್ ಗುಂಪು (ಕುಂಬಾರಿಕೆ),অমৰি নল গোট (মৃৎশিল্পৰ)
ಅನಾಕ್ರೊನಿಸಂ,এনাক্ৰ’নিজম
ಅನಾಕ್ರೊನಿಸ್ಟಿಕ್,এনাক্ৰ’নিষ্টিক
ಪೂರ್ವಜ,পূৰ্বপুৰুষ
ಪೂರ್ವಜರ ಆರಾಧನೆ,পূৰ্বপুৰুষ পূজা
ಪೂರ್ವಜರು,বংশ
ಪೂರ್ವಜರು,বংশ
ಪೂರ್ವಜರು,বংশ
ಪೂರ್ವಜರು,বংশ
ಪ್ರಾಚೀನ ಆಡಳಿತ,Ancien শাসন ব্যৱস্থা
ಪ್ರಾಚೀನ,পৌৰাণিক
ಪ್ರಾಚೀನ ಲಾವಣಿ,প্ৰাচীন বেলাড
ಪ್ರಾಚೀನ ನಂಬಿಕೆ,প্ৰাচীন বিশ্বাস
ಪ್ರಾಚೀನ ಪದ್ಧತಿ,প্ৰাচীন প্ৰথা
ಪುರಾತನ ಇತಿಹಾಸ,প্ৰাচীন ইতিহাস
ಪ್ರಾಚೀನ ಸ್ಮಾರಕಗಳು,প্ৰাচীন কীৰ্তিচিহ্ন
ಉಪಾಖ್ಯಾನ,উপাখ্যান
ಏಂಜೆಲೋಟ್,এঞ্জেলট
ಏಂಜೆಲಸ್,এঞ্জেলছ
ಆಂಜೆವಿನ್ (=ಆಂಜೆವಿನ್),এঞ্জেভিন (=anjevin)
ಕೋನಗಳು,কোণ
ಆಂಗ್ಲಿಕನ್,এংলিকান
ಆಂಗ್ಲಿಕನ್ ಕಮ್ಯುನಿಯನ್,এংলিকান কমিউনিয়ন
ಆಂಗ್ಲಿಕನಿಸಂ,এংলিকানিজম
ಆಂಗ್ಲೋ-ಫೋಬ್,এংলো-ফ’ব
ಆಂಗ್ಲೋ-ಫೋಬಿಯಾ,এংলো-ফ’বিয়া
ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸನ್,এংলো-চেক্সন
ಆಂಗ್ಲೋ-ಸ್ಯಾಕ್ಸೋನಿಸಂ,এংলো-চেক্সনবাদ
ಅನಾಲಿಸ್ಟ್,এনালিষ্ট
ಆನಲ್ಸ್,এনালছ
ಅನುಬಂಧ,সংলগ্নকৰণ
ಆಂಟೆ-ಬೆಲ್ಲಮ್,এণ্টে-বেলাম
ಹಿಂದಿನ ದಿನಾಂಕ,এণ্টে তাৰিখ
ಪುರೋಹಿತಶಾಹಿ ವಿರೋಧಿ,কেৰাণীবাদ বিৰোধী
ವಿರೋಧಿ ಪಾದ್ರಿಗಳ ಶಾಸನ,কেৰাণী বিৰোধী আইন
ಪ್ರಾಚೀನತೆ,প্ৰাচীনতা
ಬಾಡಿಗೆ ವಿರೋಧಿ,ভাড়া বিৰোধী
ಬಾಡಿಗೆ ವಿರೋಧಿ,ভাড়া বিৰোধী
ಯೆಹೂದ್ಯ ವಿರೋಧಿ,চেমিটিজম বিৰোধী
ಅಂಜಾಕ್,এঞ্জেক
ಅಪೆಲ್ಲಾ,এপেলা
ಅರಳು,আৰালু
ಆರ್ಚ್ ಬಿಷಪ್,আৰ্ক বিচপ
ಆರ್ಚ್ ಡಚಿ,আৰ্ক ডাচি
ಆರ್ಚ್ ಡ್ಯೂಕ್,আৰ্ক ড্যুক
ಆರ್ಚೀಫ್ (=ಆರ್ಕೈವಲ್ ಸಂಗ್ರಹ),আৰ্কাইফ (=আৰ্কাইভ সংগ্ৰহ)
ಆರ್ಕಿಪಿಸ್ಕೋಪೇಟ್,আৰ্কিপিস্কোপেট
ಶ್ರೀಮಂತವರ್ಗ,অভিজাত শ্ৰেণী
ಶ್ರೀಮಂತ,অভিজাত
ಶ್ರೀಮಂತ ಸ್ನೋಬರಿ,অভিজাত স্নোবৰী
ಅರಿಸ್ಟಾಟಲ್,এৰিষ্ট&#39;টেলিয়ান
ನೌಕಾಪಡೆ,আৰ্মাডা
ನೌಕಾಪಡೆ (=ಸ್ಪ್ಯಾನಿಷ್ ಆರ್ಮಡಾ),আৰ্মাডা (=স্পেনিছ আৰ্মাডা)
ಶಸ್ತ್ರಾಗಾರ (=ಶಸ್ತ್ರಾಗಾರ),আৰ্মৰিষ্ট (=armourist)
ರಕ್ಷಾಕವಚ (=ರಕ್ಷಾಕವಚ),কৱচ (=কৱচ)
ಶಸ್ತ್ರಾಗಾರ,আৰ্মৰিষ্ট
ಆರ್ಯನ್,আৰ্য্য
ಆರ್ಯನ್,আৰ্য্য
ಅಸ್ಕರಿ,আস্কৰী
ನಿಯೋಜಿಸಿ,Assignat
ಅಸೈಜ್ ಮಾಡಿ,Assize
ಅಸೈಜ್ ಮಾಡಿ,Assize
ಅಸೈಜ್ ಮಾಡಿ,Assize
ಅಸೈಜ್ ಆಫ್ ಆರ್ಮ್ಸ್ ಆಕ್ಟ್,এছাইজ অৱ আৰ্মছ এক্ট
ಅಸೈಜ್ ಆಫ್ ಡರೇನ್ ಪ್ರಸ್ತುತಿ,ডেৰেইন প্ৰেজেণ্টমেণ্টৰ এছাইজ
ಮೊರ್ಟ್ &#39;ಡಿ&#39; ಪೂರ್ವಜರ ಅಸೈಜ್,মৰ্ট &#39;ডি&#39; পূৰ্বপুৰুষৰ এছাইজ
ಡಿಸೈಸಿನ್ ಕಾದಂಬರಿಯ ಅಸೈಜ್,নভেল ডিচেইচিনৰ এছাইজ
ದೌರ್ಜನ್ಯ,অত্যাচাৰ
ದಾಳಿ,আক্ৰমণ
ಆಲಿಕ್ ಕೌನ್ಸಿಲ್,অলিক কাউন্সিল
ಗೆಡೆಸ್‌ನ ಕೊಡಲಿ (=ಗೆಡೆಸ್ ಕೊಡಲಿ),গেডেছৰ কুঠাৰ (=গেডেছৰ কুঠাৰ)
ಆಕ್ಸಿಸ್ (=ದಿ ರೋಮ್-ಬರ್ಲಿನ್-ಟೋಕಿಯೊ ಆಕ್ಸಿಸ್),অক্ষ (=ৰোম-বাৰ্লিন-টকিঅ&#39; অক্ষ)
ಬ್ಯಾಬಿಲೋನ್,বেবিলন
ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ (=ಬ್ಯಾಬಿಲೋನಿಯನ್ ಸೆರೆಯಲ್ಲಿ),বেবিলনৰ বন্দীত্ব (=বেবিলনৰ বন্দীত্ব)
ಬಚ್ಚನಾಳ ಭಕ್ತ,বচনাল ভক্ত
ಬಚ್ಚನಾಲಿಯಾ,বাচনালিয়া
ಪದವಿ,অবিবাহিত লোক
ಬಾಗ್ದಾದ್ ಒಪ್ಪಂದ,বাগদাদ চুক্তি
ಬಾಲ್ಕನ್ ಲೀಗ್,বাল্কন লীগ
ಬಾಲ್ಕನ್ ಒಪ್ಪಂದ,বাল্কন চুক্তি
ಬಾಲ್ಕನ್ ಯುದ್ಧಗಳು,বাল্কন যুদ্ধ
ಬಾಲ್ಟಿಕ್ ಒಪ್ಪಂದ,বাল্টিক চুক্তি
ಡಕಾಯಿತ,ডাকাত
ಬ್ಯಾಂಡಂಗ್ ಸಮ್ಮೇಳನ,বাণ্ডুং সন্মিলন
ಬಹಿಷ್ಕಾರ,নিৰ্বাসন
ಬ್ಯಾನರ್,বেনাৰ
ಅನಾಗರಿಕ,বৰ্বৰ
ಬಾರ್ಬಿಕನ್,বাৰ্বিকান
ಬಾರ್ಡೋಲಿ ಸತ್ಯಾಗ್ರಹ,বৰদলৈ সত্যাগ্ৰহ
ಬಾರ್ನ್ ಬರ್ನರ್ಗಳು,বাৰ্ন বাৰ্নাৰ্ছ
ಬ್ಯಾರನ್,বেৰন
ಬ್ಯಾರನೇಜ್,বেৰনেজ
ಬರೋನ್ಸ್ ಮೇಜರ್,বেৰনছ মেজৰ
ಬ್ಯಾರನ್ಸ್ ಕಿರಿಯರು,বেৰনেছ নাবালক
ಬ್ಯಾರನೆಸ್,বেৰনেছ
ಬ್ಯಾರೊನೆಟ್,বেৰনেট
ಬ್ಯಾರೊನೆಟೇಜ್,বেৰনেটেজ
ಬ್ಯಾರೊನೆಟೇಜ್,বেৰনেটেজ
ಬ್ಯಾರೊನೆಟ್ಸಿ,বেৰনেটচি
ಬರೋನಿ,বেৰনি
ಬ್ಯಾರಕೂನ್,বেৰাকুন
ಬ್ಯಾರಕೂನ್,বেৰাকুন
ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್),বেৰিকেড (=barricade)
ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್),বেৰিকেড (=barricade)
ಬ್ಯಾರಿಕೇಡ್ (=ಬ್ಯಾರಿಕೇಡ್),বেৰিকেড (=barricade)
ಮೂಲ ಶಿಬಿರ,বেচ কেম্প
ಬೆಸಿಲಿಕಾ,বেচিলিকা
ಬೆಸಿಲಿಕಾ,বেচিলিকা
ಬಸ್ತಿಲಾ,বাষ্টিলা
ಬಾಸ್ಟಿಲ್,বেষ্টিল
ಬಾಸ್ಟಿಲ್,বেষ্টিল
ಬ್ಯಾಟರಿ,বেটাৰি
ಕದನ,যুদ্ধ
ಬ್ಯಾಟಲ್-ಅರೇ,বাটলে-এৰে
ಯುದ್ಧದ ಕೂಗು,যুদ্ধৰ চিঞৰ
ಬ್ಯಾಟಲ್ ಡಿನ್,যুদ্ধৰ ডিন
ಯುದ್ಧಭೂಮಿ,যুদ্ধক্ষেত্ৰ
ಯುದ್ಧ ಸ್ತೋತ್ರ,যুদ্ধ গীত
ಸ್ಪರ್ಸ್ ಕದನ,স্পাৰ্ছৰ যুদ্ধ
ಬ್ಯಾಟಲ್ ಆಫ್ ದಿ ಸ್ಟ್ಯಾಂಡರ್ಡ್,ষ্টেণ্ডাৰ্ডৰ যুদ্ধ
ಯುದ್ಧನೌಕೆ,যুদ্ধজাহাজ
ಯುದ್ಧನೌಕೆ-ಬಲ,যুদ্ধজাহাজ-শক্তি
ಬೇಯಕ್ಸ್ ವಸ್ತ್ರ,Bayeux টেপেষ্ট্ৰি
ದಾರಿದೀಪ,বিকন
ದಾರಿದೀಪ ಗೋಪುರ,বিকন টাৱাৰ
ಬೀವರ್,বিভাৰ
ಬೀವರ್,বিভাৰ
ಸಮುದ್ರದ ಭಿಕ್ಷುಕರು,সাগৰৰ ভিক্ষাৰী
ಬೆಲ್ಲಿಕೋಸ್,বেলিকোজ
ಬೆಲ್ಲಿಕೋಸ್,বেলিকোজ
ಬೆಲ್ಲಿಕೋಸ್,বেলিকোজ
ಬೆಲ್ಲಿಕೋಸಿಟಿ,বেলিকোচিটি
ಬೆಲೋನಾ,বেলোনা
ಪ್ರಯೋಜನ,বেনিফিচ
ಧರ್ಮಗುರುಗಳ ಲಾಭ,ধৰ্মগুৰুসকলৰ লাভ
ಬೆನೆಲಕ್ಸ್,বেনেলাক্স
ಬರ್ಲಿನ್ ತೀರ್ಪು,বাৰ্লিন ডিক্রী
ಬರ್ಸರ್ಕರ್,Berserker
ಬೆಸೆಂಟ್ (=ಬೆಜಾಂಟ್),Besant (=বেজান্ট)
ಬೆತೆಲ್,বেথেল
ಗ್ರಂಥಪಾಲಕ,বিব্লিঅ&#39;লেটাৰ
ಗ್ರಂಥಾರಾಧನೆ,গ্ৰন্থবিজ্ঞান
ದೊಡ್ಡ ಬರ್ತಾ,বিগ বাৰ্থা
ಮತಾಂಧ,কুসংস্কাৰ
ಬಿಲ್ಲೆಟಿಂಗ್,বিলেটিং
ಅಟೈಂಡರ್ ಬಿಲ್,বিল অৱ এটেইণ্ডাৰ
ಹಕ್ಕುಗಳ ಮಸೂದೆ,অধিকাৰৰ বিল
ಜೀವನಚರಿತ್ರೆಕಾರ,জীৱনীকাৰ
ಜನ್ಮ ಕಥೆಗಳು,জন্মৰ কাহিনী
ತಾತ್ಕಾಲಿಕ,বিভক
ತಾತ್ಕಾಲಿಕ,বিভক
ತಾತ್ಕಾಲಿಕ,বিভক
ಬಿಜೋನಿಯಾ,বিজোনিয়া
ಕಪ್ಪು ಪಕ್ಷಿಗಳು,ক&#39;লা চৰাই চোৱা
ಕಪ್ಪು ಬಾವುಟ,ক&#39;লা পতাকা
ಕಪ್ಪು ರಂಧ್ರ,ব্লেক হোল
ಕಪ್ಪು ರಂಧ್ರ,ব্লেক হোল
ಕಪ್ಪು ಕಾಲು (=ಹುರುಪು),ক&#39;লা ভৰি (=scab)
ಕಪ್ಪು ಶರ್ಟ್,ক&#39;লা চাৰ্ট
ಬ್ಲೇಝೋನ್,ব্লেজন
ಬ್ಲೇಝೋನ್,ব্লেজন
ಪ್ರಜ್ವಲಿಸುವಿಕೆ,ব্লেজনাৰী
ಪ್ರಜ್ವಲಿಸುವಿಕೆ,ব্লেজনাৰী
ಮಿಂಚುದಾಳಿ,ব্লিটজক্ৰিগ
ರಕ್ತರಹಿತ ಕ್ರಾಂತಿ (=ಗ್ಲೋರಿಯಸ್ ರೆವಲ್ಯೂಷನ್),ৰক্তহীন বিপ্লৱ (=গৌৰৱময় বিপ্লৱ)
ಬ್ಲಡ್ವೈಟ್,ব্লাডৱাইট
ಬ್ಲಡಿ ಮೇರಿ,ব্লাডি মেৰী
ನೀಲಿ,নীলা
ನೀಲಿ ರಕ್ತ,নীলা তেজ
ನೀಲಿ ಪುಸ್ತಕ,নীলা কিতাপ
ನೀಲಿ ರಿಬ್ಬನ್,নীলা ফিতা
ನೀಲಿ ರಿಬ್ಬನ್,নীলা ফিতা
ಬ್ಲೂಸ್ (=ರಾಯಲ್ ಹಾರ್ಸ್ ಗಾರ್ಡ್ಸ್),ব্লুজ (=ৰয়েল হৰ্চ গাৰ্ড)
ನೀಲಿ ಅಂಗಿ,নীলা চাৰ্ট
ಬ್ಲೂ ವಾಟರ್ ಸ್ಕೂಲ್,ব্লু ৱাটাৰ স্কুল
ನಿಯಂತ್ರಣ ಮಂಡಳಿ,নিয়ন্ত্ৰণ ব’ৰ্ড
ದೇಹದ ರಕ್ಷಾಕವಚ,শৰীৰৰ কৱচ
ಬೋಯರ್,ব&#39;ৰ
ಲೂಟಿ,লুটপাত
ಬರೋ,বৰো
ಬೌಲ್ಯೂಟೇರಿಯನ್,Bouleuterion
ಬೌರ್ಬನ್,বোৰ্বন
ಬಾಕ್ಸರ್ ದಂಗೆ,বক্সাৰ বিদ্ৰোহ
ಬ್ರೇಸ್,ব্ৰেচ
ಬ್ರಾಸಾರ್ಡ್,ব্ৰাছাৰ্ড
ಬ್ರಾಸಾರ್ಡ್,ব্ৰাছাৰ্ড
ಬ್ರೆಡ್ ವಸಾಹತುಗಳು,ব্ৰেড কলনী
ಸ್ತನ ಫಲಕ,ব্ৰেষ্ট প্লেট
ಸ್ತನ ಕೆಲಸ,স্তনৰ কাম
ಬ್ರೆಟ್ವಾಲ್ಡಾ,ব্ৰেটৱাল্ডা
ಬ್ರಿಗಾಂಡ್,ব্ৰিগাণ্ড
