Bengali,Malayalam
অ্যাবাকাস,അബാക്കസ്
অস্বাভাবিক সমাপ্তি,അസാധാരണമായ അവസാനിപ്പിക്കൽ
গর্ভপাত,ഉപേക്ഷിക്കുക
পরম,കേവല
পরম ঠিকানা,സമ്പൂർണ്ണ വിലാസം
পরম ঠিকানা,സമ്പൂർണ്ണ അഭിസംബോധന
পরম সংযোজনকারী,കേവല അസംബ്ലർ
পরম কোড,കേവല കോഡ്
পরম আদেশ,സമ്പൂർണ്ണ കമാൻഡ്
পরম তথ্য,സമ്പൂർണ്ണ ഡാറ്റ
পরম নির্দেশ,സമ്പൂർണ്ണ നിർദ്ദേശം
পরম মোড,കേവല മോഡ്
পরম পথ,കേവല പാത
পরম প্রোগ্রামিং,സമ്പൂർണ്ണ പ്രോഗ്രാമിംഗ്
বিমূর্ত ক্লাস,അമൂർത്ത ക്ലാസ്
বিমূর্ত তথ্য প্রকার,അമൂർത്ത ഡാറ്റ തരം
বিমূর্ত মেশিন,അമൂർത്ത യന്ത്രം
বিমূর্ত প্রতীক,അമൂർത്ത ചിഹ്നം
বিমূর্ত বাক্য গঠন,അമൂർത്തമായ വാക്യഘടന
স্বীকৃতি যাচাইকরণ,സ്വീകാര്യത പരിശോധന
অ্যাক্সেস প্রমাণীকরণ,ആക്സസ് പ്രാമാണീകരണം
প্রবেশাধিকার কোড,പ്രവേശന കോഡ്
প্রবেশাধিকার নিয়ন্ত্রণ,പ്രവേശന നിയന്ത്രണം
অ্যাক্সেস স্ক্যান,ആക്സസ് സ്കാൻ
আনুষঙ্গিক,ഉപസാധനം
অ্যাকাউন্ট,അക്കൗണ്ട്
অ্যাকাউন্ট আইডি,അക്കൗണ്ട് ID
সঞ্চয়কারী,ശേഖരണം
সঠিকতা,കൃത്യത
অ্যাক্সেস,പ്രവേശനം
অ্যাক্সেস নিয়ন্ত্রণ বাইট,ആക്സസ് കൺട്രോൾ ബൈറ്റ്
অ্যাক্সেস সূচক,പ്രവേശന സൂചിക
অ্যাক্সেস কী,ആക്സസ് കീ
অ্যাক্সেস ম্যাট্রিক্স,ആക്സസ് മാട്രിക്സ്
অ্যাক্সেস মোড,ആക്സസ് മോഡ്
প্রবেশাধিকার,ആക്സസ് പ്രിവിലേജ്
অ্যাক্সেস নিরাপত্তা,ആക്സസ് സുരക്ഷ
অ্যাক্সেস সার্ভার,ആക്സസ് സെർവർ
অ্যাক্সেস সময়,പ്രവേശന സമയം
স্বীকৃতি,അംഗീകാരം
ধ্বনিবিদ্যা,ശബ്ദശാസ്ത്രം
সংক্ষিপ্ত রূপ,സംക്ഷേപം
কর্ম বার্তা,പ്രവർത്തന സന്ദേശം
সক্রিয়করণ,സജീവമാക്കൽ
সক্রিয় সার্ভার পৃষ্ঠা (এএসপি),സജീവ സെർവർ പേജ് (ASP)
সক্রিয় সংস্করণ,സജീവ പതിപ്പ്
অ্যাসাইক্লিক,അസൈക്ലിക്
অ্যাসাইক্লিক গ্রাফ,അസൈക്ലിക് ഗ്രാഫ്
অ্যাডা ভাষা,അഡാ ഭാഷ
অ্যাডাপ্টার,അഡാപ്റ്റർ
যোগ করুন,ചേർക്കുക
ফাইল যুক্ত কর,ഫയൽ ചേർക്കുക
অপারেশন যোগ করুন,പ്രവർത്തനം ചേർക്കുക
যোগকারী,ചേർക്കുന്നയാൾ
ঠিকানা,വിലാസം
ঠিকানা বাস,വിലാസം ബസ്
ঠিকানা ফাইল,വിലാസ ഫയൽ
ঠিকানা বিন্যাস,വിലാസ ഫോർമാറ്റ്
ঠিকানা জেনারেটর,വിലാസ ജനറേറ്റർ
ঠিকানা লাইন,വിലാസ ലൈൻ
ঠিকানা ম্যাপিং,വിലാസ മാപ്പിംഗ്
ঠিকানা নির্দেশক,വിലാസ സൂചിക
ঠিকানা রেজিস্টার,വിലാസ രജിസ്റ്റർ
ঠিকানা রেজোলিউশন,വിലാസം റെസലൂഷൻ
ঠিকানা অনুবাদ,വിലാസ വിവർത്തനം
ঠিকানাযুক্ত স্মৃতি,അഭിസംബോധന ചെയ്ത മെമ്മറി
সম্বোধন,അഭിസംബോധന
পর্যাপ্ততার মানদণ্ড,പര്യാപ്തത മാനദണ്ഡം
সংলগ্ন,അനുബന്ധം
প্রশাসন,ഭരണകൂടം
প্রশাসক,കാര്യനിർവാഹകൻ
অ্যাডোবি অ্যাক্রোব্যাট,അഡോബ് അക്രോബാറ്റ്
অ্যাডোবি ফটোশপ,അഡോബ് ഫോട്ടോഷോപ്പ്
অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP),അഡ്വാൻസ് ബിസിനസ് ആപ്ലിക്കേഷൻ പ്രോഗ്രാമിംഗ് (ABAP)
উন্নত তথ্য,വിപുലമായ ഡാറ്റ
উন্নত তথ্য সিস্টেম,വിപുലമായ വിവര സംവിധാനം
উন্নত প্রযুক্তি (AT),നൂതന സാങ്കേതികവിദ്യ (AT)
প্রতিনিধি,ഏജന്റ്
সমষ্টি,സമാഹരണം
বায়ুবাহিত কম্পিউটার সিস্টেম,വായുവിലൂടെയുള്ള കമ്പ്യൂട്ടർ സംവിധാനം
aldus পেজ মেকার,ആൽഡസ് പേജ് മേക്കർ
সতর্কতা বাক্স,മുന്നറിയിപ്പ് ബോക്സ്
algol,ആൽഗോൾ
অ্যালগরিদম,അൽഗോരിതം
অ্যালগরিদম বিশ্লেষণ,അൽഗോരിതം വിശകലനം
অ্যালগরিদম দক্ষতা,അൽഗോരിതം കാര്യക്ഷമത
উপনাম,അപരനാമം
প্রান্তিককরণ,വിന്യാസം
বরাদ্দ,വിഹിതം
বর্ণানুক্রমিক,അക്ഷരമാലാക്രമം
আলফানিউমেরিক,ആൽഫാന്യൂമെറിക്
আলফানিউমেরিক কী বোর্ড,ആൽഫാന്യൂമെറിക് കീ ബോർഡ്
আলফা-পরীক্ষা,ആൽഫ-ടെസ്റ്റ്
আলফা-সংস্করণ,ആൽഫ പതിപ്പ്
alt কী,alt കീ
আলতাভিস্তা,അൾട്ടാവിസ്റ്റ
অস্পষ্টতা,അവ്യക്തത
অস্পষ্ট ব্যাকরণ,അവ്യക്തമായ വ്യാകരണം
আমেরিকান ন্যাশনাল স্ট্যান্ডার্ড ইনস্টিটিউট (ANSI),അമേരിക്കൻ നാഷണൽ സ്റ്റാൻഡേർഡ് ഇൻസ്റ്റിറ്റ്യൂട്ട് (ANSI)
আমেরিকান স্ট্যান্ডার্ড কোড ফর ইনফরমেশন ইন্টারচেঞ্জ (ASCII),അമേരിക്കൻ സ്റ്റാൻഡേർഡ് കോഡ് ഫോർ ഇൻഫർമേഷൻ ഇന്റർചേഞ്ച് (ASCII)
এনালগ,അനലോഗ്
এনালগ কম্পিউটার,അനലോഗ് കമ്പ്യൂട്ടർ
এনালগ ডিভাইস,അനലോഗ് ഉപകരണം
