Marathi,Assamese
एसी समतुल्य सर्किट,এ চি সমতুল্য বৰ্তনী
एनालॉग ते अंकीय कनवर्टर,এনালগ টু সংখ্যাগত ৰূপান্তৰক
पूर्ण शून्य,নিৰপেক্ষ শূন্য
शोषण गुणांक,শোষণ সহগ
शोषण स्पेक्ट्रम,শোষণ বৰ্ণালী
रिसेप्टर अणू,ৰিচেপ্টৰ পৰমাণু
पर्यायी वर्तमान जोडणी,বিকল্প বিদ্যুৎ প্ৰবাহ সংযোজন
इलेक्ट्रॉन कापणी,ইলেক্ট্ৰন সংগ্ৰহ কৰা
भोक संचयन,ফুটা সংৰক্ষণ
सक्रियता ऊर्जा,সক্ৰিয়কৰণ শক্তি
सक्रिय अॅम्प्लीफायर,সক্ৰিয় পৰিবৰ্ধক
सक्रिय डायोड सर्किट,সক্ৰিয় ডাইঅ&#39;ড বৰ্তনী
सक्रिय फिल्टर,সক্ৰিয় ফিল্টাৰ
सक्रिय उच्च वारंवारता पर्केट फिल्टर,সক্ৰিয় উচ্চ কম্পাঙ্ক পাৰ্কেট ফিল্টাৰ
सक्रिय भार,সক্ৰিয় লোড
सक्रिय कमी वारंवारता पार्स फिल्टर,সক্ৰিয় কম কম্পাঙ্ক বিশ্লেষণ ফিল্টাৰ
सक्रिय क्षेत्र,সক্ৰিয় অঞ্চল
अनुकूली इलेक्ट्रॉनिक्स,অভিযোজিত ইলেক্ট্ৰনিক্স
जोडणारा,adder
समायोज्य बँड विस्तार,এডজাষ্টেবল বেণ্ড এক্সটেনচন
प्रवेश,ভেদ
एरियल,এৰিয়েল
pep वारंवारता,pep কম্পাঙ্ক
एअर कंडिशनर,এয়াৰ কণ্ডিচনাৰ
संरेखन,প্ৰান্তিককৰণ
अल्गोरिदम,এলগৰিদম
सर्व पास फिल्टर,সকলো পাছ ফিল্টাৰ
मिश्र धातु जंक्शन,মিশ্ৰণ সংযোগ
क्षीणन,ক্ষীণকৰণ
पर्यायी प्रवाह,বিকল্প বিদ্যুৎ প্ৰবাহ
वातावरणीय तापमान,পৰিৱেশৰ উষ্ণতা
द्विध्रुवीय,বাইপোলাৰ
प्रवर्धन,এম্প্লিফিকেশন
अॅम्प्लिफायर,এম্প্লিফায়াৰ
एम्पलीफायर कार्यक्षमता,এম্প্লিফায়াৰৰ কাৰ্যক্ষমতা
परिमाण,মাত্ৰাসমূহ
मोठेपणा क्षीणन,প্ৰসাৰণ ক্ষীণকৰণ
अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर,প্ৰসাৰণ মডুলেটেড AM দোলক
मोठेपणा मॉड्यूलेशन,প্ৰসাৰণ মডুলেচন
मोठेपणा मॉड्युलेटर,প্ৰসাৰণ মডুলেটৰ
अँग्स्ट्रोम युनिट,angstrom একক
अॅनालॉग सर्किट,এনালগ বৰ্তনী
अॅनालॉग संगणक,এনালগ কম্পিউটাৰ
अॅनालॉग फिल्टर,এনালগ ফিল্টাৰ
अॅनालॉग मल्टीमीटर,এনালগ মাল্টিমিটাৰ
अॅनालॉग स्विच,এনালগ চুইচ
आणि गेट,AND গেট
कोनीय वारंवारता,কৌণিক কম্পাঙ্ক
"anion, anion","এনিয়ন, এনিয়ন"
एनीलिंग तापमान,এনিয়েলিং উষ্ণতা
एनोड,এনোড
एनोड अॅम्प्लिफायर,এনোড এম্প্লিফায়াৰ
anodyne,এনোডাইন
अँटेना,এন্টেনা
अँटेना घटक,এন্টেনা উপাদান
विरोधी परावर्तक कोटिंग,এন্টি-ৰিফ্লেক্টিভ আৱৰণ
