Hindi,Marathi
एसीडायड,ऍसिडॉइड
जलोढ़ मृदा,एओलियन माती
समुच्चय,एकूण
समुच्चयन,एकत्रीकरण
सस्य मृदा विज्ञान,कृषीशास्त्र
सस्य विज्ञान,कृषीशास्त्र
"A-संस्तर, A-होराइजन",A-क्षितिज
Ao-संस्तर/Ao-होराइजन,Ao-क्षितिज
Aoo-संस्तर/होराइजन,Aoo-क्षितिज
मृदा की वायु धारिता,मातीची हवेची क्षमता
मृदा का वायु अंग,मातीतील हवेचे प्रमाण
वायु पिक्नोमीटर,एअर पिकनोमीटर
एलीटिक मृदा,ऍलिटिक माती
जलोढ़ मृदा,गाळाची माती
एम्फोलीटायड,अॅम्फोलायटॉइड
ऋणायन,आयन
आभासी आपेक्षिक घनत्व आयतन भार या आयतन आपेक्षित घनत्व,"स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;"
कोर,ऍरिस
बारीक वराश्म चिनाई,Ashlar दंड दगडी बांधकाम
वराश्म चिनाई,Ashlar दगडी बांधकाम
अस्तरीय मृदा/अक्षेत्रीय मृदा,अझोनल माती
कर्ष खनित्र,मागचा अभिनेता
पश्च डाट,मागची कमान
पश्च पट्ट,बॅक बँड
उपटा प्रलेप,मागे ब्रश
पश्च रोधक,परत तपासणी
पश्च पटल,मागे काउंटर
पश्च कर्तन,परत कटिंग
उपटा झोंका अवमंदक,बॅक ड्राफ्ट डँपर
पश्च नली,मागे निचरा
पश्च पट,बॅक ड्रॉप
पृष्ठ भरण,परत भरा
पश्च पट्टिका,बॅक फिलेट
पृष्ठ पल्ला कब्जा,बॅक फ्लॅप बिजागर
प्रतीप प्रवाह संयोजन,परत प्रवाह कनेक्शन
प्रतीप प्रवाह निरोधक,परत प्रवाह प्रतिबंधक
पश्चांतर,बॅक गेज
पश्च नली,मागे गटार
अग्निस्थान पृष्ठ,मागे चूल
पीठ/पृष्ठ भाग,पाठीराखा
पिछला तख्ता,बॅकिंग बोर्ड
पश्च दाब,पाठीचा दाब
पश्च टेक,बॅक प्रोप
पश्चावलोकन,मागची दृष्टी
पश्चजल,परत पाणी
व्यारोध,गोंधळ
थैला पुशताबंदो,बॅगवर्क
गिट्टी,गिट्टी
बॉल मृत्तिका,बॉल क्ले
बॉल शंकुआकार शिकंजा,बॉल कोन क्लॅम्प
काँटेदार तार,काटेरी तार
छड़ कुत्ता,बार कुत्रा
त्रयंकी पार्श्व फलक,बार्ज बोर्ड
बेरियम सल्फेट परीक्षण,बेरियम सल्फेट चाचणी
बैराज,बॅरेज
बरेट,बॅरेट
क्षार,पाया
बेस विनिमय,बेस एक्सचेंज
आधार रेखा,बेस लाइन
तहखाना/अधोभवन,तळघर
अधोगृह भित्ति,तळघर भिंत
आधार पट्टिका,तळपट्टी
समायोज्य आधार पट्टिका,"बेस प्लेट, समायोज्य"
क्षार संतृप्ति,बेस संपृक्तता
बेसाइड,बेसॉइड
रोड़ा,वटवाघूळ
स्नानागर व शौच कुण्ड,बाथ आणि WC
सलामी खूँटी,पिठात पेग
सलामी पाया,पिठात घाट
सलामी नियम,पिठात नियम
बॉक,बल्क (बाल्क)
खंडक,खाडी
धारक,वाहक
धारण क्षमता,सहन करण्याची क्षमता
धारक पाइल,पत्करणे ब्लॉकला
धारक स्तर,बेअरिंग स्ट्रॅटम
आधार तल,पलंग
संस्तरण तल,बेडिंग विमान
पड़ी दरज,बेड संयुक्त
अश्माधार,बेड रॉक
शयन कक्ष,बेड रूम
मधुमोम,मेण
बैल बॉक्स,बेल बॉक्स
बैलिंग बकेट,बेलिंग बादली
बैलोफ्राम,बेलोफ्राम
पैड़ीदार नींव,बेंच केलेला पाया
पैड़ी बनाना,बेंचिंग
निदेश तलचिह्न,बेंच मार्क
हितलाभ लागत विश्लेषण,लाभ खर्चाचे विश्लेषण
उपतट,बर्म
ढालू डेली,Bevelled बंद
संस्तर/B-होराइजन,"B-क्षितिज,&quot;B-"
बीएट,बायट
बंधक,बाईंडर
बंधक पदार्थ,बंधनकारक साहित्य
बायोट का सिद्धांत,बायोटचा सिद्धांत
बीटूमन,बिटुमेन
काली मृदा,काळी कापूस माती
काली मिट्टी,काळी पृथ्वी
काली शाब्दल मृदा,काळी हरळीची माती
फलक,ब्लेड
वात्या भट्टी धातुमल सीमेंट,ब्लास्ट फर्नेस स्लॅग सिमेंट
खंडीय संरचना,ब्लॉक रचना
बोगी संचलन प्रतिरोध,बोगी प्रतिकार
दलदल लोह खनित्र,बोग-लोह धातू
चाल (चिनाई की),बाँड
बद्ध अवयव,बंधपत्रित सदस्य
बद्ध प्रत्ययित तनन,बंध पोस्ट टेंशनिंग
बंधक पत्थर,बोंड दगड
बद्ध जल,बांधलेले पाणी
पेटिकाकार नाली,पेटी गटर
बंधनी,ब्रेस
खड़ी ईंट,वीट-ऑन-एज
ब्राइडल,लगाम
द्युति,तेज
भूरी मृदा,तपकिरी माती
भवन,इमारत
भवन सर्वेक्षक,इमारत सर्वेक्षक
बफर (रोधक),बफर
रोधनवक या अनुपामन वक,बफर वक्र
रोधन,बफरिंग
रोधन क्षमता,बफरिंग क्षमता
बन्दर,बंदर
पुश्ता,बट्रेस
c-संस्तर/c-होराइजन,सी-क्षितिज
तार/केबल,केबल
तारगढ़ाई,केबल मोल्डिंग
केबिल तंत्र,केबल टाकणे
केबिन,केबिन
केबिन अंकुश,केबिन हुक
मंजूषा,कपाट
ध्वनि शोषण चादर,कॅबोल्ट सोडला
कैफेटेरिया,कॅफेटेरिया
पिंजरा,पिंजरा
पिंजरानुमा निर्माण,पिंजरा बांधकाम
केनसूत्र,काईनचे सूत्र
कैसन (या कॉफर),कैसन
कैसन रोग,कॅसन रोग
केसन नींव,Caisson पाया
कैसन पाइल,Caisson ढीग
चूनेदार ईंट,चुनखडीची वीट
चूनेदार मिट्टी,चुनखडीयुक्त चिकणमाती
चूनेदार पपड़ी,चुनखडीयुक्त कवच
केल्सीकरण,कॅल्सिफिकेशन
निस्तापन,कॅल्सीनेशन
कैलसाइन,कॅल्सीन
कैल्साइट,कॅल्साइट
कैल्शियम एल्यूमिनेट सीमेंट,कॅल्शियम-अल्युमिनेट सिमेंट
कैल्शियम सिलीकेट ईंट,कॅल्शियम-सिलिकेट वीट
