Marathi,Odiya
अजैविक पुनरुत्पादन,ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |
अलौकिक,ପରମାନନ୍ଦ
1. चौथे पोट 2. इवोमासोम,1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |
रंध्र वाढीचा अवयव,ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |
वाढ खुंटलेले बीज,ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |
1. गर्भपात 2. गर्भपात 3. वाढीचा प्रतिकार,1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |
1. अवांछित तण 2. पूर्ण तण,1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |
शोषलेले केशन,ଅବଶୋଷିତ କ୍ୟାସନ୍ |
शोषण,ଅବଶୋଷଣ
Abyssinian मोहरी,ଅବିଶ୍ୱାସୀ ସୋରିଷ |
1. ऍकेरिसाइड,1. ଆକାରିସାଇଡ୍ |
केंद्राभिमुख,ସେଣ୍ଟ୍ରିପେଟାଲ୍ |
प्रवर्धन (सेल),ବୃଦ୍ଧି (କକ୍ଷ)
मंजूर सहिष्णुता,ଅନୁମୋଦିତ ସହନଶୀଳତା |
1.अतिरिक्त 2.अॅक्सेसरी 3.अॅक्सेसरी,1. ଅତିରିକ୍ତ 2.accessory 3.accessory
रुपांतर,ଆଡାପ୍ଟେସନ୍
जमा,ଜମା
1. अचूकता 2. अचूकता,1. ସଠିକତା 2. ସଠିକତା |
1. एसरव्हुलस 2. स्पोरोफाइट,1. ଆକର୍ଭୁଲସ୍ 2. ସ୍ପୋରୋଫାଇଟ୍ |
1. एसिटायझेशन 2. व्हिनेगर बनवणे 3. एसिटिलीन,1. ଏସିଟାଇଜେସନ୍ 2. ଭିନେଗାର ତିଆରି କରିବା 3. ଆସେଟିଲିନ୍ |
1. आम्लीकरण 2. आम्लीकरण,1. ଅମ୍ଳକରଣ 2. ଅମ୍ଳକରଣ |
1. ऍसिडोमीटर 2. ऍसिडीमीटर,1. ଏସିଡୋମିଟର 2. ଏସିଡିମିଟର |
आंबटपणा,ଅମ୍ଳତା |
ऍसिडोफाइल,ଏସିଡୋଫାଇଲ୍ |
ऍसिडिफाइड रॉक फॉस्फेट,ଅମ୍ଳଯୁକ୍ତ ପଥର ଫସଫେଟ୍ |
आम्लीकृत,ଅମ୍ଳଯୁକ୍ତ |
जलचर,ଜଳଜଳ
संपादन,ଅଧିଗ୍ରହଣ
एकर,ଏକର
1. क्षेत्रफळ 2. क्षेत्रफळ,1. କ୍ଷେତ୍ର 2. କ୍ଷେତ୍ର
अंतिम बिंदू गुणसूत्र,ଶେଷ ପଏଣ୍ଟ କ୍ରୋମୋଜୋମ୍ |
पुढे दिसणारा,ଆଗକୁ ଦେଖିବା
acrosome,ଆକ୍ରୋସୋମ୍ |
actinomycetes,ଆକ୍ଟିନୋମାଇସେଟ୍ସ |
सक्रिय कोर,ସକ୍ରିୟ କୋର୍ |
1. उग्र 2. तीव्र,1. କ୍ରୋଧିତ 2. ତୀବ୍ର
अनुकूलता,ଅନୁକୂଳତା
सानुकूलन,କଷ୍ଟମାଇଜେସନ୍
1. आसंजन 2. आसंजन,1. ଆଡେସିନ୍ 2. ଆଡେସିନ୍ |
सेबेशियस,sebaceous
समायोजन समीकरण,ଆଡଜଷ୍ଟେସନ୍ ସମୀକରଣ
adobe माती,ଆଡୋବ ମାଟି |
भेसळ करणारा,ବ୍ୟଭିଚାର
एक्टोपिक,ଏକ୍ଟୋପିକ୍
Isidiospore Isidium बीजाणू,Isidiospore Isidium Spore |
