Bengali,English
বাতিল অঙ্গ,Aborted organ
বাতিল বীজ,Aborted seed
গর্ভপাত,Abortion
পরম আগাছা,Absolute weed
শোষিত কেশন,Absorbed cation
শোষণ,Absorption
অ্যাবিসিনিয়ান সরিষা,Abyssinian mustard
অ্যাকারিসাইড,Acaricide
অ্যাকসেন্ট্রিক,Accentric
উচ্চারণ (সেল),Accentuate (cell)
স্বীকৃত সহনশীলতা,Accepted tolerance
আনুষঙ্গিক,Accessory
প্রশংসাপত্র,Acclimatization
জমা,Accumulation
সঠিকতা,Accuracy
এসারভুলাস,Acervulus
অ্যাসিটিফিকেশন,Acetification
অ্যাসিডিফিকেশন,Acidification
অ্যাসিডিমিটার,Acidimeter
অম্লতা,Acidity
অ্যাসিডোফিলিক,Acidophilic
অ্যাসিডুলেটেড রক ফসফেট,Acidulated rock phosphate
অ্যাসিডুরিক,Aciduric
জলজ,Aquifer
অধিগ্রহণ,Acquisition
একর,Acre
জমি,Acreage
অ্যাক্রোসেন্ট্রিক ক্রোমোজোম,Acrocentric chromosome
অ্যাক্রোপেটাল,Acropetal
অ্যাক্রোসোম,Acrosome
অ্যাক্টিনোমাইসেটস,Actinomycetes
সক্রিয় মূল অঞ্চল,Active root zone
তীব্র,Acute
অভিযোজনযোগ্যতা,Adaptability
অভিযোজন,Adaptation
আঠালো,Adhesion
অ্যাডিপোজ,Adipose
সামঞ্জস্য সমীকরণ,Adjustment equation
অ্যাডোব মাটি,Adobe soil
ভেজাল,Adulterant
অ্যাডভেটিয়াস,Adventitious
আইসিডিওস্পোর,Aecidiospore
আইওলিয়ান প্রক্রিয়া,Aeolian process
আইওলিয়ান,Aeolian
এয়ারেট,Aerate
এরিয়াল,Aerial
এয়ারোমিটার,Aerometer
অ্যারোসোল,Aerosol
এ্যাস্টিভেশন,Aestivation
এটিওলজি (এটিওলজি),Aetiology (etiology)
Afforastation,Afforestation
আন্দোলন,Agitation
অ্যাগমার্ক,Agmark
কৃষি,Agrarian
কৃষি ক্লিনিক,Agricultural clinic
কৃষি শ্রম,Agricultural labour
কৃষি বিপণন,Agricultural marketing
কৃষি প্রযুক্তি,Agricultural technology
কৃষি,Agriculture
এগ্রিসিলভিকালচার,Agrisilviculture
কৃষি,Agrobiodiversity
অ্যাগ্রোবায়োলজিকাল ত্রুটিগুলি,Agrobiological defects
অ্যাগ্রোবায়োলজি,Agrobiology
অ্যাগ্রোক্লিম্যাটিক বৈচিত্র্য,Agroclimatic diversity
অ্যাগ্রোক্লিম্যাটিক জোনিং,Agroclimatic zoning
কৃষি,Agroforestry
কৃষিবিদ,Agrology
কৃষি,Agronomy
অ্যাগ্রোপাস্টোরাল,Agropastoral
কৃষি,Agroprocessing
অ্যাগ্রোস্টোলজি,Agrostology
এগ্রোটাইপ,Agrotype
এয়ার প্ল্যান্ট,Air plant
আকিওচি মাটি,Akiochi soil
অ্যালবিনিজম,Albinism
আলফিসোলস,Alfisols
শৈবাল,Algae
অ্যালগাল ডিজিজ,Algal disease
ক্ষার জল,Alkali water
ক্ষারীয়,Alkaline
অ্যালিল,Allele
অ্যালিলোকেমিক্যালস,Allelochemicals
Allelomorph,Allelomorph
অ্যালোলোপ্যাথি,Allelopathy
অলি ক্রপিং,Alley cropping
বরাদ্দ,Allocarpy
অ্যালোগ্যামি,Allogamy
অ্যালোমেট্রি,Allometry
অ্যালোপলিপ্লয়েড,Allopolyploid
Allosynapsis (allosyndesis),Allosynapsis (allosyndesis)
বিকল্প ভারবহন,Alternate bearing
বিকল্প জমি ব্যবহার,Alternate land use
পরিবেষ্টিত,Ambient
অ্যামেলিয়োর্যান্ট,Ameliorant
অ্যামিটোসিস,Amitosis
গোলাবারুদ,Amminization
অ্যামোনিফিকেশন,Ammonification
অ্যামোনিফায়ার,Ammonifier
অ্যামর্ফ,Amorph
অ্যাম্ফিমিক্সিস,Amphimixis
এমফোটেরিক,Amphoteric
অ্যানাবোলিজম,Anabolism
