Kannada,Assamese
ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್,এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ
ವಿಪಥನ,বিচ্যুতি
ಅಸಹಜ ಪ್ರಸರಣ,অস্বাভাৱিক সংক্ৰমণ
"ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ","অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা"
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,অনুপস্থিত বৰ্ণালী
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ","নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত"
ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ,নিৰপেক্ষ আৰ্দ্ৰতা
ಸಂಪೂರ್ಣ ವೇಗ,নিৰপেক্ষ গতি
ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ,নিৰপেক্ষ পৰ্যবেক্ষণ
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,নিৰপেক্ষ উষ্ণতা
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,নিৰপেক্ষ শূন্য
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,শুহি লোৱা
"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ","শোষক, শোষক"
ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,শোষণ ক্ষমতা
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,শোষণ ক্ষমতা
ಹೀರಿಕೊಳ್ಳುವ,শোষক
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,শোষণ ক্ষমতা
ಬಹುಸಂಖ್ಯೆಯ ಅನುಪಾತ,বহুগুণতা অনুপাত
ವೇಗವನ್ನು,ত্বৰান্বিত কৰক
ಆತುರಪಟ್ಟರು,খৰধৰকৈ উঠিল
ವೇಗವರ್ಧನೆ,বেগ বৃদ্ধি
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ವೇಗವರ್ಧನೆ,মাধ্যাকৰ্ষণৰ ত্বৰণ
ವೇಗವರ್ಧಕ,ত্বৰণকাৰী
