Hindi,Tamil
ऐम्पियर (मात्रक),ஆம்பியர் (அலகு)
ऐंगस्ट्रम,ஆங்ஸ்ட்ரம்
ए-वर्ग प्रवर्धक,ஏ-வகுப்பு பெருக்கி
ए.एन रेडियो सहाय,ஏஎன் ரேடியோ சஹே
ए-क्रमवीक्षण प्रस्तुति,ஒரு ஸ்கேனிங் விளக்கக்காட்சி
ए-दर्श,ஒரு-தர்ஷ்
ए-स्कोप प्रदर्शन,ஏ-ஸ்கோப் செயல்திறன்
ए-टी कर्तित क्रिस्टल,ஏ-டி வளைந்த படிகம்
"ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन","ஏசி-டிசி நன்மைகள், ஏ. குறுவட்டு. சி.லாபி, ஏ. குறுவட்டு. c. பெருக்கம்"
पूर्वाह्न,நான்
ए.एम.यू. (परमाणु संहति मात्रक),AMU (அணு நிறை அலகு)
आर्ड-वार्क*,aard-vark*
ऐब-ऐम्पियर,ab-ஆம்பியர்
ए-बी वर्ग प्रवर्धक,A-B வகுப்பு பெருக்கி
आदितः,அட
ए-बी शक्ति पिटक,ஏ-பி சக்தி பிடகா
एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़,abc = சீரமைப்பு விளக்கப்படம் = nomograph
ऐबे संख्या (ऐबे नियतांक),அபே எண் (அபே மாறிலி)
ऐबे अपवर्तनमापी,அபே ரிஃப்ராக்டோமீட்டர்
ऐबे ज्या अवस्था,அபே சைன் நிலை
स्वचालित बायस प्रतिकार,தானியங்கி சார்பு இழப்பீடு
ऐबकूलॉम,abcoulom
"विपथन, अपेरण","பிறழ்வு, பிறழ்வு"
विपथन संशोधक लेन्स,பிறழ்வு திருத்தி லென்ஸ்
आकाश-विपथन,வானம் பிறழ்வு
एबफैराड,அபராட்
एबहेनरी,எபென்ரி
ऐबनी प्रभाव (ऐबनी नियम),கருங்காலி விளைவு
अपसामान्य ध्रुवण,அசாதாரண துருவமுனைப்பு
अपसामान्य संचरण,அசாதாரண பரிமாற்றம்
अपसामान्य परावर्तन,அமானுஷ்ய பிரதிபலிப்பு
अपसामान्य अपवर्तन*,அசாதாரண ஒளிவிலகல்*
अपसामान्य प्रतिरोध,அமானுஷ்ய எதிர்ப்பு
ऐब-ओम,ab-om
"पूर्वपात, विफलन","முன்னுரிமை, தோல்வி"
"असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित","இணைக்கப்பட்ட, வழக்கமாக, நின்று, துண்டிக்கப்பட்ட, துண்டு துண்டாக"
सहसा जंप,அடிக்கடி குதிக்கிறது
भुज*,கை*
लुप्त परावर्तन,பிரதிபலிப்பு இழந்தது
लुप्त स्पैक्ट्रम,ஸ்பெக்ட்ரம் காணவில்லை
"निरपेक्ष, परम, अचर, परिशुद्ध","முழுமையான, முழுமையான, நிலையான, சரியான"
निरपेक्ष त्वरण,முழுமையான முடுக்கம்
निरपेक्ष यथार्थता,முழுமையான உண்மை
निरपेक्ष पता,முழுமையான முகவரி
भूसापेक्ष तुंगतामापी,புவிசார்ந்த உயரமானி
भूसापेक्ष तुंगता,புவியியல் உயரம்
निरपेक्ष ऐम्पियर,முழுமையான ஆம்பியர்
परम क्वथनांक,முழுமையான கொதிநிலை
निरपेक्ष तेजमापीय दीप्ति,முழுமையான ஒளிர்வு
निरपेक्ष धारिता,முழுமையான கொள்ளளவு
निरपेक्ष ऊँचाई,முழுமையான உயரம்
निरपेक्ष वर्णाक,முழுமையான நிறமி
"निरपेक्ष विन्यास, असंदिग्ध विन्यास","முழுமையான கட்டமைப்பு, தெளிவற்ற கட்டமைப்பு"
निरपेक्ष कूलॉम,முழுமையான கூலம்
पूर्ण अंधकार,முழு இருள்
निरपेक्ष कालनिर्धारण,முழுமையான திட்டமிடல்
निरपेक्ष घनत्व*,முழுமையான அடர்த்தி*
निरपेक्ष अपवहन,முழுமையான வடிகால்
निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक),முழுமையான EMU (மின்காந்த அலகு)
निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक),முழுமையான ESU (நிலையான அலகு)
निरपेक्ष दक्षता,முழுமையான செயல்திறன்
