Kannada,Odiya
ಅಬಾಕ್ಸಿಯಲ್ ಮೇಲ್ಮೈ,ଅବକାଶର ପୃଷ୍ଠ |
ಹೊಟ್ಟೆ,ପେଟ
ಕಿಬ್ಬೊಟ್ಟೆಯ ಮಹಾಪಧಮ,ପେଟର ଆର୍ଟା |
ಕಿಬ್ಬೊಟ್ಟೆಯ ಗ್ಯಾಂಗ್ಲಿಯಾ,ପେଟର ଗ୍ୟାଙ୍ଗଲିଆ |
ಅಬೆಲ್ಮೋಸ್ಕಸ್ ಎಸ್ಕುಲೆಂಟಸ್,ଆବେଲୋମୋସସ୍ ଏସ୍କୁଲେଣ୍ଟସ୍ |
ವಿರೂಪಗೊಳಿಸುವಿಕೆ,ଆବର୍ଗନ
ಅಬ್ಬರ,ଆବିସ୍
ಅಬಿಂಗ್ಡನ್ ಆಮೆ,ଆବିଙ୍ଗଡନ୍ କଇଁଛ |
ಕ್ಷು ತನ್ನತೆ,Abognescesis
ಅಸಹ್ಯವಾದ,ଅବିଟ
ಉದಾಸೀಯ ಅಂಶ,ଅବିଟିକ୍ ଫ୍ୟାକ୍ଟର୍ |
ಅಸಹಜ ಮೂತ್ರ,ଅସ୍ୱାଭାବିକ ପରିସ୍ରା |
ಅಬೊ ಬ್ಲಡ್ ಗ್ರೂಪ್,ଆବୋ ରକ୍ତ ଗୋଷ୍ଠୀ |
ಅಬ್ಸಿಸಿಕ್ ಆಮ್ಲ,ଅବସିସିକ୍ ଏସିଡ୍ |
ಕಂದಿಸುವುದು,ଅବସିସନ
ಹೀರಿಕೊಳ್ಳಿ,ଶୋଷଣ
ಹೀರಿಕೊಳ್ಳುವ ಶಿಖರ,ଅବଶୋଷଣ ଶିଖର |
ಹೀರುವಿಕೆ,ଶୋଷଣ
ಅಕಿಯಾ ಕ್ಯಾಟೆಚು,ଆକାସିଆ କ୍ୟାଚଚୁ |
ಅಕ್ಯಾಬಿಕಾ,ଆକାରିଆ ଆରବୀ |
ಅಣಕಾದ,ଆକ୍ରିନ
ಸ್ವೀಕಾರಾರ್ಹ ಲೈಂಗಿಕ ನಡವಳಿಕೆ,ଗ୍ରହଣୀୟ ଯ sexual ନ ଆଚରଣ |
ಪರಿಕರ ಗ್ರಂಥಿ,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
ಪರಿಕರ ಗ್ರಂಥಿ,ଆନୁଷଙ୍ଗିକ ଗ୍ରନ୍ଥି |
ಪರಿಕರ ಅಂಗ,ଆନୁଷଙ୍ଗିକ ଅଙ୍ଗ |
ಒಗ್ಗೂಡಿಸುವಿಕೆ,ସୁକମ୍ଲାଇଜେସନ୍
ಒಗ್ಗಿಸು,ଆକ୍ସଲାଇଜାଇଜ୍ କରନ୍ତୁ |
ವಸತಿ (ಕೇಂದ್ರೀಕರಿಸುವುದು),ଆବାସ (ଧ୍ୟାନ)
ಕಣ್ಣಿನ ವಸತಿ,ଆଖିରେ ରହିବା
ಸನ್ಯಾಸಿಗಳ ಬೆಳವಣಿಗೆ,ଆକ୍ରେଟେନାରୀ ଅଭିବୃଦ୍ଧି |
ಸಂಗ್ರಹಣೆ,ଜମା
ಸಾವಯವ ವಸ್ತುಗಳ ಸಂಗ್ರಹ,ଜମାକାରୀ ପଦାର୍ଥର ଜମା |
ಮಣ್ಣಿನ ಸಂಗ್ರಹ,ମାଟିର ଜମା |
ಉಭಯಾಕಾರದ,Acellululula |
ಅಸೆಲ್ಯುಲಾರ್ ಜೀವಿ,ଆରେଲେଲୁଲାର୍ ଜୀବଜନ୍ତୁ |
ಅಸೆಟಾಬುಮ್,ଏସିଟାବୁଲମ୍
ಅಸೆಟಾಲ್ಡಿಹೈಡ್,ACTalDeyDee
ಅಸೆಟೈಲ್ ಕೊಯೆನ್ಜೈಮ್,ACETIL କୋଏନୋଜିମ୍ |
ಕಸ,ଆଖିନିନା |
ಮೊಲ ಪ್ರಕಾರ,ଅହିଯାଉଥିବା ପ୍ରକାର |
ಉಂಗುರ,ଅହିଯେ
ಅಕ್ಲಾಮಿಡೋಸ್ಪೋರಿಯಾ,ଅଖ୍ଲଣିଡୋସପୋରିଆ |
ಆಮ್ಲ ಮಳೆ,ଅମ୍ଳ ବର୍ଷା
ಆಮ್ಲೀಯ,ଅମ୍ଳୀୟ
ಆಮ್ಲೀಯ ಅನಿಲ,ଅମ୍ଳୀୟ ଗ୍ୟାସ୍ |
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,ଅମ୍ଳତା
ಅಸಿನಾರ್ ಕೋಶ,ଆଖର ସେଲ୍ |
ಜಾಮಕೀಯ,ଆକ୍ୱେମିଲେଟ୍ |
ಅನನಟ,ଆକୋନିଟମ୍
ಆಕ್ರೋಶದ ಹುಳು,ଆକ୍ୟୁନ୍ ପୋକ |
ಅಕೌಸ್ಟಿಕ್ ವಲಯ,ଆକାଶବାଣୀ ଜୋନିଂ |
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಪಾತ್ರ,ଅର୍ଜନ ବର୍ଣ୍ଣ
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ರೋಗನಿರೋಧಕ ಶಕ್ತಿ,ଅଜାଣତର କାରଣ
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡ ಇಮ್ಯುನೊ ಕೊರತೆ ಸಿಂಡ್ರೋಮ್ (ಏಡ್ಸ್),ଇମ୍ପୁନାଓ ଅଭାବ ସିଣ୍ଡ୍ରୋମ (ଏଡସ୍) ହାସଲ କରିଛି |
ಪ್ರಾದೇಶಿಕ,ଅକାନିଆ
ಅಣಕಾದ ಬಣ್ಣ,ଆକ୍ରିଡାଇନ୍ ରଙ୍ଗ
ವ್ಯಾಪಕವಾದ,ଆକ୍ରୋସେଣ୍ଟ୍ରିକ୍ |
ಅಕ್ರಾಮನ್,ଆକ୍ରୋମିଅନ୍ |
ಸ್ಥಗಿತದ ಅನುಕ್ರಮ,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
ಅಕ್ರೊಫೆಟಲ್ ರಾಶಿ,ଆକ୍ରୋପେଟାଲ୍ କ୍ରମ |
ಅಕ್ರೋಸಿನ್,ଆକ୍ରୋସିନ୍ |
ಅ ೦ ಗಡಿ,ଆକ୍ଟିନ୍ |
ಆಕ್ಟಿನ್ ತರಹದ ಪ್ರೋಟೀನ್,ଆକ୍ଟିନ୍-ପ୍ରୋଟିନ୍ |
ಕ್ರಿಯಾಶೀಲತೆ,ଆକ୍ଟିନୋମୋରଫିକ୍ଫିକ୍ |
ಅಂಧ,ଆକ୍ଟିନୋମିସେସିସ୍ |
ಕ್ರಿಯಾಶೀಲತೆ,କାର୍ଯ୍ୟ ସମ୍ଭାବନା
ಸಕ್ರಿಯ ಕೆತ್ತನೆ,ସକ୍ରିୟ ସ୍ଲେଜ୍ |
ಸಕ್ರಿಯ ಕೆಸರು ಫ್ಲೋಕ್,ସକ୍ରିୟ ସ୍ଲେଜ୍ ଫ୍ଲୋକ |
ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ,ସକ୍ରିୟ ଶକ୍ତି
ಸಕ್ರಿಯ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ସକ୍ରିୟ ଶୋଷଣ
ಸಕ್ರಿಯ ವಿನಾಯಿತಿ,ସକ୍ରିୟ ପ୍ରତିରୋଧକତା |
ಸಕ್ರಿಯ ವಿಕಿರಣ,ସକ୍ରିୟ ବିକିରଣ |
ಸಕ್ರಿಯ ಸೈಟ್,ସକ୍ରିୟ ସାଇଟ୍
ದಳ,କାର୍ଯ୍ୟକର୍ତ୍ତା
ವಕ್ರವಳತಿ ಮಾಡು,ଆକ୍ରମିନେଟ୍ |
ಆಡಮ್ಸಿಯಾ,ଆଡାମାସିଆ |
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,ଅନୁକେତ
ರೂಪಾಂತರ,ଆଡାପ୍ଟେସନ୍
ಬೆಳಕಿನ ಆಡಳಿತಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವುದು,ହାଲୁକା ଶାସନ ପାଇଁ ଆଡାପ୍ଟେସନ୍ |
ನೀರಿನ ಕೊರತೆಗೆ ಹೊಂದಿಕೊಳ್ಳುವುದು,ଜଳ ଅଭାବରୁ ଆଡାପ୍ଟେସନ୍ |
