Assamese,English
এম্পিয়াৰ (ইউনিট),A (Ampere unit of current)
angstrum,A (angstrom)
এ-ক্লাছ এম্প্লিফায়াৰ,A amplifier
এ এন ৰেডিঅ&#39; সহায়,A-N radio range
a-স্কেনিং উপস্থাপন,A-scan presentation
আ-দৰ্শ,A-scope
এ-স্কোপ পৰিৱেশন,A-scope display
A-T বক্ৰ স্ফটিক,A-T Cut crystal
"এ চি-ডি চি লাভ, ক. চিডি। চি লাভী, এ. চিডি। গ) পৰিবৰ্ধন",A.c-d.c. gain
am,A.M. (ante meridiem)
এ এম ইউ (পাৰমাণৱিক ভৰ একক),A.m.u. (atomic mass unit)
aard-vark* গেস্টবুক,Aard-vark
ab-ampere,Ab ampere
A-B শ্ৰেণীৰ এম্প্লিফায়াৰ,AB amplifier
আদাহ,Ab initio
ক-খ শক্তি পিটকা,AB power pack
abc = প্ৰান্তিককৰণ চাৰ্ট = নোমোগ্ৰাফ,Abac=alignment chart=nomograph
Abe সংখ্যা (Abe ধ্ৰুৱক),Abbe number (=Abbe constant)
abe বিবৰ্তনমাপক,ABBE refractometer
abe চাইন অৱস্থা,Abbe sine condition
স্বয়ংক্ৰিয় পক্ষপাতিত্ব ক্ষতিপূৰণ,Abc (automatic bias compensation)
abcoulom,Abcoulomb
বিচ্যুতি,Aberration
বিচ্যুতি সংশোধক লেন্স,Aberration corrector lens
আকাশৰ বিচ্যুতি,Aberration of light
abfarad,Abfarad
এবেনৰী,Abhenry
আবলুস ইফেক্ট,Abney effect (=Abney law)
অস্বাভাৱিক মেৰুকৰণ,Abnormal polarisation
অস্বাভাৱিক সংক্ৰমণ,Abnormal propagation
অস্বাভাৱিক প্ৰতিফলন,Abnormal reflection
অস্বাভাৱিক বিবৰ্তন*,Abnormal refraction
পেৰানাৰ্মেল ৰেজিষ্টেন্স,Abnormal resistance
ab-om,Abohm
"preponderance, বিফলতা",Abortion
