Punjabi,Assamese
ਐਸਿਡੌਇਡ,এচিড’ইড
ਏਓਲੀਅਨ ਮਿੱਟੀ,ইঅ’লিয়ান মাটি
ਕੁੱਲ,গোট খোৱা
ਐਗਰੀਗੇਸ਼ਨ,সংগ্ৰহ
ਖੇਤੀ ਵਿਗਿਆਨ,কৃষি বিজ্ঞান
ਖੇਤੀ ਵਿਗਿਆਨ,কৃষি বিজ্ঞান
ਏ-ਹੋਰੀਜ਼ਨ,এ-দিগন্ত
ਆਉ-ਦਿਮਾਗ,আও-দিগন্ত
ਆਉ—ਅੰਦਾਜ਼,আও-দিগন্ত
ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ,মাটিৰ বায়ু ক্ষমতা
ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ,মাটিৰ বায়ুৰ পৰিমাণ
ਏਅਰ ਪਿਕਨੋਮੀਟਰ,এয়াৰ পিকনোমিটাৰ
ਐਲੀਟਿਕ ਮਿੱਟੀ,এলিটিক মাটি
ਐਲਵੀਅਲ ਮਿੱਟੀ,জলজ মাটি
ਐਮਫੋਲੀਟੋਇਡ,এম্ফোলাইট’ইড
ਐਨੀਅਨ,এনিয়ন
"ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;","আপাত নিৰ্দিষ্ট মাধ্যাকৰ্ষণৰ আয়তনৰ ওজন বা বাল্ক নিৰ্দিষ্ট মাধ্যাকৰ্ষণ,&quot;"
ਅਰਿਸ,আৰিছ
ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ,আছলাৰ মিহি শিলৰ কাম
ਐਸ਼ਲਰ ਚਿਣਾਈ,আছলাৰ শিলৰ কাম
ਅਜੋਨਲ ਮਿੱਟੀ,এজ’নেল মাটি
ਪਿਛਲਾ ਅਦਾਕਾਰ,পিঠিৰ অভিনেতা
ਪਿਛਲਾ arch,পিছফালৰ খোলা
ਬੈਕ ਬੈਂਡ,বেক বেণ্ড
ਪਿੱਛੇ ਬੁਰਸ਼,পিছফালৰ ব্ৰাছ
ਵਾਪਸ ਜਾਂਚ,বেক চেক
ਪਿੱਛੇ ਕਾਊਂਟਰ,বেক কাউণ্টাৰ
ਵਾਪਸ ਕੱਟਣਾ,পিঠি কাটি থকা
ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ,বেক ড্ৰাফ্ট ডেম্পাৰ
ਬੈਕ ਡਰੇਨ,বেক ড্ৰেইন
ਬੈਕ ਡਰਾਪ,বেক ড্ৰপ
ਵਾਪਸ ਭਰੋ,বেক ফিল
ਬੈਕ ਫਿਲਲੇਟ,পিছফালৰ ফিলেট
ਬੈਕ ਫਲੈਪ ਹਿੰਗ,বেক ফ্লেপ হিঞ্জ
ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ,বেক ফ্ল&#39; সংযোগ
ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ,বেক ফ্ল’ প্ৰিভেণ্টাৰ
ਬੈਕ ਗੇਜ,বেক গেজ
ਪਿਛਲਾ ਗਟਰ,পিছফালৰ নালা
ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ,পিছফালৰ অগ্নিকুণ্ড
ਬੈਕਿੰਗ,বেকিং
ਬੈਕਿੰਗ ਬੋਰਡ,বেকিং বৰ্ড
ਪਿੱਠ ਦਾ ਦਬਾਅ,পিঠিৰ চাপ
ਬੈਕ ਪ੍ਰੋਪ,বেক প্ৰপ
ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ,পিছফালৰ দৃষ্টি
ਵਾਪਸ ਪਾਣੀ,পিছফালৰ পানী
ਘਬਰਾਹਟ,বেফেল
ਬੈਗਵਰਕ,বেগৱৰ্ক
ਬੈਲਸਟ,বেলেষ্ট
ਬਾਲ ਮਿੱਟੀ,বল মাটি
ਬਾਲ ਕੋਨ ਕਲੈਂਪ,বল কন ক্লেম্প
ਕੰਡਿਆਲੀ ਤਾਰ,কাঁইটীয়া তাঁৰ
