Malayalam,Telugu
വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി,అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్
ഒഴിഞ്ഞുമാറുക,పదవీ విరమణ
അടിമത്തം നിർത്തലാക്കൽ,బానిసత్వ నిర్మూలన
ആദിവാസികൾ,ఆదివాసి
അബ്രഹാം യുഗം,అబ్రహం యుగం
ഹാജരാകാത്ത ഭൂവുടമകൾ,గైర్హాజరు భూస్వాములు
അക്കാദമി,అకాడమీ
അക്ര സമ്മേളനം,అక్ర సమావేశం
സമാഹരണങ്ങൾ,సంపాదన
സംസ്കരണം,సంస్కారము
അസെൽഡാമ,అసెల్డామా
അച്ചായൻ (=അച്ചിയൻ),అచెయన్ (=అచియన్)
അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്),అచీయన్ లీగ్ (=అచియన్ లీగ్)
അക്രോപോളിസ്,అక్రోపోలిస్
ആക്റ്റ ദിയുർന,ఆక్టా డియుర్నా
ആക്റ്റ സെനറ്റസ്,ఆక్టా సెనాటస్
ആക്റ്റ് അഡീഷണൽ,యాక్టే అడిషనల్
സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്),యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు)
നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം,సాధించేవారి చర్య
നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം,నష్టపరిహారం మరియు ఉపేక్ష చట్టం
സെറ്റിൽമെന്റ് നിയമം,సెటిల్మెంట్ చట్టం
പരസ്യ കരാർ മുദ്ര,ప్రకటన ఒప్పంద ముద్ర
അഡുല്ലമൈറ്റുകൾ,అడుల్లామైట్స్
എതിരാളി,విరోధి
എതിരാളി,విరోధి
അയോൺ,అయాన్
എയറേറിയം,ఏరోరియం
ആകാശ യുദ്ധം,వైమానిక యుద్ధం
എറ്റോലിയൻ ലീഗ്,ఏటోలియన్ లీగ్
വയസ്സ്,వయస్సు
വാർദ്ധക്യം (=വാർദ്ധക്യം),వృద్ధాప్యం (=వృద్ధాప్యం)
പ്രായമാകൽ പ്രക്രിയ,వృద్ధాప్య ప్రక్రియ
അഗെലൈ,అగెలై
ധീരതയുടെ പ്രായം,శౌర్య యుగం
എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം,జ్ఞానోదయం వయస్సు
പെരിക്കിൾസിന്റെ പ്രായം,పెరికిల్స్ వయస్సు
യുക്തിയുടെ പ്രായം,కారణం వయస్సు
കാർഷികവാദം,వ్యవసాయం
കാർഷിക പ്രസ്ഥാനം,వ్యవసాయ ఉద్యమం
ആൽബിയോൺ,అల్బియాన్
ആൽബം,ఆల్బమ్
ആൽഡർമാൻ,ఆల్డర్మాన్
വശീകരിക്കുന്ന ആയുധങ്ങൾ,అల్లుడు చేతులు
അമിറ്റി,సఖ్యత
ആംഫിക്റ്റോണിക് കൗൺസിൽ,యాంఫిక్యోనిక్ కౌన్సిల్
ആംഫിക്റ്റോണിക് ലീഗ്,యాంఫిక్యోనిక్ లీగ్
ആംഫി തിയേറ്റർ,యాంఫీ థియేటర్
അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ),అమ్రి నల్ గ్రూప్ (కుండల)
അനാക്രോണിസം,అనాక్రోనిజం
അനാക്രോണിസ്റ്റിക്,అనాక్రోనిస్టిక్
പൂർവ്വികൻ,పూర్వీకుడు
പൂർവിക ആരാധന,పూర్వీకుల ఆరాధన
വംശപരമ്പര,పూర్వీకులు
വംശപരമ്പര,పూర్వీకులు
വംശപരമ്പര,పూర్వీకులు
വംശപരമ്പര,పూర్వీకులు
പുരാതന ഭരണം,ప్రాచీన పాలన
പുരാതന,ప్రాచీన
പുരാതന ബാലഡ്,పురాతన బల్లాడ్
പുരാതന വിശ്വാസം,పురాతన నమ్మకం
പുരാതന ആചാരം,ప్రాచీన ఆచారం
പുരാതനമായ ചരിത്രം,పురాతన చరిత్ర
പുരാതന സ്മാരകങ്ങൾ,పురాతన స్మారక చిహ్నాలు
ഉപകഥ,ఉదంతము
ആഞ്ചലോട്ട്,ఏంజెలోట్
ആഞ്ചലസ്,ఏంజెలస్
ആഞ്ജെവിൻ (=ആഞ്ജെവിൻ),అంజివిన్ (=అంజెవిన్)
കോണുകൾ,కోణాలు
ആംഗ്ലിക്കൻ,ఆంగ్లికన్
ആംഗ്ലിക്കൻ കൂട്ടായ്മ,ఆంగ్లికన్ కమ్యూనియన్
ആംഗ്ലിക്കനിസം,ఆంగ్లికనిజం
ആംഗ്ലോ-ഫോബ്,ఆంగ్లో-ఫోబ్
ആംഗ്ലോ-ഫോബിയ,ఆంగ్లో-ఫోబియా
ആംഗ്ലോ-സാക്സൺ,ఆంగ్లో-సాక్సన్
ആംഗ്ലോ-സാക്‌സോണിസം,ఆంగ్లో-సాక్సోనిజం
അനലിസ്റ്റ്,అన్నలిస్ట్
വാർഷികങ്ങൾ,అన్నల్స్
കൂട്ടിച്ചേർക്കൽ,అనుబంధం
ആന്റി-ബെല്ലം,యాంటీ-బెల్లం
മുൻ തീയതി,ముందు తేదీ
പൗരോഹിത്യ വിരുദ്ധത,మత వ్యతిరేకత
വൈദിക വിരുദ്ധ നിയമം,మతాధికారుల వ్యతిరేక చట్టం
പൗരാണികത,ప్రాచీనకాలం
വാടക വിരുദ്ധം,వ్యతిరేక అద్దె
വാടക വിരുദ്ധം,వ్యతిరేక అద్దె
സെമിറ്റിസം വിരുദ്ധത,సెమిటిజం వ్యతిరేకత
അൻസാക്ക്,అంజాక్
അപ്പെല്ല,అపెల్లా
അരലു,అరలు
ആർച്ച് ബിഷപ്പ്,ఆర్చ్ బిషప్
ആർച്ച് ഡച്ചി,ఆర్చ్ డచీ
ആർച്ച് ഡ്യൂക്ക്,ఆర్చ్ డ్యూక్
ആർക്കൈഫ് (=ആർക്കൈവൽ ശേഖരം),ఆర్కైఫ్ (=ఆర్కైవల్ సేకరణ)
ആർക്കിഎപ്പിസ്കോപ്പേറ്റ്,ఆర్కిపిస్కోపేట్
പ്രഭുവർഗ്ഗം,దొర
പ്രഭു,దొర
പ്രഭുവർഗ്ഗ സ്നോബറി,కులీన స్నోబరీ
അരിസ്റ്റോട്ടിലിയൻ,అరిస్టాటిలియన్
അർമാഡ,ఆర్మడ
അർമ്മഡ (=സ്പാനിഷ് അർമ്മഡ),ఆర్మడ (=ది స్పానిష్ ఆర్మడ)
കവചക്കാരൻ (=കവചക്കാരൻ),ఆయుధాగాడు (=ఆయుధాకారుడు)
കവചം (=കവചം),కవచం (=కవచం)
ആയുധധാരി,ఆయుధాగాడు
ആര്യൻ,ఆర్యన్
ആര്യൻ,ఆర్యన్
അസ്കരി,అస్కారి
നിയോഗിക്കുക,కేటాయించండి
അസൈസ് ചെയ്യുക,అసైజ్ చేయండి
അസൈസ് ചെയ്യുക,అసైజ్ చేయండి
അസൈസ് ചെയ്യുക,అసైజ్ చేయండి
അസൈസ് ഓഫ് ആയുധ നിയമം,అసైజ్ ఆఫ్ ఆర్మ్స్ యాక్ట్
അസൈസ് ഓഫ് ഡാരെൻ അവതരണം,డారీన్ ప్రెజెంట్‌మెంట్ అసైజ్
മോർട്ട് &#39;ഡി&#39; മുൻഗാമിയുടെ അസൈസ്,మోర్ట్ &#39;D&#39; పూర్వీకుల అస్సైజ్
അസൈസ് ഓഫ് നോവൽ ഡിസെസിൻ,అసైజ్ ఆఫ్ నవల డిస్సీసిన్
ക്രൂരത,దారుణం
ആക്രമണം,దాడి
ഔലിക് കൗൺസിൽ,ఆలిక్ కౌన్సిల్
ഗെഡസിന്റെ കോടാലി (=ദി ഗെഡെസ് കോടാലി),గెడ్డెస్ యొక్క గొడ్డలి (=ది గెడెస్ గొడ్డలి)
ആക്സിസ് (=റോം-ബെർലിൻ-ടോക്കിയോ ആക്സിസ്),యాక్సిస్ (=ది రోమ్-బెర్లిన్-టోక్యో యాక్సిస్)
ബാബിലോൺ,బాబిలోన్
ബാബിലോണിയൻ അടിമത്തം (=ബാബിലോണിയൻ അടിമത്തം),బాబిలోనియన్ బందిఖానా (=బాబిలోనియన్ బందిఖానా)
ബച്ചനൽ ഭക്തൻ,బచ్చనాల్ భక్తుడు
ബച്ചനാലിയ,బచ్చనాలియా
ബാച്ചിലർ,బ్రహ్మచారి
ബാഗ്ദാദ് കരാർ,బాగ్దాద్ ఒప్పందం
ബാൽക്കൻ ലീഗ്,బాల్కన్ లీగ్
ബാൽക്കൻ കരാർ,బాల్కన్ ఒప్పందం
ബാൽക്കൻ യുദ്ധങ്ങൾ,బాల్కన్ యుద్ధాలు
ബാൾട്ടിക് കരാർ,బాల్టిక్ ఒప్పందం
കൊള്ളക്കാരൻ,బందిపోటు
ബന്ദൂങ് സമ്മേളനം,బాండుంగ్ కాన్ఫరెన్స్
നാടുകടത്തൽ,బహిష్కరణ
ബാനർ,బ్యానర్
ബാർബേറിയൻ,బార్బేరియన్
ബാർബിക്കൻ,బార్బికన్
ബർദോളി സത്യാഗ്രഹം,బార్డోలీ సత్యాగ్రహం
കളപ്പുര ബർണറുകൾ,బార్న్ బర్నర్స్
ബാരൺ,బారన్
ബാരോണേജ്,బారోనేజ్
ബറോണസ് മേജേഴ്സ്,బారోన్స్ మేజర్లు
ബാരോൺസ് പ്രായപൂർത്തിയാകാത്തവർ,బారోన్స్ మైనర్లు
ബാരോണസ്,బారోనెస్
ബാരോനെറ്റ്,బారోనెట్
ബാരോനെറ്റേജ്,బారోనెటేజ్
ബാരോനെറ്റേജ്,బారోనెటేజ్
ബാരോനെറ്റി,బారోనెట్సీ
ബാരോണി,బారోనీ
ബാരക്കൂൺ,బారకూన్
ബാരക്കൂൺ,బారకూన్
ബാരിക്കേഡ് (=ബാരിക്കഡോ),బారికేడ్ (=బారికాడో)
ബാരിക്കേഡ് (=ബാരിക്കഡോ),బారికేడ్ (=బారికాడో)
