Hindi,Gujarati
अपाक्ष पृष्ठ,મહારમાન સપાટી
उदर,પેટ
उदर महाधमनी,પેટનો એરોર્ટા
उदर गुच्छिका,આધાર ગેંગલિયા
अबेलमॉस्कस एस्कुलेन्टस,Abલ્મોશ્ચસ એસ્ક્યુલ્ટસ
विपथन,વિપુલતા
ऐबीज (बलूत),નાજુક
ऐबिंग्डन कछुआ,એબિંગ્ડન કાચબો
अजीवात्जनन,સ્વત્વાર્પણ
अजीवीय,અહંકારી
"अजीवीय कारक, अजैव कारक",અભણ પરિબળ
अपसामानय मूत्र,અસામાન્ય પેશાબ
ए.बी.ओ. रुधिर वर्ग,એબીઓ રક્ત જૂથ
एब्सिसिक अम्ल,સદસ્યાટ
विलगन,વિકલાંગતા
अवशोषण करना,શોષવું
अवशोषण शिखर,શોષણ ટોચ
अवशोषण,સમાવેશ
अकेशिया कैटेच्यू,બાવળ
अकेशिया अरेबिका (बबूल),એકરિયા અરબીકા
ऐकैप्रिन,એકર
स्वीकार्य लैंगिक व्यवहार,સ્વીકાર્ય જાતીય વર્તન
सहायक ग्रंथि,સહાયક ગ્રંથિ
अतिरिक्त ग्रंथि,સહાયક ગ્રંથિ
सहायक अंग,સહાયક અંગ
"पर्यनुकूलन, दशानुकूलन",સ્વાર્થીકરણ
"पर्यनुकूलित करना, दशानुकूलित करना",મામૂલી કરવું
समंजन (फोकसन),આવાસ (ધ્યાન કેન્દ્રિત)
नेत्र की समंजन क्षमता,આંખનું સ્થાન
अभिवर्धी वृद्धि,પરિધિ
"संचय, संचयन",સંચય
कार्बनिक पदार्थों का एकत्रीकरण,કાર્બનિક પદાર્થનું સંચય
मृदा संचयन,જમીનનો સંચય
अकोशिकीय,મધ્યમ
अकोशिकीय जीव,મધ્ય જીવ
"श्रोणिउलूखल, ऐसीटैबुलम",અકારો
ऐसीटेल्डिहाइड,Ecetaldehyde
ऐसीटिल सह-ऐंजाइम,એસીટીલ કોએન્ઝાઇમ
ऐकेटाइना,એકલતા
ऐकीन प्रकार,અચેન પ્રકાર
ऐकीन,અહંકાર
ऐक्लेमाइडोस्पोरी,આચ્છાદન
अम्ल वर्षा,એસિડ વરસાદ
अम्लीय,અમ્દિન
अम्लीय गैस,અમ્બલિક ગેસ
अम्लता,અમલ્ય
गुच्छकोष्ठक कोशिका,કોતરણીનો કોષ
अगुहिक,Acાંકણ
ऐकोनिटम,એક જાતની કળા
"एकॉर्न कृमि, बंजुक कृमि",એકોખી
"ध्वानिक मंडलन, ध्वानिक जोननिर्माण",ધ્વનિ ક્ષેત્ર
उपार्जित लक्षण,પ્રાપ્ત કરેલું પાત્ર
उपार्जित प्रतिरक्षा,હસ્તગત પ્રતિરક્ષા
उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स),હસ્તગત ઇમ્યુનો ઉણપ સિન્ડ્રોમ (એઇડ્સ)
ऐक्रैनिया,ક્રોધાવેશ
एक्रिडीन रंजक,એસિડાઇન રંગ
अग्रकेंद्री,અતિશય
अंसकूट,કરચલી
अग्राभिसारी अनुक्रम,સર્કરો
अग्राभिसारी क्रम,સરકરાનો હુકમ
एक्रोसिन,ગળાશ
ऐक्टिन,કાર્ય
ऐक्टिन-सम प्रोटीन,કૃત્ય
त्रिज्यासममित,અભિપ્રાયનું
एक्टिनोमाइसिटीज,કૃત્ય
क्रिया विभव,કાર્ય માટેની ક્ષમતા
सक्रियित आपंक,સક્રિય કાદવ
सक्रियित आपंक फ्लॉक,સક્રિય કાદવ ફ્લોક
सक्रियण ऊर्जा,સક્રિય energyર્જા
सक्रिय अवशोषण,સક્રિય શોષણ
सक्रिय प्रतिरक्षा,સક્રિય પ્રતિરક્ષા
सक्रिय विकिरण,સક્રિય કિરણોત્સર્ગ
सक्रिय स्थल,સક્રિય સ્થળ
ऐक्टिविन,સક્રિય
लंबाग्र,અણીદાર
ऐडैम्सिया,એડ્મસિયા
अनुकूलनशीलता,અનુકૂલનક્ષમતા
अनुकूलन,અનુકૂલન
प्रकाश प्रवृत्ति के प्रति अनुकूलन,પ્રકાશ શાસન માટે અનુકૂલન
जलाभाव के प्रति अनुकूलन,પાણીની અછતને અનુકૂલન
अनुकूली (अभि) लक्षण,અનુકૂલનશીલ લાક્ષણિકતાઓ
अनुकूली प्रतिरक्षा,અનુકૂલનશીલ પ્રતિરક્ષા
अनुकूली विकिरण,અનુકૂલનશીલ કિરણોત્સર્ગ
अनुकूली विशेषक,અનુકૂલન લક્ષણ
अभ्यक्ष पृष्ठ,ઉપદેશક
व्यसनी विकार,વ્યસનકારક વિકાર
ऐडेनीन,એક જાતની adાળ
ऐडिनोकॉर्टिकोट्रॉपिन,એડોનોકોર્ટિકોટ્રોપિન
ऐडेनोहाइपोफाइसिस,એનોહિપોફિસીસ
ऐडेनोसिन डाइफास्फेट,એડેનોસિન ડિફોસ્ફેટ
ऐडेनोसिन डीएमीनेज,એમેનોસિન
ऐडेनोसिन मोनोफॉस्फेट,એનોસિન મોનોફોસ્ફેટ
ऐडेनोसिन ट्राइफॉस्फेट,એડેનોસિન ટ્રાઇફોસ્ફેટ (એટીપી)
एडेनिलेट साइक्लेज,સાયક્લેઝ
आसंजी बल,ચપળ બળ
ऐडिपेट,શણગારવું
वसाणु (वसा कोशिका),એડિપોસાઇટ (ચરબી કોષ)
वसा ऊतक,ચરબી પેશી
संलग्न,Nતરતું
संलग्न समुदाय,સંલગ્ન સમુદાય
अधिवृक्क,વ્યવહાસી
अधिवृक्क ग्रंथि,એડ્રીનલ ગ્રંથિ
एड्रिनोकॉर्टिकोट्रॉपिक हॉर्मोन,એડ્રેનોકોર્ટિકોટ્રોપિક હોર્મોન (એસીટીએચ)
एड्रिनोकॉर्टिकोट्रॉपिक निर्मोचक हार्मोन,એડ્રેનોકોર્ટિકોટ્રોપિક રિલીઝિંગ હોર્મોન (એસીટીઆરએચ)
अधिशोषक,શોષક
अधिशोषण,શોષક
उन्नत कशेरुकी,અદ્યતન તાર
लाभकारी उत्परिवर्तन,ફાયદાકારક પરિવર્તન
बाह्य कंचुक,સાહસિક
अपस्थानिक जड़,અગમ્ય મૂળ
प्रतिकूल प्रभाव,પ્રતિકૂળ અસર
ईडीज,એડીસ
संवर्ध-वातन,સંસ્કૃતિનો વાયુ
वायूतक,વિમાન
"वायव (वि.), एरियल (सं.)",હવાઈ
वायव जड़,હવાઈ ​​મૂળ
वायव प्ररोह,હવાઈ ​​ગોળી
वायु श्वसन,વાયુગામી શ્વસન
ऑक्सी श्वसन,વાયુગામી શ્વસન
सौंदर्यबोध,સૌંદર્ય શાસ્ત્ર
पुष्पदल विन्यास,નિલાસ્ય
ग्रीष्मनिष्क्रियता,નિલાસ્ય
अभिवाही,સંલગ્ન
बंधुता वर्णलेखन,લગાવ રંગ
ग्रसित अंग,પીડિત અંગ
वनरोपण,વનીકરણ
अनिषेकबीजता,અકસ્માત
ऐगार,પાટિયું
ऐगेरोस,અણીદાર
ऐगेरोस जेल वैद्युतकण संचलन,એલોઝ જેલ એલેટ્રોફોરેસિસ
एगेरोस बहुलक जेल,પિલર જેલ
एगास्ट,અવસ્થામાં
अगेव,ખાડી
आयु अनुसार वितरण,વય વહેંચણી
आयु पिरैमिड,વય પિરામિડ
