Malayalam,Hindi
ശീതീകരണം,"उपशमन, कमी"
ചുരുക്കല്,संक्षिप्‍ति
പിടിച്ചുകൊണ്ടുപോകല്,अपहरण
Aveyne,प्रास्थगन
കഴിവ്,योग्यता
Ab initio,"आदित:, आरंभ से"
കഴിവുള്ള,योग्य
വിലക്ഷണമായ,अपसामान्य
നിർത്തലാക്കൽ,"उन्मूलन, समाप्‍ति"
നിർത്തലാക്കൽ പോസ്റ്റ്,पद समाप्‍ति
മുകളിൽ സൂചിപ്പിച്ച,"ऊपर उल्लिखित, उपर्युक्‍त"
മുകളിൽ ഉദ്ധരിച്ചത്,ऊपर उद्‍धृत
മുകളിൽ പറഞ്ഞത്,उपर्युक्‍त
അസാന്നിദ്ധം,"अनुपस्थिति, गैरहाजि़री, अभाव"
ഹാജരാകാത്ത,"अनुपस्थित, ग़ैरहाजि़र"
ഹാജരാകാത്തീയത,"अनुपस्थिति-प्रवृत्‍ति, अन्यत्रवासिता"
ഹാജരാകാതിരിക്കുക,अनुपस्थिति-विवरण
കേശവം,"पूर्ण, निरपेक्ष"
കേവല കുത്തക,पूर्ण एकाधिकार
കേവല ഉടമസ്ഥാവകാശം,पूर्ण स्वामित्व
ആഗിരണം,"आमेलन, अवशोषण"
വേര്പെട്ടുനില്ക്കുന്ന,सार
അനുഗമിക്കുന്നു,सार-विवरण
അസംബന്ധം,"अर्थहीन, बेतुका"
സമൃദ്ധി,प्रचुरता
അധികാര ദുരുപയോഗം,शक्‍ति का दुरुपयोग
അധിക്ഷേപകരമായ ഭാഷ,गाली-गलौज
പണ്ഡിതോചിതമായ,"अकादमिक, शैक्षणिक, विद्‌यासंबंधी, शास्त्रीय"
അക്കാദമിക് ചർച്ച,शास्त्रीय चर्चा
അക്കാദമിക് അവധി,अकादमिक छुट्टी
വിദ്യാഭ്യാസ യോഗ്യത,शैक्षिणिक अर्हता
അക്കാദമിക് റെക്കോർഡ്,"शैक्षिक रिकार्ड, शैक्षिक अभिलेख"
നിര്വഹിക്കുക,"मान लेना, अधिमिलन होना"
അംഗീകരിക്കുക,"स्वीकार करना, मानना"
കൈക്കൊള്ളല്,"स्वीकृति, प्रतिग्रहण"
ഓഫീസിന്റെ സ്വീകാര്യത,पद-स्वीकृति
ടെണ്ടർ സ്വീകാര്യത,निविदा की स्वीकृति
പ്രവേശനം,पहुंच
അപേക്ഷ,"राज्यारोहण, पदारोहण, परिग्रहण"
ഉപസാധനം,"अनुषंगी, उपसाधन"
ആകസ്മികത,"दुर्घटना, संयोग"
ACCLIMATIES,पर्यनुकूलन
സ്ഥലസൗകരം,"आवास, निर्वाह, समंजन"
അനുഗമിച്ചു,संगकार
അക്കോര്,"समझौता, प्रदान करना, देना"
അഭാവം,"अनुरूपता, संगति"
അക്കാരണത്താല്,तदनुसार
കണക്ക്,"लेखा, खाता, हिसाब"
ഉത്തരവാദിത്തം,जवाबदेही
ഉത്തരവാദിയായ,"जवाबदेह, देनदार"
അക്കൗണ്ടൻസി,"लेखा विधि, लेखा कार्य"
