Marathi,Hindi
एसी समतुल्य सर्किट,ए.सी. समतुल्य परिपथ
एनालॉग ते अंकीय कनवर्टर,अनुरूप से अंकीय परिवर्तक
पूर्ण शून्य,परम शून्य
शोषण गुणांक,अवशोषण गुणांक
शोषण स्पेक्ट्रम,अवशोषण स्पेक्ट्रम
रिसेप्टर अणू,ग्राही परमाणु
पर्यायी वर्तमान जोडणी,प्रत्यावर्ती धारा युग्मन
इलेक्ट्रॉन कापणी,इलेक्ट्रॉन संचयन
भोक संचयन,होल संचयन
सक्रियता ऊर्जा,सक्रियण ऊर्जा
सक्रिय अॅम्प्लीफायर,सक्रिय प्रवर्धक
सक्रिय डायोड सर्किट,सक्रिय डायोड परिपथ
सक्रिय फिल्टर,सक्रिय फिल्टर
सक्रिय उच्च वारंवारता पर्केट फिल्टर,सक्रिय उच्च आवृत्ति पारक फिल्टर
सक्रिय भार,सक्रिय लोड
सक्रिय कमी वारंवारता पार्स फिल्टर,सक्रिय निमन आवृत्ति पारक फिल्टर
सक्रिय क्षेत्र,सक्रिय क्षेत्र
अनुकूली इलेक्ट्रॉनिक्स,अनुकूली इलेक्ट्रॉनिकी
जोडणारा,योजक
समायोज्य बँड विस्तार,समायोजी बैंड विस्तार
प्रवेश,प्रवेश्यता
एरियल,एरियल
pep वारंवारता,स्फूर्ति आवृत्ति
एअर कंडिशनर,वातानुकूलक
संरेखन,संरेखन
अल्गोरिदम,आल्गोरिदम
सर्व पास फिल्टर,समस्त पारक फिल्टर
मिश्र धातु जंक्शन,मिश्रधातु संधि
क्षीणन,क्षीणन
पर्यायी प्रवाह,प्रत्यावर्ती धारा
वातावरणीय तापमान,परिवेश ताप
द्विध्रुवीय,उभयध्रुवीय
प्रवर्धन,प्रवर्धन
अॅम्प्लिफायर,प्रवर्धक
एम्पलीफायर कार्यक्षमता,प्रवर्धक दक्षता
परिमाण,आयाम
मोठेपणा क्षीणन,आयाम क्षीणन
अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर,आयाम मॉडुलित ए.एम. दोलित्र
मोठेपणा मॉड्यूलेशन,आयाम मॉडुलन
मोठेपणा मॉड्युलेटर,आयाम मॉडुलक
अँग्स्ट्रोम युनिट,एंगस्ट्रॉम इकाई
अॅनालॉग सर्किट,अनुरूप परिपथ
अॅनालॉग संगणक,अनुरूप कंप्यूटर
अॅनालॉग फिल्टर,अनुरूप फिल्टर
अॅनालॉग मल्टीमीटर,अनुरूप बहुमापी
अॅनालॉग स्विच,अनुरूप स्विच
आणि गेट,AND गेट
कोनीय वारंवारता,कोणीय आवृत्ति
"anion, anion","ऋणायन, एनॉयन"
एनीलिंग तापमान,अनीलन तापमान
एनोड,ऐनोड
एनोड अॅम्प्लिफायर,ऐनोड प्रवर्धक
anodyne,ऐनोडी करण
अँटेना,ऐन्टेना
अँटेना घटक,ऐन्टेना घटक
विरोधी परावर्तक कोटिंग,परावर्तन रोधी लेपन
अँटिलॉगिन अॅम्प्लिफायर,प्रतिलघुगुणक प्रवर्धक
अँटीरेझोनंट सर्किट,प्रतिअनुनादी परिपथ
द्वारक काळ,द्वारक काल
आभासी शक्ती,आभासीय शक्ति
वायर कनेक्शन,तार संयोजन
अंदाजे व्होल्टेज वाढ,सन्निकट वोल्टता लब्धि
