Punjabi,Odiya
ਐਸਿਡੌਇਡ,ଏସିଡଏଡ୍ |
ਏਓਲੀਅਨ ਮਿੱਟੀ,ଆଓଲିୟାନ୍ ମାଟି |
ਕੁੱਲ,ସମୁଦାୟ
ਐਗਰੀਗੇਸ਼ਨ,ଏକୀକରଣ
ਖੇਤੀ ਵਿਗਿਆਨ,ଏଗ୍ରୋଲୋଜି
ਖੇਤੀ ਵਿਗਿਆਨ,କୃଷି
ਏ-ਹੋਰੀਜ਼ਨ,ଏକ ରାଶି
ਆਉ-ਦਿਮਾਗ,ଆଓ-ରାଶି
ਆਉ—ਅੰਦਾਜ਼,ଆଓ-ରାଶି |
ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ,ମାଟିର ବାୟୁ କ୍ଷମତା |
ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ,ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |
ਏਅਰ ਪਿਕਨੋਮੀਟਰ,ବାୟୁ ପିକନୋମିଟର |
ਐਲੀਟਿਕ ਮਿੱਟੀ,ଆଲିଟିକ୍ ମାଟି |
ਐਲਵੀਅਲ ਮਿੱਟੀ,ଆଲୁଭିଆଲ୍ ମାଟି |
ਐਮਫੋਲੀਟੋਇਡ,ଆମ୍ଫୋଲାଇଟଏଡ୍ |
ਐਨੀਅਨ,ଆନିଅନ୍ |
"ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;","ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;"
ਅਰਿਸ,ଆରିସ୍
ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ,ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |
ਐਸ਼ਲਰ ਚਿਣਾਈ,ଆଶଲାର୍ ରାଜକନିକା |
ਅਜੋਨਲ ਮਿੱਟੀ,ଆଜୋନାଲ ମାଟି |
ਪਿਛਲਾ ਅਦਾਕਾਰ,ପଛ ଆକ୍ଟର୍ |
ਪਿਛਲਾ arch,ପଛ ଆର୍କ
ਬੈਕ ਬੈਂਡ,ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |
ਪਿੱਛੇ ਬੁਰਸ਼,ପଛ ବ୍ରଶ୍ |
ਵਾਪਸ ਜਾਂਚ,ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |
ਪਿੱਛੇ ਕਾਊਂਟਰ,ପଛ କାଉଣ୍ଟର |
ਵਾਪਸ ਕੱਟਣਾ,ପଛ କାଟିବା |
ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ,ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |
ਬੈਕ ਡਰੇਨ,ପଛ ଡ୍ରେନ୍ |
ਬੈਕ ਡਰਾਪ,ବ୍ୟାକ୍ ଡ୍ରପ୍ |
ਵਾਪਸ ਭਰੋ,ପଛକୁ ପୁରଣ କରନ୍ତୁ |
ਬੈਕ ਫਿਲਲੇਟ,ପଛ ଫିଲେଟ୍ |
ਬੈਕ ਫਲੈਪ ਹਿੰਗ,ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |
ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ,ପଛ ପ୍ରବାହ ସଂଯୋଗ |
