Kannada,Marathi
ಅಬೆಲಿಯನ್ ಗುಂಪು,अबेलियन गट
ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್,अबेलियन अर्धसमूह
ಅಬ್ಸಿಸ್ಸಾ,abscissa
ಸಂಪೂರ್ಣ,निरपेक्ष
ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ,परिपूर्ण अभिसरण
ಸಂಪೂರ್ಣ ದೋಷ,पूर्ण त्रुटी
ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ,परिपूर्ण कमाल
ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ,परिपूर्ण किमान
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,परिपूर्ण मूल्य
ಸಂಪೂರ್ಣ ವೇಗ,परिपूर्ण वेग
ಅಮೂರ್ತ ಬೀಜಗಣಿತ,अमूर्त बीजगणित
ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ,अमूर्त गट सिद्धांत
ವೇಗವರ್ಧನೆ,प्रवेग
ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ,गुरुत्वाकर्षणामुळे प्रवेग
ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್,स्वीकार्य निवड संच
ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ,स्वीकार्य गुणवत्ता पातळी
ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ,स्वीकार्य श्रेणी
ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ,स्वीकार्य विश्वसनीयता पातळी
ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ,स्वीकार्य नमुना
ಸಂಚಿತ ದೋಷ,संचित त्रुटी
ನಿಖರತೆ,अचूकता
ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ,अभिनय शक्ती
ಕ್ರಮ,क्रिया
ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ,क्रिया आणि प्रतिक्रिया
ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ,वास्तविक विज्ञान
ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ,तीव्र कोन त्रिकोण
ಅಸೈಕ್ಲಿಕ್,अॅसायक्लिक
ಸೇರಿಸಿ,जोडा
ಸೇರಿಸುವವನು,जोडणारा
ಜೊತೆಗೆ,या व्यतिरिक्त
ಸೇರ್ಪಡೆ ಸೂತ್ರ,जोड सूत्र
ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ,जटिल संख्यांची बेरीज
ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ,कार्ये जोडणे
ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ,मॅट्रिक्स जोडणे
ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ,बहुपदी जोडणे
ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ,संभाव्यता जोडणे
ವಾಹಕಗಳ ಸೇರ್ಪಡೆ,वेक्टर जोडणे
ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ,अतिरिक्त प्रमेय
