Hindi,Bengali
"1.एबेकस ,2. गिनतारा",অ্যাবাকাস
असामान्य समापन,অস্বাভাবিক সমাপ্তি
अवरोधन,গর্ভপাত
"1. निरपेक्ष ,2. परम",পরম
निरपेक्ष पता,পরম ঠিকানা
निरपेक्ष पताभिगमन,পরম ঠিকানা
निरपेक्ष कोडांतरक,পরম সংযোজনকারী
"1. निरपेक्ष कूट ,2. निरपेक्ष कोड",পরম কোড
निरपेक्ष समादेश,পরম আদেশ
"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा",পরম তথ্য
निरपेक्ष अनुदेश,পরম নির্দেশ
निरपेक्ष विधा,পরম মোড
निरपेक्ष पथ,পরম পথ
"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन",পরম প্রোগ্রামিং
अमूर्त वर्ग,বিমূর্ত ক্লাস
अमूर्त आंकड़ा प्रकार,বিমূর্ত তথ্য প্রকার
अमूर्त मशीन,বিমূর্ত মেশিন
अमूर्त प्रतीक,বিমূর্ত প্রতীক
अमूर्त वाक्य विन्यास,বিমূর্ত বাক্য গঠন
स्वीकृति परीक्षण,স্বীকৃতি যাচাইকরণ
अभिगम प्रमाणन,অ্যাক্সেস প্রমাণীকরণ
"1. अभिगम कूट ,2. अभिगम कोड",প্রবেশাধিকার কোড
अभिगम नियंत्रण,প্রবেশাধিকার নিয়ন্ত্রণ
अभिगम क्रमवीक्षण,অ্যাক্সেস স্ক্যান
सहयंत्र,আনুষঙ্গিক
लेखा,অ্যাকাউন্ট
"1. एकाउंट आई डी ,2. लेखा पहचान",অ্যাকাউন্ট আইডি
संचायक,সঞ্চয়কারী
"1. विशुद्धता ,2. यर्थाथता",সঠিকতা
अभिगम,অ্যাক্সেস
अभिगम नियंत्रण बाइट,অ্যাক্সেস নিয়ন্ত্রণ বাইট
अभिगम सूचक,অ্যাক্সেস সূচক
अभिगम कुंजी,অ্যাক্সেস কী
"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स",অ্যাক্সেস ম্যাট্রিক্স
अभिगम विधा,অ্যাক্সেস মোড
अभिगम विशेषाधिकार,প্রবেশাধিকার
अभिगम सुरक्षा,অ্যাক্সেস নিরাপত্তা
"1. अभिगम परिसेवक ,2. अभिगम सर्वर",অ্যাক্সেস সার্ভার
अभिगम काल,অ্যাক্সেস সময়
अभिस्वीकृति,স্বীকৃতি
ध्वनिकी,ধ্বনিবিদ্যা
"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप",সংক্ষিপ্ত রূপ
क्रिया संदेश,কর্ম বার্তা
सक्रियण,সক্রিয়করণ
सक्रिय सर्वर पृष्ठ,সক্রিয় সার্ভার পৃষ্ঠা (এএসপি)
सक्रिय वर्जन,সক্রিয় সংস্করণ
अचक्रीय,অ্যাসাইক্লিক
"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ",অ্যাসাইক্লিক গ্রাফ
एडा कंप्यूटर भाषा,অ্যাডা ভাষা
"1. अनुकूलक ,2. अनुकूलित्र",অ্যাডাপ্টার
योग (करना),যোগ করুন
योग संचिका,ফাইল যুক্ত কর
"1. जोड़ संक्रिया ,2. योग संक्रिया",অপারেশন যোগ করুন
योजक,যোগকারী
पता,ঠিকানা
पता बस,ঠিকানা বাস
पता संचिका,ঠিকানা ফাইল
पता आरूप,ঠিকানা বিন্যাস
पता जनक,ঠিকানা জেনারেটর
पता पंक्ति,ঠিকানা লাইন
पता प्रतिचित्रण,ঠিকানা ম্যাপিং
पता संकेतक,ঠিকানা নির্দেশক
पता पंजी,ঠিকানা রেজিস্টার
पता विघटन,ঠিকানা রেজোলিউশন
पता अनुवाद,ঠিকানা অনুবাদ
"1. पतायुक्त स्मृति ,2. पतायुक्त मेमोरी",ঠিকানাযুক্ত স্মৃতি
पताभिगमन,সম্বোধন
"1. पर्याप्तता निकष ,2. पर्याप्तता कसौटी",পর্যাপ্ততার মানদণ্ড
संलग्न,সংলগ্ন
"1. प्रबंधन ,2. नियंत्रण",প্রশাসন
"1. प्रबंधक ,2. नियंत्रक",প্রশাসক
ऐडोब एक्रोबेट,অ্যাডোবি অ্যাক্রোব্যাট
ऐडोब फोटोशोप,অ্যাডোবি ফটোশপ
ए बी ए पी (उन्नत व्यवसाय प्रोग्रामन),অ্যাডভান্স বিজনেস অ্যাপ্লিকেশন প্রোগ্রামিং (ABAP)
"1. उन्नत आंकड़ा ,2. उन्नत डाटा",উন্নত তথ্য
उन्नत सूचना तंत्र,উন্নত তথ্য সিস্টেম
उन्नत प्रौद्योगिकी (ए टी),উন্নত প্রযুক্তি (AT)
कर्मक,প্রতিনিধি
समुच्चयन,সমষ্টি
विमानवाहित कंप्यूटर तंत्र,বায়ুবাহিত কম্পিউটার সিস্টেম
एल्डस पेज-मेक,aldus পেজ মেকার
सचेत पेटी,সতর্কতা বাক্স
ऐल्गॉल (कंप्यूटर भाषा),algol
"1.  एल्गोरिथ्म ,2. कलन विधि",অ্যালগরিদম
"1.  एल्गोरिथ्म विश्लेषण ,2. कलन विधि विश्लेषण",অ্যালগরিদম বিশ্লেষণ
एल्गोरिथ्म दक्षता,অ্যালগরিদম দক্ষতা
"1. एलिआस ,2. उपनाम ,3. उर्फ",উপনাম
संरेखण,প্রান্তিককরণ
"1. आवंटन ,2. नियतन",বরাদ্দ
"1.अक्षरात्मक ,2. वर्णानुक्रम",বর্ণানুক্রমিক
अक्षरांकीय,আলফানিউমেরিক
"1.अक्षरांकीय कुंजीपटल ,2. अक्षराकीय की-बोर्ड",আলফানিউমেরিক কী বোর্ড
अल्फा-परीक्षण (प्रथम स्तरीय परीक्षण),আলফা-পরীক্ষা
"1. अल्फा वर्जन ,2. अल्फा रूप",আলফা-সংস্করণ
आल्ट कुंजी,alt কী
आल्टाविस्टा,আলতাভিস্তা
अनेकार्थकता,অস্পষ্টতা
संदिग्ध व्याकरण,অস্পষ্ট ব্যাকরণ
अमेरिकन नेशनल स्टेंडीस इंस्टीट्यूट (ए.एन.एस.आई.),আমেরিকান ন্যাশনাল স্ট্যান্ডার্ড ইনস্টিটিউট (ANSI)
अमेरिकी मानक कट (आस्की),আমেরিকান স্ট্যান্ডার্ড কোড ফর ইনফরমেশন ইন্টারচেঞ্জ (ASCII)
"1. अनुरुप ,2. एनालॉग",এনালগ
"1. एनालॉग कंप्यूटर, 2. अनुरुप कंप्यूटर",এনালগ কম্পিউটার
"1. अनुरुप युक्ति ,2. एनालॉग डिवाइस",এনালগ ডিভাইস
"1. एनालॉग मोडेम ,2. अनुरुप मोडेम",এনালগ মডেম
अनुरुप से अंकीय रुपांतरक,এনালগ থেকে ডিজিটাল কনভার্টার (ADC)
एंड (डिजिटल/विमान लॉजिक ’और’ प्रयुक्त),এবং
एंड परिपथ,এবং সার্কিট
एंड गेट और द्वार,এবং গেট
एंड नॉट संक्रिया (अपवर्जन),এবং অপারেশন নয় (বর্জন)
"1. एनीमेशन, 2.  सजीवन",অ্যানিমেশন
टिप्पण,টীকা
असंगता,ব্যতিক্রম
पूर्ववर्ती,পূর্ববর্তী
प्रत्याशामूलक पृष्ठन,প্রত্যাশিত পেজিং
प्रति-सममित,বিরোধী প্রতিসম
विषाणुरोधी क्रमादेश,অ্যান্টিভাইরাস প্রোগ্রাম
"1. एपलेट ,2. अनुप्रयोगिका",অ্যাপলেট
अनुप्रयोग विकासक,অ্যাপ্লিকেশন ডেভেলপার
अनुप्रयोग प्रोग्रामन,অ্যাপ্লিকেশন প্রোগ্রামিং
"1. अनुप्रयोग प्रोग्रामन अंतरापृष्ठ ,2. एप्लीकेशन प्रोग्रामिंग इंटरफेस (ए.पी.आई.)",অ্যাপ্লিকেশন প্রোগ্রামিং ইন্টারফেস (API)
अनुप्रयोग सॉफ्टवेयर,অ্যাপ্লিকেশন সফ্টওয়্যার
अनुप्रयोगी भाषा,প্রয়োগমূলক ভাষা
सन्निकटण सिद्धांत,আনুমানিক তত্ত্ব
संरचना,স্থাপত্য
क्षेत्र अंतरण,এলাকা স্থানান্তর
"1. प्राचर,स्वतंत्रचर, 2. कोणांक",যুক্তি
"1. अंकगणितीय एवं तर्क एकक ,2. अंकगणितीय एवं तर्क इकाई",গাণিতিক এবং যুক্তিবিদ্যা ইউনিট
अंकगणितीय जांच,গাণিতিক চেক
अंकगणितीय अचर,গাণিতিক ধ্রুবক
अंकगणितीय आंकडा,গাণিতিক তথ্য
अंकगणितीय अनुदेश,গাণিতিক নির্দেশনা
गणितीय एवं तार्किक इकाई (ए. एल. यू.),পাটিগণিত এবং যুক্তি ইউনিট (ALU)
ए आर पी ए नेट (आरपानेट),আরপানেট
सरणी,অ্যারে
"1. सरणी कैशे ,2. सरणी द्रुतिका ,3. सरणी द्रुतस्मृति",অ্যারে ক্যাশে
सरणी कंप्यूटर,অ্যারে কম্পিউটার
सरणी अवयव,অ্যারে উপাদান
सरणी नाम,অ্যারের নাম
सरणी प्रकर्मक,অ্যারে প্রসেসর
एरो कुंजी,তীর চিহ্ন
संधि,উচ্চারণ
संधि बिन्दु,উচ্চারণ বিন্দু
कृत्रिम संहनन,কৃত্রিম কম্প্যাকশন
कृत्रिम नियंत्रण,কৃত্রিম নিয়ন্ত্রণ
कृत्रिम बोध,কৃত্রিম বুদ্ধিমত্তা
आरोहक,আরোহী
आरोही छंटाई,আরোহী সাজানোর
आस्की वर्णक्रम,ASCII বেটিকাল অর্ডার
आस्की नियंत्रण संप्रतीक,ASCII নিয়ন্ত্রণ চরিত্র
आस्की संचिका,ASCII ফাইল
आस्की फॉन्ट,ASCII ফন্ট
आस्की अंतरण,ASCII স্থানান্তর
अभिमुखता अनुपात,আনুমানিক অনুপাত
"1. ऐस्पी ,2. ए एस पी आई",এএসপিআই
ए एस आर कालद,ASR টাইমার
"1. स्मरांतरण ,2. कोडांतरण ,3. कोडांतर करना",একত্রিত করা
"1. कोडांतरक ,2. स्मरांतरक",সংযোজনকারী
"1. कोडांतरण ,2. स्मरांतरण",সমাবেশ
"1. स्मरांतरण भाषा ,2. कोडांतरण भाषा",এসেম্বলি
निश्चयन,দাবী
"1. निर्दिष्ट कार्य ,2. नियतन",নিয়োগ
साहचर्य,সংঘ
साहचर्य पता,সহযোগী ঠিকানা
"1. साहचर्य स्मृति ,2. साहचर्य मेमोरी",সহযোগী স্মৃতি
तारक (*का चिन्ह),asteric
असम्मित,অপ্রতিসম
"1. अतुल्यकालिक ,2. अतुल्यकाली",অ্যাসিঙ্ক্রোনাস
अतुल्यकालिक अंकीय अभिदाता लाइन (एडी एस एल),অ্যাসিঙ্ক্রোনাস ডিজিটাল সাবস্ক্রাইবার লাইন (ADSL)
अतुल्यकालिक समय विभाजन बहुसंकेतन (ए टी डी एम),অ্যাসিঙ্ক্রোনাস টাইম ডিভিশন মাল্টিপ্লেক্সিং (ATDM)
अतुल्यकालिक अंतरण,অ্যাসিঙ্ক্রোনাস স্থানান্তর
अतुल्यकालिक अंतरण विधा (ए टी एम),অ্যাসিঙ্ক্রোনাস ট্রান্সফার মোড (এটিএম)
"1. एटम ,2. परमाण",পরমাণু
संलग्न प्रलेख,সংযুক্ত নথি
"1. संलग्न संचिका/मिसिल ,2. संलग्न फाइल",সংযুক্ত ফাইল
"1. संलग्नक ,2. संबंद्ध",সংযুক্তি
"1. गुण ,2. विशेषता",বৈশিষ্ট্য
श्रव्य,শ্রুতি
"1. लेखा परीक्षा क्रमादेशन ,2. लेखा परीक्षा प्रोग्रामन",অডিট প্রোগ্রামিং
लेखा सत्यापन,নিরীক্ষা পথ
संवर्धन,বৃদ্ধি
प्रमाणन प्रोटोकॉल,প্রমাণীকরণ প্রোটোকল
संलेखन पद्धति,অথরিং সিস্টেম
"1. प्राधिकरण ,2. अधिकृति ,3. अधिकरण",অনুমোদন
स्वत: सार,স্বয়ংক্রিয় বিমূর্ত
"1. स्वतः बूटिंग ,2. स्व बूटन",অটোবুটিং
ऑटोकैड (एक कंप्यूटर भाषा),অটোক্যাড
स्वत: लॉग-ऑन,অটোলগ চালু
ऑटोमेटा,স্বয়ংক্রিয়
आटोमेटा सिद्धांत,স্বয়ংক্রিয় তত্ত্ব
स्वत: अभिकलन,স্বয়ংক্রিয় কম্পিউটিং
स्वत: आंकड़ा प्रक्रमण,স্বয়ংক্রিয় তথ্য প্রক্রিয়াকরণ
स्वत: त्रुटि संशोधन,স্বয়ংক্রিয় ত্রুটি সংশোধন
स्वत: फलन,স্বয়ংক্রিয় ফাংশন
"1.  स्वत: सूचकीकरण ,2. स्वत: सूचीकरण",স্বয়ংক্রিয় সূচীকরণ
स्वत: संग्रह आह्वान,স্বয়ংক্রিয় লাইব্রেরি কল
"1. स्वत: क्रमादेशन ,2. स्वत: प्रोग्रामन",স্বয়ংক্রিয় প্রোগ্রামিং
"1.स्वत: पुन: प्राप्ति क्रमादेश, 2. स्वत: पुन: प्राप्ति प्रोग्राम",স্বয়ংক্রিয় পুনরুদ্ধার প্রোগ্রাম
स्वत: नेमका,স্বয়ংক্রিয় রুটিন
स्वत: सिस्टम पुन: प्राप्ति,স্বয়ংক্রিয় সিস্টেম পুনরুদ্ধার
"1. स्वत: टेलर मशीन्अ (ए टी एम) ,2.  स्वयं धन निकालने के लिए बैंक की ए.टी.एम)",স্বয়ংক্রিয় টেলার মেশিন (এটিএম)
स्वचालन,অটোমেশন
"1. आटोप्ले ,2. स्वत: चलन",স্বয়ংক্রিয় চালু
स्वरक्षण,অটোসেভ
सहायक,সহায়ক
सहायक स्मृति,অক্জিলিয়ারী মেমরি
सहायक भंडारण,অক্জিলিয়ারী স্টোরেজ
उपलब्ध लिस्ट,প্রাপ্তিসাধ্য তালিকা
उपलब्ध समय,উপলব্ধ সময়
औसत,গড়
ए डब्ल्यू के (एक कंप्यूटर समादेश),awk (ভাষা)
पश्चांत,ব্যাকএন্ড
पश्चांत प्रक्रमक,ব্যাকএন্ড প্রসেসর
पश्च फलन विलोपन,ব্যাকফেস অপসারণ
पृष्ठभूमि प्रक्रमण,পটভূমি প্রক্রিয়াকরণ
सहायक भंडार,ব্যাকিং স্টোর
पश्च पैचीकरण,ব্যাকপ্যাচিং
"1. पश्चीयन ,2. बैकस्पेस",ব্যাকস্পেস
पश्चपथन,ব্যাকট্র্যাকিং
"1. बैक-अप ,2. पूर्तिकर",ব্যাক আপ
"1. पूर्तिकर स्मृति ,2. बैक-अप मेमोरी",ব্যাক আপ মেমরি
पश्च त्रुटि सुधार,পিছনের ত্রুটি পুনরুদ্ধার
(आय-व्यय) तुलन पत्र,ব্যালেন্স শীট
पट्टी,ব্যান্ড
"1. बैंड चौड़आई ,2. बैंड विड्थ/क्षमता",ব্যান্ড প্রস্থ
बैंकर एल्गोरिथ्म,ব্যাংকারের অ্যালগরিদম
"1.बार कूट ,2. बार कोड",বার কোড
बार कोड स्कैनर,বারকোড স্ক্যানার
बार ग्राफ,বার গ্রাফ
आधार पता,ভিত্তি ঠিকানা
आधार बैंड,বেস ব্যান্ড
आधार संख्या,ভিত্তি নম্বর
आधार सारणी,ভিত্তি টেবিল
बेसिक (एक कंप्यूटर भाषा),বেসিক
"1. मूल नियंत्रण ,2. आधार नियंत्रण",মৌলিক নিয়ন্ত্রণ
"1. मूल निवेश ,2. आधारी निवेश",মৌলিক ইনপুট
आधारभूत अनुदेश,মৌলিক নির্দেশ
आधारी निर्गम,মৌলিক আউটপুট
मूल चरण,মৌলিক পদক্ষেপ
"1. बैच ,2. समूह ,3. प्रचय",ব্যাচ
"1. बैच फाइल ,2. बैच संचिका",ব্যাচ ফাইল
बैच स्थिति,ব্যাচ অবস্থান
"1. बैच प्रक्रमण ,2. समूह प्रक्रमण",ধির গতির কাজ
"1. बैच तंत्र ,2. प्रचय तंत्र",ব্যাচ সিস্টেম
बॉड,বউড
बॉड दर,বড হার
किरण पुंज,মরীচি
"1. निर्देशमानक ,2. बैचमार्क",মাপকাঠি
द्विदिश संचार,দ্বিমুখী যোগাযোগ
विदिश कड़ी,দ্বিমুখী লিঙ্ক
द्विआधारी कूट,বাইনারি কোড
द्विआधारी अंक,বাইনারি সংখ্যা
द्विआधारी निवेश निर्गम तंत्र (बायोस),বাইনারি ইনপুট আউটপুট সিস্টেম (BIOS)
द्विआधारी संख्या,বাইনারি সংখ্যা
द्विआधारी संकारक,বাইনারি অপারেটর
द्विआधारी संबंध,বাইনারি সম্পর্ক
द्विआधारी खोज,বাইনারি অনুসন্ধান
द्विआधारी अन्वेषण तरु (बी एस टी),বাইনারি সার্চ ট্রি (BST)
"1. द्विआधारी ट्रांसफर तरु ,2. द्विआधारी अंतरण",বাইনারি স্থানান্তর
द्विआधारी तरु,বাইনারি গাছ
"1. द्विध्रुवी स्मृति ,2. द्विध्रुवी मेमोरी",বাইপোলার মেমরি
"1. जन्म मरण मॉडल ,2. जन्म मरण निदर्श",জন্ম মৃত্যু মডেল
जन्म मरण प्रक्रम,জন্ম মৃত্যু প্রক্রিয়া
"1. द्वयंक ,2. बिट",বিট
बिट दोष,বিট দোষ
बिट प्रतिचित्र,বিট মানচিত্র
"1. बिट ,2. प्रतिचित्र ,3. पिक्सेल (बी एम पी)",বিট ম্যাপ পিক্সেল (BMP)
"1. बिट आव्यूह ,2. बिट सारणी",বিট ম্যাট্রিক্স
बिट प्रतिरूप,বিট প্যাটার্ন
बिट स्थिति,বিট অবস্থান
"1. बिट रेट ,2. बिट दर",বিট হার
अंध पेटी परीक्षण,কালো বক্স পরীক্ষা
टिमटिमाना,মিটমিট করে
ब्लॉक,ব্লক
"1. खंडक दुतिका, 2. ब्लाक कैश/खंडक स्मृति",ব্লক ক্যাশে
खंडक जांच,ব্লক চেক
खंड प्रतिलिपि,ব্লক কপি
खंडक आरेख,ব্লক ডায়াগ্রাম
"1. अवरोधी नेटवर्क, 2. अवरोधी जालक्रम",ব্লকিং নেটওয়ার্ক
बोर्ड,বোর্ড
पृष्ठ स्मृति,বই চিহ্ন
बूलीय बीजगणित,বুলিয়ান বীজগণিত
बूलीय संबंध,বুলিয়ান সম্পর্ক
बूट विभाजन,বুট পার্টিশন
बूट स्ट्रैपिंग,বুট strapping
1.बूटस्ट्रैप भारक 2. स्वोत्थानी,বুট-স্ট্র্যাপ লোডার
"1.ब्रिज, 2. सेतु",সেতু
ब्राडबैंड नेटवर्क,ব্রডব্যান্ড নেটওয়ার্কিং
प्रसारण,সম্প্রচার
प्रसारण रेडियो,রেডিও সম্প্রচার
(नेट) विचरण,ব্রাউজ
(नेट) विचरक,ব্রাউজার
बी-तरु,বি-বৃক্ষ
"1.बुदबुद स्मृति, 2.बबल मेमोरी",বুদ্বুদ মেমরি
बुदबुद छंटाी,বুদ্বুদ সাজানোর
"1.बाल्टी, 2.बकेट",বালতি
"1.बंधुता तंत्र, 2.बडी तंत्र",বন্ধু সিস্টেম
बजट प्रभावी नियंत्रण,বাজেট কার্যকর নিয়ন্ত্রণ
बफर,বাফার
दोष,বাগ
बस,বাস
"1.अष्ट वयंक,2. बािट (आठ बिट)",বাইট
बािट कोड,বাইট কোড
सी (कंप्यूटर भाषा),গ
"1.सी प्लस प्लस,2.C++(कंप्यूटर भाषा)",সি++
"1.कैश,2. द्रुतिका,3.द्रुत",ক্যাশে
"1.कैश बफर, 2.द्रुतस्मृति बफर",ক্যাশে বাফার
"1.कैश स्मृति, 2.कैश मेमोरी, 3.द्रुत स्मृति",ক্যাশ মেমরি
परिकलन,গণনা
"1.कैलकुलेटर, 2.परिकलक",ক্যালকুলেটর
"1.कैलकुलेटर चिप,2. परिकलक चिप",ক্যালকুলেটর চিপ
आह्वान,কল
नाम आह्वान,নামে ডাক
संदर्भ आह्वान,রেফারেন্স দ্বারা কল করুন
मान आह्वान,মূল্য দ্বারা কল
चर आह्वान,ভেরিয়েবল দ্বারা কল
आहवान गेट,কল গেট
"1.निरस्त करना, 2.रद्द करना",বাতিল
निरसन बटन,বাতিল বোতাম
"1.विहित,2. कैनॉनिकल",ক্যানোনিকাল
विहित रूप,ক্যানোনিকাল ফর্ম
क्षमता,ক্ষমতা
क्षमता सूची,ক্ষমতা তালিকা
"1.क्षमता,2. धारिता",ক্ষমতা
कैप्स लॉक कुंजी,ক্যাপ লক কী
"1.कार्ड,2. पत्रक",কার্ড
कार्ड पाठक,কার্ড পাঠক
प्रमुखता,কার্ডিনালিটি
वाहक,বাহক
वाहक बैंड,ক্যারিয়ার ব্যান্ড
वाहक भार,ক্যারিয়ার লোড
वाहक संकेत,ক্যারিয়ার সংকেত
वाहक तरंग,ক্যারিয়ার তরঙ্গ
हासिल,বহন
हासिल अंक,অঙ্ক বহন
हासिल ध्वज,পতাকা বহন
"1.काट्रिज डिस्क, 2.काट्रिज चक्रिका",কার্তুজ ডিস্ক
"1.कास्केड, 2.सोपानी",ক্যাসকেড
केस,মামলা
कैथोड-रे-टयूब (सी आर टी),ক্যাথড রে টিউব (সিআরটি)
कैथोड किरण नलिका (सी. आर. टी.) कैथोड-रे-टयूब,ক্যাথোড রে টিউব (CRT)
सी डी रॉम डिस्क ड्रािव,সিডি রম ডিস্ক ড্রাইভ
सेल,কোষ
सेल एनीमेशन,সেল অ্যানিমেশন
सेल्युलर फोन,মোবাইল ফোন
"1.केंद्रीय स्मृति,2. केंद्रीय मेमोरी",কেন্দ্রীয় স্মৃতি
केद्रीय प्रक्रमण एकक (सी पी यू),কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট (CPU)
केंद्रीकृत तंत्र,কেন্দ্রীভূত ব্যবস্থা
प्रमाणीकृत टेप,প্রত্যয়িত টেপ
श्रृंखला,চেইন
"1.श्रृंखला आंकड़ा, 2.श्रृंखला सामग्री",চেইন ডেটা
श्रृंखला कड़ी,চেইন লিঙ্ক
श्रृंखलन,চেইনিং
"1.प्रणाल, 2.चैनल",চ্যানেল
"1.प्रणाल व्यस्त टोन, 2.चैनल व्यस्त टोन",চ্যানেল ব্যস্ত টোন
"1.प्रणाल क्षमता, 2.चैनल क्षमता",চ্যানেল ক্ষমতা
"1.प्रणाल नियंत्रक, 2.चैनल नियंत्रक",চ্যানেল কন্ট্রোলার
"1.प्रणाल त्रुटि, 2.चैनल त्रुटि",চ্যানেল ত্রুটি
"1.चैनल कार्यक्रम, 2.चैनल प्रोग्राम",চ্যানেল প্রোগ্রাম
"1.प्रणाल विश्वसनीयता, 2.चैनल विश्वसनीयता",চ্যানেল নির্ভরযোগ্যতা
"1.प्रणाल समुच्चय, 2.चैनल समुच्चय",চ্যানেল সেট
संप्रतीक,চরিত্র
"1.संप्रतीक कूट,2. संप्रतीक कोड",অক্ষর কোড
संप्रतीक कुंजी,অক্ষর কী
संप्रतीक पाठक,চরিত্র পাঠক
"1.संप्रतीक सािज, 2.संप्रतीक आमाप",অক্ষরের আকার
संचित्र,চার্ট
"1.न्याधार, 2.चैसिस",চ্যাসিস
जाँच बिट,চেক বিট
जाँच अंक,অংকের চেক
जाँच योग,চেক যোগফল
जाँच शब्द,চেক শব্দ
