Kannada,Bengali
ಅಬ್ಯಾಕಸ್,অ্যাবাকাস
ಅಸಹಜ ಮುಕ್ತಾಯ,অস্বাভাবিক সমাপ্তি
ಸ್ಥಗಿತಗೊಳಿಸು,গর্ভপাত
ಸಂಪೂರ್ಣ,পরম
ಸಂಪೂರ್ಣ ವಿಳಾಸ,পরম ঠিকানা
ಸಂಪೂರ್ಣ ವಿಳಾಸ,পরম ঠিকানা
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,পরম সংযোজনকারী
ಸಂಪೂರ್ಣ ಕೋಡ್,পরম কোড
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,পরম আদেশ
ಸಂಪೂರ್ಣ ಡೇಟಾ,পরম তথ্য
ಸಂಪೂರ್ಣ ಸೂಚನೆ,পরম নির্দেশ
ಸಂಪೂರ್ಣ ಮೋಡ್,পরম মোড
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,পরম পথ
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,পরম প্রোগ্রামিং
ಅಮೂರ್ತ ವರ್ಗ,বিমূর্ত ক্লাস
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,বিমূর্ত তথ্য প্রকার
ಅಮೂರ್ತ ಯಂತ್ರ,বিমূর্ত মেশিন
ಅಮೂರ್ತ ಚಿಹ್ನೆ,বিমূর্ত প্রতীক
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,বিমূর্ত বাক্য গঠন
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,স্বীকৃতি যাচাইকরণ
ಪ್ರವೇಶ ದೃಢೀಕರಣ,অ্যাক্সেস প্রমাণীকরণ
ಪ್ರವೇಶ ಕೋಡ್,প্রবেশাধিকার কোড
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,প্রবেশাধিকার নিয়ন্ত্রণ
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,অ্যাক্সেস স্ক্যান
ಪರಿಕರ,আনুষঙ্গিক
ಖಾತೆ,অ্যাকাউন্ট
ಖಾತೆ ID,অ্যাকাউন্ট আইডি
ಸಂಚಯಕ,সঞ্চয়কারী
ನಿಖರತೆ,সঠিকতা
ಪ್ರವೇಶ,অ্যাক্সেস
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್,অ্যাক্সেস নিয়ন্ত্রণ বাইট
ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ,অ্যাক্সেস সূচক
ಪ್ರವೇಶ ಕೀ,অ্যাক্সেস কী
ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್,অ্যাক্সেস ম্যাট্রিক্স
ಪ್ರವೇಶ ಮೋಡ್,অ্যাক্সেস মোড
ಪ್ರವೇಶ ಸವಲತ್ತು,প্রবেশাধিকার
ಪ್ರವೇಶ ಭದ್ರತೆ,অ্যাক্সেস নিরাপত্তা
ಪ್ರವೇಶ ಸರ್ವರ್,অ্যাক্সেস সার্ভার
ಪ್ರವೇಶ ಸಮಯ,অ্যাক্সেস সময়
ಸ್ವೀಕೃತಿ,স্বীকৃতি
ಅಕೌಸ್ಟಿಕ್ಸ್,ধ্বনিবিদ্যা
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,সংক্ষিপ্ত রূপ
ಕ್ರಿಯೆಯ ಸಂದೇಶ,কর্ম বার্তা
ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ,সক্রিয়করণ
