Marathi,Tamil
अ‍ॅबॅक्सियल पृष्ठभाग,அபாக்ஸியல் மேற்பரப்பு
ओटीपोट,அடிவயிறு
ओटीपोटात महाधमनी,வயிற்று பெருநாடி
ओटीपोटात गॅंग्लिया,வயிற்று கேங்க்லியா
एबेलमोशस एस्क्युल्टस,அபெல்மோஷஸ் எஸ்குலெண்டஸ்
विकृती,மாறுபாடு
अबीज,அபிஸ்
अबिंगडॉन कासव,அபிங்டன் ஆமை
अ‍ॅबिओजेनेसिस,அபியோஜெனெஸிஸ்
अ‍ॅबिओटिक,அஜியோடிக்
अ‍ॅबिओटिक फॅक्टर,அஜியோடிக் காரணி
असामान्य मूत्र,அசாதாரண சிறுநீர்
अबो ब्लड ग्रुप,ABO இரத்தக் குழு
अ‍ॅबसिसिक acid सिड,அப்சிசிக் அமிலம்
फलंदाजी,கஷ்டம்
शोषून घ्या,உறிஞ்சும்
शोषण शिखर,உறிஞ்சுதல் உச்சம்
शोषण,உறிஞ்சுதல்
बाभूळ कॅटेचू,அகாசியா கேடெச்சு
अकारिया अरबीका,அகாரியா அரபிகா
अकाप्रिन,அகப்ரின்
स्वीकार्य लैंगिक वर्तन,ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை
Ory क्सेसरी ग्रंथी,துணை சுரப்பி
Ory क्सेसरी ग्रंथी,துணை சுரப்பி
Ory क्सेसरीसाठी अवयव,துணை உறுப்பு
सहनशीलता,பழக்கவழக்கமயமாக்கல்
अनुकूलित करा,பழக்கப்படுத்துங்கள்
निवास (लक्ष केंद्रित करणे),தங்குமிடம் (கவனம் செலுத்துதல்)
डोळ्याची निवासस्थान,கண் தங்குமிடம்
संवर्धन वाढ,திரட்டல் வளர்ச்சி
संचय,குவிப்பு
सेंद्रिय पदार्थाचे संचय,கரிமப் பொருட்களின் குவிப்பு
मातीचे संचय,மண்ணின் குவிப்பு
सेल्युलर,அசெல்லுலர்
एसेल्युलर जीव,அசெல்லுலர் உயிரினம்
एसीटाबुलम,அசிடபூலம்
एसीटाल्डिहाइड,அசிடால்டிஹைட்
एसिटिल कोएन्झाइम,அசிடைல் கோஎன்சைம்
अकॅटिना,அச்சாடினா
अचेने प्रकार,அச்சீன் வகை
अचेने,அச்சீன்
अक्लमिडोस्पोरिया,அச்ச்சைடோஸ்போரே
आम्ल वर्षा,அமில மழை
अम्लीय,அமிலத்தன்மை
अम्लीय वायू,அமில வாயு
आंबटपणा,அமிலத்தன்மை
एसीनार सेल,அசிநார் செல்
एकोलोमेट,அகோலோமேட்
On कोनिटम,அகோனிட்டம்
अ‍ॅकॉर्न वर्म,ஏகோர்ன் புழு
ध्वनिक झोनिंग,ஒலி மண்டலம்
अधिग्रहित वर्ण,வாங்கிய எழுத்து
वसूल केलेली प्रतिकारशक्ती,நோய் எதிர்ப்பு சக்தி
अधिग्रहित इम्युनो कमतरता सिंड्रोम (एड्स),வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்)
एकरानिया,அக்னியா
Rid सिडिन डाई,அக்ரிடைன் சாயம்
अ‍ॅक्रोसेन्ट्रिक,அக்ரோஷென்ட்ரிக்
अ‍ॅक्रोमियन,அக்ரோமியன்
अ‍ॅक्रोपेटल सीक्वेन्स,அக்ரோபெட்டல் வரிசை
अ‍ॅक्रोपेटल ऑर्डर,அக்ரோபெட்டல் ஆர்டர்
अ‍ॅक्रोसिन,அக்ரோசின்
अ‍ॅक्टिन,ஆக்டின்
अ‍ॅक्टिन-सारखी प्रथिने,ஆக்டின் போன்ற புரதம்
अ‍ॅक्टिनोमॉर्फिक,ஆக்டினோமார்பிக்
अ‍ॅक्टिनोमाइसेट्स,ஆக்டினோமைசீட்கள்
कृती संभाव्यता,செயல்பாட்டு திறன்
सक्रिय गाळ,செயல்படுத்தப்பட்ட கசடு
सक्रिय गाळ फ्लॉक,செயல்படுத்தப்பட்ட கசடு மிதவை
सक्रियता ऊर्जा,செயல்படுத்தும் ஆற்றல்
सक्रिय शोषण,செயலில் உறிஞ்சுதல்
सक्रिय प्रतिकारशक्ती,செயலில் நோய் எதிர்ப்பு சக்தி
सक्रिय रेडिएशन,செயலில் கதிர்வீச்சு
सक्रिय साइट,செயலில் உள்ள தளம்
अ‍ॅक्टिव्हिन,ஆக்டிவின்
Umicate,அக்யூமினேட்
अ‍ॅडम्सिया,ஆடம்ஸியா
अनुकूलता,தகவமைப்பு
रुपांतर,தழுவல்
हलकी व्यवस्थेशी जुळवून घेणे,ஒளி ஆட்சிக்கு தழுவல்
पाण्याची कमतरता रुपांतर,நீர் பற்றாக்குறைக்கு தழுவல்
अनुकूली वैशिष्ट्ये,தகவமைப்பு பண்புகள்
अनुकूली प्रतिकारशक्ती,தகவமைப்பு நோய் எதிர்ப்பு சக்தி
अनुकूली रेडिएशन,தகவமைப்பு கதிர்வீச்சு
अनुकूली गुण,தகவமைப்பு பண்பு
अ‍ॅडॅक्सियल पृष्ठभाग,அடாக்ஸியல் மேற்பரப்பு
व्यसनाधीन डिसऑर्डर,போதை கோளாறு
En डेनिन,அடினின்
En डेनोकोर्टिकोट्रोपिन,அடினோகார்டிகோட்ரோபின்
En डेनोहायपोफिसिस,அடினோஹைபோஃபிசிஸ்
En डेनोसिन डायफॉस्फेट,அடினோசின் டைபாஸ்பேட்
En डेनोसिन डिमिनेस,அடினோசின் டீமினேஸ்
En डेनोसाइन मोनोफॉस्फेट,அடினோசின் மோனோபாஸ்பேட்
En डेनोसाइन ट्रायफॉस्फेट (एटीपी),அடினோசின் ட்ரைபாஸ்பேட் (ஏடிபி)
