Telugu,Malayalam
తగ్గింపు,ശീതീകരണം
సంక్షిప్తీకరణ,ചുരുക്കല്
అపహరణ,പിടിച്ചുകൊണ്ടുപോകല്
Abeyance,Aveyne
సామర్థ్యం,കഴിവ്
అబ్ ఇనిషియో,Ab initio
సామర్థ్యం,കഴിവുള്ള
అసాధారణ,വിലക്ഷണമായ
రద్దు,നിർത്തലാക്കൽ
నిర్మూలన పోస్ట్,നിർത്തലാക്കൽ പോസ്റ്റ്
పైన పేర్కొన్నారు,മുകളിൽ സൂചിപ്പിച്ച
పైన కోట్ చేయబడింది,മുകളിൽ ഉദ്ധരിച്ചത്
పైన చెప్పారు,മുകളിൽ പറഞ്ഞത്
లేకపోవడం,അസാന്നിദ്ധം
హాజరుకాని,ഹാജരാകാത്ത
హాజరుకానితనం,ഹാജരാകാത്തീയത
హాజరుకాని ప్రకటన,ഹാജരാകാതിരിക്കുക
సంపూర్ణ,കേശവം
సంపూర్ణ గుత్తాధిపత్యం,കേവല കുത്തക
సంపూర్ణ యాజమాన్యం,കേവല ഉടമസ്ഥാവകാശം
శోషణ,ആഗിരണം
నైరూప్య,വേര്പെട്ടുനില്ക്കുന്ന
అబ్స్ట్రాక్ట్ స్టేట్మెంట్,അനുഗമിക്കുന്നു
అసంబద్ధం,അസംബന്ധം
సమృద్ధి,സമൃദ്ധി
అధికార దుర్వినియోగం,അധികാര ദുരുപയോഗം
దుర్వినియోగ భాష,അധിക്ഷേപകരമായ ഭാഷ
విద్యావేత్త,പണ്ഡിതോചിതമായ
విద్యా చర్చ,അക്കാദമിക് ചർച്ച
విద్యా సెలవు,അക്കാദമിക് അവധി
విద్యా అర్హత,വിദ്യാഭ്യാസ യോഗ്യത
విద్యా రికార్డు,അക്കാദമിക് റെക്കോർഡ്
ACCEDE,നിര്വഹിക്കുക
అంగీకరించండి,അംഗീകരിക്കുക
అంగీకారం,കൈക്കൊള്ളല്
కార్యాలయం అంగీకారం,ഓഫീസിന്റെ സ്വീകാര്യത
టెండర్ అంగీకారం,ടെണ്ടർ സ്വീകാര്യത
యాక్సెస్,പ്രവേശനം
ప్రవేశం,അപേക്ഷ
అనుబంధ,ഉപസാധനം
ప్రమాదం,ആകസ്മികത
అలవాటు,ACCLIMATIES
వసతి,സ്ഥലസൗകരം
తోడు,അനുഗമിച്ചു
ఒప్పందం,അക്കോര്
అనుగుణంగా,അഭാവം
దీని ప్రకారం,അക്കാരണത്താല്
ఖాతా,കണക്ക്
జవాబుదారీతనం,ഉത്തരവാദിത്തം
జవాబుదారీతనం,ഉത്തരവാദിയായ
అకౌంటెన్సీ,അക്കൗണ്ടൻസി
అకౌంటెంట్,കണക്കെഴുത്തുകാരി
ఖాతా,അക്കൗണ്ട്
ఖాతా హెడ్,അക്കൗണ്ട് തല
సేకరించిన ప్రయోజనం,വർദ്ധിച്ച ആനുകൂല്യം
పెన్షన్ పెన్షన్,വർദ്ധിച്ച പെൻഷൻ
చేరడం,കൂന്വാരം
ఖచ్చితత్వం,കൃതത
ఖచ్చితమైనది,സൂക്ഷ്മമായ
నిందించండి,ബോധിപ്പിക്കുന്ന
ఆరోపణలు,കുറ്റക്കാരന്
సాధన,നേട്ടം
గుర్తింపు,അംഗീകാരം
రసీదు గడువు,അംഗീകാരത്തിന്റെ
పరిచయము,പരിചയം
సముపార్జన,കൈവശപ്പെടുത്തൽ
సముపార్జన,കുറ്റപാട്വിൽപ്പന
చట్టం,പവര്ത്തിക്കുക
నటన భత్యం,അഭിനയ അലവൻസ്
చర్య,പവര്ത്തി
కార్య ప్రణాళిక,പ്രവർത്തന പദ്ധതി
క్రియాశీల,സജീവമായ
చురుకుగా,സജീവമായി
కార్యకర్త,ചുറുചുറുക്കുള്ളവള്
దైవఘటన,ദൈവിക പ്രവൃത്തി
దుష్ప్రవర్తన చర్య,ദുരാചാരത്തിന്റെ പ്രവർത്തനം
కమీషన్ మరియు కమీషన్,കമ്മീഷന്റെയും ഒഴിവാക്കലിന്റെയും നിയമം
అసలు,യഥാര്ത്ഥത്തിലുള്ള
వాస్తవాలు,വാസ്തവങ്ങൾ
అనుసరణ,പൊരുത്തപ്പെടുത്തൽ
అదనంగా,കൂട്ടല്
అదనపు ఛార్జ్,അധിക നിരക്ക്
అదనపు ఫండ్,അധിക ഫണ്ട്
అదనపు గ్రాంట్,അധിക ഗ്രാന്റ്
అదనపు సమాచారం,അധിക വിവരം
అదనపు వేతనం,അധിക വേതനം
అదనంగా మరియు మార్పు,കൂട്ടിച്ചേർക്കലും മാറ്റവും
చిరునామా,അഭിസംബോധന ചെയ്യുക
చిరునామా,വിലാസശാല
స్వాగత చిరునామా,സ്വാഗത വിലാസം
తగినంత,പരാപ്തമായ
కట్టుబడి,ഇത് പാലിക്കുക
తాత్కాలిక హాక్,ആഡ് ഹോക്ക്
తాత్కాలిక దావా,AD HOC ക്ലെയിം
తాత్కాలిక కమిటీ,താൽക്കാലിക സമിതി
తాత్కాలిక పెరుగుదల,താൽക്കാലിക വർദ്ധനവ്
తాత్కాలిక చెల్లింపు,പരസ്യ ഹോക് പേയ്മെന്റ്
ప్రక్కనే,തൊട്ടുകിടക്കുന്ന
ప్రక్కనే (= పరస్పర),തൊട്ടടുത്ത് (= തുടർച്ചയായ)
వాయిదా,വചലിക്കുക
వాయిదా చలన,നീരസം ചലനം
అనుబంధం,Cakudgge
తీర్పు,ശിക്ഷിക്കപ്യം
తీర్పు,വിധിന്യായ
న్యాయాధికారి,Adjudication
సర్దుబాటు,കമപ്പെടുത്തല്
నిర్వహించండి,രാജംഭരിക്കുക
ప్రమాణం చేయండి,സത്യപ്രതിഷേധിക്കുന്നു
పరిపాలన,ഭരണകൂടം
న్యాయం యొక్క పరిపాలన,നീതിയുടെ ഭരണം
పరిపాలనా,ഭരണപരമായത്
పరిపాలనా చర్య,അഡ്മിനിസ്ട്രേറ്റീവ് പ്രവർത്തനം
అడ్మినిస్ట్రేటివ్ అప్రైసల్,അഡ്മിനിസ്ട്രേറ്റീവ് മൂല്യനിർണ്ണയം
పరిపాలనా ఆమోదం,അഡ്മിനിസ്ട്രേറ്റീവ് അംഗീകാരം
పరిపాలనా అధికారం,അഡ്മിനിസ്ട്രേറ്റീവ് അതോറിറ്റി
పరిపాలనా నియంత్రణ,അഡ്മിനിസ്ട്രേറ്റീവ് നിയന്ത്രണം
పరిపాలనా నిర్ణయం,അഡ്മിനിസ്ട്രേറ്റീവ് തീരുമാനം
పరిపాలనా విభాగం,അഡ്മിനിസ്ട്രേറ്റീവ് വകുപ്പ്
అడ్మినిస్ట్రేటివ్ హెడ్,അഡ്മിനിസ്ട്രേറ്റീവ് ഹെഡ്
పరిపాలనా ప్రధాన కార్యాలయం,അഡ്മിനിസ്ട്രേറ്റീവ് ആസ്ഥാനം
పరిపాలనా చర్యలు,ഭരണപരമായ നടപടികൾ
పరిపాలనా శక్తి,ഭരണപരമായ ശക്തി
పరిపాలనా అనుమతి,ഭരണപരമായ അനുമതി
పరిపాలనా సాంకేతికత,അഡ്മിനിസ്ട്രേറ്റീവ് രീതി
అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్,അഡ്മിനിസ്ട്രേറ്റീവ് ട്രൈബ്യൂണൽ
ప్రవేశం,അനഭാക്ഷ്യം
ఆమోదయోగ్యమైన వ్యయం,അനുവദനീയമായ ചെലവ്
అంగీకరించండి,സമ്മതിക്കുക
అడ్మిట్ కార్డ్,അഡ്മിറ്റ് കാർഡ്
అంగీకరించారు,പ്രവേശിപ്പിച്ചു
సలహా,ഉപദേഷ്ടാപ്പ്
దత్తత తీసుకున్న వ్యక్తి,ദന്തം
దత్తత,ച്ചക്കല്
దత్తత,ദത്ത്
వయోజన,പായപൂര്ത്തിയായി
కల్తీ,മായം
వ్యభిచారం,വഭിചാരം
వయోజన ఫ్రాంచైజ్,മുതിർന്നവർക്കുള്ള ഫ്രാഞ്ചൈസി
ప్రకటన విలువ,പരസ്യ മൂല്യനിർണ്ണയം
అడ్వాన్స్,മുന്നേറുക
అడ్వాన్స్ బుకింగ్,അഡ്വാൻസ് ബുക്കിംഗ്
ముందస్తు కాపీ,അഡ്വാൻസ് കോപ്പി
ముందస్తు పెరుగుదల,അഡ്വാൻസ് ഇൻക്രിമെന്റ്
ముందస్తు చెల్లింపు,അഡ്വാൻസ് പേയ്മെന്റ്
ప్రతికూల ప్రవేశం,പ്രതികൂല പ്രവേശനം
ప్రతికూల వ్యాఖ్యలు,പ്രതികൂല പരാമർശങ്ങൾ
ప్రతికూల నివేదిక,പ്രതികൂല റിപ്പോർട്ട്
ప్రకటన,വിജ്ഞാപനം
సలహా,ഉപദേശം
చెల్లింపు సలహా,പേയ്മെന്റിന്റെ ഉപദേശം
సలహా సమితి,ഉപദേശക സമിതി
సలహా మండలి,ഉപദേശക സമിതി
న్యాయవాది,വാദിക്കുക
వ్యవహారాలు,കാര്യങ്ങൾ
అఫిడవిట్,സതവാങ്മൂലം
అనుబంధం,ബന്ധം
ధృవీకరణ,സ്ഥിരീകരണം
ధృవీకరించేది,ഉറപ്പിക്കുന്ന
స్థోమత,ഉളവാക്കുക
పైన పేర్కొన్నది,മേൽപ്പറഞ്ഞ
అఫ్రెష్,ശെറെഷ്
వ్యతిరేకంగా,എതിരായി
వయస్సు,വയസ്സ്
వయస్సు ధృవీకరణ పత్రం,പ്രായപരിധി
ఓటు హక్కు కోసం వయస్సు,വോട്ടവകാശത്തിനുള്ള പ്രായം
వయో పరిమితి,പ്രായപരിധി
ఏజెన్సీ,നിര്വ്വഹണം
ఎజెండా,കാരപരിപാടി
పదవీ విరమణ వయస్సు,വിരമിക്കലിന്റെ പ്രായം
పర్యవేక్షణ వయస్సు,അപാദന പ്രായം
సమూహనం,അഗ്രഗേഷൻ
బాధపడ్డాడు,ദു ved ഖിച്ചു
ఆందోళన,പ്രക്ഷോഭക്തി
AGM,AGM
ఒప్పందం,കരാര്
ఒప్పంద ఫారం,കരാർ ഫോം
వ్యవసాయం,കൃഷിപ്പണി
అగ్రో-ఇండస్ట్రీ,കാർഷിക വ്യവസായം
సహాయం,സഹായം
అలారం,ആപല്സൂചന
అప్రమత్తత,ജാല്തചിഹ്നം
అలియాస్,അപരാഭിധാനം
ఆరోపణ,കുറ്റാരോപണം
విధేయత,മേല്ക്കോയ്മയോട് ഭക്തി
కూటమి,സഖം
అనుబంధ సేవలు,അനുബന്ധ സേവനങ്ങൾ
అన్ని కలుపుకొని ఖర్చు,എല്ലാം ഉൾക്കൊള്ളുന്ന ചെലവ്
ఆల్ ఇండియా సర్వీసెస్,അഖിലേന്ത്യാ സേവനങ്ങൾ
కేటాయింపు,പങ്കുവയ്ക്കല്
కేటాయింపు,അനുവദിച്ചതുക
కేటాయింపు లేఖ,അലോട്ട്മെന്റ് കത്ത്
కేటాయింపు,അല്ലോട്ടി
అనుమతించదగినది,അനുവദനീയം
అనుమతించదగిన ఖర్చులు,അനുവദനീയമായ ചെലവുകൾ
అప్పీల్‌ను అనుమతించండి,ഒരു അപ്പീൽ അനുവദിക്കുക
భత్యం,അനുമതി നല്കുക
అన్ని హక్కులూ ప్రత్యేకించుకోవడమైనది,എല്ലാ അവകാശങ്ങളും നിക്ഷിപ്തം
అక్షర క్రమం,അക്ഷരമാല ഓർഡർ
వాగ్వాదం,വാസസ്ഥലമായ
ప్రత్యామ్నాయ,ഏകാന്തരക്രമത്തിൽ
ప్రత్యామ్నాయం,ബദൽ
సమ్మేళనం,സംയോജനം
సవరించిన చిత్తుప్రతి,ഭേദഗതി ചെയ്ത ഡ്രാഫ്റ്റ്
సవరణ,ഭേദഗതി
సౌకర్యం,സഖ്യം
స్నేహపూర్వక,മിതഭാവമുള്ള
మందుగుండు సామగ్రి,വെടിക്കോപ്പ്
రుణ రుణమాఫీ,കടത്തിന്റെ പവിത്രത
మొత్తం,സംഖ
పెన్షన్ మొత్తం,പെൻഷന്റെ തുക
సారూప్య పోస్ట్,അനലോഗസ് പോസ്റ്റ്
విశ్లేషణ,വിശകലനം
విశ్లేషణాత్మక అధ్యయనం,അനലിറ്റിക്കൽ പഠനം
పూర్వీకుడు,പൂര്വ്വികന്
సహాయక పరిశ్రమ,അനുബന്ധ വ്യവസായം
శత్రుత్వం,ബദ്ധവൈരം
అనుబంధం,അനുബന്ധം
వార్షికోత్సవం,വാര്ഷികദിനം
ప్రకటన,അറിയിപ്പ്
కోపం,ഉപദവം
వార్షిక ఆర్థిక ప్రకటన,വാർഷിക സാമ്പത്തിക പ്രസ്താവന
వార్షిక నివేదిక,വാർഷിക റിപ്പോർട്ട്
యాన్యుటీ,ആന്വിറ്റി
అనామక,പേരറിയാത്ത
అనామక ఫిర్యాదు,അജ്ഞാത പരാതി
జవాబుదారీతనం,ഉത്തരവിദ്ധി
జవాబు పత్రం,ഉത്തരക്കടലാസ്
విరోధి,ശതാപകന്
పూర్వజన్మలు,മുൻഗാമികൾ
Bean హించిన ఖర్చు,പ്രതീക്ഷിച്ച ചെലവ്
