Bengali,Marathi
গর্ভপাত,गर्भपात
গর্ভপাত টাইমার,गर्भपात टाइमर
পরম ঠিকানা,परिपूर्ण पत्ता
পরম ঠিকানা,परिपूर्ण पत्ता
পরম এসেম্বলার,परिपूर्ण असेंबलर
পরম কোড,परिपूर्ण कोड
পরম কোডিং,परिपूर्ण कोडिंग
পরম কমান্ড,परिपूर्ण आज्ञा
পরম সমন্বয়,परिपूर्ण समन्वय
পরম ডেটা,परिपूर्ण डेटा
পরম ত্রুটি,परिपूर्ण त्रुटी
পরম অভিব্যক্তি,परिपूर्ण अभिव्यक्ती
পরম নির্দেশ,परिपूर्ण सूचना
পরম লোডার,परिपूर्ण लोडर
পরম আদেশ,परिपूर्ण ऑर्डर
পরম প্রোগ্রামিং,परिपूर्ण प्रोग्रामिंग
পরম শব্দ,परिपूर्ण संज्ञा
পরম মান,परिपूर्ण मूल्य
পরম ভেক্টর,परिपूर्ण वेक्टर
বিমূর্ত,गोषवारा
বিমূর্ত,अमूर्त
বিমূর্ত প্রতীক,अमूर्त प्रतीक
ত্বরণ সময়কাল,प्रवेग कालावधी
ত্বরণের সময়,प्रवेग वेळ
অ্যাকসেন্ট,उच्चारण
স্বীকৃতি পরীক্ষা,स्वीकृती चाचणी
অ্যাক্সেস,प्रवेश
অ্যাক্সেস আর্ম,प्रवेश आर्म
অ্যাক্সেস ব্যবস্থা,प्रवेश व्यवस्था
অ্যাক্সেস কর্তৃপক্ষ,प्रवेश प्राधिकरण
অ্যাক্সেস চার্জ,प्रवेश शुल्क
অ্যাক্সেস ক্লাস,प्रवेश वर्ग
অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট,प्रवेश डेटा बेस व्यवस्थापन
অ্যাক্সেস পরিবেশ,प्रवेश वातावरण
অ্যাক্সেস ফাঁক,प्रवेश अंतर
অ্যাক্সেস সূচক,प्रवेश निर्देशांक
অ্যাক্সেস লাইন,Line क्सेस लाइन
অ্যাক্সেস প্রক্রিয়া,प्रवेश यंत्रणा
অ্যাক্সেস পদ্ধতি,प्रवेश पद्धत
অ্যাক্সেস পদ্ধতির রুটিন,प्रवेश पद्धत दिनचर्या
অ্যাক্সেস মোড,प्रवेश मोड
এক্সেস অধিকার,प्रवेश बरोबर
অ্যাক্সেস স্ক্যান,प्रवेश स्कॅन
প্রবেশাধিকার সময়,प्रवेश वेळ
অ্যাকাউন্টিং,लेखा
অ্যাকাউন্টিং ফিনান্স সিস্টেম,लेखा वित्त प्रणाली
অ্যাকাউন্টিং মেশিন,लेखा मशीन
হিসাব নাম্বার,खाते क्रमांक
প্রজননকারী জমে,पुनरुत्पादक संचय
জমে,संचयक
সংগ্রহকারী রেজিস্টার,संचयक नोंदणी
সংগ্রহকারী শিফট নির্দেশনা,संचयक शिफ्ट सूचना
সঠিকতা,अचूकता
নির্ভুলতা নিয়ন্ত্রণ চরিত্র,अचूकता नियंत्रण वर्ण
নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা,अचूकता नियंत्रण प्रणाली
এস পাইলট,ऐस पायलट
চরিত্র স্বীকৃতি,चरित्र कबूल करा
অ্যাকোস্টিক কাপলার,ध्वनिक कपलर
অ্যাকোস্টিক কাপলিং,ध्वनिक कपलिंग
অ্যাকোস্টিক বিলম্ব লাইন,ध्वनिक विलंब रेखा
অ্যাকোস্টিক মেমরি,ध्वनिक मेमरी
অ্যাকোস্টিক মডেম,ध्वनिक मॉडेम
অ্যাকোস্টিক সিগন্যাল,ध्वनिक सिग्नल
অ্যাকোস্টিক স্টোরেজ,ध्वनिक संचयन
সংক্ষিপ্ত বিবরণ,परिवर्णी शब्द
কর্ম,क्रिया
অ্যাকশন চক্র,कृती चक्र
অ্যাকশন লাইন,कृती ओळ
অ্যাকশন বার্তা,कृती संदेश
ক্রিয়া স্পেসিফিকেশন,कृती तपशील
অ্যাক্টিভেশন,सक्रियकरण
সক্রিয়,सक्रिय
সক্রিয় ফাইল,सक्रिय फाईल
সক্রিয় লাইন,सक्रिय ओळ
সক্রিয় লিঙ্ক,सक्रिय दुवा
সক্রিয় মাস্টার ফাইল,सक्रिय मास्टर फाइल
সক্রিয় মাস্টার আইটেম,सक्रिय मास्टर आयटम
সক্রিয় স্যাটেলাইট,सक्रिय उपग्रह
সক্রিয় স্টেশন,सक्रिय स्टेशन
সক্রিয় স্টোরেজ,सक्रिय संचयन
ক্রিয়াকলাপ,क्रियाकलाप
কর্মকান্ডের পর্যায়,क्रियाकलाप पातळी
ক্রিয়াকলাপ লোড হচ্ছে,क्रियाकलाप लोडिंग
ক্রিয়াকলাপ অনুপাত,क्रियाकलाप प्रमाण
আসল ঠিকানা (= পরম ঠিকানা),वास्तविक पत्ता (= परिपूर्ण पत्ता)
আসল কোড (= পরম কোড),वास्तविक कोड (= परिपूर्ण कोड)
প্রকৃত ডেটা স্থানান্তর হার,वास्तविक डेटा हस्तांतरण दर
আসল দশমিক পয়েন্ট,वास्तविक दशांश बिंदू
প্রকৃত নির্দেশ (= কার্যকর নির্দেশ),वास्तविक सूचना (= प्रभावी सूचना)
আসল কী,वास्तविक की
প্রকৃত সময়,वास्तविक वेळ
আসল কাজের সময়,वास्तविक कामाची वेळ
অ্যাকিউটিং সিগন্যাল,अ‍ॅक्ट्युएटिंग सिग्नल
অভিযোজনযোগ্যতা,अनुकूलता
অ্যাডাপ্টার,अ‍ॅडॉप्टर
অভিযোজিত চ্যানেল বরাদ্দ,अ‍ॅडॉप्टिव्ह चॅनेल वाटप
অভিযোজিত সংহতকরণ,अनुकूली एकत्रीकरण
অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার,अ‍ॅडॉप्टिव्ह ट्रान्सव्हर्सल इक्वेलायझर
যুক্ত এন্ট্রি,जोडलेली प्रविष्टी
সংযোজন,परिशिष्ट
সংযোজন,अ‍ॅडर
অ্যাডার সাবট্র্যাক্টর,अ‍ॅडडर सबट्रॅक्टर
ফাইল যুক্ত কর,फाईल जोडा
অতিরিক্ত চরিত্র (= বিশেষ চরিত্র),अतिरिक्त वर्ण (= विशेष वर्ण)
সংযোজন রেকর্ডার,व्यतिरिक्त रेकॉर्डर
সংযোজন টেবিল,व्यतिरिक्त सारणी
সংযোজন বৈশিষ্ট্য,अ‍ॅडिटिव्ह विशेषता
মোড যুক্ত করুন,मोड जोडा
অপারেশন যুক্ত করুন,ऑपरेशन जोडा
ঠিকানা,पत्ता
ঠিকানা পরিমাপ,पत्तेपणाचा उपाय
ঠিকানাযোগ্য অনুভূমিক অবস্থান,पत्ते करण्यायोग्य क्षैतिज स्थिती
ঠিকানাযোগ্য পয়েন্ট,पत्ता योग्य बिंदू
ঠিকানাযোগ্য অবস্থান,पत्ता योग्य स्थिती
ঠিকানাযোগ্য নিবন্ধ,पत्ते करण्यायोग्य नोंदणी
ঠিকানাযোগ্য স্টোরেজ,पत्ता योग्य स्टोरेज
ঠিকানাযোগ্য উল্লম্ব অবস্থান,पत्ता योग्य अनुलंब स्थिती
ঠিকানা বাস,अ‍ॅड्रेस बस
ঠিকানা কোড,पत्ता कोड
ঠিকানা তুলনামূলক,पत्ता तुलनात्मक
ঠিকানা গণনা,पत्ता गणना
ধ্রুবক ঠিকানা,पत्ता स्थिर
ঠিকানা রূপান্তর,पत्ता रूपांतरण
ঠিকানা ডেটা,पत्ता डेटा
সম্বোধন স্মৃতি,संबोधित मेमरी
ঠিকানা কার্যকর,पत्ता प्रभावी
ঠিকানা ক্ষেত্র,पत्ता फील्ड
ঠিকানা ফর্ম্যাট,पत्ता स्वरूप
ঠিকানা বিনামূল্যে প্রোগ্রাম,पत्ता विनामूल्य कार्यक्रम
সম্বোধন,पत्ता
"সম্বোধন
 চরিত্র","पत्ता
 वर्ण"
বাধা সম্বোধন,व्यत्यय संबोधित करणे
লুপ সম্বোধন,पळवाट पळवाट
ভার্চুয়াল মেমরি সম্বোধন,आभासी मेमरी संबोधित करणे
ঠিকানা ইন্টারল্যাকিং,पत्ता इंटरलॅकिंग
ঠিকানাহীন নির্দেশাবলী ফর্ম্যাট,पत्ता नसलेली सूचना स्वरूप
ঠিকানা লাইন,पत्ता ओळ
ঠিকানা ম্যাপিং,पत्ता मॅपिंग
ঠিকানা চিহ্ন,पत्ता चिन्ह
ঠিকানা পরিবর্তন,पत्ता बदल
ঠিকানা অংশ,पत्ता भाग
ঠিকানা পয়েন্টার,पत्ता पॉईंटर
ঠিকানা রেজিস্টার,पत्ता नोंदणी
ঠিকানা সংকেত,पत्ता सिग्नल
ঠিকানা আকার,पत्ता आकार
ঠিকানা স্থান,पत्ता जागा
ঠিকানা স্পেস আইডেন্টিফায়ার,पत्ता जागा अभिज्ञापक
ঠিকানা স্টপ,पत्ता थांबा
ঠিকানা ট্রেস,पत्ता ट्रेस
ঠিকানা ট্র্যাক,पत्ता ट्रॅक
ঠিকানা অনুবাদ,पत्ता अनुवाद
ঠিকানা অনুবাদক,पत्ता अनुवादक
বিয়োগের সময় যোগ করুন,अ‍ॅड-सबस्ट्रॅक्ट वेळ
সময় যোগ করুন,वेळ जोडा
সংলগ্নতা,समीप
সংলগ্ন কাঠামো,जवळची रचना
সংলগ্ন চ্যানেল,समीप चॅनेल
সংলগ্ন ডোমেন,समीप डोमेन
সংলগ্ন ম্যাট্রিক্স,समीप मॅट्रिक्स
সংলগ্ন নোড,समीप नोड
সংলগ্ন সুবেরিয়া,समीप सुबेरिया
স্থগিত (সিস্টেম),संक्षिप्त रुप (सिस्टम)
সামঞ্জস্য করুন,समायोजित करा
সামঞ্জস্যযোগ্য মাত্রা,समायोज्य मर्यादा
পাঠ্য মোড সামঞ্জস্য করুন,मजकूर मोड समायोजित करा
প্রশাসনিক ডেটা প্রসেসিং,प्रशासकीय डेटा प्रक्रिया
প্রশাসনিক অপারেশন,प्रशासकीय ऑपरेशन
