Tamil,Malayalam
ஏசி சமமான சுற்று,എ.സി തുല്യമായ സർക്യൂട്ട്
எண் மாற்றிக்கு ஒப்புமை,അനലോഗ് ടു ന്യൂമെറിക് കൺവെർട്ടർ
முழுமையான பூஜ்ஜியம்,കേവല പൂജ്യം
உறிஞ்சுதல் குணகம்,ആഗിരണം ഗുണകം
உறிஞ்சுதல் நிறமாலை,ആഗിരണം സ്പെക്ട്രം
ஏற்பி அணு,റിസപ്റ്റർ ആറ്റം
மாற்று மின்னோட்ட இணைப்பு,ആൾട്ടർനേറ്റിംഗ് കറന്റ് കപ്ലിംഗ്
எலக்ட்ரான் அறுவடை,ഇലക്ട്രോൺ വിളവെടുപ്പ്
துளை சேமிப்பு,ദ്വാര സംഭരണം
செயல்படுத்தும் ஆற்றல்,സജീവമാക്കൽ ഊർജ്ജം
செயலில் பெருக்கி,സജീവ ആംപ്ലിഫയർ
செயலில் உள்ள டையோடு சுற்று,സജീവ ഡയോഡ് സർക്യൂട്ട്
செயலில் வடிகட்டி,സജീവ ഫിൽട്ടർ
செயலில் உள்ள உயர் அதிர்வெண் பார்க்வெட் வடிகட்டி,സജീവമായ ഉയർന്ന ഫ്രീക്വൻസി പാർക്ക്വെറ്റ് ഫിൽട്ടർ
செயலில் சுமை,സജീവ ലോഡ്
செயலில் குறைந்த அதிர்வெண் பாகுபடுத்தும் வடிகட்டி,സജീവമായ ലോ ഫ്രീക്വൻസി പാഴ്സ് ഫിൽട്ടർ
செயலில் உள்ள பகுதி,സജീവമായ പ്രദേശം
தகவமைப்பு மின்னணுவியல்,അഡാപ്റ്റീവ് ഇലക്ട്രോണിക്സ്
சேர்ப்பான்,ചേർക്കുന്നയാൾ
சரிசெய்யக்கூடிய இசைக்குழு நீட்டிப்பு,ക്രമീകരിക്കാവുന്ന ബാൻഡ് വിപുലീകരണം
ஊடுருவல்,നുഴഞ്ഞുകയറ്റം
ஏரியல்,ഏരിയൽ
பெப் அதிர்வெண்,പെപ് ആവൃത്തി
காற்றுச்சீரமைப்பி,എയർ കണ്ടീഷണർ
சீரமைப்பு,വിന്യാസം
அல்காரிதம்,അൽഗോരിതം
அனைத்து பாஸ் வடிகட்டி,എല്ലാ പാസ് ഫിൽട്ടറും
அலாய் சந்திப்பு,അലോയ് ജംഗ്ഷൻ
தணிவு,ശോഷണം
மாறுதிசை மின்னோட்டம்,ആൾട്ടർനേറ്റിംഗ് കറന്റ്
சுற்றுப்புற வெப்பநிலை,അന്തരീക്ഷ ഊഷ്മാവ്
இருமுனை,ബൈപോളാർ
பெருக்கம்,ആംപ്ലിഫിക്കേഷൻ
பெருக்கி,ആംപ്ലിഫയർ
பெருக்கி செயல்திறன்,ആംപ്ലിഫയർ കാര്യക്ഷമത
பரிமாணங்கள்,അളവുകൾ
வீச்சு குறைதல்,ആംപ്ലിറ്റ്യൂഡ് അറ്റൻവേഷൻ
அலைவீச்சு மாடுலேட்டட் AM ஆஸிலேட்டர்,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റഡ് AM ഓസിലേറ്റർ
வீச்சு பண்பேற்றம்,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേഷൻ
வீச்சு மாடுலேட்டர்,ആംപ്ലിറ്റ്യൂഡ് മോഡുലേറ്റർ
angstrom அலகு,angstrom യൂണിറ്റ്
அனலாக் சுற்று,അനലോഗ് സർക്യൂട്ട്
அனலாக் கணினி,അനലോഗ് കമ്പ്യൂട്ടർ
அனலாக் வடிகட்டி,അനലോഗ് ഫിൽട്ടർ
அனலாக் மல்டிமீட்டர்,അനലോഗ് മൾട്ടിമീറ്റർ
அனலாக் சுவிட்ச்,അനലോഗ് സ്വിച്ച്
மற்றும் வாயில்,ഒപ്പം ഗേറ്റും
கோண அதிர்வெண்,കോണീയ ആവൃത്തി
"அயனி, அயனி","അയോൺ, അയോൺ"
அனீலிங் வெப்பநிலை,അനീലിംഗ് താപനില
நேர்மின்முனை,ആനോഡ്
அனோட் பெருக்கி,ആനോഡ് ആംപ്ലിഫയർ
அனோடைன்,അനോഡൈൻ
ஆண்டெனா,ആന്റിന
ஆண்டெனா கூறு,ആന്റിന ഘടകം
எதிர்ப்பு பிரதிபலிப்பு பூச்சு,ആന്റി-റിഫ്ലക്ടീവ് കോട്ടിംഗ്
