Tamil,Hindi
அசாதாரணமானது,अपसामान्य
கருக்கலைப்பு,विफलन
சிராய்ப்பு,"अपघर्षण, घिसाई"
திடீரென்று,"असंलग्न, अचानक, सहसा, विच्छिन्न"
முழுமையான புல வலிமை,निरपेक्ष क्षेत्र सामर्थ्य
முழுமையான வெப்பநிலை,परम ताप
துல்லியமான மதிப்பு,निरपेक्ष मान
உறிஞ்சும்,"अवशोषित करना, अवशोषण करना"
உறிஞ்சுதல் சக செயல்திறன்,अवशोषण गुणांक
உறிஞ்சுதல் இழப்பு,अवशोषण हानि
சுருக்கம்,"अमूर्त, सारांश, सार, संक्षेप"
முடுக்கமானி,त्वरणमापी
ஏற்பு சோதனை,स्वीकृति परीक्षण
அணுகல்,अभिगम
நுழைவு கட்டுப்பாடு,अभिगम नियंत्रण
அணுகல் புள்ளி,अभिगम बिंदु
அணுகல் நேரம்,अभिगम काल
அணுகல்,अभिगम्यता
குவிப்பான் செல்,संचायक सेल
துல்லியம்,यथार्थता
துல்லியமானது,यथार्थ
முடிச்சு லென்ஸ்,अवर्णक लेन्स
அமிலம்,"अम्ल, ऐसिड"
அமில ஆதாரம்,अम्लसह
அமிலத்தன்மை,अम्लता
ஒப்புதல் பிட்,"पावती द्वयंक, पावती बिट"
ஒலி,ध्वानिक
ஒலி தொடர்பு,ध्वानिक संचार
ஒலி பரவல்,ध्वानिक विसरण
ஒலி சமநிலைப்படுத்தி,ध्वानिक समकारी
ஒலி கருத்து,"ध्वानिक पुनर्भरण, ध्वानिक पुनर्निवेश"
ஒலி வடிகட்டி,"ध्वानिक फिल्टर, ध्वानिक निस्यंदक"
ஒலி மின்மறுப்பு,ध्वानिक प्रतिबाधा
ஒலி முகமூடி,"ध्वानिक आवरण, ध्वानिक प्रच्छादन"
ஒலி சக்தி,ध्वानिक षक्ति
சட்டவிரோத சொத்து,ध्वानिक गुणधर्म
ஒலி எதிர்வினை,ध्वानिक प्रतिघात
ஒலி ரிஃப்ளெக்ஸ்,ध्वानिक प्रतिवर्त
ஒலி ஓடு,ध्वानिक टाइल
ஒலி அலை,ध्वानिक तरंग
ஒலியியல் உறிஞ்சுதல்,ध्वानिक अवशोषण गुणांक
ஒலியியல் விழிப்புணர்வு மாறிலி,ध्वानिक                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            क्षीणनांक
ஒலியியல் ஈரமாக்குதல்,ध्वानिक अवमंदन
ஒலியியல் தாமத வரி,ध्वानिक विलंब लाइन
ஒலியியல் விலகல்,ध्वानिक विरूपण
ஒலியியல் குழாய்,ध्वनि-वाहिनी
ஒலியியல் ஆற்றல்,ध्वानिक ऊर्जा
ஒலியியல் கருத்து,ध्वानिक पुनर्निवेश
ஒலியியல் வடிகட்டி,"ध्वानिक फिल्टर, ध्वानिक  निस्यंदक"
ஒலியியல் மின்மறுப்பு,ध्वानिक प्रतिबाधा
ஒலியியல் பரப்புதல் மாறிலி,ध्वानिक संचरण नियतांक
ஒலியியல் எதிர்ப்பு,ध्वानिक प्रतिरोध
ஒலியியல் ரீதியாக காப்பிடப்பட்டது,ध्वानिकतः रुद्ध
ஒலியியல்,"ध्वानिकी, ध्वनि विज्ञान"
கையகப்படுத்தல்,"अधिग्रहण, अर्जन, उपार्जन"
சுருக்கம்,संक्षिप्त रूप
செயல் பகுதி,कार्य क्षेत्र
செயல்படுத்தப்பட்ட இழை,"सक्रियकृत तंतु, सक्रियित तंतु"
செயலில்,सक्रिय
செயலில் உள்ள பகுதி,सक्रिय क्षेत्र
செயலில் சாளரம்,सक्रिय विंडो
தகவமைப்பு,अनुकूलनीयता
அடாப்டர் (அடாப்டர்),"अनुकूलक, अनुकूलित्र"
தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்,अनुकूली विभेदी स्पंद कोड मॉडुलन
முகவரி புத்தகம்,"पता पुस्तिका, एड्रेस बुक"
முகவரி பஸ்,"पता बस, एड्रेस बस"
முகவரி தீர்மானம்,"पता विभेदन, एड्रेस विभेदन"
அருகிலுள்ள சேனல் குறுக்கீடு,"आसन्न सरणी व्यतिकरण, आसन्न चैनल व्यतिकरण"
அருகிலுள்ள சேனல் தேர்வு,"आसन्न चैनल वरण-क्षमता, आसन्न चैनल चयनात्मकता"
அருகிலுள்ள அதிர்வெண்,आसन्न आवृत्ति
அருகிலுள்ள அதிர்வெண் சேனல்,आसन्न आवृत्ति चैनल
அருகிலுள்ள படம் கேரியர்,"आसन्न चित्र वाहक, संलग्न वीडियो वाहक"
அருகிலுள்ள ஒலி கேரியர்,आसन्न ध्वनि वाहक
அருகிலுள்ள நிலையம்,"निकटवतब स्टेशन, निकटवतब केंद्र"
சரிசெய்யக்கூடியது,समायोज्य
சரிசெய்யக்கூடிய மின்தேக்கி,समायोज्य संधारित्र
அழுத்தம் சரிசெய்தல்,समायोज्य दाब
குறடு சரிசெய்தல்,समायोजी रिंच
சரிசெய்தல்,समायोजन
நிர்வாகி,"प्रशासक, नियंत्रक"
மேம்பட்ட தொழில்நுட்பம்,उन्नत प्रौद्योगिकी
வான்வழி,"एरियल (ऐन्टेना), आकाशी, वायव, हवाई"
வான்வழி வரிசை,एरियल व्यूह
வான்வழி பூஸ்டர்,"एरियल वर्धक, ऐन्टेना वर्धक"
வான்வழி மின்னோட்டம்,ऐन्टेना धारा
வான்வழி பூமி சுவிட்ச்,ऐन्टेना भूसंपर्कक स्विच
வான்வழி செயல்திறன்,ऐन्टेना दक्षता
வான்வழி மின்மறுப்பு,ऐन्टेना प्रतिबाधा
வான்வழி தூண்டல்,ऐन्टेना प्रेरकत्व
வான்வழி இன்சுலேட்டர்,ऐन्टेना विद्तरोधी
வான்வழி ஏற்றுதல் சுருள்,ऐन्टेना भारण कुंडली
வான்வழி புகைப்படம்,आकाषी फोटोग्राफी
வான்வழி சக்தி,ऐन्टेना षक्ति
வான்வழி கதிர்வீச்சு,आकाशी विकिरण प्रतिरोध
வான்வழி எதிர்வினை,ऐन्टेना प्रतिघात
ஏரோடைனமிக்ஸ்,वायुगतिकी
ஏஜென்சி,"एजेंसी, अभिकरण"
காற்று அழுத்தி,वायु संपीडक
ஏர் மின்தேக்கி,वायु संधारित्र
குளிா்ந்த காற்று,वायुशीतित
காற்று கோர்ட் சுருள்,वायु क्रोडित कुंडली
ஏர் கண்டிஷனிங்,वातानुकूलन
ஆல்பெடோ,ऐल्बीडो
வழிமுறை,"कलन विधि, एल्गोरिथ्म"
மாற்றுப்பெயர்ச்சி,एलियासिंग
சீரமைத்தல்,संरेखण
சீரமைப்பு,संरेखण
அனைத்து அலை வான்வழி,सर्व तरंग एरियल
ஒதுக்கீடு,नियतन
அகரவரிசை,"वर्णक्रमीय, वर्णक्रमिक"
எண்ணெழுத்து,अक्षरांकीय
எண்ணெழுத்து எழுத்து,अक्षरांकीय संप्रतीक
எண்ணெழுத்து தகவல்,अक्षरांकीय सूचना
மாற்று மின்னோட்டம் (ஏ.சி.),प्रत्यावतब धारा (ए सी)
மாற்று,प्रत्यावर्तन
மின்மாற்றி,"प्रत्यावर्तक, प्रत्यावर्तित्र"
உயரம்,"तुंगता, उन्नतांश, शीर्षलंब"
அப்போஜியின் உயரம்,अपभू-तुंगता
பெரிஜியின் உயரம்,उपभू-तुंगता
அமெச்சூர் வானொலி தொடர்பு,अव्यावसायिक रेडियो संचार
சூழ்நிலை,परिवेश
சுற்றுப்புற மைக்ரோஃபோன்,परिवेश माइक्रोफोन
சுற்றுப்புற நிலை,परिवेशी दशा
சுற்றுப்புற விளக்குகள்,परिवेश प्रकाश व्यवस्था
சுற்றுப்புற சத்தம்,परिवेशी रव
சுற்றுப்புற வெப்பநிலை,"परिवेशी ताप, परिवेश ताप"
அமெரிக்கன் ஸ்டாண்டர்ட் கோட்,अमरीकी मानक कोड
ஆம்பியர்,ऐम्पियर
ஆம்பியர் மீட்டர்,ऐम्पियर मापी
பெருக்கம்,प्रवर्धन
பெருக்க காரணி,प्रवर्धन गुणक
பெருக்கி,प्रवर्धक
பெருக்கி ஆதாயம்,प्रवर्धक लब्धि
பெருக்கி சத்தம்,प्रवर्धक रव
உபகரணங்கள் பெருக்குதல்,प्रवर्धन उपस्कर
கிளிஸ்ட்ரான் பெருக்குதல்,प्रवर्धन क्लाइस्ट्रॉन
பெருக்குதல் அலகு,प्रवर्धन एकक
வீச்சு,"आयाम, कोणांक"
வீச்சு விலகல்,आयाम विरूपण
வீச்சு உல்லாசப் பயணம்,आयाम प्रसार
வீச்சு காரணி,आयाम गुणक
அலைவீச்சு வரம்பு,आयाम सीमक
வீச்சு பண்பேற்றப்பட்டது,आयाम मॉडुलित
வீச்சு பண்பேற்றம்,आयाम मॉडुलन
ஒப்புமை (அனலாக்),"अनुरूप, एनालॉग"
அனலாக் சுற்று,अनुरूप परिपथ
அனலாக் கணினி,अनुरूप कंप्यूटर
அனலாக் ரேடியோ அதிர்வெண் சேனல்,अनुरूप रेडियो आवृत्ति चैनल
அனலாக் பிரதிநிதித்துவம்,अनुरूप निरूपण
அனலாக் சிக்னல்,"अनुरूप संकेत, अनुरूप सिगनल"
டிஜிட்டலுக்கு அனலாக்,अनुरूप से अंकीय
டிஜிட்டல் மாற்றிக்கு அனலாக்,अनुरूप-अंकीय परिवर्तक
அனலாக் வீடியோ,अनुरूप वीडियो
ஒப்பீட்டு,"अनुरूप, स–श"
ஒப்புமை,अनुरूपता
பகுப்பாய்வு,विष्लेषण
தரவின் பகுப்பாய்வு,आंकड़ा विष्लेषण
பகுப்பாய்வு அடர்த்தி,विष्लेषी घनत्व
பகுப்பாய்வு செய்யுங்கள்,विष्लेषण करना
பகுப்பாய்வி,विष्लेषक
துணை உபகரணங்கள்,सहायक उपस्कर
மற்றும் வாயில்,"ऐन्ड गेट, तथा द्वार, AND गेट"
மோதலின் கோணம்,समांतरण कोण
துருவமுனைப்பு கோணம்,धुवण कोण
சுழற்சியின் கோணம்,घूर्णन कोण
ஆங்ஸ்ட்ரோம் (Å),ऐंग्स्ट्रम(Å)
கோண,"कोणीय, d¨f.kd"
கோண முடுக்கம்,d¨.kh; त्वरण
கோண ஒருங்கிணைப்புகள்,कोणीय निर्देशांक
கோண அழிவு,कोणीय विक्षेपण
கோண சிதறல்,कोणीय परिक्षेपण
கோண இடப்பெயர்ச்சி,कोणीय विस्थापन
கோண பிழை,कोणीय त्रुटि
கோண அதிர்வெண்,कोणीय आवृत्ति
கோண உந்தம்,कोणीय संवेग
கோண இயக்கம்,कोणीय गति
கோண வேகம்,कोणीय वेग
இயங்குபடம்,"ऐनीमेशन, सजीवन"
நேர்மறை,ऐनोड
நேர்மறை பேட்டரி,ऐनोड बैटरी
நேர்மறை பண்பு,ऐनोड अभिलक्षण
நேர்மறை சுற்று,ऐनोड परिपथ
அனோட் சிதறல்,ऐनोड क्षय
அனோட் செயல்திறன்,ऐनोड दक्षता
அனோட் உள்ளீட்டு சக்தி,ऐनोड निवेश षक्ति
அனோட் மாடுலேஷன்,ऐनोड मॉडुलन
ஆண்டெனா,ऐन्टेना
ஆண்டெனா பீம் அகலம்,ऐन्टेना किरणपुंज चौड़ाई
ஆண்டெனா பூஸ்டர்,ऐन्टेना वर्धक
ஆண்டெனா மாற்ற சுவிட்ச்,ऐन्टेना परिवर्तन स्विच
ஆண்டெனா சுருள்,ऐन्टेना कुंडली
ஆண்டெனா உள்ளமைவு,"ऐन्टेना विन्यास, ऐन्टेना संरूपण"
ஆண்டெனா கப்ளர்,ऐन्टेना युग्मक
ஆண்டெனா குறுக்கு துருவ முறை,ऐन्टेना अनुप्रस्थ धुवीय प्रतिरूप
ஆண்டெனா நடப்பு,ऐन्टेना धारा
ஆண்டெனா டைரக்டிவிட்டி ஆதாயம்,ऐन्टेना दैशिकता लब्धि
ஆண்டெனா டூப்ளெக்சர்,ऐन्टेना द्वैध संकेतक
ஆண்டெனா பயனுள்ள பகுதி,ऐन्टेना प्रभावी क्षेत्र
ஆண்டெனா செயல்திறன்,ऐन्टेना दक्षता
ஆண்டெனா ஊட்டம்,ऐन्टेना प्रभरण
ஆண்டெனா கால் அச்சு,ऐन्टेना व्याप्ति
ஆண்டெனா ஆதாயம்,ऐन्टेना लब्धि
ஆண்டெனா உயரம்,ऐन्टेना ऊंचाई
ஆண்டெனா மின்மறுப்பு,ऐन्टेना प्रतिबाधा
ஆண்டெனா தூண்டல்,ऐन्टेना प्रेरकत्व
ஆண்டெனா முறை,ऐन्टेना प्रतिरूप
ஆண்டெனா பிளெக்ஸர்,"ऐन्टेना द्विसंकेतक, ऐन्टेना द्वियुग्मक"
ஆண்டெனா துருவமுனைப்பு,ऐन्टेना धुवण
ஆண்டெனா சக்தி,ऐन्टेना षक्ति
ஆண்டெனா சக்தி ஆதாயம்,ऐन्टेना षक्ति लब्धि
ஆண்டெனா கதிர்வீச்சு எதிர்ப்பு,ऐन्टेना विकिरण प्रतिरोध
ஆண்டெனா எதிர்வினை,ऐन्टेना प्रतिघात
ஆண்டெனா பிரதிபலிப்பாளர்,ऐन्टेना परावर्तक
ஆண்டெனா எதிர்ப்பு,ऐन्टेना प्रतिरोध
ஆண்டெனா அதிர்வு அதிர்வெண்,ऐन्टेना अनुनादी आवृत्ति
ஆண்டெனா இடைவெளி,ऐन्टेना अंतरालन
ஆண்டெனா மாறுதல் அறை,ऐन्टेना स्विचन कक्ष
ஆண்டெனா டியூனிங் சுருள்,ऐन्टेना समस्वरक कुंडली
ஆண்டெனா ட்யூனிங் ஹட்,ऐन्टेना समस्वरक कुटीर
துவாரம்,द्वारक
Apogee,"भूमि उच्च, अपभू"
அபோஜி ராக்கெட்,अपभू राकेट
கருவி,उपकरण
தோன்றும்,आभासी
Applet,ऐपलेट (जावा में प्रोग्राम)
விண்ணப்பம்,"अनुप्रयोग, आवेदन"
தோராயமான,"आसन्न, लगभग, सन्निकट"
நீர்வாழ் தீர்வு,जलीय घोल
வில்,"चाप, आर्क"
கட்டிடக்கலை,"संरचना, स्थापत्यकला, वास्तुकला"
ஒலி பதிவின் காப்பக பரிமாற்றம்,पुरालेखीय ध्वनि-अभिलेखन अंतरण
காப்பகங்கள்,अभिलेखागार; पुरालेख
எண்கணித குறியீட்டு முறை,अंकगणितीय कोडन
ஆர்மேச்சர்,आर्मेचर
ஆர்மேச்சர் முறுக்கு,"आर्मेचर कुंडलन, आर्मेचर कुंडली"
வரிசை,"व्यूह, सरणी"
கைது செய்பவர்,"प्रग्राही, निरोधक"
வெளிப்பாடு,सुस्पष्ट उच्चारण
கலைப்பொருள் (= கலைப்பொருள்),शिल्पतथ्य; छविदोष
ஏறுதல்,आरोहण
விகிதம்,अभिमुखता अनुपात
அசெம்பிளர்,समायोजक
கூற்று,निष्चयन
ஒதுக்கீடு,"समनुदेशन, नियत कार्य"
ஒதுக்கீட்டு சேனல்,नियतन चैनल
சமச்சீரற்ற,असममित
ஒத்திசைவற்ற,अतुल्यकालिक
வளிமண்டலம்,वायुमंडल
வளிமண்டல இழப்பு,वायुमंडलीय हानि
வளிமண்டல சத்தம்,वायुमंडलीय रव
வளிமண்டல அழுத்தம்,वायुमंडलीय दाब
வளிமண்டல பரவல்,वायुमंडलीय संचरण
வளிமண்டல வானொலி-அலை,वायुमंडलीय रेडियो तरंग
வளிமண்டலங்கள்,वायु-वैद्युत् क्षोभ
அணு,परमाणु
அணு அமைப்பு,परमाणु संरचना
இணைப்பு,संलग्नक
விழிப்புணர்வு,क्षीणन
விழிப்புணர்வு இழப்பு,क्षीणन हानि
ஒலி அலைகளின் விழிப்புணர்வு,ध्वनि तरंग क्षीणन
அட்டென்யூட்டர்,क्षीणकारी
அட்டென்யூட்டர்-பேட்,क्षीणकारी पैड
கேட்கக்கூடிய வாசல்,श्रव्यता देहली
கேட்கக்கூடியது,श्रव्य
கேட்கக்கூடிய அதிர்வெண்,श्रव्य आवृत्ति
கேட்கக்கூடிய தொனி,श्रव्य स्वरक
கேட்கக்கூடிய-ஸ்பெக்ட்ரம்,श्रव्य स्पेक्ट्रम
பார்வையாளர்கள்,"श्रोतागण, दर्शकगण, श्रोता समुदाय"
ஆடியோ,"श्रव्य, ऑडियो"
ஆடியோ பெருக்கி,श्रव्य प्रवर्धक
ஆடியோ பகுப்பாய்வி,श्रव्य विष्लेषक
ஆடியோ ஒளிபரப்பு,श्रव्य प्रसारण
ஆடியோ கேபிள்,"श्रव्य केबल, ऑडियो केबल"
ஆடியோ சங்கிலி,श्रव्य  शृंखला
ஆடியோ கோடெக்,"श्रव्य कोडेक, श्रव्य कोडक-विकोडक"
ஆடியோ சுருக்கம்,श्रव्य संपीडन
ஆடியோ அமுக்கி,श्रव्य संपीडक
ஆடியோ கன்சோல்,श्रव्य कंसोल
ஆடியோ விலகல்,श्रव्य विरूपण
ஆடியோ டைனமிக் வரம்பு,"श्रव्य गतिक सीमा, श्रव्य गतिक परास"
ஆடியோ கோப்பு வடிவம்,श्रव्य संचिका आरूप
ஆடியோ பிரேம் வடிவம்,श्रव्य फ्रेम आरूप
ஆடியோ அதிர்வெண் பெருக்கி,श्रव्य आवृत्ति प्रवर्धक
ஆடியோ அதிர்வெண் ஜெனரேட்டர்,श्रव्य आवृत्ति जनित्र
ஆடியோ அதிர்வெண் வரம்பு,श्रव्य आवृत्ति परास
ஆடியோ அதிர்வெண் பதில்,श्रव्य आवृत्ति अनुक्रिया
ஆடியோ லிமிட்டர்,श्रव्य सीमक
ஆடியோ வரி,श्रव्य लाइन
ஆடியோ மிக்சர்,श्रव्य मिश्रक
ஆடியோ பண்பேற்றம்,श्रव्य मॉडुलन
ஆடியோ ஆஸிலேட்டர்,"श्रव्य दोलक, श्रव्य दोलित्र"
ஆடியோ வெளியீடு,श्रव्य निर्गत
ஆடியோ சக்தி,श्रव्य षक्ति
ஆடியோ தரம்,श्रव्य गुणवत्ता
ஆடியோ சிக்னல்,"श्रव्य संकेत, ध्वनि संकेत, ध्वनि सिगनल"
ஆடியோ சிக்னல் செயலாக்கம்,श्रव्य संकेत प्रक्रमण
ஆடியோ ஸ்பெக்ட்ரம்,"श्रव्य स्पेक्ट्रम, ध्वनि स्पेक्ट्रम"
ஆடியோ சேமிப்பு,श्रव्य भंडारण
ஆடியோ துணை கேரியர்,श्रव्य (आवृत्ति) उपवाहक
ஆடியோ மின்மாற்றி,श्रव्य रूपांतरक
ஆடியோ டிரான்ஸ்மிட்டர்,श्रव्य प्रेषित्र
ஆடியோ/வீடியோ சுருக்க,–श्य/श्रव्य संपीडन
ஆடியோ-அதிர்வெண் ஆஸிலேட்டர்,श्रव्य आवृत्ति दोलक
ஆடியோ-அதிர்வெண் சமிக்ஞை,"श्रव्य आवृत्ति संकेत, श्रव्य आवृत्ति सिगनल"
ஆடியோமெட்ரி,श्रव्यमिति
ஆடியோ காட்சி உதவி,–ष्य-श्रव्य साधन
செவிவழி கருத்து,श्रवण बोध
அங்கீகார,"अधिप्रमाणन, प्रमाणीकरण"
அங்கீகரிக்கப்பட்ட கேரியர் அதிர்வெண்,"प्राधिकृत वाहक आवृति, अधिकृत वाहक आवृत्ति"
ஆட்டோ கேட்,"ऑटो कैड, ऑटो CAD"
ஆட்டோ கண்டறிதல்,स्वतः नैदानिकी
தானியங்கி,"स्वचल, स्वचालित, स्वतः, स्व"
தானியங்கி கட்டுப்பாடு,स्वतः नियंत्रण
தானியங்கி கண்டறிதல்,स्वतः संसूचन
தானியங்கி உபகரணங்கள்,स्वचालित उपस्कर
தானியங்கி அதிர்வெண் கட்டுப்பாடு,स्वतःआवृत्ति नियंत्रण
தானியங்கி வரம்பு,स्वचालित सीमक
தானியங்கி இயந்திரம்,स्वचालित मशीन
தானியங்கி கட்டக் கட்டுப்பாடு,स्वतः कला नियंत्रण
தானியங்கி பட பரிமாற்றம்,स्वतः चित्र प्रेषण
தானியங்கி பிளேபேக்,"स्व प्रतिश्रवण, स्व प्रति–श्यण"
