Marathi,Hindi
अॅबॅकस,"1.एबेकस ,2. गिनतारा"
असामान्य समाप्ती,असामान्य समापन
गर्भपात,अवरोधन
निरपेक्ष,"1. निरपेक्ष ,2. परम"
परिपूर्ण पत्ता,निरपेक्ष पता
निरपेक्ष संबोधन,निरपेक्ष पताभिगमन
परिपूर्ण असेंबलर,निरपेक्ष कोडांतरक
परिपूर्ण कोड,"1. निरपेक्ष कूट ,2. निरपेक्ष कोड"
निरपेक्ष आज्ञा,निरपेक्ष समादेश
परिपूर्ण डेटा,"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा"
परिपूर्ण सूचना,निरपेक्ष अनुदेश
परिपूर्ण मोड,निरपेक्ष विधा
परिपूर्ण मार्ग,निरपेक्ष पथ
परिपूर्ण प्रोग्रामिंग,"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन"
अमूर्त वर्ग,अमूर्त वर्ग
अमूर्त डेटा प्रकार,अमूर्त आंकड़ा प्रकार
अमूर्त मशीन,अमूर्त मशीन
अमूर्त चिन्ह,अमूर्त प्रतीक
अमूर्त वाक्यरचना,अमूर्त वाक्य विन्यास
स्वीकृती चाचणी,स्वीकृति परीक्षण
प्रवेश प्रमाणीकरण,अभिगम प्रमाणन
प्रवेश कोड,"1. अभिगम कूट ,2. अभिगम कोड"
प्रवेश नियंत्रण,अभिगम नियंत्रण
प्रवेश स्कॅन,अभिगम क्रमवीक्षण
ऍक्सेसरी,सहयंत्र
खाते,लेखा
खाते आयडी,"1. एकाउंट आई डी ,2. लेखा पहचान"
संचयक,संचायक
अचूकता,"1. विशुद्धता ,2. यर्थाथता"
प्रवेश,अभिगम
ऍक्सेस कंट्रोल बाइट,अभिगम नियंत्रण बाइट
प्रवेश निर्देशांक,अभिगम सूचक
प्रवेश की,अभिगम कुंजी
ऍक्सेस मॅट्रिक्स,"1.अभिगम आव्यूह ,2. अभिगम मैट्रिक्स"
प्रवेश मोड,अभिगम विधा
प्रवेश विशेषाधिकार,अभिगम विशेषाधिकार
प्रवेश सुरक्षा,अभिगम सुरक्षा
ऍक्सेस सर्व्हर,"1. अभिगम परिसेवक ,2. अभिगम सर्वर"
प्रवेश वेळ,अभिगम काल
पोचपावती,अभिस्वीकृति
ध्वनीशास्त्र,ध्वनिकी
परिवर्णी शब्द,"1. परिवर्णी शब्द, 2. संक्षिप्त रूप ,3. लघु रूप"
क्रिया संदेश,क्रिया संदेश
सक्रियकरण,सक्रियण
सक्रिय सर्व्हर पृष्ठ (एएसपी),सक्रिय सर्वर पृष्ठ
सक्रिय आवृत्ती,सक्रिय वर्जन
अॅसायक्लिक,अचक्रीय
अॅसायक्लिक आलेख,"1. अचक्रीय आलेख ,2. अचक्रीय ग्राफ"
अडा भाषा,एडा कंप्यूटर भाषा
