Malayalam,Tamil
അജിയോട്ടിക് പുനരുൽപാദനം,உயிரற்ற இனப்பெருக்கம்
അസാധാരണമായ,அமானுஷ்ய
1. നാലാമത്തെ വയറ് 2. ഇവോമസോം,1. நான்காவது வயிறு 2. எவோமாசோம்
സ്റ്റോമറ്റൽ വളർച്ച അവയവം,வயிற்று வளர்ச்சி உறுப்பு
വളർച്ച മുരടിച്ച വിത്ത്,வளர்ச்சி குன்றிய விதை
1. ഗർഭച്ഛിദ്രം 2. ഗർഭം അലസൽ 3. വളർച്ചയുടെ പ്രതിരോധം,1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு
1. ആവശ്യമില്ലാത്ത കളകൾ 2. പൂർണ്ണമായ കളകൾ,1. தேவையற்ற களைகள் 2. முழுமையான களைகள்
ആഗിരണം ചെയ്യപ്പെട്ട കാറ്റേഷൻ,உறிஞ்சப்பட்ட கேஷன்
ആഗിരണം,உறிஞ்சுதல்
അബിസീനിയൻ കടുക്,அபிசீனிய கடுகு
1. acaricide,1. காரக்கொல்லி
കേന്ദ്രാഭിമുഖം,மையவிலக்கு
ആംപ്ലിഫിക്കേഷൻ (സെൽ),பெருக்கம் (செல்)
അനുവദിച്ച സഹിഷ്ണുത,அனுமதிக்கப்பட்ட சகிப்புத்தன்மை
1.അഡീഷണൽ 2.അക്സസറി 3.അക്സസറി,1.கூடுதல் 2.துணை 3.துணை
പൊരുത്തപ്പെടുത്തൽ,தழுவல்
ശേഖരണം,திரட்சி
1. vaccuracy 2. കൃത്യത,1.vacuracy 2. துல்லியம்
1. അസെർവുലസ് 2. സ്പോറോഫൈറ്റ്,1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்
1. അസറ്റൈസേഷൻ 2. വിനാഗിരി ഉണ്ടാക്കൽ 3. അസറ്റിലിൻ,1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்
1. അസിഡിഫിക്കേഷൻ 2. അസിഡിഫിക്കേഷൻ,1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்
1. അസിഡോമീറ്റർ 2. അസിഡിമീറ്റർ,1. அமிலமானி 2. அமிலமானி
അസിഡിറ്റി,அமிலத்தன்மை
അസിഡോഫൈൽ,அமிலத்தன்மை
അസിഡിഫൈഡ് റോക്ക് ഫോസ്ഫേറ്റ്,அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்
അസിഡിഫൈഡ്,அமிலமாக்கப்பட்ட
ജലാശയം,நீர்நிலை
കൈവശപ്പെടുത്തൽ,கையகப்படுத்தல்
ഏക്കർ,ஏக்கர்
1. ഏരിയ 2. ഏരിയ,1. பகுதி 2. பகுதி
അവസാന പോയിന്റ് ക്രോമസോം,இறுதி புள்ளி குரோமோசோம்
മുന്നോട്ട് നോക്കുന്ന,முன்னோக்கு
അക്രോസോം,குரோசோம்
ആക്റ്റിനോമൈസെറ്റുകൾ,ஆக்டினோமைசீட்ஸ்
സജീവ കോർ,செயலில் உள்ள மைய
1. ക്രോധം 2. തീവ്രം,1. சீற்றம் 2. தீவிரம்
പൊരുത്തപ്പെടുത്തൽ,தழுவல்
ഇഷ്ടാനുസൃതമാക്കൽ,தனிப்பயனாக்கம்
1. അഡീഷൻ 2. അഡീഷൻ,1. ஒட்டுதல் 2. ஒட்டுதல்
സെബാസിയസ്,செபாசியஸ்
ക്രമീകരിക്കൽ സമവാക്യം,சரிசெய்தல் சமன்பாடு
അഡോബ് മണ്ണ്,அடோப் மண்
വ്യഭിചാരം,கலப்படம்
എക്ടോപിക്,எக்டோபிக்
ഇസിഡിയോസ്പോർ ഇസിഡിയം ബീജം,இசிடியோஸ்போர் இசிடியம் ஸ்போர்
എയറോഡൈനാമിക് പ്രക്രിയ,ஏரோடைனமிக் செயல்முறை
വെൻട്രൽ,வென்ட்ரல்
വായുസഞ്ചാരത്തിനായി,காற்றோட்டம் செய்ய
1. വായു 2. ആകാശി,1. காற்று 2. ஆகாஷி
1. എയറോമീറ്റർ 2. എയറോമീറ്റർ 3. എയറോമീറ്റർ,1. ஏரோமீட்டர் 2. ஏரோமீட்டர் 3. ஏரோமீட்டர்
എയറോസോൾ,ஏரோசல்
1. പൂങ്കുല 2. വേനൽ സുഷുപ്തി,1. மஞ்சரி 2. கோடை உறக்கம்
രോഗ ശാസ്ത്രം,நோய் அறிவியல்
വനവൽക്കരണം,காடு வளர்ப்பு
1. പ്രക്ഷോഭം 2. പ്രക്ഷുബ്ധത,1. கிளர்ச்சி 2. கொந்தளிப்பு
അഗ്മാർക്ക്,அக்மார்க்
1. ഭൂമിയുമായി ബന്ധപ്പെട്ട 2. കാർഷിക,1. நிலம் தொடர்பான 2. விவசாயம்
കാർഷിക ക്ലിനിക്ക്,விவசாய மருத்துவமனை
1. കാർഷിക തൊഴിലാളികൾ 2. കാർഷിക തൊഴിലാളികൾ,1. விவசாயத் தொழிலாளர்கள் 2. விவசாயத் தொழிலாளர்கள்
കാർഷിക വിപണനം,விவசாய சந்தைப்படுத்தல்
കാർഷിക സാങ്കേതികവിദ്യ,விவசாய தொழில்நுட்பம்
1. കൃഷി 2. കൃഷി 3. അഗ്രികൾച്ചറൽ സയൻസ്,1. விவசாயம் 2. விவசாயம் 3. விவசாய அறிவியல்
കാർഷിക വനവൽക്കരണം,விவசாய காடுகள்
കാർഷിക ജൈവവൈവിധ്യം,விவசாய பல்லுயிர்
കാർഷിക ജൈവ വൈകല്യങ്ങൾ,விவசாய கரிம குறைபாடுகள்
കാർഷിക ജീവശാസ്ത്രം,விவசாய உயிரியல்
കാർഷിക-കാലാവസ്ഥാ വൈവിധ്യം,விவசாய காலநிலை பன்முகத்தன்மை
കാർഷിക കാലാവസ്ഥാ മേഖല സൃഷ്ടിക്കൽ,வேளாண் காலநிலை மண்டலத்தை உருவாக்குதல்
അഗ്രോഫോറസ്ട്രി,வளர்ப்பு
കാർഷിക ശാസ്ത്രം,வேளாண்மை
അഗ്രോണമിക്,வேளாண்மை
കാർഷിക ഇടയൻ,விவசாய மேய்ச்சல்
വിള സംസ്കരണം,பயிர் செயலாக்கம்
പുല്ല് ശാസ്ത്രം,புல் அறிவியல்
വിള തരം,பயிர் வகை
എപ്പിഫൈറ്റ്,எபிஃபைட்
aikiochi മണ്ണ്,aikiochi மண்
വർണ്ണാന്ധത,வண்ண குருட்டுத்தன்மை
ആൽഫിസോൾ,அல்பிசோல்
ആൽഗകൾ,பாசி
ആൽഗ രോഗം,பாசி நோய்
ആൽക്കലി വെള്ളം,காரம் நீர்
ആൽക്കലൈൻ,காரமானது
ബദൽ,மாற்று
അല്ലെലോ രസതന്ത്രം,அலெலோ வேதியியல்
അല്ലീൽ,அலீல்
അല്ലെലോപ്പതി,அலெலோபதி
വേത്തി വിള,வேத்தி பயிர்
പൂർത്തീകരണം,நிறைவு
ബീജസങ്കലനം,கருத்தரித்தல்
1. ആപേക്ഷികത 2. അലോമെട്രി,1. சார்பியல் 2. அலோமெட்ரி
മൾട്ടിപ്ലോയിഡി,பலவகை
1. പാരാസിഗോസിറ്റി,1. Parazygosity
1. ഇതര വർഷത്തെ പ്രവർത്തനം 2. ഇതര പ്രവർത്തനം,1. மாற்று ஆண்டு செயல்பாடு 2. மாற்று செயல்பாடு
ബദൽ ഭൂമി ഉപയോഗം,மாற்று நில பயன்பாடு
പരിസ്ഥിതി,சூழல்
പരിഷ്കർത്താവ്,சீர்திருத்தவாதி
മൈറ്റോസിസ്,மைடோசிஸ்
ആമീനൻ,அமீனன்
അമോണിയൻ,அம்மோனியன்
അമ്നിഫെറസ്,அம்னிஃபெரஸ்
1. ഫലപ്രദമല്ലാത്ത രൂപം 2. അരൂപി,1. பயனற்ற வடிவம் 2. அரூபி
ഉഭയജീവി മിശ്രിതം,நீர்வீழ்ச்சி கலவை
ആംഫോട്ടെറിക്,ஆம்போடெரிக்
സ്റ്റോക്ക്പൈലിംഗ്,கையிருப்பு
1. അനറോബിക് 2. അനറോബിക് ഓർഗാനിസംസ്,1. காற்றில்லா 2. காற்றில்லா உயிரினங்கள்
ഹാപ്ലോയിഡ്,ஹாப்ளாய்டு
കോണീയ നടീൽ,கோண நடவு
മൃഗസംരക്ഷണം,கால்நடை வளர்ப்பு
മൃഗ വിസർജ്ജനം,விலங்கு மலம்
ജീവനുള്ള ഊർജ്ജം,வாழ்க்கை ஆற்றல்
അസാധാരണമായ,முரண்பாடான
ഒരു വർഷം പഴക്കമുള്ള ചെടി,ஒரு வருடம் பழமையான ஆலை
വാർഷിക,ஆண்டு
1. പരമാനന്ദം 2. പ്രഭ,1. பரவசம் 2. பிரகாசம்
ആന്ത്രാക്സ്,ஆந்த்ராக்ஸ்
നരവംശ ഘടകങ്ങൾ,மானுடவியல் காரணிகள்
അതിജീവനം,உயிர்வாழ்தல்
1. ആന്റിബയോട്ടിക് 2. ആന്റിബയോട്ടിക്,1. ஆன்டிபயாடிக் 2. நுண்ணுயிர்க்கொல்லி
വെറുപ്പുളവാക്കുന്ന,விரட்டும்
ആന്റിഓക്‌സിഡന്റ്,ஆக்ஸிஜனேற்ற
