Punjabi,English
ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ,A C equivalent circuit
ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ,A to D converter
ਪੂਰਨ ਜ਼ੀਰੋ,Absolute zero
ਸਮਾਈ ਗੁਣਾਂਕ,Absorption coefficient
ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ,Absorption spectrum
ਰੀਸੈਪਟਰ ਐਟਮ,Acceptor atom
ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ,A C coupling
ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ,Accumulation of electron
ਮੋਰੀ ਸਟੋਰੇਜ਼,Accumulation of holes
ਸਰਗਰਮੀ ਊਰਜਾ,Activation energy
ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ,Active amplifier
ਸਰਗਰਮ diode ਸਰਕਟ,Active diode circuit
ਸਰਗਰਮ ਫਿਲਟਰ,Active filter
ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ,Active high pass filter
ਸਰਗਰਮ ਲੋਡ,Active load
ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ,Active low pass filter
ਸਰਗਰਮ ਖੇਤਰ,Active region
ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ,Adaptive electronics
ਜੋੜਨ ਵਾਲਾ,Adder
ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ,Adjustable band width
ਪ੍ਰਵੇਸ਼,Admittance
ਏਰੀਅਲ,Aerial
pep ਬਾਰੰਬਾਰਤਾ,Agility frequency
ੲੇ. ਸੀ,Air conditioner
ਅਲਾਈਨਮੈਂਟ,Alignment
ਐਲਗੋਰਿਦਮ,Algorithm
ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ,All pass filter
ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ,Alloy junction
ਧਿਆਨ,Attenuation
ਬਦਲਵੇਂ ਮੌਜੂਦਾ,Alternating current (AC)
ਅੰਬੀਨਟ ਤਾਪਮਾਨ,Ambient temperature
ਬਾਈਪੋਲਰ,Ambipolar
ਵਾਧਾ,Amplification
ਐਂਪਲੀਫਾਇਰ,Amplifier
ਐਂਪਲੀਫਾਇਰ ਕੁਸ਼ਲਤਾ,Amplifier efficiency
ਮਾਪ,Amplitude
ਐਪਲੀਟਿਊਡ attenuation,Amplitude altenuation
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਡ AM ਔਸਿਲੇਟਰ,Amplitude modulated oscillator
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਸ਼ਨ,Amplitude modulation
ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਰ,Amplitude modulator
ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ,Angstrom unit
ਐਨਾਲਾਗ ਸਰਕਟ,Analog circuit
ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ,Analog computer
ਐਨਾਲਾਗ ਫਿਲਟਰ,Analog filter
ਐਨਾਲਾਗ ਮਲਟੀਮੀਟਰ,Analog multimeter
ਐਨਾਲਾਗ ਸਵਿੱਚ,Analog switch
ਅਤੇ ਗੇਟ,AND gate
ਕੋਣੀ ਬਾਰੰਬਾਰਤਾ,Angular frequency
"anion, anion",Anion
ਐਨੀਲਿੰਗ ਤਾਪਮਾਨ,Annealing temperature
ਐਨੋਡ,Anode
ਐਨੋਡ ਐਂਪਲੀਫਾਇਰ,Anode amplifier
anodyne,Anodization
ਐਂਟੀਨਾ,Antenna
ਐਂਟੀਨਾ ਕੰਪੋਨੈਂਟ,Antenna elements
ਵਿਰੋਧੀ ਪ੍ਰਤੀਬਿੰਬ ਪਰਤ,Anti-reflection coating
ਐਂਟੀਲੌਗਿਨ ਐਂਪਲੀਫਾਇਰ,Anti-log amplifier
antiresonant ਸਰਕਟ,Anti-resonant circuit
ਦੁਆਰਕ ਕਾਲ,Aperture time
ਵਰਚੁਅਲ ਪਾਵਰ,Apparent power
ਤਾਰ ਕੁਨੈਕਸ਼ਨ,Apparent wiring
ਲਗਭਗ ਵੋਲਟੇਜ ਲਾਭ,Approximate voltage gain
armstrong modulator,Armstrong modulator
ਐਂਟੀਨਾ ਐਰੇ,Arrays of antenna
"ਆਕਾਰ ਅਨੁਪਾਤ, ਆਕਾਰ ਅਨੁਪਾਤ",Aspect ratio
ਫਲੋਟਿੰਗ ਸਰਕਟ (ਮੁਫ਼ਤ ਓਪਰੇਟਿੰਗ ਸਰਕਟ),Astable circuit (free running circuit)
ਆਟੋਮੈਟਿਕ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,Astable multivibrator
ਫਲੋਟਿੰਗ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,Astable multivibrator
ਅਸਮਿਤ ਜੰਕਸ਼ਨ,Asymmetrical junction
ਅਸਿੰਕ੍ਰੋਨਸ ਕੈਲਕੁਲੇਟਰ,Asynchronous counters
ਪ੍ਰਮਾਣੂ,Atom
ਪਰਮਾਣੂ ਨੰਬਰ,Atomic number
ਪਰਮਾਣੂ ਬਣਤਰ,Atomic structure
ਆਡੀਓ ਐਂਪਲੀਫਾਇਰ,Audio amplifier
