Hindi,Odiya
रुद्ध-वृद्धि अंग,ପରିତ୍ୟାଗ ଅଙ୍ଗ |
रुद्ध वृद्धि बीज,ପରିତ୍ୟାଗ
"गर्भपात, गर्भस्राव, वृद्धि विरोध",ଗର୍ଭପାତ
"अवांछित अपतृण, पूर्ण खरपतवार",ସଂପୂର୍ଣ୍ଣ ତୃଣ
अवशोषित धनायन,ଅବଶୋଷିତ କେସନ
अवशोषण,ଶୋଷଣ
ऐबिसिनी सरसों,Abayssinian mystard |
"एकेरेसनाशी, चिचड़ीनाशी",ଅରିକାଇଡ୍ |
अकेंद्री,ଉଚ୍ଚାରଣ
प्रवर्धन (कोशिका),ଉଚ୍ଚାରଣ (ସେଲ୍)
स्वीकृत सहायता,ଗ୍ରହଣ କରାଯାଇଥିବା ସହନଶୀଳତା |
"अतिरिक्त, सहायक, गौण",ଆନୁଷଙ୍ଗିକ
पर्यनुकूलन,ସୁକମ୍ଲାଇଜେସନ୍
संचय,ଜମା
"यथार्थता, परिशुद्धता",ସଠିକତା
"एसर्वुलस, बीजाणुपात्र",Acervulus
"ऐसीटीकरण, सिरका बनाना",ଯୁକ୍ତିଯୁକ୍ତିକ
"अम्लीकरण, अम्लन",ଅମ୍ଳଗତ
"अम्लतामापी, एसिडीमीटर",ଏସିଡିମିଟର
अम्लता,ଅମ୍ଳତା
अम्लरागी,ଏସିଡୋଫିଲିକ୍ |
अम्लीकृत रॉक फॉस्फेट,ACIDUCED ROX FHSHATE |
अम्लसह,ଅସିଡିଆରି |
जलभृत,ଜଳଜଳ |
अधिग्रहण,ଅଧିଗ୍ରହଣ
एकड़,ଏକର
"क्षेत्रफल, रकबा",ଏକରାଗେଜ୍
उपांत बिंदु क्रोमोसोम,ଆକ୍ରୋଣ୍ଟ୍ରିକ୍ କ୍ରୋମୋଜୋମ୍ |
अग्राभिसारी,ଆଖୋପ୍ଟାଲ୍ |
ऐक्रोसोम,ଆନୋକୋମ୍
एक्टिनोमाइसिटीज,ଆକ୍ଟିନୋମିସେସିସ୍ |
सक्रिय मूलक्षेत्र,ସକ୍ରିୟ ମୂଳ କ୍ଷେତ୍ର
"उग्र, तीव्र",ତୀବ୍ର
अनुकूलनशीलता,ଅନୁକେତ
अनुकूलन,ଆଡାପ୍ଟେସନ୍
"आसंजन, अभिलाग, बन्ध",ଆଡେସନ୍
वसामय,ଆଦିବ
समायोजन समीकरण,ଆଡଜଷ୍ଟମେଣ୍ଟ ସମୀକରଣ |
ऐडोब मृदा,ଆଡୋବ ମାଟି |
अपमिश्रक,ବ୍ୟଭିଚାର
अपस्थानिक,ବିଶ୍ୱସ୍ତତା
"एसीडियोस्पोर, एसीडियम बीजाणु",Aechidispor
वातोढ़ प्रक्रिया,ଏଓଲ୍ସିଆସ୍ ପ୍ରକ୍ରିୟା |
वातोढ़,ଆଦାମୀ
वातन करना,ଆରେଟ୍
"वायव, आकाशी",ବାୟୁ
"ऐरोमीटर, वायुमापी, वायुघनत्वमाप",ଏରୋମିଟର |
ऐरोसॉल,ଏରୋସୋଲ୍ |
"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता",ବାୟେ
"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान",ଆୟନୋଜି (ଇଟିଓଲୋଜି)
वनरोपण,ଆଗ ଶତ୍ରୁମାନଙ୍କର
"विलोडन, प्रक्षोभन",ଆଗ୍ରିଲେସନ୍
"ऐगमार्क, कृष्यंक",Awarmark
"भूमी संबंधी, कृषि संबंधी",କୃଷି
कृषि निदानालय,କୃଷି କ୍ଲିନିକ୍ |
"कृषि श्रम, खेतिहर मजदूर",କୃଷି ଶ୍ରମ
कृषि विपणन,କୃଷି ମାର୍କେଟିଂ |
कृषि प्रद्योगिकी,କୃଷି ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |
"कृषि, खेतीबारी, कृषि विज्ञान",କୃଷି
कृषि वनवर्धन,ଯୁକ୍ତିଯୁକ୍ତ
कृषि जैविक विविधता,Agrobizioditicity |
कृषि जैविक दोष,Agrobiofogic ତ୍ରୁଟିଗୁଡିକ |
कृषि जैविकी,Agrobiogioly |
कृषि जलवायुवीय विविधता,ଭୟଙ୍କର ବିବିଧତା |
कृषि जलवायुवीय क्षेत्रीकरण,ଭୟଙ୍କର ଜୋନିଂ |
कृषि वानिकी,Agroftry
सस्य मृदा विज्ञान,ସହଯୋଗୀ
सस्य विज्ञान,କିରେନୋନୋମ୍ବନ
कृषि पशुचारणिक,Agronastoal
फसल प्रसंस्करण,ସହପ୍ରଗୋକ୍ତ
घास विज्ञान,ଦୁର୍ଗସ୍
सस्य प्ररूप,Agrotype
अधिपादप,ବାୟୁ ପ୍ଲାଣ୍ଟ |
