Marathi,Bengali
अँपिअर (युनिट),অ্যাম্পিয়ার (একক)
angstrum,অ্যাংস্ট্রাম
ए-क्लास अॅम्प्लिफायर,A-শ্রেণীর পরিবর্ধক
एएन रेडिओ सहाय,এএন রেডিও সহায়
एक-स्कॅनिंग सादरीकरण,একটি-স্ক্যানিং উপস্থাপনা
a-darsh,a-দর্শ
ए-स्कोप कामगिरी,A-স্কোপ কর্মক্ষমতা
A-T वक्र क्रिस्टल,A-T বাঁকা স্ফটিক
"एसी डीसी फायदे, ए. सीडी. सी.लाभी, ए. सीडी. c. प्रवर्धन","এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন"
आहे,am
AMU (अणु वस्तुमान एकक),এএমইউ (পারমাণবিক ভর একক)
आर्ड-वार्क*,আর্ড-ওয়ার্ক*
ab-ampere,ab-ampere
A-B वर्ग अॅम्प्लिफायर,A-B শ্রেণীর পরিবর্ধক
adah,adah
A-B शक्ती पिटक,A-B শক্তি পিটক
abc = संरेखन चार्ट = nomograph,abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ
अबे क्रमांक (अबे स्थिरांक),আবে নম্বর (আবে ধ্রুবক)
abe refractometer,abe রিফ্র্যাক্টোমিটার
अबे साइन राज्य,অ্যাবে সাইন স্টেট
स्वयंचलित पूर्वाग्रह भरपाई,স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ
abcoulom,abcoulom
विकृती,"aberration, aberration"
विकृती सुधारक लेन्स,বিকৃতি সংশোধনকারী লেন্স
आकाश विकृती,আকাশ বিকৃতি
abfarad,আবফারদ
एबेनरी,ইবেনরি
इबोनी प्रभाव,আবলুস প্রভাব
असामान्य ध्रुवीकरण,অস্বাভাবিক মেরুকরণ
असामान्य प्रसार,অস্বাভাবিক সংক্রমণ
अलौकिक प्रतिबिंब,অলৌকিক প্রতিফলন
असामान्य अपवर्तन*,অস্বাভাবিক প্রতিসরণ*
अलौकिक प्रतिकार,অস্বাভাবিক প্রতিরোধ
ab-om,ab-om
"प्राबल्य, अपयश","preponderance, ব্যর্থতা"
"संलग्न, सहसा, उभे, विभक्त, खंडित","সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত"
अनेकदा उडी मारते,প্রায়ই লাফ দেয়
हात*,হাত*
हरवलेले प्रतिबिंब,হারিয়ে যাওয়া প্রতিফলন
गहाळ स्पेक्ट्रम,অনুপস্থিত বর্ণালী
"निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण","পরম, পরম, ধ্রুবক, নিখুঁত"
परिपूर्ण प्रवेग,পরম ত্বরণ
परिपूर्ण वास्तव,পরম বাস্তবতা
परिपूर्ण पत्ता,পরম ঠিকানা
भौगोलिक उच्चांक,ভূ-আপেক্ষিক উচ্চতা মিটার
भौगोलिक उंची,ভূতাত্ত্বিক উচ্চতা
परिपूर्ण अँपिअर,পরম অ্যাম্পিয়ার
परिपूर्ण उकळत्या बिंदू,পরম ফুটন্ত বিন্দু
परिपूर्ण प्रकाश,পরম আলোকসজ্জা
परिपूर्ण क्षमता,পরম ক্ষমতা
परिपूर्ण उंची,পরম উচ্চতা
परिपूर्ण रंगद्रव्य,পরম রঙ্গক
"परिपूर्ण कॉन्फिगरेशन, अस्पष्ट कॉन्फिगरेशन","পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন"
परिपूर्ण कूलॉम्ब,পরম কুলম্ব
पूर्ण अंधार,সম্পূর্ণ অন্ধকার
परिपूर्ण वेळापत्रक,পরম সময়সূচী
परिपूर्ण घनता*,পরম ঘনত্ব*
पूर्ण निचरा,পরম নিষ্কাশন
संपूर्ण EMU (विद्युत चुंबकीय एकक),পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট)
संपूर्ण ESU (स्थिर एकक),পরম ESU (স্থির শক্তি ইউনিট)
परिपूर्ण कार्यक्षमता,পরম দক্ষতা
परिपूर्ण इलेक्ट्रोमीटर,পরম ইলেক্ট্রোমিটার
परिपूर्ण वारंवारता परिपूर्ण वारंवारता,পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি
परिपूर्ण आर्द्रता,পরম আর্দ্রতা
परिपूर्ण घटना,পরম ঘটনা
परिपूर्ण अपवर्तक निर्देशांक,পরম প্রতিসরাঙ্ক সূচক
पूर्ण अस्थिरता,পরম অস্থিরতা
पूर्ण अस्थिरता,পরম অস্থিরতা
"परिपूर्ण तीव्रता, परिपूर्ण तीव्रता","পরম তীব্রতা, পরম তীব্রতা"
अस्थेनियाची परिपूर्ण मर्यादा,অ্যাথেনিয়ার পরম সীমা
परिपूर्ण प्रदीपन खिडकीच्या चौकटीचा खालचा आडवा,পরম আলোকসজ্জা সিল
परिपूर्ण प्रकाश वक्र,পরম হালকা বক্ররেখা
परिपूर्ण परिमाण,পরম মাত্রা
परिपूर्ण बॅरोमीटर,পরম ব্যারোমিটার
सर्वोच्च सर्वोच्च,সর্বোচ্চ সর্বোচ্চ
पूर्ण टोक,পরম চরম
परिपूर्ण सर्वात कमी,পরম সর্বনিম্ন
परिपूर्ण गती,পরম গতিবেগ
परिपूर्ण गती,পরম গতি
परिपूर्ण संगीत,পরম সঙ্গীত
परिपूर्ण निरीक्षण,পরম পর্যবেক্ষণ
परिपूर्ण ओम,পরম ওম
परिपूर्ण अभिमुखता,পরম অভিযোজন
परिपूर्ण विद्युत ऋणात्मकता,পরম বৈদ্যুতিক ঋণাত্মকতা
परिपूर्ण गुरुत्व,পরম মাধ্যাকর্ষণ
परिपूर्ण दबाव,পরম চাপ
परिपूर्ण मालमत्ता,পরম সম্পত্তি
परिपूर्ण स्केलर,পরম স্কেলার
तापमानाचे अंतिम प्रमाण*,তাপমাত্রার পরম স্কেল*
"परिपूर्ण समक्रमण, परिपूर्ण समक्रमण","পরম সমলয়, পরম সমলয়"
पूर्ण ताण,পরম চাপ
परिपूर्ण सममिती,পরম প্রতিসাম্য
परिपूर्ण गती शरीर,পরম গতি শরীর
परिपूर्ण एकक प्रणाली,পরম ইউনিট সিস্টেম
परिपूर्ण तापमान,পরম তাপমাত্রা
परिपूर्ण वेळ,পরম সময়
निरपेक्ष एकके,পরম একক
परिपूर्ण मूल्य,পরম মান
पूर्णांक कॅल्क्युलेटर,পূর্ণসংখ্যা ক্যালকুলেটর
परिपूर्ण वेग,পরম বেগ
परिपूर्ण चिकटपणा,পরম সান্দ্রতা
परिपूर्ण वजन,পরম ওজন
पूर्ण शून्य*,পরম শূন্য*
शून्याचा पूर्ण विभाजक,শূন্যের পরম ভাজক
शोषून घेणे,শোষণ করা
शोषक निर्देशांक*,শোষণ সূচক*
शोषलेली ऊर्जा,শোষিত শক্তি
"शोषक, शोषक","শোষক, শোষক"
शोषक माध्यम*,শোষক মাধ্যম*
शोषण क्षमता,শোষণ ক্ষমতা
शोषण,শোষণ
शोषणमापक*,শোষণ যন্ত্র*
शोषणमापन*,শোষণমিতি*
शोषण,শোষণ
शोषण - बँड*,শোষণ - ব্যান্ড*
शोषण सर्किट,শোষণ সার্কিট
शोषण गुणांक,শোষণ গুণাঙ্ক
शोषण स्तंभ,শোষণ কলাম
अवशोषण स्थिर,শোষণ ধ্রুবক
शोषण सातत्य,শোষণ ধারাবাহিকতা
शोषण क्षेत्र,শোষণ অঞ্চল
शोषण प्रवाह,শোষণ বর্তমান
शोषण वक्र*,শোষণ বক্ররেখা*
शोषण फ्रॅक्चर,শোষণ ফ্র্যাকচার
शोषण कोर,শোষণ কোর
शोषण घटक,শোষণ ফ্যাক্টর
शोषण फिल्टर,শোষণ ফিল্টার
शोषण फ्लेम फोटोमेट्री*,শোষণ শিখা ফটোমেট্রি*
शोषण हायग्रोमीटर,শোষণ হাইগ্রোমিটার
शोषण घातांक,শোষণ সূচক
शोषण सीमांत,শোষণ প্রান্তিক
शोषण रेखा,শোষণ লাইন
शोषण नुकसान,শোষণ ক্ষতি
शोषण मॉड्यूलेशन,শোষণ মড্যুলেশন
प्रकाश शोषण,আলো শোষণ
रेडिएशन उर्जेचे शोषण,বিকিরণ শক্তি শোষণ
शोषण शिखर,শোষণ শিখর
शोषण फोटोमेट्री,শোষণ ফটোমেট্রি
शोषण प्रमाण,শোষণ অনুপাত
शोषण श्रेणी*,শোষণ পরিসীমা*
शोषण स्पेक्ट्रम फोटोमेट्री*,শোষণ স্পেকট্রাম ফটোমেট্রি*
शोषण स्पेक्ट्रम*,শোষণ বর্ণালী*
"शोषक नळी, शोषक नळी","শোষণ নল, শোষণ নল"
शोषण हायग्रोमीटर,শোষণ হাইগ্রোমিটার
शोषक*,শোষক*
शोषक बाष्पीभवक,শোষক বাষ্পীভবনকারী
शोषण कायदा*,শোষণ আইন*
शोषण माध्यम,শোষণ মাধ্যম
"शोषक क्षमता, शोषकता*","শোষণ ক্ষমতা, শোষণ*"
शोषण*,শোষণ*
स्टुडिओ सजावट,স্টুডিও সজ্জা
गुणोत्तर गुणोत्तर,বহুগুণ অনুপাত
उद्धटपणा,বিভ্রান্তি
बद्दल,সম্পর্কিত
गती वाढवणे,ত্বরান্বিত করা
प्रवेग-थांबा अंतर,ত্বরণ-স্টপ দূরত্ব
घाई केली,তাড়াতাড়ি
द्रुत वेळ प्रभाव चाचणी,দ্রুত সময়ের প্রভাব পরীক্ষা
जलद प्रवाह,দ্রুত প্রবাহ
जलद गती,দ্রুত গতি
द्रुत शरीर,দ্রুত শরীর
प्रवेगक तोलणारा,এক্সিলারেটর ওজনকারী
प्रवेगक इलेक्ट्रोड*,এক্সিলারেটর ইলেক্ট্রোড*
प्रवेगक वेळ*,এক্সিলারেটরের সময়*
प्रवेगक टप्पा,এক্সিলারেটর ফেজ
प्रवेगक दर,অ্যাক্সিলারেটর হার
प्रवेगक व्होल्टेज*,এক্সিলারেটর ভোল্টেজ*
प्रवेग,ত্বরণ
प्रवेगक ज्वलन,ত্বরিত জ্বলন
प्रवेग गुणांक,ত্বরণ সহগ
प्रवेग घटक,ত্বরণ উপাদান
गुरुत्वाकर्षणामुळे प्रवेग,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
प्रवेग घटक,ত্বরণ ফ্যাক্টর
प्रवेगक शुल्क,ত্বরিত চার্জ
गुरुत्वाकर्षणाचा प्रवेग,অভিকর্ষের ত্বরণ
प्रवेग क्षमता,ত্বরণ সম্ভাবনা
प्रवेग कायदा,ত্বরণ আইন
प्रवेग प्रक्रिया,ত্বরণ প্রক্রিয়া
प्रवेग क्षेत्र,ত্বরণ অঞ্চল
प्रवेग पद्धत,ত্বরণ পদ্ধতি
"प्रवेग सहिष्णुता, प्रवेग सहिष्णुता","ত্বরণ সহনশীলতা, ত্বরণ সহনশীলতা"
प्रवेग वेक्टर,ত্বরণ ভেক্টর
प्रवेग-व्होल्टेज,ত্বরণ-ভোল্টেজ
प्रवेग लहर,ত্বরণ তরঙ্গ
