Hindi,Tamil
अजीवात् जनन,உயிரற்ற இனப்பெருக்கம்
अपसामान्य,அமானுஷ்ய
1. चतुर्थ आमाशय 2. ऐवोमैसम,1. நான்காவது வயிறு 2. எவோமாசோம்
रुद्ध-वृद्धि अंग,வயிற்று வளர்ச்சி உறுப்பு
रुद्ध वृद्धि बीज,வளர்ச்சி குன்றிய விதை
1. गर्भपात 2. गर्भस्राव 3. वृद्धि विरोध,1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு
1. अवांछित अपतृण 2. पूर्ण खरपतवार,1. தேவையற்ற களைகள் 2. முழுமையான களைகள்
अवशोषित धनायन,உறிஞ்சப்பட்ட கேஷன்
अवशोषण,உறிஞ்சுதல்
ऐबिसिनी सरसों,அபிசீனிய கடுகு
1.एकेरेसनाशी 2. चिचड़ीनाशी,1. காரக்கொல்லி
अकेंद्री,மையவிலக்கு
प्रवर्धन (कोशिका),பெருக்கம் (செல்)
स्वीकृत सह्यता,அனுமதிக்கப்பட்ட சகிப்புத்தன்மை
1.अतिरिक्त 2. सहायक 3. गौण,1.கூடுதல் 2.துணை 3.துணை
पर्यनुकूलन,தழுவல்
संचय,திரட்சி
1.vयथार्थता 2. परिशुद्धता,1.vacuracy 2. துல்லியம்
1. एसर्वुलस 2. बीजाणुपात्र,1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்
1. ऐसीटीकरण 2. सिरका बनाना 3. ऐसीटीलन,1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்
1. अम्लीकरण 2. अम्लन,1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்
1.अम्लतामापी 2. एसिडीमीटर,1. அமிலமானி 2. அமிலமானி
अम्लता,அமிலத்தன்மை
अम्लरागी,அமிலத்தன்மை
अम्लीकृत रॉक फॉस्फेट,அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்
अम्लसह,அமிலமாக்கப்பட்ட
जलभृत,நீர்நிலை
अधिग्रहण,கையகப்படுத்தல்
एकड़,ஏக்கர்
1.क्षेत्रफल 2. रकबा,1. பகுதி 2. பகுதி
उपांत बिंदु क्रोमोसोम,இறுதி புள்ளி குரோமோசோம்
अग्राभिसारी,முன்னோக்கு
ऐक्रोसोम,குரோசோம்
एक्टिनोमाइसिटीज,ஆக்டினோமைசீட்ஸ்
सक्रिय मूलक्षेत्र,செயலில் உள்ள மைய
1.उग्र 2. तीव्र,1. சீற்றம் 2. தீவிரம்
अनुकूलनशीलता,தழுவல்
अनुकूलन,தனிப்பயனாக்கம்
1. आसंजन 2. अभिलाग,1. ஒட்டுதல் 2. ஒட்டுதல்
वसामय,செபாசியஸ்
समायोजन समीकरण,சரிசெய்தல் சமன்பாடு
ऐडोब मृदा,அடோப் மண்
अपमिश्रक,கலப்படம்
अपस्थानिक,எக்டோபிக்
इसीडियोस्पोर इसीडियम बीजाणु,இசிடியோஸ்போர் இசிடியம் ஸ்போர்
वातोढ़ प्रक्रिया,ஏரோடைனமிக் செயல்முறை
वातोढ़,வென்ட்ரல்
वातन करना,காற்றோட்டம் செய்ய
1. वायव 2. आकाशी,1. காற்று 2. ஆகாஷி
1. ऐरोमीटर 2. वायुमापी 3. वायुघनत्वमाप,1. ஏரோமீட்டர் 2. ஏரோமீட்டர் 3. ஏரோமீட்டர்
ऐरोसोल,ஏரோசல்
1. पुष्पदलविन्यास 2. ग्रीष्मनिष्क्रियता,1. மஞ்சரி 2. கோடை உறக்கம்
रोग हेतु विज्ञान,நோய் அறிவியல்
वनरोपण,காடு வளர்ப்பு
1. विलोडन 2. प्रक्षोभन,1. கிளர்ச்சி 2. கொந்தளிப்பு
ऐगमार्क,அக்மார்க்
1. भूमि संबंधी 2. कृषि संबंधी,1. நிலம் தொடர்பான 2. விவசாயம்
कृषि निदानालय,விவசாய மருத்துவமனை
1. कृषि श्रम 2. खेतिहर मजदूर,1. விவசாயத் தொழிலாளர்கள் 2. விவசாயத் தொழிலாளர்கள்
कृषि विपणन,விவசாய சந்தைப்படுத்தல்
कृषि प्रद्योगिकी,விவசாய தொழில்நுட்பம்
1. कृषि 2. खेतीबारी 3. कृषि विज्ञान,1. விவசாயம் 2. விவசாயம் 3. விவசாய அறிவியல்
कृषि वनवर्धन,விவசாய காடுகள்
कृषि जैविक विविधता,விவசாய பல்லுயிர்
कृषि जैविक दोष,விவசாய கரிம குறைபாடுகள்
कृषि जैविकी,விவசாய உயிரியல்
कृषि जलवायुवीय विविधता,விவசாய காலநிலை பன்முகத்தன்மை
कृषिजलवायुवीय जोन निर्माण,வேளாண் காலநிலை மண்டலத்தை உருவாக்குதல்
कृषिवानिकी,வளர்ப்பு
सस्य मृदा विज्ञान,வேளாண்மை
सस्य विज्ञान,வேளாண்மை
कृषि पशुचारणिक,விவசாய மேய்ச்சல்
फसल प्रसंस्करण,பயிர் செயலாக்கம்
घास विज्ञान,புல் அறிவியல்
सस्य प्ररूप,பயிர் வகை
अधिपादप,எபிஃபைட்
ऐकिओची मृदा,aikiochi மண்
वर्णकहीनता,வண்ண குருட்டுத்தன்மை
एल्फिसॉल,அல்பிசோல்
शैवाल,பாசி
शैवाल रोग,பாசி நோய்
क्षार जल,காரம் நீர்
क्षारीय,காரமானது
विकल्पी,மாற்று
एलीलो रसायन,அலெலோ வேதியியல்
युग्मविकल्पी,அலீல்
एलीलोपैथी,அலெலோபதி
वीथी सस्यन,வேத்தி பயிர்
परनिषेक-फलता,நிறைவு
परनिषेचन,கருத்தரித்தல்
1. सापेक्षमिति 2. ऐलोमैट्री,1. சார்பியல் 2. அலோமெட்ரி
परबहुगुणित,பலவகை
1. परयुग्मन 2. अपायुग्लन,1. Parazygosity
1. एकातंर वर्ष फलन 2. एकांतरित फलन,1. மாற்று ஆண்டு செயல்பாடு 2. மாற்று செயல்பாடு
वैकल्पिक भूमि उपयोग,மாற்று நில பயன்பாடு
परिवेश,சூழல்
सुधारक,சீர்திருத்தவாதி
असूत्रीविभाजन,மைடோசிஸ்
ऐमीनन,அமீனன்
अमोनियन,அம்மோனியன்
अमोनीकारक,அம்னிஃபெரஸ்
1.अप्रभावी रूप  2.अरूपी,1. பயனற்ற வடிவம் 2. அரூபி
उभय मिश्रण,நீர்வீழ்ச்சி கலவை
उभयधर्मी,ஆம்போடெரிக்
उपचय,கையிருப்பு
1. अवायुजीव 2. अनाक्सी जीव,1. காற்றில்லா 2. காற்றில்லா உயிரினங்கள்
असुगुणित,ஹாப்ளாய்டு
कोणीय रोपण,கோண நடவு
पशुपालन,கால்நடை வளர்ப்பு
पशु उच्छिष्ट,விலங்கு மலம்
सजीव ऊर्जा,வாழ்க்கை ஆற்றல்
असमगुणित,முரண்பாடான
एकवर्षीय पादप,ஒரு வருடம் பழமையான ஆலை
वार्षिक,ஆண்டு
1. परागोद्भव 2. प्रफुल्लन,1. பரவசம் 2. பிரகாசம்
ऐन्थ्रेक्स,ஆந்த்ராக்ஸ்
मानवजनिक कारक,மானுடவியல் காரணிகள்
प्रतिजीविता,உயிர்வாழ்தல்
1.प्रतिजैविक2.  ऐन्टीबायोटिक,1. ஆன்டிபயாடிக் 2. நுண்ணுயிர்க்கொல்லி
प्रतिकारक,விரட்டும்
प्रतिऑक्सीकारक,ஆக்ஸிஜனேற்ற
प्रतिआविष,ஆன்டிடாக்சின்
वलयिका,மோதிர விரல்
1. ऐफिड 2. माहू 3. चेपा,1. அசுவினி 2. மஹு 3. செபா
शीर्ष कलिका,மேல் மொட்டு
शिखाग्र प्रभाविता,உச்ச செயல்திறன்
मधुमक्खी पालन,தேனீ வளர்ப்பு
असंगजनन,ஓரினச்சேர்க்கை
एपोप्टोसिस,அப்போப்டொசிஸ்
उपांग,பிற்சேர்க்கைகள்
क्षुधावर्धक,பசியை உண்டாக்கும்
अनुप्रयुक्त,விண்ணப்பித்தார்
जलीय खरपतवार,நீர்வாழ் களை
1. वृक्षीय 2. वृक्षवासी,1. மரம் 2. மரத்தில் வசிப்பவர்
शाखायन,கிளைகள்
आद्य वानस्पतिक अभिलेख,புரோட்டோபோட்டானிக்கல் பதிவுகள்
क्षेत्रांकड़,மண்டல எண்
1. क्षेत्र 2. क्षेत्रफल,1. பகுதி 2. பகுதி
शुष्क पारितंत्र,உலர் சுற்றுச்சூழல்
बीजचोल,கோட்டிலிடன்
सौरभ,சௌரப்
सुगंधी पादप,நறுமண ஆலை
सुगंधित चावल,வாசனை அரிசி
इक्षु पुष्पन,இக்ஷு புஷ்பன்
अपूति,அசெப்டிக்
1.अपूतित 2. अजर्म,1. அசெப்டிக் 2. அசெப்டிக்
अलैंगिक प्रवर्धन,பாலின இனப்பெருக்கம்
आमाप,அளவு
परिसंपत्ति,சொத்து
1. स्वांगीकरण 2. आत्मसात्करण,1. ஒருங்கிணைப்பு 2. ஒருங்கிணைப்பு
1. साहचर्य 2. संघ,1. சங்கம் 2. சங்கம்
1. स्तंभक 2. कषाय,1. நெடுவரிசை 2. துவர்ப்பு
असूत्रयुग्मन,பன்முகத்தன்மை
1. पूर्वजता 2. ऐटाविज्म,1. முன்னோர் 2. அடவிசம்
कणित्र,துகள்
1.अपुष्टि 2. क्षीणता,1. உறுதிப்படுத்தல் 2. குறைபாடு
स्वयुग्मन,சுய இணைத்தல்
स्वलयन,தன்னியக்கம்
1. स्वतः उपचयन 2. स्वतः ऑक्सीभवन,1. தன்னிச்சையான ஆக்சிஜனேற்றம் 2. தன்னிச்சையான ஆக்சிஜனேற்றம்
स्वबहुगुणित,சுய மல்டிபிளக்ஸ்
ऑक्सिन,ஆக்சின்
1. शूक 2. तूड़,1. குலுக்கல் 2. தேரை
दंड विषाणु,தண்டனை வைரஸ்
1. दंडाणु 2. बैसिलस,1. பேசிலஸ் 2. பேசிலஸ்
1. जीवाणु 2. बैक्टीरिया,1. பாக்டீரியா 2. பாக்டீரியா
जीवाणु आविष,பாக்டீரியா நச்சு
खोई,கரும்பு சக்கை
तुलन-पत्र,இருப்பு தாள்
संतुलित उर्वरक उपयोग,சீரான உர பயன்பாடு
दंड आरेख,சட்ட வரைபடம்
छाल,பட்டை
1. वायुदाबमापी 2. बैरोमीटर,1. காற்றழுத்தமானி 2. காற்றழுத்தமானி
1. बजर 2. अकृष्य 3. बांझ,1. buzzer 2. inert 3. barren
1. आधार 2. बेस 3. कपांग,1. அடிப்படை 2. அடிப்படை 3. குபாங்
1.थाला 2. द्रोणी,1. தாலா 2. பேசின்
तलाभिसारी,தலபிசாரி
1. बेसिस्टर्नम 2. मूलाधारक,1. பாசிஸ்டர்னம் 2. ரூட் ஹோல்டர்
खाड़ी मानसून,வளைகுடா பருவமழை
फलदायी पौधा,பழ செடி
क्यारी,படுக்கை
क्यारी - पौधा,படுக்கை ஆலை
क्यारी बनाना,படுக்கை
चुकंदर शीरा,பீற்று வெல்லப்பாகு
धौंकनी,பெல்லோஸ்
1. पट्टी 2. इलाका,1. கீற்று 2. நிலப்பரப்பு
लाभ-लागत विश्लेषण,இலாப-செலவு பகுப்பாய்வு
अभिनत (प्रतिचयन),ஆர்வலர் (மாதிரி)
द्विवर्षीय पादप,இரு ஆண்டு தாவரங்கள்
द्विपद,இருவகை
जैवकारक,உயிர் காரணி
जीव जलवायु,உயிரியல் காலநிலை
जैव ऊर्जा,உயிர் ஆற்றல்
जीव पारिस्थितिकी,விலங்கு சூழலியல்
1. जैव-प्रक्रियापात्र 2. बायो रिएक्टर,1. உயிர் செயலி 2. உயிர் உலை
जीव-मंडल,உயிர்க்கோளம்
जीवीय,உயிரியல்
जीव प्ररूप,விலங்கினங்கள்
दविलिंगी,திவிலிங்கி
धवलन,தவலன்
1.  प्रध्वसं (रोग) 2.  झोंका रोग,1. பிரத்வாசன் (நோய்) 2. குடல் நோய்
संमिश्रण,கலத்தல்
1. अंगमारी (रोग) 2.  ब्लाइट (रोग),1. அங்கமாரி (நோய்) 2. ப்ளைட் (நோய்)
1. छाला 2. फफोला 3. उद्वर्त 4. ब्लिस्टर,1. கொப்புளம் 2. கொப்புளம் 3. வெடிப்பு 4. கொப்புளம்
नीली क्रांति,நீல புரட்சி
तलीय ताप चैंबर,பிளானர் வெப்பமூட்டும் அறை
तलीय ताप तकनीक,பிளானர் வெப்பமாக்கல் தொழில்நுட்பம்
चोकर,தவிடு
शाखन,கிளைகள்
1. टहनी 2. उपशाखा,1. கிளை 2. துணைக் கிளை
नस्ल,இனம்
प्रजनन,இனப்பெருக்கம்
शीघ्र अंकुरण उपचार,ஆரம்ப முளைப்பு சிகிச்சை
1. शाव 2. अंड 3. भ्रूण,1. குட்டி 2. முட்டை 3. கரு
कलिकायन,துளிர்க்கிறது
बजट,பட்ஜெட்
1.उभयप्रतिरोधी 2. बफर,1.ஆம்போடெரிக் 2. தாங்கல்
शल्ककंद,இனிப்பு உருளைக்கிழங்கு
बंट (रोग),பன்ட் (நோய்)
1. उपजात 2. उपोत्पाद,1. துணை தயாரிப்பு 2. துணை தயாரிப்பு
c नमी विशिष्टता वक्र,c ஈரப்பதம் விவரக்குறிப்பு வளைவு
खली,எண்ணெய் கேக்
1. चूनेदार 2.कैल्सियमी,1. சுண்ணாம்பு 2. கால்சியம்
कैल्सीयन,கால்சியன்
फॉस्फेट का निस्तापन,பாஸ்பேட் நீக்கம்
1. किणता 2. कैलसता,1. கினாட்டா 2. கலாட்டா
1.कैलस 2. किण,1.காலஸ் 2. கதிர்
1. बाह्यदल पुंज 2.कैलिक्स,1. செப்பல்ஸ் 2. கேலிக்ஸ்
वाह्यदल अंत,வெளிப்புற முடிவு
एधा,எதா
कैंकर (जीवाणु रोग),புற்றுநோய் (பாக்டீரியா நோய்)
डिब्बाबंदी,பதப்படுத்தல்
वितान,வானம்
पूंजी,நிதி
परागण (अंजीर का),மகரந்தச் சேர்க்கை (அத்திப்பழங்கள்)
1. संपुट 2. संपुटिका 3. कैप्सूल,1. காப்ஸ்யூல் 2. காப்ஸ்யூல் 3. கேப்சூல்
कार्बोनीकृत,கார்பனேற்றப்பட்டது
कार्बनन,கார்பனான்
अंडप,கார்பேஸ்
मणिबंध,வளையல்
1. ढलाई (लोहे की) 2. क्षिप्ति (कीट),1. வார்ப்பு (இரும்பு) 2. க்ஷிப்தி (பூச்சி)
अपचय,வினையூக்கம்
उत्प्रेरण,தூண்டுதல்
1. इल्ली 2. सूंडी,1. கம்பளிப்பூச்சி 2. கம்பளிப்பூச்சி
सी ड़ी. एन. ए. संग्रह,c d. என். அ. சேகரிப்பு
सीमा,சரகம்
