Punjabi,Bengali
ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ,বাতিল অঙ্গ
ਅਧੂਰਾ,বাতিল বীজ
ਗਰਭਪਾਤ,গর্ভপাত
ਸੰਪੂਰਨ ਬੂਟੀ,পরম আগাছা
ਸਮਾਈ,শোষিত কেশন
ਸਮਾਈ,শোষণ
ਅਬੀਸਨੀਅਨ ਰਾਈ,অ্যাবিসিনিয়ান সরিষা
ਅਚੰਭੇ,অ্যাকারিসাইড
ਰਾਜਕੁਮਾਰੀ,অ্যাকসেন্ট্রিক
ਲਹਿਜ਼ਾ (ਸੈੱਲ),উচ্চারণ (সেল)
ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ,স্বীকৃত সহনশীলতা
ਸਹਾਇਕ,আনুষঙ্গিক
ਅਨੁਕੂਲਤਾ,প্রশংসাপত্র
ਇਕੱਠਾ,জমা
ਸ਼ੁੱਧਤਾ,সঠিকতা
ਏਸਰਵੂਲਸ,এসারভুলাস
ਐਸੀਟਿਫਿਕੇਸ਼ਨ,অ্যাসিটিফিকেশন
ਐਸਿਡਿਫਿਕੇਸ਼ਨ,অ্যাসিডিফিকেশন
ਐਸਿਡਮੀਟਰ,অ্যাসিডিমিটার
ਐਸਿਡਿਟੀ,অম্লতা
ਐਸਿਡੋਫਿਲਿਕ,অ্যাসিডোফিলিক
ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ,অ্যাসিডুলেটেড রক ফসফেট
ਐਸਿਡੁਰਿਕ,অ্যাসিডুরিক
ਐਕੁਇਫਰ,জলজ
ਗ੍ਰਹਿਣ,অধিগ্রহণ
ਏਕੜ,একর
ਰਕਬੇ,জমি
ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ,অ্যাক্রোসেন্ট্রিক ক্রোমোজোম
ਐਕਰੋਪੇਟਲ,অ্যাক্রোপেটাল
ਐਸ਼੍ਰੋਸੋਮ,অ্যাক্রোসোম
ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ,অ্যাক্টিনোমাইসেটস
ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ,সক্রিয় মূল অঞ্চল
ਗੰਭੀਰ,তীব্র
ਅਨੁਕੂਲਤਾ,অভিযোজনযোগ্যতা
ਅਨੁਕੂਲਤਾ,অভিযোজন
ਚਿਪਕਿਆ,আঠালো
ADPIPOSE,অ্যাডিপোজ
ਵਿਵਸਥ ਸਮੀਕਰਨ,সামঞ্জস্য সমীকরণ
ਅਡੋਬ ਮਿੱਟੀ,অ্যাডোব মাটি
ਮਨਜ਼ੂਰ,ভেজাল
