Marathi,Kannada
गर्भपात,ಸ್ಥಗಿತಗೊಳಿಸು
गर्भपात टाइमर,ಟೈಮರ್ ಅನ್ನು ಸ್ಥಗಿತಗೊಳಿಸಿ
परिपूर्ण पत्ता,ಸಂಪೂರ್ಣ ವಿಳಾಸ
परिपूर्ण पत्ता,ಸಂಪೂರ್ಣ ವಿಳಾಸ
परिपूर्ण असेंबलर,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
परिपूर्ण कोड,ಸಂಪೂರ್ಣ ಕೋಡ್
परिपूर्ण कोडिंग,ಸಂಪೂರ್ಣ ಕೋಡಿಂಗ್
परिपूर्ण आज्ञा,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
परिपूर्ण समन्वय,ಸಂಪೂರ್ಣ ಸಮನ್ವಯ
परिपूर्ण डेटा,ಸಂಪೂರ್ಣ ಡೇಟಾ
परिपूर्ण त्रुटी,ಸಂಪೂರ್ಣ ದೋಷ
परिपूर्ण अभिव्यक्ती,ಸಂಪೂರ್ಣ ಅಭಿವ್ಯಕ್ತಿ
परिपूर्ण सूचना,ಸಂಪೂರ್ಣ ಸೂಚನೆ
परिपूर्ण लोडर,ಸಂಪೂರ್ಣ ಲೋಡರ್
परिपूर्ण ऑर्डर,ಸಂಪೂರ್ಣ ಕ್ರಮ
परिपूर्ण प्रोग्रामिंग,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
परिपूर्ण संज्ञा,ಸಂಪೂರ್ಣ ಪದ
परिपूर्ण मूल्य,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
परिपूर्ण वेक्टर,ಸಂಪೂರ್ಣ ವೆಕ್ಟರ್
गोषवारा,ಅಮೂರ್ತ
अमूर्त,ಅಮೂರ್ತಗೊಳಿಸುವ
अमूर्त प्रतीक,ಅಮೂರ್ತ ಚಿಹ್ನೆ
प्रवेग कालावधी,ವೇಗವರ್ಧನೆ ಅವಧಿ
प्रवेग वेळ,ವೇಗವರ್ಧಕ ಸಮಯ
उच्चारण,ಉಚ್ಚಾರಣಾ
स्वीकृती चाचणी,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
प्रवेश,ಪ್ರವೇಶ
प्रवेश आर्म,ಪ್ರವೇಶ
प्रवेश व्यवस्था,ಪ್ರವೇಶ ವ್ಯವಸ್ಥೆ
प्रवेश प्राधिकरण,ಪ್ರವೇಶ
प्रवेश शुल्क,ಪ್ರವೇಶ
प्रवेश वर्ग,ಪ್ರವೇಶ ವರ್ಗ
प्रवेश डेटा बेस व्यवस्थापन,ಡೇಟಾ ಬೇಸ್ ನಿರ್ವಹಣೆಯನ್ನು ಪ್ರವೇಶಿಸಿ
प्रवेश वातावरण,ಪ್ರವೇಶ ಪರಿಸರ
प्रवेश अंतर,ಪ್ರವೇಶದ ಅಂತರ
प्रवेश निर्देशांक,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
Line क्सेस लाइन,ಪ್ರವೇಶ
प्रवेश यंत्रणा,ಪ್ರವೇಶ ಕಾರ್ಯ
प्रवेश पद्धत,ಪ್ರವೇಶ ವಿಧಾನ
प्रवेश पद्धत दिनचर्या,ಪ್ರವೇಶ ವಿಧಾನ ದಿನಚರಿ
प्रवेश मोड,ಪ್ರವೇಶ ಕ್ರಮ
प्रवेश बरोबर,ಪ್ರವೇಶ ಬಲ
प्रवेश स्कॅन,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
प्रवेश वेळ,ಪ್ರವೇಶ ಸಮಯ
लेखा,ಲೆಕ್ಕಪತ್ರ
लेखा वित्त प्रणाली,ಲೆಕ್ಕಪರಿಶೋಧನಾ ವ್ಯವಸ್ಥೆ
लेखा मशीन,ಅಕೌಂಟಿಂಗ್ ಯಂತ್ರ
खाते क्रमांक,ಖಾತೆ ಸಂಖ್ಯೆ
पुनरुत्पादक संचय,ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುವವರನ್ನು ಸಂಗ್ರಹಿಸುವುದು
संचयक,ಸಂಗ್ರಹಣೆದಾರ
संचयक नोंदणी,ಸಂಚಯಕ ನೋಂದಣಿ
संचयक शिफ्ट सूचना,ಸಂಚಯಕ ಶಿಫ್ಟ್ ಸೂಚನೆ
अचूकता,ನಿಖರತೆ
अचूकता नियंत्रण वर्ण,ನಿಖರತೆ ನಿಯಂತ್ರಣ ಪಾತ್ರ
अचूकता नियंत्रण प्रणाली,ನಿಖರತೆ ನಿಯಂತ್ರಣ ವ್ಯವಸ್ಥೆ
ऐस पायलट,ಏಸ್ ಪೈಲಟ್
चरित्र कबूल करा,ಪಾತ್ರವನ್ನು ಅಂಗೀಕರಿಸಿ
ध्वनिक कपलर,ಅಕೌಸ್ಟಿಕ್ ಕೋಪ್ಲರ್
ध्वनिक कपलिंग,ಅಕೌಸ್ಟಿಕ್ ಜೋಡಣೆ
ध्वनिक विलंब रेखा,ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ
ध्वनिक मेमरी,ಅಕೌಸ್ಟಿಕ್ ಸ್ಮರಣೆ
ध्वनिक मॉडेम,ಸಕೌಸ್ಟಿಕ್ ಮೋಡೆಮ್
ध्वनिक सिग्नल,ಅಕೌಸ್ಟಿಕ್ ಸಂಕೇತ
ध्वनिक संचयन,ಅಕೌಸ್ಟಿಕ್ ಸಂಗ್ರಹ
परिवर्णी शब्द,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
क्रिया,ಕ್ರಿಯಾಶೀಲತೆ
कृती चक्र,ಕ್ರಿಯಾಶೀಲತೆ
कृती ओळ,ಕ್ರಿಯಾಶೀಲ ರೇಖೆ
कृती संदेश,ಕ್ರಿಯಾಶೀಲ
कृती तपशील,ಕ್ರಿಯಾಶೀಲತೆ
सक्रियकरण,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
सक्रिय,ಸಕ್ರಿಯ
सक्रिय फाईल,ಸಕ್ರಿಯ ಫೈಲ್
सक्रिय ओळ,ಸಕ್ರಿಯ ರೇಖೆ
सक्रिय दुवा,ಸಕ್ರಿಯ ಲಿಂಕ್
सक्रिय मास्टर फाइल,ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಫೈಲ್
सक्रिय मास्टर आयटम,ಸಕ್ರಿಯ ಮಾಸ್ಟರ್ ಐಟಂ
सक्रिय उपग्रह,ಸಕ್ರಿಯ ಉಪಗ್ರಹ
सक्रिय स्टेशन,ಸಕ್ರಿಯ ನಿಲ್ದಾಣ
सक्रिय संचयन,ಸಕ್ರಿಯ ಸಂಗ್ರಹಣೆ
क्रियाकलाप,ಚಟುವಟಿಕೆ
क्रियाकलाप पातळी,ಚಟುವಟಿಕೆ ಮಟ್ಟ
क्रियाकलाप लोडिंग,ಚಟುವಟಿಕೆ ಲೋಡಿಂಗ್
क्रियाकलाप प्रमाण,ಚಟುವಟಿಕೆ ಅನುಪಾತ
वास्तविक पत्ता (= परिपूर्ण पत्ता),ನಿಜವಾದ ವಿಳಾಸ (= ಸಂಪೂರ್ಣ ವಿಳಾಸ)
